"metric","ens","val","spl"
"acc",1,0.899333333333333,1
"acc",2,0.922833333333333,1
"acc",3,0.924166666666667,1
"acc",4,0.926166666666667,1
"acc",5,0.920833333333333,1
"binacc",1,0.967666666666667,1
"binacc",2,0.975333333333333,1
"binacc",3,0.978833333333333,1
"binacc",4,0.978666666666667,1
"binacc",5,0.9795,1
"eacc",1,0.100666666666667,1
"eacc",2,0.0771666666666667,1
"eacc",3,0.0758333333333333,1
"eacc",4,0.0738333333333333,1
"eacc",5,0.0791666666666667,1
"ebinacc",1,0.0323333333333333,1
"ebinacc",2,0.0246666666666666,1
"ebinacc",3,0.0211666666666667,1
"ebinacc",4,0.0213333333333333,1
"ebinacc",5,0.0205,1
"nll",1,0.368704190634495,1
"nll",2,0.283203658498168,1
"nll",3,0.266246844032782,1
"nll",4,0.264298324201645,1
"nll",5,0.286453543648612,1
"binnll",1,0.102880865677657,1
"binnll",2,0.0758045081783492,1
"binnll",3,0.0732535097599014,1
"binnll",4,0.0746747839467465,1
"binnll",5,0.0739668367753265,1
"rps",1,0.0297482168366136,1
"rps",2,0.022948004179562,1
"rps",3,0.0218007935209456,1
"rps",4,0.0220390878289464,1
"rps",5,0.0229092830395186,1
"cint",1,0.163032797000026,1
"cint",2,0.170270941995852,1
"cint",3,0.238548491826237,1
"cint",4,0.209527287681922,1
"cint",5,-0.0955076633485972,1
"cslope",1,1.29446663839228,1
"cslope",2,1.33476003177761,1
"cslope",3,1.28015082386784,1
"cslope",4,1.26900808406924,1
"cslope",5,1.26232487092203,1
"brier",1,0.0265157502087067,1
"brier",2,0.0193471660955593,1
"brier",3,0.0184139891256173,1
"brier",4,0.0185245696754866,1
"brier",5,0.0183586204083233,1
"auc",1,0.992686118596888,1
"auc",2,0.99651997184186,1
"auc",3,0.99636946415567,1
"auc",4,0.996241268573837,1
"auc",5,0.996107659996272,1
"eauc",1,0.00731388140311184,1
"eauc",2,0.00348002815813975,1
"eauc",3,0.0036305358443296,1
"eauc",4,0.00375873142616334,1
"eauc",5,0.0038923400037284,1
"qwk",1,0.912587261381576,1
