"metric","ens","val","spl"
"acc",1,0.847333333333333,1
"acc",2,0.8815,1
"acc",3,0.8895,1
"acc",4,0.876833333333333,1
"acc",5,0.894,1
"binacc",1,0.959333333333333,1
"binacc",2,0.964833333333333,1
"binacc",3,0.969,1
"binacc",4,0.966166666666667,1
"binacc",5,0.973166666666667,1
"eacc",1,0.152666666666667,1
"eacc",2,0.1185,1
"eacc",3,0.1105,1
"eacc",4,0.123166666666667,1
"eacc",5,0.106,1
"ebinacc",1,0.0406666666666666,1
"ebinacc",2,0.0351666666666667,1
"ebinacc",3,0.031,1
"ebinacc",4,0.0338333333333334,1
"ebinacc",5,0.0268333333333334,1
"nll",1,0.633224813348921,1
"nll",2,0.496704519042296,1
"nll",3,0.458709612310979,1
"nll",4,0.494196179549482,1
"nll",5,0.449870788635551,1
"binnll",1,0.12740027300544,1
"binnll",2,0.110378703926551,1
"binnll",3,0.102967879650532,1
"binnll",4,0.10582823551201,1
"binnll",5,0.095272044578492,1
"rps",1,0.0357689560991313,1
"rps",2,0.0281076057178738,1
"rps",3,0.0267430211882896,1
"rps",4,0.0280190349040224,1
"rps",5,0.0250251161502008,1
"cint",1,0.0139953397864061,1
"cint",2,0.161040517680595,1
"cint",3,0.0212220592181196,1
"cint",4,0.0276511570363472,1
"cint",5,0.121740276614126,1
"cslope",1,1.51249714793586,1
"cslope",2,1.44374171234979,1
"cslope",3,1.44376538751017,1
"cslope",4,1.4265033034634,1
"cslope",5,1.45981975172992,1
"brier",1,0.0329478009925091,1
"brier",2,0.0283432112929692,1
"brier",3,0.0257051662929586,1
"brier",4,0.0270818360242968,1
"brier",5,0.0235448093325637,1
"auc",1,0.990287237317879,1
"auc",2,0.992357114075848,1
"auc",3,0.993068064856667,1
"auc",4,0.992597134228036,1
"auc",5,0.994218788534589,1
"eauc",1,0.00971276268212085,1
"eauc",2,0.00764288592415152,1
"eauc",3,0.00693193514333346,1
"eauc",4,0.00740286577196447,1
"eauc",5,0.00578121146541144,1
"qwk",1,0.924590447540916,1
"qwk",2,0.940459431627444,1
"qwk",3,0.938779524483243,1
"qwk",4,0.931738344234557,1
"qwk",5,0.945746101805328,1
"eqwk",1,0.0754095524590844,1
"eqwk",2,0.0595405683725557,1
"eqwk",3,0.0612204755167574,1
"eqwk",4,0.0682616557654425,1
"eqwk",5,0.054253898194672,1
"acc",1,0.880166666666667,2
"acc",2,0.901166666666667,2
"acc",3,0.879166666666667,2
"acc",4,0.883,2
"acc",5,0.891166666666667,2
"binacc",1,0.965166666666667,2
"binacc",2,0.9685,2
"binacc",3,0.967166666666667,2
"binacc",4,0.968833333333333,2
"binacc",5,0.9655,2
"eacc",1,0.119833333333333,2
