"metric","ens","val","spl"
"acc",1,0.116166666666667,1
"nll",1,2.30057302184841,1
"binnll",1,0.612004785187732,1
"rps",1,0.184319760753179,1
"cint",1,-0.00159018324929577,1
"cslope",1,NA,1
"auc",1,0.5,1
"qwk",1,0,1
"acc",1,0.12,2
"nll",1,2.30091378479734,2
"binnll",1,0.626712100785471,2
"rps",1,0.183625965849697,2
"cint",1,-0.00126271831231539,2
"cslope",1,NA,2
"auc",1,0.5,2
"qwk",1,0,2
"acc",1,0.112833333333333,3
"nll",1,2.30123085977268,3
"binnll",1,0.624578360701895,3
"rps",1,0.185715360775198,3
"cint",1,-0.000418392638563566,3
"cslope",1,NA,3
"auc",1,0.5,3
"qwk",1,0,3
"acc",1,0.117666666666667,4
"nll",1,2.30098058462551,4
"binnll",1,0.624303988637984,4
"rps",1,0.185268670862461,4
"cint",1,-0.00164664287395347,4
"cslope",1,NA,4
"auc",1,0.5,4
"qwk",1,0,4
"acc",1,0.1145,5
"nll",1,2.30154823951359,5
"binnll",1,0.618439948349622,5
"rps",1,0.18320921817032,5
"cint",1,-0.000319832149171788,5
"cslope",1,NA,5
"auc",1,0.5,5
"qwk",1,0,5
