"metric","ens","val","spl"
"acc",1,0.270166666666667,1
"acc",2,0.309666666666667,1
"acc",3,0.299166666666667,1
"acc",4,0.2585,1
"acc",5,0.293666666666667,1
"eacc",1,0.729833333333333,1
"eacc",2,0.690333333333333,1
"eacc",3,0.700833333333333,1
"eacc",4,0.7415,1
"eacc",5,0.706333333333333,1
"nll",1,1.73340878774931,1
"nll",2,1.65350367372121,1
"nll",3,1.70556686945609,1
"nll",4,1.72164167504455,1
"nll",5,1.70136698601605,1
"binnll",1,0.275944631770429,1
"binnll",2,0.257252172977472,1
"binnll",3,0.228520975228082,1
"binnll",4,0.278342999026153,1
"binnll",5,0.258138315439138,1
"rps",1,0.0821183170895573,1
"rps",2,0.0773823672776007,1
"rps",3,0.0761825914821571,1
"rps",4,0.0786441764308907,1
"rps",5,0.0799783070873341,1
"cint",1,0.0298821667249687,1
"cint",2,0.00732131919966813,1
"cint",3,0.03226092643353,1
"cint",4,0.0144684837118203,1
"cint",5,0.0105899380937435,1
"cslope",1,2.344754543926,1
"cslope",2,2.37661849291791,1
"cslope",3,2.95814011929937,1
"cslope",4,3.16654590569735,1
"cslope",5,2.45235782439474,1
"auc",1,0.95170564815739,1
"auc",2,0.9602352091872,1
"auc",3,0.975217853274546,1
"auc",4,0.956037629033936,1
"auc",5,0.961478085816842,1
"eauc",1,0.0482943518426101,1
"eauc",2,0.0397647908127996,1
"eauc",3,0.0247821467254544,1
"eauc",4,0.0439623709660639,1
"eauc",5,0.0385219141831578,1
"qwk",1,0.825266323956132,1
"qwk",2,0.842675115518716,1
"qwk",3,0.825262143013418,1
"qwk",4,0.828779965848161,1
"qwk",5,0.838710374745194,1
"acc",1,0.2615,2
"acc",2,0.257833333333333,2
"acc",3,0.297166666666667,2
"acc",4,0.281333333333333,2
"acc",5,0.2985,2
"eacc",1,0.7385,2
"eacc",2,0.742166666666667,2
"eacc",3,0.702833333333333,2
"eacc",4,0.718666666666667,2
"eacc",5,0.7015,2
"nll",1,1.74073689948588,2
"nll",2,1.76246262350047,2
"nll",3,1.68535663268543,2
"nll",4,1.73758597617729,2
"nll",5,1.67441145103258,2
"binnll",1,0.274365996732241,2
"binnll",2,0.285103433042,2
"binnll",3,0.240812948590256,2
"binnll",4,0.274908739292659,2
"binnll",5,0.272728410703647,2
"rps",1,0.0768250726336625,2
"rps",2,0.0799021730361632,2
"rps",3,0.0748024361813827,2
"rps",4,0.0789451146945094,2
"rps",5,0.0762372082959635,2
"cint",1,0.0454301309949963,2
"cint",2,0.0277523713115963,2
"cint",3,0.0273747841879076,2
"cint",4,0.0341297200599069,2
"cint",5,0.0064404534337498,2
"cslope",1,3.02118528821374,2
"cslope",2,3.81959799963135,2
"cslope",3,2.82663086362093,2
"cslope",4,2.74166132255088,2
"cslope",5,2.97262337624893,2
"auc",1,0.960727016647649,2
"auc",2,0.962712806807007,2
"auc",3,0.970248281901202,2
"auc",4,0.957009361436167,2
"auc",5,0.960134716372363,2
"eauc",1,0.0392729833523505,2
"eauc",2,0.0372871931929929,2
"eauc",3,0.0297517180987978,2
"eauc",4,0.0429906385638328,2
"eauc",5,0.0398652836276373,2
"qwk",1,0.82241470483945,2
"qwk",2,0.807252897793864,2
"qwk",3,0.825977757098557,2
"qwk",4,0.834333503283948,2
"qwk",5,0.851134570219164,2
"acc",1,0.359166666666667,3
"acc",2,0.3175,3
"acc",3,0.3395,3
"acc",4,0.280833333333333,3
"acc",5,0.350833333333333,3
"eacc",1,0.640833333333333,3
"eacc",2,0.6825,3
"eacc",3,0.6605,3
"eacc",4,0.719166666666667,3
"eacc",5,0.649166666666667,3
"nll",1,1.57524916994865,3
"nll",2,1.62519004078201,3
"nll",3,1.66351238172738,3
"nll",4,1.72313617023615,3
"nll",5,1.63801993117487,3
"binnll",1,0.258886640330983,3
"binnll",2,0.23814180551419,3
"binnll",3,0.235796002782933,3
"binnll",4,0.284379149411613,3
"binnll",5,0.246059095894127,3
"rps",1,0.0706686423389672,3
"rps",2,0.0760448921163189,3
"rps",3,0.0752543284077918,3
"rps",4,0.0772800321106346,3
"rps",5,0.0747361830131328,3
"cint",1,0.0149142345960319,3
"cint",2,-0.00473660547172432,3
"cint",3,0.0385311884756938,3
