"metric","ens","val","spl"
"acc",1,0.116166666666667,1
"nll",1,2.30053879782034,1
"binnll",1,0.611965335813096,1
"rps",1,0.184310829518571,1
"cint",1,-0.00159044956635225,1
"cslope",1,28.8896090904096,1
"auc",1,0.514035237810066,1
"qwk",1,0,1
"acc",1,0.12,2
"nll",1,2.30089423026297,2
"binnll",1,0.626669776978379,2
"rps",1,0.183621733329481,2
"cint",1,-0.00126296213104304,2
"cslope",1,-10.240872343619,2
"auc",1,0.513026453821851,2
"qwk",1,0,2
"acc",1,0.112833333333333,3
"nll",1,2.30123244564863,3
"binnll",1,0.624580928138441,3
"rps",1,0.185715031838049,3
"cint",1,-0.000418369930162415,3
"cslope",1,-9.36832076100839,3
"auc",1,0.497690959894633,3
"qwk",1,0,3
"acc",1,0.117666666666667,4
"nll",1,2.30096544528448,4
"binnll",1,0.624277650274876,4
"rps",1,0.185263360521656,4
"cint",1,-0.00164574099206027,4
"cslope",1,-14.7689758856101,4
"auc",1,0.50584202288734,4
"qwk",1,0,4
"acc",1,0.1145,5
"nll",1,2.30156001296936,5
"binnll",1,0.618448561904586,5
"rps",1,0.183212821694701,5
"cint",1,-0.000318817146892658,5
"cslope",1,12.4507830872371,5
"auc",1,0.497124909366983,5
"qwk",1,0,5
