"metric","topn","val","method","spl"
"acc",1,0.924166666666667,"linear",1
"binacc",1,0.978833333333333,"linear",1
"eacc",1,0.0758333333333333,"linear",1
"ebinacc",1,0.0211666666666667,"linear",1
"nll",1,0.266246844032782,"linear",1
"binnll",1,0.0732535097599014,"linear",1
"rps",1,0.0218007935209456,"linear",1
"cint",1,0.238548491826237,"linear",1
"cslope",1,1.28015082386784,"linear",1
"brier",1,0.0184139891256173,"linear",1
"auc",1,0.99636946415567,"linear",1
"eauc",1,0.0036305358443296,"linear",1
"qwk",1,0.932163660184722,"linear",1
"eqwk",1,0.0678363398152781,"linear",1
"acc",2,0.932166666666667,"linear",1
"binacc",2,0.979166666666667,"linear",1
"eacc",2,0.0678333333333333,"linear",1
"ebinacc",2,0.0208333333333334,"linear",1
"nll",2,0.255727129067804,"linear",1
"binnll",2,0.0718090576010844,"linear",1
"rps",2,0.0209985045109046,"linear",1
"cint",2,0.217423384088868,"linear",1
"cslope",2,1.34336280100664,"linear",1
"brier",2,0.0176253376037657,"linear",1
"auc",2,0.996874589074409,"linear",1
"eauc",2,0.0031254109255906,"linear",1
"qwk",2,0.934621319648928,"linear",1
"eqwk",2,0.0653786803510716,"linear",1
"acc",3,0.933333333333333,"linear",1
"binacc",3,0.979666666666667,"linear",1
"eacc",3,0.0666666666666667,"linear",1
"ebinacc",3,0.0203333333333333,"linear",1
"nll",3,0.257901867785397,"linear",1
"binnll",3,0.0718473498175584,"linear",1
"rps",3,0.0209091224466549,"linear",1
"cint",3,0.1973725702833,"linear",1
"cslope",3,1.39837874378015,"linear",1
"brier",3,0.0175838131296337,"linear",1
"auc",3,0.997028661416325,"linear",1
"eauc",3,0.00297133858367515,"linear",1
"qwk",3,0.935122040051807,"linear",1
"eqwk",3,0.0648779599481928,"linear",1
"acc",4,0.9315,"linear",1
"binacc",4,0.979833333333333,"linear",1
"eacc",4,0.0685,"linear",1
"ebinacc",4,0.0201666666666667,"linear",1
"nll",4,0.260273830481487,"linear",1
"binnll",4,0.0715283400873989,"linear",1
"rps",4,0.0209423847746529,"linear",1
"cint",4,0.125841372067379,"linear",1
"cslope",4,1.39684939945612,"linear",1
"brier",4,0.0174314405287322,"linear",1
"auc",4,0.997016779230573,"linear",1
"eauc",4,0.00298322076942692,"linear",1
"qwk",4,0.935823042362566,"linear",1
"eqwk",4,0.0641769576374345,"linear",1
"acc",5,0.929166666666667,"linear",1
"binacc",5,0.9785,"linear",1
"eacc",5,0.0708333333333333,"linear",1
"ebinacc",5,0.0215,"linear",1
"nll",5,0.275661039610128,"linear",1
"binnll",5,0.0764711063242691,"linear",1
"rps",5,0.0220020306323217,"linear",1
