"metric","val","method","spl"
"acc",0.92491618386845,"avgl",1
"binacc",0.978671631790121,"avgl",1
"eacc",0.0750838161315498,"avgl",1
"ebinacc",0.0213283682098787,"avgl",1
"nll",0.265946932454436,"avgl",1
"binnll",0.0738822918450928,"avgl",1
"rps",0.0219259903167371,"avgl",1
"cint",0.225264405561429,"avgl",1
"cslope",1.27727162264331,"avgl",1
"brier",0.0184831020307854,"avgl",1
"auc",0.996323209319017,"avgl",1
"eauc",0.00367679068098281,"avgl",1
"qwk",0.931506048878855,"avgl",1
"eqwk",0.0684939511211453,"avgl",1
"acc",0.929089915497956,"avgl",2
"binacc",0.978138027552161,"avgl",2
"eacc",0.0709100845020437,"avgl",2
"ebinacc",0.0218619724478393,"avgl",2
"nll",0.262850370647947,"avgl",2
"binnll",0.0739562699476397,"avgl",2
"rps",0.020803509023682,"avgl",2
"cint",0.0713621163197416,"avgl",2
"cslope",1.29392368711426,"avgl",2
"brier",0.0184172865064327,"avgl",2
"auc",0.996074465414818,"avgl",2
"eauc",0.0039255345851823,"avgl",2
"qwk",0.939681568673957,"avgl",2
"eqwk",0.0603184313260425,"avgl",2
"acc",0.933903959685491,"avgl",3
"binacc",0.977073013236561,"avgl",3
"eacc",0.066096040314509,"avgl",3
"ebinacc",0.0229269867634387,"avgl",3
"nll",0.246340239907674,"avgl",3
"binnll",0.0746127420207461,"avgl",3
"rps",0.0206601354726554,"avgl",3
"cint",0.097657724678053,"avgl",3
"cslope",1.33269462053433,"avgl",3
"brier",0.0187066807073009,"avgl",3
"auc",0.996077293738572,"avgl",3
"eauc",0.00392270626142777,"avgl",3
"qwk",0.937323990147931,"avgl",3
"eqwk",0.0626760098520692,"avgl",3
"acc",0.926493120906052,"avgl",4
"binacc",0.974959724836242,"avgl",4
"eacc",0.0735068790939482,"avgl",4
"ebinacc",0.0250402751637578,"avgl",4
"nll",0.26651713432493,"avgl",4
"binnll",0.0731727283562968,"avgl",4
"rps",0.0214297587068943,"avgl",4
"cint",0.0631396418054619,"avgl",4
"cslope",1.27682255184289,"avgl",4
"brier",0.0188475828858196,"avgl",4
"auc",0.996311947027773,"avgl",4
"eauc",0.00368805297222718,"avgl",4
"qwk",0.932409387097611,"avgl",4
"eqwk",0.0675906129023891,"avgl",4
"acc",0.930310160687881,"avgl",5
"binacc",0.979109749742065,"avgl",5
"eacc",0.0696898393121187,"avgl",5
"ebinacc",0.020890250257935,"avgl",5
"nll",0.247649163010732,"avgl",5
"binnll",0.0664163196465969,"avgl",5
"rps",0.0193114283133649,"avgl",5
"cint",0.129982289633321,"avgl",5
"cslope",1.31506501667429,"avgl",5
"brier",0.016570439105415,"avgl",5
"auc",0.997321888644971,"avgl",5
"eauc",0.00267811135502882,"avgl",5
"qwk",0.944248177637201,"avgl",5
"eqwk",0.0557518223627994,"avgl",5
"acc",0.931105034885336,"avgl",6
"binacc",0.977640512941244,"avgl",6
"eacc",0.0688949651146636,"avgl",6
"ebinacc",0.0223594870587562,"avgl",6
"nll",0.245711477351927,"avgl",6
"binnll",0.0691767623754861,"avgl",6
"rps",0.0196951427131687,"avgl",6
"cint",0.118537245710564,"avgl",6
"cslope",1.35867525372744,"avgl",6
"brier",0.0174537384346714,"avgl",6
"auc",0.996954347551115,"avgl",6
"eauc",0.00304565244888466,"avgl",6
"qwk",0.939581641544898,"avgl",6
"eqwk",0.0604183584551024,"avgl",6
"acc",0.92489421527297,"avgll",1
"binacc",0.978647000772836,"avgll",1
"eacc",0.0751057847270299,"avgll",1
"ebinacc",0.0213529992271637,"avgll",1
"nll",0.266083073825157,"avgll",1
"binnll",0.0738923167874145,"avgll",1
"rps",0.0219329435512057,"avgll",1
"cint",0.224941078824604,"avgll",1
"cslope",1.27773975170791,"avgll",1
"brier",0.0184892657885324,"avgll",1
"auc",0.996325094090831,"avgll",1
"eauc",0.0036749059091693,"avgll",1
"qwk",0.931474710615625,"avgll",1
"eqwk",0.0685252893843753,"avgll",1
"acc",0.928807379055985,"avgll",2
"binacc",0.977956668517045,"avgll",2
"eacc",0.0711926209440151,"avgll",2
"ebinacc",0.0220433314829548,"avgll",2
"nll",0.263356746155988,"avgll",2
"binnll",0.0741937076823767,"avgll",2
"rps",0.0208474381127666,"avgll",2
"cint",0.0680269662581461,"avgll",2
"cslope",1.29261666825846,"avgll",2
"brier",0.0185055574669581,"avgll",2
"auc",0.996044515329093,"avgll",2
"eauc",0.00395548467090745,"avgll",2
"qwk",0.939422263697242,"avgll",2
"eqwk",0.0605777363027575,"avgll",2
"acc",0.932983350490552,"avgll",3
"binacc",0.976831814142378,"avgll",3
"eacc",0.0670166495094484,"avgll",3
"ebinacc",0.0231681858576216,"avgll",3
"nll",0.248533484167637,"avgll",3
"binnll",0.075192145121016,"avgll",3
"rps",0.0207882083483307,"avgll",3
"cint",0.0920113820780589,"avgll",3
"cslope",1.33476329617551,"avgll",3
"brier",0.0188730428319584,"avgll",3
"auc",0.996009541649899,"avgll",3
"eauc",0.00399045835010126,"avgll",3
"qwk",0.936940299598811,"avgll",3
"eqwk",0.0630597004011894,"avgll",3
"acc",0.926406498005496,"avgll",4
"binacc",0.97495625992022,"avgll",4
"eacc",0.073593501994504,"avgll",4
"ebinacc",0.0250437400797803,"avgll",4
"nll",0.266943222009483,"avgll",4
"binnll",0.0732458821260432,"avgll",4
"rps",0.0214636543010116,"avgll",4
"cint",0.0637369611295253,"avgll",4
"cslope",1.27585803802945,"avgll",4
"brier",0.0188740198502459,"avgll",4
"auc",0.996304613923018,"avgll",4
"eauc",0.00369538607698239,"avgll",4
"qwk",0.932395397074819,"avgll",4
"eqwk",0.0676046029251814,"avgll",4
"acc",0.930187210855425,"avgll",5
"binacc",0.979010173454171,"avgll",5
"eacc",0.069812789144575,"avgll",5
"ebinacc",0.0209898265458289,"avgll",5
"nll",0.248149705592024,"avgll",5
"binnll",0.0665923275233601,"avgll",5
"rps",0.019390088164506,"avgll",5
"cint",0.127594345793301,"avgll",5
"cslope",1.31588082639165,"avgll",5
"brier",0.0166377921031502,"avgll",5
"auc",0.997315769769062,"avgll",5
"eauc",0.00268423023093756,"avgll",5
"qwk",0.943991108353068,"avgll",5
"eqwk",0.056008891646932,"avgll",5
"acc",0.930872307580574,"avgll",6
"binacc",0.977511527620581,"avgll",6
"eacc",0.0691276924194256,"avgll",6
"ebinacc",0.0224884723794191,"avgll",6
"nll",0.246883924292512,"avgll",6
"binnll",0.0695160413683923,"avgll",6
"rps",0.019776895567142,"avgll",6
"cint",0.138713794263699,"avgll",6
"cslope",1.35786847134299,"avgll",6
"brier",0.0175337976641281,"avgll",6
"auc",0.996943989121712,"avgll",6
"eauc",0.00305601087828811,"avgll",6
"qwk",0.939225037855885,"avgll",6
"eqwk",0.0607749621441154,"avgll",6
"acc",0.924892988852018,"avgtrf",1
"binacc",0.978593122763214,"avgtrf",1
"eacc",0.0751070111479819,"avgtrf",1
"ebinacc",0.0214068772367861,"avgtrf",1
"nll",0.266318327225214,"avgtrf",1
"binnll",0.0739437423238266,"avgtrf",1
"rps",0.0219523210920923,"avgtrf",1
"cint",0.223649024052633,"avgtrf",1
"cslope",1.27845185915495,"avgtrf",1
"brier",0.0185042494495182,"avgtrf",1
"auc",0.996326145002714,"avgtrf",1
"eauc",0.00367385499728645,"avgtrf",1
"qwk",0.931382484904799,"avgtrf",1
"eqwk",0.0686175150952012,"avgtrf",1
"acc",0.928367369757036,"avgtrf",2
"binacc",0.977628910552298,"avgtrf",2
"eacc",0.0716326302429635,"avgtrf",2
"ebinacc",0.0223710894477022,"avgtrf",2
"nll",0.264112907028407,"avgtrf",2
"binnll",0.0745681118896328,"avgtrf",2
"rps",0.0209061413298429,"avgtrf",2
"cint",0.0594958969495217,"avgtrf",2
"cslope",1.29015422501118,"avgtrf",2
"brier",0.0186431856381855,"avgtrf",2
"auc",0.995994196329388,"avgtrf",2
"eauc",0.0040058036706121,"avgtrf",2
"qwk",0.938994214037722,"avgtrf",2
"eqwk",0.0610057859622777,"avgtrf",2
"acc",0.932110493428005,"avgtrf",3
"binacc",0.976592932159128,"avgtrf",3
"eacc",0.0678895065719953,"avgtrf",3
"ebinacc",0.0234070678408718,"avgtrf",3
"nll",0.250666520520386,"avgtrf",3
"binnll",0.0757131531828378,"avgtrf",3
"rps",0.0209166665052507,"avgtrf",3
"cint",0.0863086129721298,"avgtrf",3
"cslope",1.33624542771311,"avgtrf",3
"brier",0.0190279978227853,"avgtrf",3
"auc",0.99594245436732,"avgtrf",3
"eauc",0.0040575456326799,"avgtrf",3
"qwk",0.936600108905528,"avgtrf",3
"eqwk",0.0633998910944716,"avgtrf",3
"acc",0.926311891864843,"avgtrf",4
"binacc",0.974952475674594,"avgtrf",4
"eacc",0.0736881081351575,"avgtrf",4
"ebinacc",0.0250475243254062,"avgtrf",4
"nll",0.267408578296988,"avgtrf",4
"binnll",0.0733257778093508,"avgtrf",4
"rps",0.0215006737418758,"avgtrf",4
"cint",0.0643893299098941,"avgtrf",4
"cslope",1.27480463380363,"avgtrf",4
"brier",0.018902893267771,"avgtrf",4
"auc",0.996296604993099,"avgtrf",4
"eauc",0.00370339500690076,"avgtrf",4
"qwk",0.932380117719642,"avgtrf",4
"eqwk",0.067619882280358,"avgtrf",4
"acc",0.929187942549091,"avgtrf",5
"binacc",0.978751535638705,"avgtrf",5
"eacc",0.0708120574509092,"avgtrf",5
"ebinacc",0.0212484643612953,"avgtrf",5
"nll",0.251515611700837,"avgtrf",5
"binnll",0.0673194443959446,"avgtrf",5
"rps",0.0197545873196397,"avgtrf",5
"cint",0.107650874555722,"avgtrf",5
"cslope",1.31788300115057,"avgtrf",5
"brier",0.0168820259491519,"avgtrf",5
"auc",0.997249360877489,"avgtrf",5
"eauc",0.00275063912251072,"avgtrf",5
"qwk",0.942773188916493,"avgtrf",5
"eqwk",0.0572268110835075,"avgtrf",5
"acc",0.930928597652817,"avgtrf",6
"binacc",0.977599585964401,"avgtrf",6
"eacc",0.0690714023471835,"avgtrf",6
"ebinacc",0.0224004140355992,"avgtrf",6
"nll",0.2464352332996,"avgtrf",6
"binnll",0.0693340197754487,"avgtrf",6
"rps",0.0197439962171785,"avgtrf",6
"cint",0.129049738303881,"avgtrf",6
"cslope",1.35799050356696,"avgtrf",6
"brier",0.0174854735778824,"avgtrf",6
"auc",0.996949860899057,"avgtrf",6
"eauc",0.00305013910094265,"avgtrf",6
"qwk",0.939367987969244,"avgtrf",6
"eqwk",0.0606320120307562,"avgtrf",6
"acc",0.932,"linear",1
"binacc",0.979333333333333,"linear",1
"eacc",0.0679999999999999,"linear",1
"ebinacc",0.0206666666666667,"linear",1
"nll",0.256073785970096,"linear",1
"binnll",0.071709730150671,"linear",1
