"metric","topn","val","method","spl"
"acc",1,0.894,"linear",1
"binacc",1,0.973166666666667,"linear",1
"eacc",1,0.106,"linear",1
"ebinacc",1,0.0268333333333334,"linear",1
"nll",1,0.449870788635551,"linear",1
"binnll",1,0.095272044578492,"linear",1
"rps",1,0.0250251161502008,"linear",1
"cint",1,0.121740276614126,"linear",1
"cslope",1,1.45981975172992,"linear",1
"brier",1,0.0235448093325637,"linear",1
"auc",1,0.994218788534589,"linear",1
"eauc",1,0.00578121146541144,"linear",1
"qwk",1,0.945746101805328,"linear",1
"eqwk",1,0.054253898194672,"linear",1
"acc",2,0.9,"linear",1
"binacc",2,0.972833333333333,"linear",1
"eacc",2,0.1,"linear",1
"ebinacc",2,0.0271666666666667,"linear",1
"nll",2,0.445022833566736,"linear",1
"binnll",2,0.0976408254347561,"linear",1
"rps",2,0.0251244556902262,"linear",1
"cint",2,0.0684430107507941,"linear",1
"cslope",2,1.50970328374085,"linear",1
"brier",2,0.0239709106732734,"linear",1
"auc",2,0.994158981532971,"linear",1
"eauc",2,0.005841018467029,"linear",1
"qwk",2,0.945536785722477,"linear",1
"eqwk",2,0.0544632142775231,"linear",1
"acc",3,0.8975,"linear",1
"binacc",3,0.9715,"linear",1
"eacc",3,0.1025,"linear",1
"ebinacc",3,0.0285,"linear",1
"nll",3,0.455182030996947,"linear",1
"binnll",3,0.100731170251094,"linear",1
"rps",3,0.0256381949793465,"linear",1
"cint",3,0.0980876517434393,"linear",1
"cslope",3,1.52615397046842,"linear",1
"brier",3,0.024930125599064,"linear",1
"auc",3,0.993982068989555,"linear",1
"eauc",3,0.00601793101044523,"linear",1
"qwk",3,0.945294254371457,"linear",1
"eqwk",3,0.0547057456285429,"linear",1
"acc",4,0.897833333333333,"linear",1
"binacc",4,0.9705,"linear",1
"eacc",4,0.102166666666667,"linear",1
"ebinacc",4,0.0295,"linear",1
"nll",4,0.458944614470701,"linear",1
"binnll",4,0.10113013560137,"linear",1
"rps",4,0.0257855143434577,"linear",1
"cint",4,0.0799229979825141,"linear",1
"cslope",4,1.53651566973029,"linear",1
"brier",4,0.0250891847008123,"linear",1
"auc",4,0.993933484052258,"linear",1
"eauc",4,0.00606651594774155,"linear",1
"qwk",4,0.944683190478893,"linear",1
"eqwk",4,0.0553168095211066,"linear",1
"acc",5,0.895166666666667,"linear",1
"binacc",5,0.968333333333333,"linear",1
"eacc",5,0.104833333333333,"linear",1
"ebinacc",5,0.0316666666666666,"linear",1
"nll",5,0.48610140257267,"linear",1
"binnll",5,0.105470502044577,"linear",1
"rps",5,0.0271576654791626,"linear",1
"cint",5,0.0631961258686863,"linear",1
"cslope",5,1.57269046893446,"linear",1
"brier",5,0.0261854270016221,"linear",1
"auc",5,0.993604743579791,"linear",1
"eauc",5,0.00639525642020899,"linear",1
"qwk",5,0.943547430755808,"linear",1
"eqwk",5,0.0564525692441922,"linear",1
"acc",1,0.894,"log-linear",1
"binacc",1,0.973166666666667,"log-linear",1
"eacc",1,0.106,"log-linear",1
"ebinacc",1,0.0268333333333334,"log-linear",1
"nll",1,0.449870788635551,"log-linear",1
"binnll",1,0.095272044578492,"log-linear",1
"rps",1,0.0250251161502008,"log-linear",1
"cint",1,0.121740276614126,"log-linear",1
"cslope",1,1.45981975172992,"log-linear",1
"brier",1,0.0235448093325637,"log-linear",1
"auc",1,0.994218788534589,"log-linear",1
"eauc",1,0.00578121146541144,"log-linear",1
"qwk",1,0.945746101805328,"log-linear",1
"eqwk",1,0.054253898194672,"log-linear",1
"acc",2,0.899,"log-linear",1
"binacc",2,0.972166666666667,"log-linear",1
"eacc",2,0.101,"log-linear",1
"ebinacc",2,0.0278333333333334,"log-linear",1
"nll",2,0.444233542641094,"log-linear",1
"binnll",2,0.0972983817645541,"log-linear",1
"rps",2,0.0251126635972128,"log-linear",1
"cint",2,0.0354033466910055,"log-linear",1
"cslope",2,1.49125613536983,"log-linear",1
"brier",2,0.0239971003131548,"log-linear",1
"auc",2,0.994056398662647,"log-linear",1
"eauc",2,0.00594360133735317,"log-linear",1
"qwk",2,0.945949970810303,"log-linear",1
"eqwk",2,0.0540500291896974,"log-linear",1
"acc",3,0.897333333333333,"log-linear",1
"binacc",3,0.971,"log-linear",1
"eacc",3,0.102666666666667,"log-linear",1
"ebinacc",3,0.029,"log-linear",1
"nll",3,0.453537550563431,"log-linear",1
"binnll",3,0.0999974582737356,"log-linear",1
"rps",3,0.0255444704246575,"log-linear",1
"cint",3,0.0592502815781897,"log-linear",1
"cslope",3,1.50522684122905,"log-linear",1
"brier",3,0.0248185520988437,"log-linear",1
"auc",3,0.993863775229181,"log-linear",1
"eauc",3,0.00613622477081899,"log-linear",1
"qwk",3,0.945140302736946,"log-linear",1
"eqwk",3,0.054859697263054,"log-linear",1
"acc",4,0.897833333333333,"log-linear",1
"binacc",4,0.969833333333333,"log-linear",1
"eacc",4,0.102166666666667,"log-linear",1
"ebinacc",4,0.0301666666666667,"log-linear",1
"nll",4,0.457111131159318,"log-linear",1
"binnll",4,0.100204509749193,"log-linear",1
"rps",4,0.0256994802250224,"log-linear",1
"cint",4,0.0313348375228382,"log-linear",1
"cslope",4,1.51045543521746,"log-linear",1
"brier",4,0.0249467867121904,"log-linear",1
"auc",4,0.993803836203277,"log-linear",1
"eauc",4,0.00619616379672272,"log-linear",1
"qwk",4,0.945005523840462,"log-linear",1
"eqwk",4,0.0549944761595378,"log-linear",1
"acc",5,0.894333333333333,"log-linear",1
"binacc",5,0.9685,"log-linear",1
"eacc",5,0.105666666666667,"log-linear",1
"ebinacc",5,0.0315,"log-linear",1
"nll",5,0.48263633745262,"log-linear",1
"binnll",5,0.104049872608054,"log-linear",1
"rps",5,0.0270126425587998,"log-linear",1
"cint",5,0.00428272861292899,"log-linear",1
"cslope",5,1.54220210471416,"log-linear",1
"brier",5,0.0259695676353169,"log-linear",1
"auc",5,0.993521436255242,"log-linear",1
"eauc",5,0.00647856374475797,"log-linear",1
"qwk",5,0.943858168978084,"log-linear",1
"eqwk",5,0.0561418310219161,"log-linear",1
"acc",1,0.894,"trafo",1
"binacc",1,0.973166666666667,"trafo",1
"eacc",1,0.106,"trafo",1
"ebinacc",1,0.0268333333333334,"trafo",1
"nll",1,0.449870788635543,"trafo",1
"binnll",1,0.095272044578492,"trafo",1
"rps",1,0.0250251161502008,"trafo",1
"cint",1,0.121740276614126,"trafo",1
"cslope",1,1.45981975172993,"trafo",1
"brier",1,0.0235448093325637,"trafo",1
"auc",1,0.994218788534589,"trafo",1
"eauc",1,0.00578121146541144,"trafo",1
"qwk",1,0.945746101805328,"trafo",1
"eqwk",1,0.054253898194672,"trafo",1
"acc",2,0.898833333333333,"trafo",1
"binacc",2,0.972833333333333,"trafo",1
"eacc",2,0.101166666666667,"trafo",1
"ebinacc",2,0.0271666666666667,"trafo",1
"nll",2,0.442645548039432,"trafo",1
"binnll",2,0.0965969058220836,"trafo",1
"rps",2,0.0249340191520273,"trafo",1
"cint",2,0.0713730363503532,"trafo",1
"cslope",2,1.47419699046282,"trafo",1
"brier",2,0.0237997454723614,"trafo",1
"auc",2,0.994096402021345,"trafo",1
"eauc",2,0.00590359797865536,"trafo",1
"qwk",2,0.945943714141631,"trafo",1
"eqwk",2,0.0540562858583686,"trafo",1
"acc",3,0.896333333333333,"trafo",1
"binacc",3,0.9715,"trafo",1
"eacc",3,0.103666666666667,"trafo",1
"ebinacc",3,0.0285,"trafo",1
"nll",3,0.452439923532009,"trafo",1
"binnll",3,0.0994359255021911,"trafo",1
"rps",3,0.0254341791715603,"trafo",1
"cint",3,0.105095621149931,"trafo",1
"cslope",3,1.47903707163702,"trafo",1
"brier",3,0.0247091342240359,"trafo",1
"auc",3,0.993878165876369,"trafo",1
"eauc",3,0.00612183412363065,"trafo",1
"qwk",3,0.945249903287433,"trafo",1
"eqwk",3,0.0547500967125673,"trafo",1
"acc",4,0.895666666666667,"trafo",1
"binacc",4,0.9705,"trafo",1
"eacc",4,0.104333333333333,"trafo",1
"ebinacc",4,0.0295,"trafo",1
"nll",4,0.455079033902416,"trafo",1
"binnll",4,0.0995687508273781,"trafo",1
"rps",4,0.0255364646084498,"trafo",1
"cint",4,0.0859160847864598,"trafo",1
"cslope",4,1.479285703155,"trafo",1
"brier",4,0.0248350090193019,"trafo",1
"auc",4,0.993812021709018,"trafo",1
"eauc",4,0.0061879782909825,"trafo",1
"qwk",4,0.944511146912279,"trafo",1
"eqwk",4,0.0554888530877213,"trafo",1
"acc",5,0.892833333333333,"trafo",1
"binacc",5,0.968166666666667,"trafo",1
"eacc",5,0.107166666666667,"trafo",1
"ebinacc",5,0.0318333333333334,"trafo",1
"nll",5,0.477814996182215,"trafo",1
"binnll",5,0.103244940608452,"trafo",1
