"metric","val","method","spl"
"acc",0.893060702299442,"avgl",1
"binacc",0.972315777476305,"avgl",1
"eacc",0.106939297700558,"avgl",1
"ebinacc",0.0276842225236946,"avgl",1
"nll",0.451738196155522,"avgl",1
"binnll",0.0968386140099553,"avgl",1
"rps",0.0253761636830266,"avgl",1
"cint",0.101371421991032,"avgl",1
"cslope",1.45652780268439,"avgl",1
"brier",0.0239857876307076,"avgl",1
"auc",0.993984454910952,"avgl",1
"eauc",0.00601554508904834,"avgl",1
"qwk",0.944318555937087,"avgl",1
"eqwk",0.0556814440629129,"avgl",1
"acc",0.898153800292652,"avgl",2
"binacc",0.968551418272032,"avgl",2
"eacc",0.101846199707348,"avgl",2
"ebinacc",0.0314485817279684,"avgl",2
"nll",0.450158290190604,"avgl",2
"binnll",0.102885609285283,"avgl",2
"rps",0.0247123571418742,"avgl",2
"cint",0.0601725160236219,"avgl",2
"cslope",1.48148315025682,"avgl",2
"brier",0.0260095818252825,"avgl",2
"auc",0.992330902027362,"avgl",2
"eauc",0.00766909797263848,"avgl",2
"qwk",0.947250046507177,"avgl",2
"eqwk",0.0527499534928231,"avgl",2
"acc",0.895948631261536,"avgl",3
"binacc",0.970333379589345,"avgl",3
"eacc",0.104051368738464,"avgl",3
"ebinacc",0.0296666204106546,"avgl",3
"nll",0.430118818806716,"avgl",3
"binnll",0.102844276535191,"avgl",3
"rps",0.024899551341526,"avgl",3
"cint",0.144541534345993,"avgl",3
"cslope",1.52254566146032,"avgl",3
"brier",0.0253241365967926,"avgl",3
"auc",0.994105674068071,"avgl",3
"eauc",0.00589432593192851,"avgl",3
"qwk",0.946812684329487,"avgl",3
"eqwk",0.0531873156705129,"avgl",3
"acc",0.890050786937673,"avgl",4
"binacc",0.969028502001124,"avgl",4
"eacc",0.109949213062327,"avgl",4
"ebinacc",0.0309714979988761,"avgl",4
"nll",0.451289821508578,"avgl",4
"binnll",0.0988159186448471,"avgl",4
"rps",0.0257743694059716,"avgl",4
"cint",0.107407353693043,"avgl",4
"cslope",1.44884703669444,"avgl",4
"brier",0.0249317387481996,"avgl",4
"auc",0.993653688220129,"avgl",4
"eauc",0.00634631177987111,"avgl",4
"qwk",0.939116643977911,"avgl",4
"eqwk",0.0608833560220894,"avgl",4
"acc",0.887281221342427,"avgl",5
"binacc",0.968143260701019,"avgl",5
"eacc",0.112718778657573,"avgl",5
"ebinacc",0.0318567392989811,"avgl",5
"nll",0.461244367808622,"avgl",5
"binnll",0.110355287381969,"avgl",5
"rps",0.0258881276831352,"avgl",5
"cint",0.0390376115316699,"avgl",5
"cslope",1.50626093663382,"avgl",5
"brier",0.0278454552608508,"avgl",5
"auc",0.992887056592428,"avgl",5
"eauc",0.00711294340757196,"avgl",5
"qwk",0.943704149461939,"avgl",5
"eqwk",0.0562958505380605,"avgl",5
"acc",0.891113231293943,"avgl",6
"binacc",0.971137635434941,"avgl",6
"eacc",0.108886768706057,"avgl",6
"ebinacc",0.0288623645650593,"avgl",6
"nll",0.440188935464697,"avgl",6
"binnll",0.101199253006836,"avgl",6
"rps",0.0249643571256355,"avgl",6
"cint",-0.0238937941577665,"avgl",6
"cslope",1.4988164288108,"avgl",6
"brier",0.0247404964936243,"avgl",6
"auc",0.994157116367834,"avgl",6
"eauc",0.00584288363216623,"avgl",6
"qwk",0.944988077638758,"avgl",6
"eqwk",0.0550119223612424,"avgl",6
"acc",0.892854090109983,"avgll",1
"binacc",0.972302258520478,"avgll",1
"eacc",0.107145909890017,"avgll",1
"ebinacc",0.0276977414795218,"avgll",1
"nll",0.452356024343057,"avgll",1
"binnll",0.0968161573260136,"avgll",1
"rps",0.0253838929113961,"avgll",1
"cint",0.10253996868153,"avgll",1
"cslope",1.45634889150545,"avgll",1
"brier",0.0239909507249509,"avgll",1
"auc",0.993986948616351,"avgll",1
"eauc",0.00601305138364927,"avgll",1
"qwk",0.94424990354589,"avgll",1
"eqwk",0.0557500964541103,"avgll",1
"acc",0.897876035603653,"avgll",2
"binacc",0.968537619436054,"avgll",2
"eacc",0.102123964396347,"avgll",2
"ebinacc",0.0314623805639456,"avgll",2
"nll",0.450551573893288,"avgll",2
"binnll",0.102965021201038,"avgll",2
"rps",0.024749083738192,"avgll",2
"cint",0.0599590380278763,"avgll",2
"cslope",1.48110265260032,"avgll",2
"brier",0.0260199395520329,"avgll",2
"auc",0.992332154505121,"avgll",2
"eauc",0.00766784549487887,"avgll",2
"qwk",0.94704516568756,"avgll",2
"eqwk",0.0529548343124403,"avgll",2
"acc",0.895680683820381,"avgll",3
"binacc",0.970276681268977,"avgll",3
"eacc",0.104319316179619,"avgll",3
"ebinacc",0.0297233187310233,"avgll",3
"nll",0.431347081084583,"avgll",3
"binnll",0.102701172639239,"avgll",3
"rps",0.0249993942694143,"avgll",3
"cint",0.153489146979196,"avgll",3
"cslope",1.52228143558388,"avgll",3
"brier",0.0252876645572084,"avgll",3
"auc",0.994121862635538,"avgll",3
"eauc",0.00587813736446163,"avgll",3
"qwk",0.946488753142849,"avgll",3
"eqwk",0.0535112468571513,"avgll",3
"acc",0.889954440749502,"avgll",4
"binacc",0.969048473061909,"avgll",4
"eacc",0.110045559250498,"avgll",4
"ebinacc",0.0309515269380914,"avgll",4
"nll",0.451776819789499,"avgll",4
"binnll",0.0988290407767378,"avgll",4
"rps",0.0257747542705042,"avgll",4
"cint",0.109597510672723,"avgll",4
"cslope",1.44974012254578,"avgll",4
"brier",0.0249408314505658,"avgll",4
"auc",0.993664302745288,"avgll",4
"eauc",0.00633569725471184,"avgll",4
"qwk",0.939174124744135,"avgll",4
"eqwk",0.0608258752558652,"avgll",4
"acc",0.887290363002744,"avgll",5
"binacc",0.968181571073568,"avgll",5
"eacc",0.112709636997256,"avgll",5
"ebinacc",0.0318184289264319,"avgll",5
"nll",0.46118986609097,"avgll",5
"binnll",0.110460403591531,"avgll",5
"rps",0.0258935006580567,"avgll",5
"cint",0.0389305581714916,"avgll",5
"cslope",1.50636325840165,"avgll",5
"brier",0.0278787941149425,"avgll",5
"auc",0.992891021063017,"avgll",5
"eauc",0.00710897893698326,"avgll",5
"qwk",0.943766355225404,"avgll",5
"eqwk",0.0562336447745965,"avgll",5
"acc",0.89089817422798,"avgll",6
"binacc",0.971084507038924,"avgll",6
"eacc",0.10910182577202,"avgll",6
"ebinacc",0.0289154929610757,"avgll",6
"nll",0.441196280796515,"avgll",6
"binnll",0.100972272537341,"avgll",6
"rps",0.0250442935496365,"avgll",6
"cint",-0.010825774492311,"avgll",6
"cslope",1.49743932796206,"avgll",6
"brier",0.024719014090346,"avgll",6
"auc",0.994142836202822,"avgll",6
"eauc",0.00585716379717849,"avgll",6
"qwk",0.944737796678136,"avgll",6
"eqwk",0.0552622033218643,"avgll",6
"acc",0.891938705928119,"avgtrf",1
"binacc",0.971798596137706,"avgtrf",1
"eacc",0.108061294071881,"avgtrf",1
"ebinacc",0.0282014038622942,"avgtrf",1
"nll",0.454564108504199,"avgtrf",1
"binnll",0.0976546803822982,"avgtrf",1
"rps",0.0255957209281786,"avgtrf",1
"cint",0.0932807551806062,"avgtrf",1
"cslope",1.45416293109865,"avgtrf",1
"brier",0.0242485209756734,"avgtrf",1
"auc",0.993859896425333,"avgtrf",1
"eauc",0.00614010357466666,"avgtrf",1
"qwk",0.943318713359412,"avgtrf",1
"eqwk",0.0566812866405877,"avgtrf",1
"acc",0.896544133967046,"avgtrf",2
"binacc",0.968459078467672,"avgtrf",2
"eacc",0.103455866032954,"avgtrf",2
"ebinacc",0.0315409215323285,"avgtrf",2
"nll",0.452579766131325,"avgtrf",2
"binnll",0.103402196555471,"avgtrf",2
"rps",0.024913988905907,"avgtrf",2
"cint",0.05645789598074,"avgtrf",2
"cslope",1.47827620018251,"avgtrf",2
"brier",0.0261086621674384,"avgtrf",2
"auc",0.992318357381713,"avgtrf",2
"eauc",0.00768164261828708,"avgtrf",2
"qwk",0.94623882112755,"avgtrf",2
"eqwk",0.0537611788724505,"avgtrf",2
"acc",0.895285367220797,"avgtrf",3
"binacc",0.970088966860592,"avgtrf",3
"eacc",0.104714632779203,"avgtrf",3
"ebinacc",0.0299110331394081,"avgtrf",3
"nll",0.431970017179444,"avgtrf",3
"binnll",0.103231107147603,"avgtrf",3
"rps",0.0250397988538567,"avgtrf",3
"cint",0.146809292218969,"avgtrf",3
"cslope",1.52156251343563,"avgtrf",3
"brier",0.0254550840401109,"avgtrf",3
"auc",0.994008669657511,"avgtrf",3
"eauc",0.00599133034248922,"avgtrf",3
"qwk",0.946237782592604,"avgtrf",3
"eqwk",0.0537622174073963,"avgtrf",3
"acc",0.890203104864618,"avgtrf",4
"binacc",0.96901647607125,"avgtrf",4
"eacc",0.109796895135382,"avgtrf",4
"ebinacc",0.0309835239287503,"avgtrf",4
"nll",0.451800690640339,"avgtrf",4
"binnll",0.0990645231763334,"avgtrf",4
"rps",0.0257974647768336,"avgtrf",4
"cint",0.106407549987658,"avgtrf",4
"cslope",1.45038596486337,"avgtrf",4
"brier",0.0249882512294718,"avgtrf",4
"auc",0.993628833220231,"avgtrf",4
"eauc",0.00637116677976868,"avgtrf",4
"qwk",0.939218554854184,"avgtrf",4
"eqwk",0.0607814451458157,"avgtrf",4
"acc",0.887004438125577,"avgtrf",5
"binacc",0.967800482857976,"avgtrf",5
"eacc",0.112995561874423,"avgtrf",5
"ebinacc",0.0321995171420244,"avgtrf",5
"nll",0.462692310097471,"avgtrf",5
"binnll",0.110556009336406,"avgtrf",5
"rps",0.0260888455724462,"avgtrf",5
"cint",0.0367942766227698,"avgtrf",5
"cslope",1.50003542600186,"avgtrf",5
"brier",0.0279887222910483,"avgtrf",5
"auc",0.992813256695062,"avgtrf",5
"eauc",0.00718674330493752,"avgtrf",5
"qwk",0.943123392410213,"avgtrf",5
"eqwk",0.0568766075897871,"avgtrf",5
"acc",0.891098355753569,"avgtrf",6
"binacc",0.971140319411992,"avgtrf",6
"eacc",0.108901644246431,"avgtrf",6
"ebinacc",0.028859680588008,"avgtrf",6
"nll",0.44024732439216,"avgtrf",6
"binnll",0.101196075332359,"avgtrf",6
"rps",0.0249656227358992,"avgtrf",6
"cint",-0.0236190800180848,"avgtrf",6
"cslope",1.49885004902489,"avgtrf",6
"brier",0.0247387226661013,"avgtrf",6
"auc",0.99415814733322,"avgtrf",6
"eauc",0.00584185266678017,"avgtrf",6
"qwk",0.944993824868564,"avgtrf",6
"eqwk",0.0550061751314359,"avgtrf",6
"acc",0.898833333333333,"linear",1
"binacc",0.973666666666667,"linear",1
"eacc",0.101166666666667,"linear",1
"ebinacc",0.0263333333333333,"linear",1
"nll",0.445583314649462,"linear",1
"binnll",0.0959167904562397,"linear",1
"rps",0.0248830765482061,"linear",1
"cint",0.0990077617159551,"linear",1
"cslope",1.49390309246293,"linear",1
"brier",0.0235610419485588,"linear",1
"auc",0.994280443876212,"linear",1
"eauc",0.00571955612378805,"linear",1
"qwk",0.946423181239799,"linear",1
"eqwk",0.0535768187602008,"linear",1
"acc",0.902833333333333,"linear",2
"binacc",0.968833333333333,"linear",2
"eacc",0.0971666666666666,"linear",2
"ebinacc",0.0311666666666667,"linear",2
"nll",0.440026684924623,"linear",2
"binnll",0.101642015925977,"linear",2
"rps",0.024162086648004,"linear",2
"cint",0.0586275240272498,"linear",2
"cslope",1.52774203310243,"linear",2
"brier",0.025578429315154,"linear",2
"auc",0.992730906716412,"linear",2
"eauc",0.00726909328358827,"linear",2
"qwk",0.948230649887288,"linear",2
"eqwk",0.0517693501127116,"linear",2
"acc",0.903666666666667,"linear",3
"binacc",0.97,"linear",3
"eacc",0.0963333333333334,"linear",3
"ebinacc",0.03,"linear",3
"nll",0.418276941810406,"linear",3
"binnll",0.100828077016475,"linear",3
"rps",0.0241008058157177,"linear",3
"cint",0.140984301144083,"linear",3
"cslope",1.59093702069289,"linear",3
"brier",0.0243683019821977,"linear",3
"auc",0.994795307460705,"linear",3
"eauc",0.00520469253929479,"linear",3
"qwk",0.950300762179897,"linear",3
"eqwk",0.0496992378201028,"linear",3
"acc",0.8955,"linear",4
"binacc",0.970333333333333,"linear",4
"eacc",0.1045,"linear",4
"ebinacc",0.0296666666666666,"linear",4
"nll",0.438590149758149,"linear",4
"binnll",0.0967403535838165,"linear",4
"rps",0.0248908618042546,"linear",4
"cint",0.107373640050981,"linear",4
"cslope",1.51769263530959,"linear",4
"brier",0.0241097281593655,"linear",4
"auc",0.994276303227651,"linear",4
"eauc",0.00572369677234863,"linear",4
"qwk",0.941575251414469,"linear",4
"eqwk",0.0584247485855314,"linear",4
"acc",0.894,"linear",5
"binacc",0.969,"linear",5
"eacc",0.106,"linear",5
"ebinacc",0.031,"linear",5
"nll",0.449109252549932,"linear",5
"binnll",0.108452981792471,"linear",5
"rps",0.0250000940839203,"linear",5
"cint",0.0388876824534054,"linear",5
"cslope",1.57900320025939,"linear",5
"brier",0.0270430371024137,"linear",5
"auc",0.993583930237775,"linear",5
"eauc",0.00641606976222453,"linear",5
"qwk",0.946557772836085,"linear",5
"eqwk",0.0534422271639148,"linear",5
"acc",0.901333333333333,"linear",6
"binacc",0.973166666666667,"linear",6
"eacc",0.0986666666666667,"linear",6
"ebinacc",0.0268333333333334,"linear",6
"nll",0.42352238480742,"linear",6
"binnll",0.0989793173417903,"linear",6
"rps",0.0237165885166632,"linear",6
"cint",-0.0206992771742064,"linear",6
"cslope",1.60818138589848,"linear",6
"brier",0.023585714180997,"linear",6
"auc",0.994924211145309,"linear",6
"eauc",0.00507578885469062,"linear",6
"qwk",0.946955641700022,"linear",6
"eqwk",0.0530443582999782,"linear",6
"acc",0.898166666666667,"log-linear",1
"binacc",0.973333333333333,"log-linear",1
"eacc",0.101833333333333,"log-linear",1
"ebinacc",0.0266666666666666,"log-linear",1
"nll",0.445566113421581,"log-linear",1
"binnll",0.0955792680442106,"log-linear",1
"rps",0.0248664720029509,"log-linear",1
"cint",0.0788445846033649,"log-linear",1
"cslope",1.48341197667877,"log-linear",1
"brier",0.0235437281247077,"log-linear",1
"auc",0.994241496711803,"log-linear",1
"eauc",0.00575850328819683,"log-linear",1
"qwk",0.946187297897241,"log-linear",1
"eqwk",0.053812702102759,"log-linear",1
"acc",0.902166666666667,"log-linear",2
"binacc",0.9685,"log-linear",2
"eacc",0.0978333333333333,"log-linear",2
"ebinacc",0.0315,"log-linear",2
"nll",0.437463557693232,"log-linear",2
"binnll",0.101412685229635,"log-linear",2
"rps",0.0240654412214829,"log-linear",2
"cint",0.0330791134147791,"log-linear",2
"cslope",1.52017589239114,"log-linear",2
"brier",0.0255361202342658,"log-linear",2
"auc",0.992688873327592,"log-linear",2
"eauc",0.0073111266724083,"log-linear",2
"qwk",0.948647802297552,"log-linear",2
"eqwk",0.0513521977024476,"log-linear",2
"acc",0.901333333333333,"log-linear",3
"binacc",0.9705,"log-linear",3
"eacc",0.0986666666666667,"log-linear",3
"ebinacc",0.0295,"log-linear",3
"nll",0.415720858393553,"log-linear",3
"binnll",0.0997664324785136,"log-linear",3
"rps",0.0239910561948723,"log-linear",3
"cint",0.113032578654414,"log-linear",3
"cslope",1.57813359056066,"log-linear",3
"brier",0.024188774904161,"log-linear",3
"auc",0.994797232462877,"log-linear",3
"eauc",0.00520276753712268,"log-linear",3
"qwk",0.949002186341912,"log-linear",3
"eqwk",0.0509978136580878,"log-linear",3
"acc",0.895333333333333,"log-linear",4
"binacc",0.970833333333333,"log-linear",4
"eacc",0.104666666666667,"log-linear",4
"ebinacc",0.0291666666666667,"log-linear",4
"nll",0.436476632268855,"log-linear",4
"binnll",0.0957961313636983,"log-linear",4
"rps",0.0248073062771983,"log-linear",4
"cint",0.0683883897348087,"log-linear",4
"cslope",1.49728189714698,"log-linear",4
"brier",0.0239990680365662,"log-linear",4
"auc",0.994291968757797,"log-linear",4
"eauc",0.00570803124220332,"log-linear",4
"qwk",0.942201716030951,"log-linear",4
"eqwk",0.0577982839690485,"log-linear",4
"acc",0.893166666666667,"log-linear",5
"binacc",0.9685,"log-linear",5
"eacc",0.106833333333333,"log-linear",5
"ebinacc",0.0315,"log-linear",5
"nll",0.446922401758125,"log-linear",5
"binnll",0.107716363606176,"log-linear",5
"rps",0.0249645906258684,"log-linear",5
"cint",-0.00030219321821675,"log-linear",5
"cslope",1.5614517670968,"log-linear",5
"brier",0.0269774999377475,"log-linear",5
"auc",0.993581719279878,"log-linear",5
"eauc",0.00641828072012196,"log-linear",5
"qwk",0.946288824519128,"log-linear",5
"eqwk",0.0537111754808725,"log-linear",5
"acc",0.898833333333333,"log-linear",6
"binacc",0.973,"log-linear",6
"eacc",0.101166666666667,"log-linear",6
"ebinacc",0.027,"log-linear",6
"nll",0.421513112116817,"log-linear",6
"binnll",0.097947187821933,"log-linear",6
"rps",0.0236744790427467,"log-linear",6
"cint",-0.0639242274082794,"log-linear",6
"cslope",1.57673730121809,"log-linear",6
"brier",0.023528034941606,"log-linear",6
"auc",0.994845622826114,"log-linear",6
"eauc",0.00515437717388578,"log-linear",6
"qwk",0.945297146938156,"log-linear",6
"eqwk",0.0547028530618442,"log-linear",6
"acc",0.898333333333333,"trafo",1
"binacc",0.972666666666667,"trafo",1
"eacc",0.101666666666667,"trafo",1
