"metric","topn","val","method","spl"
"acc",1,0.915666666666667,"linear",1
"eacc",1,0.0843333333333334,"linear",1
"nll",1,0.305097203953176,"linear",1
"binnll",1,0.0772383529271349,"linear",1
"rps",1,0.0248844441688019,"linear",1
"cint",1,-0.010924321472689,"linear",1
"cslope",1,1.39273730547656,"linear",1
"auc",1,0.995768885678058,"linear",1
"eauc",1,0.00423111432194168,"linear",1
"qwk",1,0.921608867118558,"linear",1
"acc",2,0.921833333333333,"linear",1
"eacc",2,0.0781666666666667,"linear",1
"nll",2,0.292515063568421,"linear",1
"binnll",2,0.0777765981175964,"linear",1
"rps",2,0.0240534864939101,"linear",1
"cint",2,-0.00119709720630473,"linear",1
"cslope",2,1.4394062687121,"linear",1
"auc",2,0.995932859841434,"linear",1
"eauc",2,0.00406714015856646,"linear",1
"qwk",2,0.927301523388084,"linear",1
"acc",3,0.923166666666667,"linear",1
"eacc",3,0.0768333333333333,"linear",1
"nll",3,0.293814129505726,"linear",1
"binnll",3,0.0788886599505284,"linear",1
"rps",3,0.0235068461831425,"linear",1
"cint",3,0.00480944710718063,"linear",1
"cslope",3,1.53070009036995,"linear",1
"auc",3,0.996075446070456,"linear",1
"eauc",3,0.00392455392954438,"linear",1
"qwk",3,0.928364760026396,"linear",1
"acc",4,0.921166666666667,"linear",1
"eacc",4,0.0788333333333333,"linear",1
"nll",4,0.326320097241529,"linear",1
"binnll",4,0.0904243305534787,"linear",1
"rps",4,0.0257721521857378,"linear",1
"cint",4,0.00182643181968279,"linear",1
"cslope",4,1.64109028851675,"linear",1
"auc",4,0.995065064208691,"linear",1
"eauc",4,0.00493493579130866,"linear",1
"qwk",4,0.924081691633821,"linear",1
"acc",5,0.916666666666667,"linear",1
"eacc",5,0.0833333333333334,"linear",1
"nll",5,0.357270240898736,"linear",1
"binnll",5,0.0990027598622736,"linear",1
"rps",5,0.0279050929983803,"linear",1
"cint",5,0.00590382061452566,"linear",1
"cslope",5,1.74663736044364,"linear",1
"auc",5,0.994252718776124,"linear",1
"eauc",5,0.00574728122387569,"linear",1
"qwk",5,0.919684794728251,"linear",1
"acc",1,0.915666666666667,"log-linear",1
"eacc",1,0.0843333333333334,"log-linear",1
"nll",1,0.305097203953176,"log-linear",1
"binnll",1,0.0772383529271348,"log-linear",1
"rps",1,0.0248844441688019,"log-linear",1
"cint",1,-0.010924321472689,"log-linear",1
"cslope",1,1.39273730547656,"log-linear",1
"auc",1,0.995768885678058,"log-linear",1
"eauc",1,0.00423111432194168,"log-linear",1
"qwk",1,0.921608867118558,"log-linear",1
"acc",2,0.921666666666667,"log-linear",1
"eacc",2,0.0783333333333334,"log-linear",1
"nll",2,0.291251438276843,"log-linear",1
"binnll",2,0.0775867515660213,"log-linear",1
"rps",2,0.0240536277186691,"log-linear",1
"cint",2,0.00261659945265702,"log-linear",1
"cslope",2,1.4137670209412,"log-linear",1
"auc",2,0.995801627701019,"log-linear",1
"eauc",2,0.00419837229898112,"log-linear",1
"qwk",2,0.925951090420083,"log-linear",1
"acc",3,0.9225,"log-linear",1
"eacc",3,0.0775,"log-linear",1
"nll",3,0.289763151491807,"log-linear",1
"binnll",3,0.077046339552445,"log-linear",1
"rps",3,0.0234337952994679,"log-linear",1
"cint",3,0.017837964413655,"log-linear",1
"cslope",3,1.46489666553646,"log-linear",1
"auc",3,0.996009169878818,"log-linear",1
"eauc",3,0.0039908301211824,"log-linear",1
"qwk",3,0.928281261442461,"log-linear",1
"acc",4,0.918666666666667,"log-linear",1
"eacc",4,0.0813333333333334,"log-linear",1
"nll",4,0.319795883214352,"log-linear",1
"binnll",4,0.0871786613203053,"log-linear",1
"rps",4,0.0256666379305267,"log-linear",1
"cint",4,0.0188417290357819,"log-linear",1
"cslope",4,1.54636156669848,"log-linear",1
"auc",4,0.995110744611693,"log-linear",1
"eauc",4,0.0048892553883072,"log-linear",1
"qwk",4,0.923787834058933,"log-linear",1
"acc",5,0.907,"log-linear",1
"eacc",5,0.093,"log-linear",1
"nll",5,0.355877788439375,"log-linear",1
"binnll",5,0.0965995873440136,"log-linear",1
"rps",5,0.0292494213051175,"log-linear",1
"cint",5,0.0405293890071906,"log-linear",1
"cslope",5,1.58555332230418,"log-linear",1
"auc",5,0.994090460928469,"log-linear",1
"eauc",5,0.00590953907153124,"log-linear",1
"qwk",5,0.909653828740825,"log-linear",1
"acc",1,0.915666666666667,"trafo",1
"eacc",1,0.0843333333333334,"trafo",1
"nll",1,0.305097203953177,"trafo",1
"binnll",1,0.0772383529271348,"trafo",1
"rps",1,0.0248844441688019,"trafo",1
"cint",1,-0.0109243214726889,"trafo",1
"cslope",1,1.39273730547656,"trafo",1
"auc",1,0.995768885678058,"trafo",1
"eauc",1,0.00423111432194168,"trafo",1
"qwk",1,0.921608867118558,"trafo",1
"acc",2,0.922,"trafo",1
"eacc",2,0.078,"trafo",1
"nll",2,0.29033341126385,"trafo",1
"binnll",2,0.0761929263129648,"trafo",1
"rps",2,0.0238700779332181,"trafo",1
"cint",2,-0.000406674322004051,"trafo",1
"cslope",2,1.38961872064058,"trafo",1
"auc",2,0.995897609357036,"trafo",1
"eauc",2,0.00410239064296358,"trafo",1
"qwk",2,0.928003480937554,"trafo",1
"acc",3,0.922833333333333,"trafo",1
"eacc",3,0.0771666666666667,"trafo",1
"nll",3,0.28576986018475,"trafo",1
"binnll",3,0.074700045728612,"trafo",1
"rps",3,0.022988625538681,"trafo",1
"cint",3,0.00711556350578786,"trafo",1
"cslope",3,1.4057374358004,"trafo",1
"auc",3,0.996069240929007,"trafo",1
"eauc",3,0.00393075907099261,"trafo",1
"qwk",3,0.928814130776858,"trafo",1
"acc",4,0.918,"trafo",1
"eacc",4,0.082,"trafo",1
"nll",4,0.311053042340888,"trafo",1
"binnll",4,0.0829575108515297,"trafo",1
"rps",4,0.0247861389405371,"trafo",1
"cint",4,0.00580633427962144,"trafo",1
"cslope",4,1.45310222283789,"trafo",1
"auc",4,0.995232867076364,"trafo",1
"eauc",4,0.00476713292363551,"trafo",1
"qwk",4,0.925005111425341,"trafo",1
"acc",5,0.912,"trafo",1
"eacc",5,0.088,"trafo",1
"nll",5,0.328536547461832,"trafo",1
"binnll",5,0.0873418631919631,"trafo",1
"rps",5,0.0263487375810067,"trafo",1
"cint",5,0.00983857633709876,"trafo",1
"cslope",5,1.4475883984511,"trafo",1
"auc",5,0.994448246743885,"trafo",1
"eauc",5,0.0055517532561149,"trafo",1
"qwk",5,0.918618911822807,"trafo",1
"acc",1,0.915666666666667,"avg",1
"eacc",1,0.0843333333333334,"avg",1
"nll",1,0.305097203953176,"avg",1
"binnll",1,0.0772383529271349,"avg",1
"rps",1,0.0248844441688019,"avg",1
"cint",1,-0.010924321472689,"avg",1
"cslope",1,1.39273730547656,"avg",1
"auc",1,0.995768885678058,"avg",1
"eauc",1,0.00423111432194168,"avg",1
"qwk",1,0.921608867118558,"avg",1
"acc",2,0.916083333333333,"avg",1
"eacc",2,0.0839166666666666,"avg",1
"nll",2,0.304054130863005,"avg",1
"binnll",2,0.0806106109622793,"avg",1
"rps",2,0.0252143449090527,"avg",1
"cint",2,0.00133342772275916,"avg",1
"cslope",2,1.35270271756695,"avg",1
"auc",2,0.995188110843366,"avg",1
"eauc",2,0.00481188915663411,"avg",1
"qwk",2,0.923159796855242,"avg",1
"acc",3,0.912944444444444,"avg",1
"eacc",3,0.0870555555555556,"avg",1
"nll",3,0.317345098259493,"avg",1
"binnll",3,0.0851345584942392,"avg",1
"rps",3,0.0262818301404096,"avg",1
"cint",3,0.00887518459680483,"avg",1
"cslope",3,1.3347900290469,"avg",1
"auc",3,0.994389231887984,"avg",1
"eauc",3,0.00561076811201566,"avg",1
"qwk",3,0.920005368621607,"avg",1
"acc",4,0.898166666666667,"avg",1
"eacc",4,0.101833333333333,"avg",1
"nll",4,0.363198331436649,"avg",1
"binnll",4,0.100445069869857,"avg",1
"rps",4,0.0302600869067228,"avg",1
"cint",4,0.00718872540598737,"avg",1
"cslope",4,1.34327531399914,"avg",1
"auc",4,0.991568037923712,"avg",1
"eauc",4,0.00843196207628782,"avg",1
"qwk",4,0.908349638017619,"avg",1
"acc",5,0.8779,"avg",1
"eacc",5,0.1221,"avg",1
"nll",5,0.422454338361901,"avg",1
"binnll",5,0.118393037796452,"avg",1
"rps",5,0.0363206498476333,"avg",1
"cint",5,0.00868746300376101,"avg",1
"cslope",5,1.29008042458919,"avg",1
"auc",5,0.987354000943181,"avg",1
"eauc",5,0.0126459990568185,"avg",1
"qwk",5,0.888859271279091,"avg",1
"acc",1,0.921,"linear",2
"eacc",1,0.079,"linear",2
"nll",1,0.303937823418374,"linear",2
"binnll",1,0.0870885188231679,"linear",2
"rps",1,0.0238114138342844,"linear",2
"cint",1,0.00538804838571576,"linear",2
"cslope",1,1.38047666229362,"linear",2
"auc",1,0.994778660989987,"linear",2
"eauc",1,0.00522133901001276,"linear",2
"qwk",1,0.934338178873008,"linear",2
"acc",2,0.919,"linear",2
"eacc",2,0.081,"linear",2
"nll",2,0.30421204964989,"linear",2
"binnll",2,0.0900330604769593,"linear",2
"rps",2,0.0240074273600525,"linear",2
"cint",2,0.0100277066037634,"linear",2
"cslope",2,1.41333854452022,"linear",2
"auc",2,0.994446737755476,"linear",2
"eauc",2,0.00555326224452424,"linear",2
"qwk",2,0.929514584353181,"linear",2
"acc",3,0.9175,"linear",2
"eacc",3,0.0825,"linear",2
"nll",3,0.310324619642547,"linear",2
"binnll",3,0.091340432563479,"linear",2
"rps",3,0.0243309909995448,"linear",2
"cint",3,0.0080360305288638,"linear",2
"cslope",3,1.44311519963364,"linear",2
"auc",3,0.994444949100632,"linear",2
"eauc",3,0.00555505089936759,"linear",2
"qwk",3,0.92866005663518,"linear",2
"acc",4,0.918333333333333,"linear",2
"eacc",4,0.0816666666666667,"linear",2
"nll",4,0.30959442841913,"linear",2
"binnll",4,0.0920718808634352,"linear",2
"rps",4,0.0238803321570761,"linear",2
"cint",4,0.00720354402618909,"linear",2
"cslope",4,1.4998136363309,"linear",2
"auc",4,0.994603628337454,"linear",2
"eauc",4,0.0053963716625457,"linear",2
"qwk",4,0.929870900327057,"linear",2
"acc",5,0.9135,"linear",2
