"metric","topn","val","method","spl"
"acc",1,0.309666666666667,"linear",1
"eacc",1,0.690333333333333,"linear",1
"nll",1,1.65350367372121,"linear",1
"binnll",1,0.257252172977472,"linear",1
"rps",1,0.0773823672776007,"linear",1
"cint",1,0.00732131919966813,"linear",1
"cslope",1,2.37661849291791,"linear",1
"auc",1,0.9602352091872,"linear",1
"eauc",1,0.0397647908127996,"linear",1
"qwk",1,0.842675115518716,"linear",1
"acc",2,0.293,"linear",1
"eacc",2,0.707,"linear",1
"nll",2,1.65565825790779,"linear",1
"binnll",2,0.255661645110474,"linear",1
"rps",2,0.0780265737560761,"linear",1
"cint",2,-0.0112320906429773,"linear",1
"cslope",2,2.50582051967535,"linear",1
"auc",2,0.961624500750162,"linear",1
"eauc",2,0.038375499249838,"linear",1
"qwk",2,0.837402338480527,"linear",1
"acc",3,0.312333333333333,"linear",1
"eacc",3,0.687666666666667,"linear",1
"nll",3,1.65739537467601,"linear",1
"binnll",3,0.245346471076819,"linear",1
"rps",3,0.0768137756292155,"linear",1
"cint",3,-0.00839672677381881,"linear",1
"cslope",3,2.73862859410958,"linear",1
"auc",3,0.967435681728525,"linear",1
"eauc",3,0.0325643182714747,"linear",1
"qwk",3,0.842843403926346,"linear",1
"acc",4,0.2945,"linear",1
"eacc",4,0.7055,"linear",1
"nll",4,1.66269219712195,"linear",1
"binnll",4,0.252810990671305,"linear",1
"rps",4,0.07674993334316,"linear",1
"cint",4,-0.0112644768130161,"linear",1
"cslope",4,2.94965622746505,"linear",1
"auc",4,0.965382968127753,"linear",1
"eauc",4,0.034617031872247,"linear",1
"qwk",4,0.841346770571113,"linear",1
"acc",5,0.281833333333333,"linear",1
"eacc",5,0.718166666666667,"linear",1
"nll",5,1.67205464372018,"linear",1
"binnll",5,0.256319667633666,"linear",1
"rps",5,0.0774623931082699,"linear",1
"cint",5,-0.0050063451319926,"linear",1
"cslope",5,2.8874971213852,"linear",1
"auc",5,0.963450792700219,"linear",1
"eauc",5,0.0365492072997812,"linear",1
"qwk",5,0.835116872262809,"linear",1
"acc",1,0.309666666666667,"log-linear",1
"eacc",1,0.690333333333333,"log-linear",1
"nll",1,1.65350367372121,"log-linear",1
"binnll",1,0.257252172977472,"log-linear",1
"rps",1,0.0773823672776007,"log-linear",1
"cint",1,0.00732131919966814,"log-linear",1
"cslope",1,2.37661849291791,"log-linear",1
"auc",1,0.9602352091872,"log-linear",1
"eauc",1,0.0397647908127996,"log-linear",1
"qwk",1,0.842675115518716,"log-linear",1
"acc",2,0.293833333333333,"log-linear",1
"eacc",2,0.706166666666667,"log-linear",1
"nll",2,1.65344114931271,"log-linear",1
"binnll",2,0.254754965638414,"log-linear",1
"rps",2,0.0779069759628112,"log-linear",1
"cint",2,-0.010875445403988,"log-linear",1
"cslope",2,2.49225609582025,"log-linear",1
"auc",2,0.961685363946069,"log-linear",1
"eauc",2,0.0383146360539314,"log-linear",1
"qwk",2,0.8377916703009,"log-linear",1
"acc",3,0.306,"log-linear",1
"eacc",3,0.694,"log-linear",1
"nll",3,1.6555571420963,"log-linear",1
"binnll",3,0.24484395975429,"log-linear",1
"rps",3,0.076684277555534,"log-linear",1
"cint",3,-0.0077312001410567,"log-linear",1
"cslope",3,2.71837077655877,"log-linear",1
"auc",3,0.967120143684671,"log-linear",1
"eauc",3,0.0328798563153289,"log-linear",1
"qwk",3,0.843482948827948,"log-linear",1
"acc",4,0.292,"log-linear",1
"eacc",4,0.708,"log-linear",1
"nll",4,1.6601469679453,"log-linear",1
"binnll",4,0.251492036385106,"log-linear",1
"rps",4,0.0765547301971049,"log-linear",1
"cint",4,-0.0101528893135284,"log-linear",1
"cslope",4,2.89870401422997,"log-linear",1
"auc",4,0.965273387970264,"log-linear",1
"eauc",4,0.034726612029736,"log-linear",1
"qwk",4,0.841124363912288,"log-linear",1
"acc",5,0.2795,"log-linear",1
"eacc",5,0.7205,"log-linear",1
"nll",5,1.67000426900663,"log-linear",1
"binnll",5,0.25553352316903,"log-linear",1
"rps",5,0.0772899708029223,"log-linear",1
"cint",5,-0.00407640616348297,"log-linear",1
"cslope",5,2.81207805099607,"log-linear",1
"auc",5,0.963045610166081,"log-linear",1
"eauc",5,0.0369543898339187,"log-linear",1
"qwk",5,0.837595549126599,"log-linear",1
"acc",1,0.309666666666667,"trafo",1
"eacc",1,0.690333333333333,"trafo",1
"nll",1,1.65350367372121,"trafo",1
"binnll",1,0.257252172977472,"trafo",1
"rps",1,0.0773823672776007,"trafo",1
"cint",1,0.00732131919966814,"trafo",1
"cslope",1,2.37661849291791,"trafo",1
"auc",1,0.9602352091872,"trafo",1
"eauc",1,0.0397647908127996,"trafo",1
"qwk",1,0.842675115518716,"trafo",1
"acc",2,0.292333333333333,"trafo",1
"eacc",2,0.707666666666667,"trafo",1
"nll",2,1.65232013163963,"trafo",1
"binnll",2,0.254156377592416,"trafo",1
"rps",2,0.077866301969478,"trafo",1
"cint",2,-0.0117800174022541,"trafo",1
"cslope",2,2.45652527537763,"trafo",1
"auc",2,0.961753620501999,"trafo",1
"eauc",2,0.0382463794980014,"trafo",1
"qwk",2,0.837913467956687,"trafo",1
"acc",3,0.309666666666667,"trafo",1
"eacc",3,0.690333333333333,"trafo",1
"nll",3,1.65267549446625,"trafo",1
"binnll",3,0.244168603795646,"trafo",1
"rps",3,0.0765735804673727,"trafo",1
"cint",3,-0.00960763341110593,"trafo",1
"cslope",3,2.65399917930956,"trafo",1
"auc",3,0.967206223519229,"trafo",1
"eauc",3,0.0327937764807712,"trafo",1
"qwk",3,0.843253288824445,"trafo",1
"acc",4,0.2885,"trafo",1
"eacc",4,0.7115,"trafo",1
"nll",4,1.65705302912175,"trafo",1
"binnll",4,0.251104499527668,"trafo",1
"rps",4,0.0764135430778051,"trafo",1
"cint",4,-0.0129355775754169,"trafo",1
"cslope",4,2.81256384968363,"trafo",1
"auc",4,0.965302829386071,"trafo",1
"eauc",4,0.0346971706139287,"trafo",1
"qwk",4,0.841916760828705,"trafo",1
"acc",5,0.278833333333333,"trafo",1
"eacc",5,0.721166666666667,"trafo",1
"nll",5,1.66619734950932,"trafo",1
"binnll",5,0.254641682680068,"trafo",1
"rps",5,0.0771237358998373,"trafo",1
"cint",5,-0.0071749394811717,"trafo",1
"cslope",5,2.73268749935176,"trafo",1
"auc",5,0.963158094857865,"trafo",1
"eauc",5,0.0368419051421347,"trafo",1
"qwk",5,0.838528390287753,"trafo",1
"acc",1,0.309666666666667,"avg",1
"eacc",1,0.690333333333333,"avg",1
"nll",1,1.65350367372121,"avg",1
"binnll",1,0.257252172977472,"avg",1
