"metric","val","spl"
"acc",0.116166666666667,1
"eacc",0.883833333333333,1
"nll",2.30053879782034,1
"binnll",0.611965335813096,1
"rps",0.184310829518571,1
"cint",-0.00159044956635225,1
"cslope",28.8896090904096,1
"auc",0.514035237810066,1
"eauc",0.485964762189934,1
"qwk",0,1
"acc",0.12,2
"eacc",0.88,2
"nll",2.30089423026297,2
"binnll",0.626669776978379,2
"rps",0.183621733329481,2
"cint",-0.00126296213104304,2
"cslope",-10.240872343619,2
"auc",0.513026453821851,2
"eauc",0.486973546178149,2
"qwk",0,2
"acc",0.112833333333333,3
"eacc",0.887166666666667,3
"nll",2.30123244564863,3
"binnll",0.624580928138441,3
"rps",0.185715031838049,3
"cint",-0.000418369930162415,3
"cslope",-9.36832076100839,3
"auc",0.497690959894633,3
"eauc",0.502309040105367,3
"qwk",0,3
"acc",0.117666666666667,4
"eacc",0.882333333333333,4
"nll",2.30096544528448,4
"binnll",0.624277650274876,4
"rps",0.185263360521656,4
"cint",-0.00164574099206027,4
"cslope",-14.7689758856101,4
"auc",0.50584202288734,4
"eauc",0.49415797711266,4
"qwk",0,4
"acc",0.1145,5
"eacc",0.8855,5
"nll",2.30156001296936,5
"binnll",0.618448561904586,5
"rps",0.183212821694701,5
"cint",-0.000318817146892658,5
"cslope",12.4507830872371,5
"auc",0.497124909366983,5
"eauc",0.502875090633017,5
"qwk",0,5
