"metric","topn","val","method","spl"
"acc",1,0.315666666666667,"linear",1
"eacc",1,0.684333333333333,"linear",1
"nll",1,1.62568774538917,"linear",1
"binnll",1,0.269075244487324,"linear",1
"rps",1,0.0774000785892459,"linear",1
"cint",1,-0.0136233858605923,"linear",1
"cslope",1,2.20788104365345,"linear",1
"auc",1,0.953823317706939,"linear",1
"eauc",1,0.0461766822930612,"linear",1
"qwk",1,0.844344600858677,"linear",1
"acc",2,0.338666666666667,"linear",1
"eacc",2,0.661333333333333,"linear",1
"nll",2,1.62222010021467,"linear",1
"binnll",2,0.258886619379297,"linear",1
"rps",2,0.0745094950956273,"linear",1
"cint",2,-0.0162591784120259,"linear",1
"cslope",2,2.97870735117466,"linear",1
"auc",2,0.964750571797183,"linear",1
"eauc",2,0.0352494282028167,"linear",1
"qwk",2,0.855897271725865,"linear",1
"acc",3,0.337,"linear",1
"eacc",3,0.663,"linear",1
"nll",3,1.62133586815904,"linear",1
"binnll",3,0.25029747692088,"linear",1
"rps",3,0.0747950591459149,"linear",1
"cint",3,-0.0215879811150217,"linear",1
"cslope",3,2.90731673566094,"linear",1
"auc",3,0.966302517280659,"linear",1
"eauc",3,0.0336974827193411,"linear",1
"qwk",3,0.85945906212757,"linear",1
"acc",4,0.2865,"linear",1
"eacc",4,0.7135,"linear",1
"nll",4,1.67442577761667,"linear",1
"binnll",4,0.255800540334828,"linear",1
"rps",4,0.0777380016165861,"linear",1
"cint",4,-0.00857244704336579,"linear",1
"cslope",4,2.98397095640454,"linear",1
"auc",4,0.966096295345721,"linear",1
"eauc",4,0.0339037046542786,"linear",1
"qwk",4,0.817641721574473,"linear",1
"acc",5,0.274666666666667,"linear",1
"eacc",5,0.725333333333333,"linear",1
"nll",5,1.71652683057902,"linear",1
"binnll",5,0.267997122747592,"linear",1
"rps",5,0.0803795256007962,"linear",1
"cint",5,0.000557205085064115,"linear",1
"cslope",5,2.88623491477649,"linear",1
"auc",5,0.964135206599524,"linear",1
"eauc",5,0.0358647934004755,"linear",1
"qwk",5,0.797351996606885,"linear",1
"acc",1,0.315666666666667,"log-linear",1
"eacc",1,0.684333333333333,"log-linear",1
"nll",1,1.62568774538917,"log-linear",1
"binnll",1,0.269075244487324,"log-linear",1
"rps",1,0.0774000785892459,"log-linear",1
"cint",1,-0.0136233858605923,"log-linear",1
"cslope",1,2.20788104365345,"log-linear",1
"auc",1,0.953823317706939,"log-linear",1
"eauc",1,0.0461766822930612,"log-linear",1
"qwk",1,0.844344600858677,"log-linear",1
"acc",2,0.340166666666667,"log-linear",1
"eacc",2,0.659833333333333,"log-linear",1
"nll",2,1.6198045520346,"log-linear",1
"binnll",2,0.257394008906398,"log-linear",1
"rps",2,0.0743447832955922,"log-linear",1
"cint",2,-0.0160458384792856,"log-linear",1
"cslope",2,2.86672021601335,"log-linear",1
"auc",2,0.964219042021218,"log-linear",1
"eauc",2,0.0357809579787821,"log-linear",1
"qwk",2,0.856624995106772,"log-linear",1
"acc",3,0.338,"log-linear",1
"eacc",3,0.662,"log-linear",1
"nll",3,1.61722506670115,"log-linear",1
"binnll",3,0.247172197893283,"log-linear",1
"rps",3,0.074444736774542,"log-linear",1
"cint",3,-0.0210079509103583,"log-linear",1
"cslope",3,2.73948620099914,"log-linear",1
"auc",3,0.966228979753284,"log-linear",1
"eauc",3,0.0337710202467164,"log-linear",1
"qwk",3,0.860435252033143,"log-linear",1
"acc",4,0.294,"log-linear",1
"eacc",4,0.706,"log-linear",1
"nll",4,1.66750144469622,"log-linear",1
"binnll",4,0.251815210581995,"log-linear",1
"rps",4,0.0778680405961208,"log-linear",1
"cint",4,-0.00950224538235524,"log-linear",1
"cslope",4,2.51862538857896,"log-linear",1
"auc",4,0.96502095753518,"log-linear",1
"eauc",4,0.0349790424648195,"log-linear",1
"qwk",4,0.825582670336044,"log-linear",1
"acc",5,0.2845,"log-linear",1
"eacc",5,0.7155,"log-linear",1
"nll",5,1.70155410005144,"log-linear",1
"binnll",5,0.258159180755132,"log-linear",1
"rps",5,0.0806604078132574,"log-linear",1
"cint",5,-0.000109917841905853,"log-linear",1
"cslope",5,2.56594326363975,"log-linear",1
"auc",5,0.963822573089965,"log-linear",1
"eauc",5,0.0361774269100349,"log-linear",1
"qwk",5,0.803652708955323,"log-linear",1
"acc",1,0.315666666666667,"trafo",1
"eacc",1,0.684333333333333,"trafo",1
"nll",1,1.62568774538917,"trafo",1
"binnll",1,0.269075244487324,"trafo",1
"rps",1,0.0774000785892459,"trafo",1
"cint",1,-0.0136233858605924,"trafo",1
"cslope",1,2.20788104365345,"trafo",1
"auc",1,0.953823317706939,"trafo",1
"eauc",1,0.0461766822930612,"trafo",1
"qwk",1,0.844344600858677,"trafo",1
"acc",2,0.347666666666667,"trafo",1
"eacc",2,0.652333333333333,"trafo",1
"nll",2,1.61167163273836,"trafo",1
"binnll",2,0.256919018951968,"trafo",1
"rps",2,0.0741034108148047,"trafo",1
"cint",2,-0.0214647292666793,"trafo",1
"cslope",2,2.83959756140993,"trafo",1
"auc",2,0.9643353554173,"trafo",1
"eauc",2,0.0356646445827002,"trafo",1
"qwk",2,0.859490485680513,"trafo",1
"acc",3,0.340166666666667,"trafo",1
"eacc",3,0.659833333333333,"trafo",1
"nll",3,1.60982210955016,"trafo",1
"binnll",3,0.246769391941682,"trafo",1
"rps",3,0.0741021130551903,"trafo",1
"cint",3,-0.0255573178997499,"trafo",1
"cslope",3,2.67937284718833,"trafo",1
"auc",3,0.966092862714282,"trafo",1
"eauc",3,0.0339071372857179,"trafo",1
"qwk",3,0.865067245490594,"trafo",1
"acc",4,0.300166666666667,"trafo",1
"eacc",4,0.699833333333333,"trafo",1
"nll",4,1.64227938472266,"trafo",1
"binnll",4,0.247782934541248,"trafo",1
"rps",4,0.0760458449472066,"trafo",1
"cint",4,-0.02000469527998,"trafo",1
"cslope",4,2.59336607906875,"trafo",1
"auc",4,0.965569518444057,"trafo",1
"eauc",4,0.0344304815559432,"trafo",1
"qwk",4,0.84354920375626,"trafo",1
"acc",5,0.299333333333333,"trafo",1
"eacc",5,0.700666666666667,"trafo",1
"nll",5,1.65555608951694,"trafo",1
"binnll",5,0.252386713340805,"trafo",1
"rps",5,0.0770360197561985,"trafo",1
"cint",5,-0.0178248850058408,"trafo",1
"cslope",5,2.67613472241878,"trafo",1
"auc",5,0.964166100282479,"trafo",1
"eauc",5,0.0358338997175208,"trafo",1
"qwk",5,0.83696104571455,"trafo",1
"acc",1,0.315666666666667,"avg",1
"eacc",1,0.684333333333333,"avg",1
"nll",1,1.62568774538917,"avg",1
"binnll",1,0.269075244487324,"avg",1
"rps",1,0.0774000785892459,"avg",1
"cint",1,-0.0136233858605923,"avg",1
"cslope",1,2.20788104365345,"avg",1
"auc",1,0.953823317706939,"avg",1
"eauc",1,0.0461766822930612,"avg",1
"qwk",1,0.844344600858677,"avg",1
"acc",2,0.3115,"avg",1
"eacc",2,0.6885,"avg",1
"nll",2,1.64365261309335,"avg",1
"binnll",2,0.262362606397008,"avg",1
"rps",2,0.076220818065097,"avg",1
"cint",2,-0.00546633652243891,"avg",1
"cslope",2,2.75953322319245,"avg",1
"auc",2,0.961998195492057,"avg",1
"eauc",2,0.0380018045079429,"avg",1
"qwk",2,0.842644954241504,"avg",1
"acc",3,0.310888888888889,"avg",1
"eacc",3,0.689111111111111,"avg",1
"nll",3,1.65677242110718,"avg",1
"binnll",3,0.255348692374805,"avg",1
"rps",3,0.0772946698431177,"avg",1
"cint",3,0.000897364175801735,"avg",1
