"w.1","w.2","w.3","w.4","w.5","spl","method"
0,0,0.200656834908114,0.00211700641582182,0.797226158676064,1,"linear"
0,0.834623500016529,0.00222433677782004,0.163152163205651,0,2,"linear"
0.0666465310019729,0.563643487367447,0,0,0.36970998163058,3,"linear"
0.363394551181121,0,0.0713065337473749,0,0.565298915071504,4,"linear"
0.0996825968240972,0.0458560274091585,0.181151764380975,0.673309611385769,0,5,"linear"
0.240976579834116,0,0.333220815737649,0.223046905799938,0.202755698628297,6,"linear"
0,0,0.170322652366437,0.0221043468564187,0.807573000777144,1,"log-linear"
0,0.815650521920455,0,0.177200361087891,0.00714911699165431,2,"log-linear"
0.128762351157364,0.565120987309278,0,0,0.306116661533359,3,"log-linear"
0.343162139905089,0,0.0767566623033854,0,0.580081197791526,4,"log-linear"
0.108373435155888,0.021498531026042,0.200751601370844,0.669376432447226,0,5,"log-linear"
0.236472893161103,0,0.286522832368741,0.251798842913226,0.22520543155693,6,"log-linear"
0,0,0.226246690342689,0.0607679979808915,0.712985311676419,1,"trafo"
0,0.737120935988644,0.0204427823025083,0.214093306760409,0.0283429749484385,2,"trafo"
0.126346735710338,0.513267344446037,0,0,0.360385919843626,3,"trafo"
0.351242024588423,0,0.11061235009563,0,0.538145625315947,4,"trafo"
0.144461141631469,0.0673807169536709,0.213958539081917,0.574199602332944,0,5,"trafo"
0.239725078281671,0,0.332883948030541,0.222015602605882,0.205375371081907,6,"trafo"
