"lwr","med","upr","metric","mod","method"
0.856386538899087,0.865817024053884,0.875630324119263,"nll","cils","log-linear"
0.0483126031488646,0.049047634529649,0.0497190828926441,"rps","cils","log-linear"
0.101159403739216,0.104498520409397,0.107838258297612,"eqwk","cils","log-linear"
0.346512254439815,0.352247556859509,0.357611451510979,"eacc","cils","log-linear"
0.367853040659485,0.397134064567826,0.425896942759863,"cint","cils","log-linear"
1.11963322564673,1.13957790737237,1.15975129416,"cslope","cils","log-linear"
-0.699938205809508,-0.690507720654711,-0.680694420589332,"dnll","cils","log-linear"
-0.0705183891696476,-0.0697833577888631,-0.069111909425868,"drps","cils","log-linear"
-0.486655455402798,-0.483316338732616,-0.479976600844402,"deqwk","cils","log-linear"
-0.280711256774415,-0.274975954354721,-0.269612059703251,"deacc","cils","log-linear"
