"lwr","med","upr","metric","mod","method"
1.00532578350617,1.01138760417006,1.01819096868829,"nll","ci","avg"
0.0560699331198874,0.0564552490098908,0.0568243069527001,"rps","ci","avg"
0.127351200389565,0.129244590635628,0.131111073832612,"eqwk","ci","avg"
0.383024794955998,0.385659143778599,0.388135442364008,"eacc","ci","avg"
0.546453911777993,0.562855606292587,0.579139671487247,"cint","ci","avg"
0.829604813242957,0.838298460189683,0.846707256616023,"cslope","ci","avg"
-0.557624126941105,-0.551562306277208,-0.544758941758988,"dnll","ci","avg"
-0.0627765047940236,-0.0623911889040202,-0.0620221309612109,"drps","ci","avg"
-0.443211911134421,-0.441318520888358,-0.439452037691375,"deqwk","ci","avg"
-0.246061895615612,-0.243427546793011,-0.240951248207601,"deacc","ci","avg"
