"lwr","med","upr","metric","mod","method"
1.73165001040093,1.73918177200084,1.7465786426054,"nll","si",NA
0.144693603754226,0.146105818305014,0.147431402750846,"rps","si",NA
1,1,1,"eqwk","si",NA
0.656590713046824,0.662120494295548,0.667395249934261,"eacc","si",NA
-0.0177027255003633,0.00462940870360142,0.0282591674513326,"cint","si",NA
NA,NA,NA,"cslope","si",NA
0.168700099953655,0.176231861553568,0.183628732158122,"dnll","si",NA
0.0258471658403154,0.0272593803911031,0.0285849648369348,"drps","si",NA
0.429436888476014,0.429436888476014,0.429436888476014,"deqwk","si",NA
0.0275040224752144,0.0330338037239385,0.0383085593626519,"deacc","si",NA
