"metric","ens","val","spl"
"acc",1,0.596498628981228,1
"acc",2,0.611263446530268,1
"acc",3,0.589327146171694,1
"acc",4,0.599873444421008,1
"acc",5,0.608732334950432,1
"binacc",1,0.94600295296351,1
"binacc",2,0.940518877873866,1
"binacc",3,0.94030795190888,1
"binacc",4,0.938409618224003,1
"binacc",5,0.942206285593757,1
"eacc",1,0.403501371018772,1
"eacc",2,0.388736553469732,1
"eacc",3,0.410672853828306,1
"eacc",4,0.400126555578992,1
"eacc",5,0.391267665049568,1
"ebinacc",1,0.0539970470364902,1
"ebinacc",2,0.0594811221261338,1
"ebinacc",3,0.0596920480911201,1
"ebinacc",4,0.0615903817759966,1
"ebinacc",5,0.0577937144062434,1
"nll",1,0.988225459062378,1
"nll",2,0.962298887710868,1
"nll",3,1.00151063500767,1
"nll",4,0.975913043162597,1
"nll",5,0.968995961744593,1
"binnll",1,0.173619973698408,1
"binnll",2,0.184845929934917,1
"binnll",3,0.181988115659997,1
"binnll",4,0.185533213116233,1
"binnll",5,0.173299504535629,1
"rps",1,0.0590488383364614,1
"rps",2,0.0572325524857321,1
"rps",3,0.0600795155721108,1
"rps",4,0.0582280844581733,1
"rps",5,0.0569424128784885,1
"cint",1,0.640354896923725,1
"cint",2,0.600174506716478,1
"cint",3,0.743751890969584,1
"cint",4,0.738776983371089,1
"cint",5,0.46169826362686,1
"cslope",1,1.13995755609078,1
"cslope",2,1.17318722204628,1
"cslope",3,1.07198023572726,1
"cslope",4,1.09177113084877,1
"cslope",5,1.1025326580821,1
"brier",1,0.0468389861243339,1
"brier",2,0.0513351785148667,1
"brier",3,0.0506562312114226,1
"brier",4,0.0517057074950399,1
"brier",5,0.0473398485036139,1
"auc",1,0.958114748903957,1
"auc",2,0.96166471750615,1
"auc",3,0.961345266420477,1
"auc",4,0.963032970578238,1
"auc",5,0.959668220234014,1
"eauc",1,0.0418852510960427,1
"eauc",2,0.0383352824938501,1
"eauc",3,0.0386547335795229,1
"eauc",4,0.0369670294217619,1
"eauc",5,0.0403317797659856,1
"qwk",1,0.848658991661429,1
"qwk",2,0.857017544771314,1
"qwk",3,0.842302946627828,1
"qwk",4,0.849597870539972,1
"qwk",5,0.860061631543138,1
"eqwk",1,0.151341008338571,1
"eqwk",2,0.142982455228686,1
"eqwk",3,0.157697053372172,1
"eqwk",4,0.150402129460028,1
"eqwk",5,0.139938368456862,1
"acc",1,0.593756591436406,2
"acc",2,0.609154186880405,2
"acc",3,0.59354566547142,2
"acc",4,0.533642691415313,2
"acc",5,0.509175279476904,2
"binacc",1,0.942206285593757,2
"binacc",2,0.950221472263236,2
"binacc",3,0.94600295296351,2
"binacc",4,0.924277578569922,2
"binacc",5,0.935034802784223,2
"eacc",1,0.406243408563594,2
"eacc",2,0.390845813119595,2
"eacc",3,0.40645433452858,2
"eacc",4,0.466357308584687,2
"eacc",5,0.490824720523096,2
"ebinacc",1,0.0577937144062434,2
"ebinacc",2,0.0497785277367644,2
"ebinacc",3,0.0539970470364902,2
"ebinacc",4,0.075722421430078,2
"ebinacc",5,0.0649651972157773,2
"nll",1,1.02602945709412,2
"nll",2,0.981417705515527,2
"nll",3,0.996619719135695,2
"nll",4,1.21303037450931,2
"nll",5,1.22240719236831,2
"binnll",1,0.187246723077158,2
"binnll",2,0.161914646563758,2
"binnll",3,0.162523577248161,2
"binnll",4,0.294265493529579,2
"binnll",5,0.264187676556741,2
"rps",1,0.062273179209694,2
"rps",2,0.0574759665409993,2
"rps",3,0.0588714089155208,2
"rps",4,0.080175705707946,2
