"metric","ens","val","spl"
"acc",1,0.615903817759966,1
"acc",2,0.62138789284961,1
"acc",3,0.617802151444843,1
"acc",4,0.609786964775364,1
"acc",5,0.619911411094706,1
"binacc",1,0.944526471208606,1
"binacc",2,0.945581101033537,1
"binacc",3,0.943471841383674,1
"binacc",4,0.941573507698798,1
"binacc",5,0.947057582788441,1
"eacc",1,0.384096182240034,1
"eacc",2,0.37861210715039,1
"eacc",3,0.382197848555157,1
"eacc",4,0.390213035224636,1
"eacc",5,0.380088588905294,1
"ebinacc",1,0.0554735287913942,1
"ebinacc",2,0.0544188989664628,1
"ebinacc",3,0.0565281586163257,1
"ebinacc",4,0.0584264923012022,1
"ebinacc",5,0.0529424172115588,1
"nll",1,0.992216027021768,1
"nll",2,1.00163074763293,1
"nll",3,1.01671332269991,1
"nll",4,0.990526416426421,1
"nll",5,0.954649293751751,1
"binnll",1,0.173916443673583,1
"binnll",2,0.163398925883856,1
"binnll",3,0.165796702659721,1
"binnll",4,0.17082506431692,1
"binnll",5,0.166232343442428,1
"rps",1,0.0558174472451371,1
"rps",2,0.055299993408317,1
"rps",3,0.0554214518553574,1
"rps",4,0.0564808177809084,1
"rps",5,0.0544328327746645,1
"cint",1,0.578168216521289,1
"cint",2,0.468515388121769,1
"cint",3,0.26427438841802,1
"cint",4,0.405918461136862,1
"cint",5,0.6113908077285,1
"cslope",1,0.880034697420633,1
"cslope",2,0.801259664115452,1
"cslope",3,0.821175262620737,1
"cslope",4,0.913340168592134,1
"cslope",5,0.920991924369785,1
"brier",1,0.0468819267828582,1
"brier",2,0.0440066334768061,1
"brier",3,0.0446526499209011,1
"brier",4,0.0464685706028405,1
"brier",5,0.0452118047702837,1
"auc",1,0.954926863272631,1
"auc",2,0.960619372159075,1
"auc",3,0.959068493308522,1
"auc",4,0.954494495301851,1
"auc",5,0.960429833101931,1
"eauc",1,0.0450731367273691,1
"eauc",2,0.0393806278409254,1
"eauc",3,0.0409315066914776,1
"eauc",4,0.045505504698149,1
"eauc",5,0.0395701668980695,1
"qwk",1,0.869893563306251,1
"qwk",2,0.86927137687653,1
"qwk",3,0.868691370558173,1
"qwk",4,0.865663666365247,1
"qwk",5,0.871519116192922,1
"eqwk",1,0.130106436693749,1
"eqwk",2,0.13072862312347,1
"eqwk",3,0.131308629441827,1
"eqwk",4,0.134336333634753,1
"eqwk",5,0.128480883807078,1
"acc",1,0.597975110736132,2
"acc",2,0.607677705125501,2
"acc",3,0.599029740561063,2
"acc",4,0.614216410040076,2
"acc",5,0.596709554946214,2
"binacc",1,0.944315545243619,2
"binacc",2,0.946635730858469,2
"binacc",3,0.94600295296351,2
"binacc",4,0.948534064543345,2
"binacc",5,0.952752583843071,2
"eacc",1,0.402024889263868,2
"eacc",2,0.392322294874499,2
"eacc",3,0.400970259438937,2
"eacc",4,0.385783589959924,2
"eacc",5,0.403290445053786,2
"ebinacc",1,0.0556844547563805,2
"ebinacc",2,0.0533642691415314,2
"ebinacc",3,0.0539970470364902,2
"ebinacc",4,0.0514659354566547,2
"ebinacc",5,0.047247416156929,2
"nll",1,1.05619494397504,2
"nll",2,1.04751014268181,2
"nll",3,1.01765722428086,2
"nll",4,1.01271667188944,2
"nll",5,1.07935642345347,2
"binnll",1,0.166397510721746,2
"binnll",2,0.16252955074032,2
"binnll",3,0.16157031147284,2
"binnll",4,0.150039548219792,2
"binnll",5,0.154173867912832,2
"rps",1,0.0598354306949427,2
"rps",2,0.0576325048224825,2
"rps",3,0.0575544583239662,2
"rps",4,0.0566192271172656,2
"rps",5,0.0595425316350008,2
"cint",1,0.777600243670279,2
"cint",2,0.707169061744487,2
"cint",3,0.492875706625671,2
"cint",4,0.49478584569732,2
"cint",5,0.670033996632011,2
"cslope",1,0.755646984078038,2
"cslope",2,0.739550488125161,2
"cslope",3,0.795861736097346,2
"cslope",4,0.793872428220734,2
"cslope",5,0.776079378192722,2
"brier",1,0.0452489402671946,2
"brier",2,0.0428740417851816,2
"brier",3,0.0434054980740785,2
"brier",4,0.0411266415219875,2
"brier",5,0.0408318305603812,2
"auc",1,0.962436799265073,2
"auc",2,0.959039938740819,2
"auc",3,0.959122411833973,2
"auc",4,0.967415253169487,2
"auc",5,0.963191657159352,2
"eauc",1,0.0375632007349269,2
