"metric","ens","val","spl"
"acc",1,0.615271039865007,1
"acc",2,0.620333263024678,1
"acc",3,0.615271039865007,1
"acc",4,0.607044927230542,1
"acc",5,0.61168529846024,1
"binacc",1,0.946213878928496,1
"binacc",2,0.94030795190888,1
"binacc",3,0.937565914364058,1
"binacc",4,0.936722210504113,1
"binacc",5,0.939675174013921,1
"eacc",1,0.384728960134993,1
"eacc",2,0.379666736975322,1
"eacc",3,0.384728960134993,1
"eacc",4,0.392955072769458,1
"eacc",5,0.38831470153976,1
"ebinacc",1,0.0537861210715039,1
"ebinacc",2,0.0596920480911201,1
"ebinacc",3,0.0624340856359418,1
"ebinacc",4,0.0632777894958869,1
"ebinacc",5,0.0603248259860789,1
"nll",1,0.913839524794814,1
"nll",2,0.935171113029533,1
"nll",3,0.949167125705131,1
"nll",4,0.970861533015234,1
"nll",5,0.96066970828054,1
"binnll",1,0.157330679505139,1
"binnll",2,0.169927084935698,1
"binnll",3,0.175851381555179,1
"binnll",4,0.18289622097389,1
"binnll",5,0.179772297655004,1
"rps",1,0.0525546785234764,1
"rps",2,0.0544954909464857,1
"rps",3,0.054826666634361,1
"rps",4,0.0576290479984293,1
"rps",5,0.05556655136497,1
"cint",1,0.493774464735555,1
"cint",2,0.72933449724829,1
"cint",3,0.625237925687032,1
"cint",4,0.815916478776291,1
"cint",5,0.691569929658574,1
"cslope",1,0.947096443903953,1
"cslope",2,1.10286192151034,1
"cslope",3,1.04096195279078,1
"cslope",4,1.0912245842387,1
"cslope",5,1.06325804414253,1
"brier",1,0.0437376063279169,1
"brier",2,0.0471320118909149,1
"brier",3,0.0491175263449917,1
"brier",4,0.0508561172153802,1
"brier",5,0.0500968896472242,1
"auc",1,0.967778936392075,1
"auc",2,0.964416490474078,1
"auc",3,0.962364686972502,1
"auc",4,0.961305803121345,1
"auc",5,0.963378346458961,1
"eauc",1,0.0322210636079249,1
"eauc",2,0.0355835095259219,1
"eauc",3,0.0376353130274976,1
"eauc",4,0.0386941968786547,1
"eauc",5,0.036621653541039,1
"qwk",1,0.874201112599819,1
"qwk",2,0.872749425893168,1
"qwk",3,0.871473076026584,1
"qwk",4,0.86277513255779,1
"qwk",5,0.870151698492803,1
"eqwk",1,0.125798887400181,1
"eqwk",2,0.127250574106832,1
"eqwk",3,0.128526923973416,1
"eqwk",4,0.13722486744221,1
"eqwk",5,0.129848301507197,1
"acc",1,0.607044927230542,2
"acc",2,0.623919004429445,2
"acc",3,0.621176966884624,2
"acc",4,0.620544188989665,2
"acc",5,0.611896224425227,2
"binacc",1,0.930183505589538,2
