"metric","ens","val","spl"
"acc",1,0.629403079519089,1
"acc",2,0.622020670744569,1
"acc",3,0.62476270828939,1
"acc",4,0.629614005484075,1
"acc",5,0.63045770934402,1
"binacc",1,0.948323138578359,1
"binacc",2,0.944315545243619,1
"binacc",3,0.948323138578359,1
"binacc",4,0.944737397173592,1
"binacc",5,0.947901286648386,1
"eacc",1,0.370596920480911,1
"eacc",2,0.377979329255431,1
"eacc",3,0.37523729171061,1
"eacc",4,0.370385994515925,1
"eacc",5,0.36954229065598,1
"ebinacc",1,0.051676861421641,1
"ebinacc",2,0.0556844547563805,1
"ebinacc",3,0.051676861421641,1
"ebinacc",4,0.0552626028264079,1
"ebinacc",5,0.0520987133516135,1
"nll",1,0.915694797019522,1
"nll",2,0.985016406333118,1
"nll",3,0.981296661727165,1
"nll",4,0.943034084074933,1
"nll",5,0.966209566358847,1
"binnll",1,0.15719856442255,1
"binnll",2,0.159283325337535,1
"binnll",3,0.160804017841433,1
"binnll",4,0.157091347433711,1
"binnll",5,0.155639466870307,1
"rps",1,0.0516430849724544,1
"rps",2,0.0540361429670364,1
"rps",3,0.0535465877867383,1
"rps",4,0.0522852487475101,1
"rps",5,0.0520987512439695,1
"cint",1,0.544575989467483,1
"cint",2,0.680995081942718,1
"cint",3,0.43392018640283,1
"cint",4,0.662761028375342,1
"cint",5,0.407606563953214,1
"cslope",1,0.999987347323205,1
"cslope",2,0.746739274536019,1
"cslope",3,0.796062716382916,1
"cslope",4,0.838822140996759,1
"cslope",5,0.770333078316761,1
"brier",1,0.0421952978800316,1
"brier",2,0.0437751602213954,1
"brier",3,0.042387622125461,1
"brier",4,0.0426327612036292,1
"brier",5,0.04076684562357,1
"auc",1,0.963824540987101,1
"auc",2,0.965045886887239,1
"auc",3,0.961450981973626,1
"auc",4,0.963989883568865,1
"auc",5,0.965576192972652,1
"eauc",1,0.036175459012899,1
"eauc",2,0.0349541131127613,1
"eauc",3,0.0385490180263741,1
"eauc",4,0.0360101164311351,1
"eauc",5,0.0344238070273478,1
"qwk",1,0.886113972425926,1
"qwk",2,0.882350987264087,1
"qwk",3,0.87848475401159,1
"qwk",4,0.884345582080407,1
"qwk",5,0.888036637995538,1
"eqwk",1,0.113886027574074,1
"eqwk",2,0.117649012735913,1
"eqwk",3,0.12151524598841,1
"eqwk",4,0.115654417919593,1
"eqwk",5,0.111963362004462,1
"acc",1,0.608099557055474,2
"acc",2,0.617591225479857,2
"acc",3,0.629192153554103,2
"acc",4,0.60831048302046,2
"acc",5,0.620122337059692,2
"binacc",1,0.946213878928496,2
"binacc",2,0.946213878928496,2
"binacc",3,0.951487028053153,2
"binacc",4,0.944737397173592,2
"binacc",5,0.943893693313647,2
"eacc",1,0.391900442944526,2
"eacc",2,0.382408774520143,2
"eacc",3,0.370807846445897,2
"eacc",4,0.39168951697954,2
"eacc",5,0.379877662940308,2
"ebinacc",1,0.0537861210715039,2
"ebinacc",2,0.0537861210715039,2
"ebinacc",3,0.0485129719468467,2
"ebinacc",4,0.0552626028264079,2
"ebinacc",5,0.0561063066863531,2
"nll",1,0.991539018131465,2
"nll",2,0.988041570777479,2
"nll",3,0.998201884753396,2
"nll",4,0.979801281478582,2
"nll",5,1.0447299761125,2
"binnll",1,0.158809752793899,2
"binnll",2,0.147503014532209,2
"binnll",3,0.146497477192827,2
"binnll",4,0.158030456558271,2
"binnll",5,0.157445102706361,2
"rps",1,0.0550831935472572,2
"rps",2,0.0555095168274577,2
"rps",3,0.0541266871004186,2
"rps",4,0.0560068574673392,2
"rps",5,0.0561010921396501,2
"cint",1,0.536262678802761,2
"cint",2,0.608851441176737,2
"cint",3,0.646857063592991,2
"cint",4,0.671509790210221,2
"cint",5,0.710538583687437,2
"cslope",1,0.781862878943927,2
"cslope",2,0.820967919713998,2
"cslope",3,0.735859368870178,2
"cslope",4,0.883466551692475,2
"cslope",5,0.684565944553715,2
"brier",1,0.0432728485955212,2
"brier",2,0.0416152940273114,2
"brier",3,0.0393060297383292,2
"brier",4,0.0430179201129365,2
"brier",5,0.0433677355446302,2
"auc",1,0.964282850636646,2
"auc",2,0.9710742807659,2
"auc",3,0.968815148016293,2
"auc",4,0.965829793863086,2
"auc",5,0.967381891657847,2
"eauc",1,0.0357171493633536,2
"eauc",2,0.0289257192340999,2
"eauc",3,0.031184851983707,2
"eauc",4,0.0341702061369145,2
"eauc",5,0.0326181083421534,2
"qwk",1,0.882587913064598,2
"qwk",2,0.876728560403142,2
"qwk",3,0.885269651560956,2
"qwk",4,0.874142373828604,2
"qwk",5,0.879717965487073,2
"eqwk",1,0.117412086935402,2
"eqwk",2,0.123271439596858,2
"eqwk",3,0.114730348439044,2
"eqwk",4,0.125857626171396,2
"eqwk",5,0.120282034512927,2
"acc",1,0.607677705125501,3
"acc",2,0.622231596709555,3
"acc",3,0.621176966884624,3
"acc",4,0.632988820923856,3
"acc",5,0.621598818814596,3
"binacc",1,0.937144062434086,3
"binacc",2,0.937565914364058,3
"binacc",3,0.935245728749209,3
"binacc",4,0.943260915418688,3
"binacc",5,0.941151655768825,3
"eacc",1,0.392322294874499,3
"eacc",2,0.377768403290445,3
"eacc",3,0.378823033115376,3
"eacc",4,0.367011179076144,3
"eacc",5,0.378401181185404,3
"ebinacc",1,0.0628559375659143,3
"ebinacc",2,0.0624340856359418,3
"ebinacc",3,0.0647542712507909,3
"ebinacc",4,0.0567390845813119,3
"ebinacc",5,0.0588483442311749,3
"nll",1,1.00330617901582,3
"nll",2,0.958381113562571,3
"nll",3,0.956863420469997,3
"nll",4,1.01250887053344,3
"nll",5,0.949194396829453,3
"binnll",1,0.181369843089935,3
"binnll",2,0.167473244081773,3
"binnll",3,0.172686639933752,3
"binnll",4,0.164522808219978,3
"binnll",5,0.163623345360249,3
"rps",1,0.0559549989224793,3
"rps",2,0.0532761561256428,3
"rps",3,0.0542657135219085,3
"rps",4,0.0535600710222326,3
"rps",5,0.0534314212118476,3
"cint",1,0.757192474287493,3
"cint",2,0.447674454323419,3
"cint",3,0.707918994977226,3
"cint",4,0.398599839543632,3
"cint",5,0.665979211371464,3
"cslope",1,0.822747537354829,3
"cslope",2,0.829194582975277,3
"cslope",3,0.89025867813923,3
"cslope",4,0.705505031000724,3
"cslope",5,0.842291588994143,3
"brier",1,0.0493041350165047,3
"brier",2,0.0468863420439956,3
"brier",3,0.0486208964483636,3
"brier",4,0.0443717465837199,3
"brier",5,0.0453101774751519,3
"auc",1,0.957136835493256,3
"auc",2,0.964702349466631,3
"auc",3,0.96366150930089,3
"auc",4,0.964764061535749,3
"auc",5,0.967467270563343,3
"eauc",1,0.0428631645067442,3
"eauc",2,0.0352976505333686,3
"eauc",3,0.0363384906991095,3
"eauc",4,0.0352359384642511,3
"eauc",5,0.032532729436657,3
"qwk",1,0.877677064638027,3
"qwk",2,0.884314087932278,3
"qwk",3,0.874410862525162,3
"qwk",4,0.883045102909967,3
"qwk",5,0.883667249865017,3
"eqwk",1,0.122322935361973,3
"eqwk",2,0.115685912067722,3
"eqwk",3,0.125589137474838,3
"eqwk",4,0.116954897090033,3
"eqwk",5,0.116332750134983,3
"acc",1,0.618434929339802,4
"acc",2,0.619278633199747,4
"acc",3,0.63446530267876,4
"acc",4,0.618434929339802,4
"acc",5,0.627926597764185,4
"binacc",1,0.947901286648386,4
"binacc",2,0.943471841383674,4
"binacc",3,0.946635730858469,4
"binacc",4,0.944315545243619,4
"binacc",5,0.946213878928496,4
"eacc",1,0.381565070660198,4
"eacc",2,0.380721366800253,4
"eacc",3,0.36553469732124,4
"eacc",4,0.381565070660198,4
"eacc",5,0.372073402235815,4
"ebinacc",1,0.0520987133516135,4
"ebinacc",2,0.0565281586163257,4
"ebinacc",3,0.0533642691415314,4
"ebinacc",4,0.0556844547563805,4
"ebinacc",5,0.0537861210715039,4
"nll",1,1.11752293473446,4
"nll",2,1.04820100654819,4
"nll",3,0.931445567312197,4
"nll",4,1.00692491004196,4
"nll",5,0.97989971491617,4
"binnll",1,0.172075411103626,4
"binnll",2,0.166815747606222,4
"binnll",3,0.15889910553891,4
"binnll",4,0.165481757798012,4
"binnll",5,0.158844231124357,4
"rps",1,0.0566675915442799,4
"rps",2,0.0549376466240946,4
"rps",3,0.0526114015862306,4
"rps",4,0.0547186518391972,4
"rps",5,0.0534077060212239,4
"cint",1,0.514680134860177,4
"cint",2,0.717270089666865,4
"cint",3,0.625944340211565,4
"cint",4,0.608539933918808,4
"cint",5,0.588851913155677,4
"cslope",1,0.597664419068556,4
"cslope",2,0.691680228388997,4
"cslope",3,0.958223818472523,4
"cslope",4,0.745502762106532,4
"cslope",5,0.767278638814478,4
"brier",1,0.0420183300883801,4
"brier",2,0.04425414179476,4
"brier",3,0.0436267346401023,4
"brier",4,0.0436861275019109,4
"brier",5,0.0424033384645177,4
"auc",1,0.961535767355441,4
"auc",2,0.967074499725547,4
"auc",3,0.966881291469439,4
"auc",4,0.965832569687031,4
"auc",5,0.966865501790263,4
"eauc",1,0.0384642326445588,4
"eauc",2,0.0329255002744533,4
"eauc",3,0.0331187085305608,4
"eauc",4,0.0341674303129686,4
"eauc",5,0.0331344982097375,4
"qwk",1,0.878101864130054,4
"qwk",2,0.884317205909639,4
"qwk",3,0.882895679955892,4
"qwk",4,0.874666415927483,4
"qwk",5,0.882515401430969,4
"eqwk",1,0.121898135869946,4
"eqwk",2,0.115682794090361,4
"eqwk",3,0.117104320044108,4
"eqwk",4,0.125333584072517,4
"eqwk",5,0.117484598569031,4
"acc",1,0.625395486184349,5
"acc",2,0.637207340223581,5
"acc",3,0.62708289390424,5
"acc",4,0.630246783379034,5
"acc",5,0.628981227589116,5
"binacc",1,0.951487028053153,5
"binacc",2,0.947479434718414,5
"binacc",3,0.950854250158194,5
