"metric","ens","val","spl"
"acc",1,0.542501581944737,1
"acc",2,0.556422695633833,1
"acc",3,0.52415102299093,1
"acc",4,0.550516768614216,1
"acc",5,0.545665471419532,1
"binacc",1,0.934402024889264,1
"binacc",2,0.935034802784223,1
"binacc",3,0.931027209449483,1
"binacc",4,0.941151655768825,1
"binacc",5,0.929128875764607,1
"eacc",1,0.457498418055263,1
"eacc",2,0.443577304366167,1
"eacc",3,0.47584897700907,1
"eacc",4,0.449483231385784,1
"eacc",5,0.454334528580468,1
"ebinacc",1,0.0655979751107362,1
"ebinacc",2,0.0649651972157773,1
"ebinacc",3,0.0689727905505167,1
"ebinacc",4,0.0588483442311749,1
"ebinacc",5,0.0708711242353933,1
"nll",1,1.20868461920303,1
"nll",2,1.11781606814981,1
"nll",3,1.16767734606972,1
"nll",4,1.15440877386537,1
"nll",5,1.09991276602115,1
"binnll",1,0.211960560508587,1
"binnll",2,0.206849093975464,1
"binnll",3,0.206668716798807,1
"binnll",4,0.197304070830417,1
"binnll",5,0.210409390304226,1
"rps",1,0.0660486289300355,1
"rps",2,0.0626694109045052,1
"rps",3,0.0668017326539771,1
"rps",4,0.0631117581077216,1
"rps",5,0.0626778540803926,1
"cint",1,0.425307404965667,1
"cint",2,0.211624255984554,1
"cint",3,0.528905624757328,1
"cint",4,0.480820594715807,1
"cint",5,0.0720006995728673,1
"cslope",1,1.06207495473509,1
"cslope",2,1.12307933059275,1
"cslope",3,1.41298590866451,1
"cslope",4,1.09190035156202,1
"cslope",5,1.21099794983872,1
"brier",1,0.0557435357379329,1
"brier",2,0.0556032131736066,1
"brier",3,0.0577415204256615,1
"brier",4,0.0523487369950368,1
"brier",5,0.0568629422662536,1
"auc",1,0.941600654457048,1
"auc",2,0.946230534799717,1
"auc",3,0.949158884427264,1
"auc",4,0.948547923423916,1
"auc",5,0.945616981316864,1
"eauc",1,0.0583993455429517,1
"eauc",2,0.0537694652002835,1
"eauc",3,0.0508411155727363,1
"eauc",4,0.0514520765760835,1
"eauc",5,0.0543830186831357,1
"qwk",1,0.807633461094589,1
"qwk",2,0.817951532412098,1
"qwk",3,0.780565125171721,1
"qwk",4,0.823354378825891,1
"qwk",5,0.808045425254223,1
"eqwk",1,0.192366538905411,1
"eqwk",2,0.182048467587902,1
"eqwk",3,0.219434874828279,1
"eqwk",4,0.176645621174109,1
"eqwk",5,0.191954574745777,1
"acc",1,0.541868804049779,2
"acc",2,0.534064543345286,2
"acc",3,0.545243619489559,2
"acc",4,0.550094916684244,2
"acc",5,0.538072136680025,2
"binacc",1,0.940518877873866,2
"binacc",2,0.942839063488715,2
"binacc",3,0.940518877873866,2
"binacc",4,0.940097025943894,2
"binacc",5,0.935878506644168,2
"eacc",1,0.458131195950221,2
"eacc",2,0.465935456654714,2
"eacc",3,0.454756380510441,2
"eacc",4,0.449905083315756,2
"eacc",5,0.461927863319975,2
"ebinacc",1,0.0594811221261338,2
"ebinacc",2,0.0571609365112845,2
"ebinacc",3,0.0594811221261338,2
"ebinacc",4,0.0599029740561063,2
"ebinacc",5,0.0641214933558321,2
"nll",1,1.14795991247458,2
"nll",2,1.15989469346367,2
"nll",3,1.15294632105661,2
"nll",4,1.12758365157248,2
"nll",5,1.12591870476448,2
"binnll",1,0.182511150566647,2
"binnll",2,0.185326777050649,2
"binnll",3,0.180799580576017,2
"binnll",4,0.188499397062969,2
"binnll",5,0.199123618038018,2
"rps",1,0.0639862348753625,2
"rps",2,0.0645629773549291,2
"rps",3,0.0631918524571865,2
"rps",4,0.0626310942746486,2
"rps",5,0.0637093971045864,2
"cint",1,0.526009675684606,2
"cint",2,0.420238017424711,2
"cint",3,0.475761419480659,2
"cint",4,0.266974613262309,2
"cint",5,0.218010166198223,2
"cslope",1,1.2132693246411,2
"cslope",2,1.11041555684299,2
"cslope",3,1.15498252504286,2
"cslope",4,1.07407160354442,2
"cslope",5,1.19310985440287,2
"brier",1,0.0499058858573116,2
"brier",2,0.0500319239893383,2
"brier",3,0.0494619866662644,2
"brier",4,0.0502186630525806,2
"brier",5,0.0539054674600435,2
"auc",1,0.958307990039083,2
"auc",2,0.955535118646708,2
"auc",3,0.960536768108571,2
"auc",4,0.955513354913793,2
"auc",5,0.950894861697205,2
"eauc",1,0.0416920099609169,2
"eauc",2,0.0444648813532919,2
"eauc",3,0.0394632318914288,2
"eauc",4,0.0444866450862073,2
"eauc",5,0.0491051383027954,2
"qwk",1,0.820534776888657,2
"qwk",2,0.820876296662022,2
"qwk",3,0.820890527818111,2
"qwk",4,0.831838291455624,2
"qwk",5,0.815063803440529,2
"eqwk",1,0.179465223111343,2
"eqwk",2,0.179123703337978,2
"eqwk",3,0.179109472181889,2
"eqwk",4,0.168161708544376,2
"eqwk",5,0.184936196559471,2
"acc",1,0.524361948955916,3
"acc",2,0.533220839485341,3
"acc",3,0.543767137734655,3
"acc",4,0.535962877030162,3
"acc",5,0.555368065808901,3
"binacc",1,0.926597764184771,3
"binacc",2,0.920269985235182,3
"binacc",3,0.928074245939675,3
"binacc",4,0.926597764184771,3
"binacc",5,0.936933136469099,3
"eacc",1,0.475638051044084,3
"eacc",2,0.466779160514659,3
"eacc",3,0.456232862265345,3
"eacc",4,0.464037122969838,3
"eacc",5,0.444631934191099,3
"ebinacc",1,0.0734022358152289,3
"ebinacc",2,0.0797300147648176,3
"ebinacc",3,0.0719257540603249,3
"ebinacc",4,0.0734022358152289,3
"ebinacc",5,0.0630668635309006,3
"nll",1,1.14400122966798,3
"nll",2,1.12605089965881,3
"nll",3,1.12299793388829,3
"nll",4,1.12354982982319,3
"nll",5,1.1316423543232,3
"binnll",1,0.213183266811083,3
"binnll",2,0.227883780818948,3
"binnll",3,0.209098514614663,3
"binnll",4,0.217467255522729,3
"binnll",5,0.210347734908458,3
"rps",1,0.0650298186299136,3
"rps",2,0.0651217810160636,3
"rps",3,0.0625805631627677,3
"rps",4,0.0637186268130048,3
"rps",5,0.0621781955092523,3
"cint",1,0.298795072981098,3
"cint",2,0.169601807016701,3
"cint",3,0.271097160817072,3
"cint",4,0.215794869937496,3
"cint",5,0.349827270483881,3
"cslope",1,1.2637880907281,3
"cslope",2,1.28825165831109,3
"cslope",3,1.11956259443773,3
"cslope",4,1.19978735971704,3
"cslope",5,1.05790418407854,3
"brier",1,0.0587827752708081,3
"brier",2,0.0633089528986038,3
"brier",3,0.0558557715737664,3
"brier",4,0.0598354210706349,3
"brier",5,0.0550568331786051,3
"auc",1,0.947387568324077,3
"auc",2,0.939431119412854,3
"auc",3,0.948560924138235,3
"auc",4,0.944699236313145,3
"auc",5,0.946595229436657,3
"eauc",1,0.0526124316759234,3
"eauc",2,0.0605688805871463,3
"eauc",3,0.051439075861765,3
"eauc",4,0.0553007636868553,3
"eauc",5,0.053404770563343,3
"qwk",1,0.812976337021452,3
"qwk",2,0.809850914712698,3
"qwk",3,0.831024667057422,3
"qwk",4,0.820288158528506,3
"qwk",5,0.834404734276742,3
"eqwk",1,0.187023662978548,3
"eqwk",2,0.190149085287302,3
"eqwk",3,0.168975332942578,3
"eqwk",4,0.179711841471494,3
"eqwk",5,0.165595265723258,3
"acc",1,0.542079730014765,4
"acc",2,0.551149546509175,4
"acc",3,0.545665471419532,4
"acc",4,0.549673064754271,4
"acc",5,0.536384728960135,4
"binacc",1,0.939042396118962,4
"binacc",2,0.939886099978907,4
"binacc",3,0.937776840329045,4
"binacc",4,0.937144062434086,4
"binacc",5,0.938198692259017,4
"eacc",1,0.457920269985235,4
"eacc",2,0.448850453490825,4
"eacc",3,0.454334528580468,4
"eacc",4,0.450326935245729,4
"eacc",5,0.463615271039865,4
"ebinacc",1,0.0609576038810378,4
"ebinacc",2,0.0601139000210926,4
"ebinacc",3,0.0622231596709555,4
"ebinacc",4,0.0628559375659143,4
"ebinacc",5,0.0618013077409829,4
"nll",1,1.15931465397023,4
"nll",2,1.12250039429824,4
"nll",3,1.13641331897994,4
"nll",4,1.13672418609503,4
"nll",5,1.18029320603783,4
"binnll",1,0.192279301551603,4
"binnll",2,0.188387912923857,4
"binnll",3,0.196190299033941,4
"binnll",4,0.194320976916282,4
"binnll",5,0.192255273778519,4
"rps",1,0.064523690502018,4
"rps",2,0.0616980831521012,4
"rps",3,0.0634670438821538,4
"rps",4,0.0630686554987177,4
"rps",5,0.0646705952997588,4
"cint",1,0.532380531350609,4
"cint",2,0.386983117810602,4
"cint",3,0.440880340263458,4
"cint",4,0.504097653862163,4
"cint",5,0.683949706529359,4
"cslope",1,1.27642842683402,4
"cslope",2,1.13051565997962,4
"cslope",3,1.31512953842957,4
"cslope",4,1.17973981002405,4
"cslope",5,1.19830189051971,4
"brier",1,0.0531325576472294,4
"brier",2,0.050888548533966,4
"brier",3,0.0544044773049616,4
"brier",4,0.0544648787991725,4
"brier",5,0.0532539632893278,4
"auc",1,0.95426160570128,4
"auc",2,0.956839629683219,4
"auc",3,0.955828516045759,4
"auc",4,0.95481596698292,4
"auc",5,0.955474827232201,4
"eauc",1,0.0457383942987201,4
"eauc",2,0.0431603703167811,4
"eauc",3,0.044171483954241,4
"eauc",4,0.0451840330170804,4
"eauc",5,0.0445251727677987,4
"qwk",1,0.809286397204747,4
"qwk",2,0.832274615030161,4
"qwk",3,0.807911843919997,4
"qwk",4,0.813499484231136,4
"qwk",5,0.812823375514561,4
"eqwk",1,0.190713602795253,4
"eqwk",2,0.167725384969839,4
"eqwk",3,0.192088156080003,4
"eqwk",4,0.186500515768864,4
"eqwk",5,0.187176624485439,4
"acc",1,0.555578991773887,5
"acc",2,0.547141953174436,5
"acc",3,0.549883990719258,5
"acc",4,0.552836954229066,5
"acc",5,0.552626028264079,5
"binacc",1,0.936089432609154,5
"binacc",2,0.938409618224003,5
"binacc",3,0.934823876819236,5
"binacc",4,0.933136469099346,5
"binacc",5,0.934191098924278,5
"eacc",1,0.444421008226113,5
"eacc",2,0.452858046825564,5
"eacc",3,0.450116009280742,5
"eacc",4,0.447163045770934,5
"eacc",5,0.447373971735921,5
"ebinacc",1,0.0639105673908458,5
"ebinacc",2,0.0615903817759966,5
"ebinacc",3,0.0651761231807636,5
"ebinacc",4,0.0668635309006539,5
"ebinacc",5,0.0658089010757225,5
"nll",1,1.14401495148408,5
"nll",2,1.12921315120972,5
"nll",3,1.10637612968461,5
"nll",4,1.07921672423693,5
