"metric","ens","val","spl"
"acc",1,0.544821767559587,1
"acc",2,0.530900653870491,1
"acc",3,0.55199325036912,1
"acc",4,0.555157139843915,1
"acc",5,0.562328622653449,1
"binacc",1,0.92891794979962,1
"binacc",2,0.920059059270196,1
"binacc",3,0.928285171904661,1
"binacc",4,0.924910356464881,1
"binacc",5,0.926386838219785,1
"eacc",1,0.455178232440413,1
"eacc",2,0.469099346129509,1
"eacc",3,0.44800674963088,1
"eacc",4,0.444842860156085,1
"eacc",5,0.437671377346551,1
"ebinacc",1,0.0710820502003797,1
"ebinacc",2,0.0799409407298038,1
"ebinacc",3,0.0717148280953386,1
"ebinacc",4,0.0750896435351192,1
"ebinacc",5,0.0736131617802152,1
"nll",1,1.12982846138718,1
"nll",2,1.1208951843422,1
"nll",3,1.0955534605946,1
"nll",4,1.07410729351599,1
"nll",5,1.06246241038733,1
"binnll",1,0.199789220247194,1
"binnll",2,0.212015041085371,1
"binnll",3,0.205590831190221,1
"binnll",4,0.204273579601205,1
"binnll",5,0.204317135145399,1
"rps",1,0.0651893325012156,1
"rps",2,0.0662296834205297,1
"rps",3,0.063443852052489,1
"rps",4,0.0621836672854607,1
"rps",5,0.0609120773807945,1
"cint",1,0.431590084608074,1
"cint",2,0.365570711087685,1
"cint",3,0.369268631900388,1
"cint",4,0.334714562752987,1
"cint",5,0.149306903217578,1
"cslope",1,1.30153558675872,1
"cslope",2,1.36792775147846,1
"cslope",3,1.26411879849479,1
"cslope",4,1.30527260441643,1
"cslope",5,1.16008821512437,1
"brier",1,0.0565084191025959,1
"brier",2,0.060377587060009,1
"brier",3,0.0579656048478361,1
"brier",4,0.0583085724539023,1
"brier",5,0.0580957976728777,1
"auc",1,0.951001849302047,1
"auc",2,0.94762212018735,1
"auc",3,0.946647635946745,1
"auc",4,0.94820658028909,1
"auc",5,0.948986916620098,1
"eauc",1,0.0489981506979531,1
"eauc",2,0.0523778798126502,1
"eauc",3,0.0533523640532553,1
"eauc",4,0.0517934197109098,1
"eauc",5,0.051013083379902,1
"qwk",1,0.803753389635334,1
"qwk",2,0.790166062995886,1
"qwk",3,0.813666860225511,1
"qwk",4,0.818222529013827,1
"qwk",5,0.833239583941912,1
"eqwk",1,0.196246610364666,1
"eqwk",2,0.209833937004114,1
"eqwk",3,0.186333139774489,1
"eqwk",4,0.181777470986173,1
"eqwk",5,0.166760416058088,1
"acc",1,0.571187513182873,2
"acc",2,0.548407508964354,2
"acc",3,0.535330099135204,2
"acc",4,0.533431765450327,2
"acc",5,0.552626028264079,2
"binacc",1,0.936933136469099,2
"binacc",2,0.932081839274415,2
"binacc",3,0.916473317865429,2
"binacc",4,0.924699430499895,2
"binacc",5,0.93123813541447,2
"eacc",1,0.428812486817127,2
"eacc",2,0.451592491035646,2
"eacc",3,0.464669900864796,2
"eacc",4,0.466568234549673,2
"eacc",5,0.447373971735921,2
"ebinacc",1,0.0630668635309006,2
"ebinacc",2,0.0679181607255853,2
"ebinacc",3,0.0835266821345708,2
"ebinacc",4,0.0753005695001054,2
"ebinacc",5,0.0687618645855305,2
"nll",1,1.10079717243886,2
"nll",2,1.10253747253824,2
