"var","lor","mod","spl","w"
"gender",0.0448070727288723,"cils","1",0.424397969268456
"gender",0.0584625750780106,"cils","1",0.340101700850743
"gender",0.0534984655678272,"cils","1",0.131676708786203
"gender",0.0308806393295527,"cils","1",0.000631579807258794
"gender",0.0747650265693665,"cils","1",0.10319204128734
"gender",-0.0277097411453724,"cils","2",0.107762007141503
"gender",0.0171312540769577,"cils","2",0.146925486017108
"gender",0.0892579928040504,"cils","2",0.304707019213024
"gender",0.143864214420319,"cils","2",0.341242636138625
"gender",0.108181767165661,"cils","2",0.0993628514897407
"gender",0.0195509493350983,"cils","3",0.100854885055353
"gender",0.0784710049629211,"cils","3",0.285259421165101
"gender",0.0931612178683281,"cils","3",0.161838576179041
"gender",0.0351322181522846,"cils","3",0.250671890513274
"gender",0.0848898142576218,"cils","3",0.201375227087231
"gender",0.0178606603294611,"cils","4",0.120594480523582
"gender",0.0939791351556778,"cils","4",0.308392637227945
"gender",0.0677473694086075,"cils","4",0.31813876661886
"gender",-0.0139608746394515,"cils","4",0.120949649198904
"gender",0.137890830636024,"cils","4",0.131924466430709
"gender",0.0584896951913834,"cils","5",0.162218363991527
"gender",-0.00218971772119403,"cils","5",0.242628281590691
"gender",0.0189901050180197,"cils","5",0.254456465833439
"gender",0.0409043319523335,"cils","5",0.0858172315411719
"gender",0.0376378893852234,"cils","5",0.254879657043171
"gender",0.0561402477324009,"cils","6",0.3203481969952
"gender",0.0714082345366478,"cils","6",0.262248560477212
"gender",0.00793516542762518,"cils","6",0.139064553947357
"gender",-0.0124556440860033,"cils","6",0.224533589461196
"gender",0.0491020381450653,"cils","6",0.0538050991190351
"x_1",-0.0124149909242988,"cils","1",0.424397969268456
"x_1",-0.0162680260837078,"cils","1",0.340101700850743
"x_1",-0.0154915042221546,"cils","1",0.131676708786203
"x_1",-0.014839013107121,"cils","1",0.000631579807258794
"x_1",-0.0114445704966784,"cils","1",0.10319204128734
"x_1",-0.0101590044796467,"cils","2",0.107762007141503
"x_1",-0.0149945002049208,"cils","2",0.146925486017108
"x_1",-0.0153185687959194,"cils","2",0.304707019213024
"x_1",-0.0278574787080288,"cils","2",0.341242636138625
"x_1",-0.00675690267235041,"cils","2",0.0993628514897407
"x_1",-0.0200173780322075,"cils","3",0.100854885055353
"x_1",-0.0230535548180342,"cils","3",0.285259421165101
"x_1",-0.0215555857867002,"cils","3",0.161838576179041
"x_1",-0.0215193070471287,"cils","3",0.250671890513274
"x_1",-0.0195976383984089,"cils","3",0.201375227087231
"x_1",0.000603405002038926,"cils","4",0.120594480523582
"x_1",-1.23281351989135e-05,"cils","4",0.308392637227945
"x_1",0.00854331906884909,"cils","4",0.31813876661886
"x_1",-0.00535311736166477,"cils","4",0.120949649198904
"x_1",-0.00412228284403682,"cils","4",0.131924466430709
"x_1",-0.00370597583241761,"cils","5",0.162218363991527
"x_1",-0.00393725140020251,"cils","5",0.242628281590691
"x_1",0.0035167362075299,"cils","5",0.254456465833439
"x_1",-0.00367188104428351,"cils","5",0.0858172315411719
"x_1",-0.00914179999381304,"cils","5",0.254879657043171
"x_1",-0.0479173623025417,"cils","6",0.3203481969952
"x_1",-0.0377680286765099,"cils","6",0.262248560477212
"x_1",-0.0347907729446888,"cils","6",0.139064553947357
"x_1",-0.0407573692500591,"cils","6",0.224533589461196
"x_1",-0.0335520654916763,"cils","6",0.0538050991190351
"x_2",0.173951745033264,"cils","1",0.424397969268456
"x_2",0.155169412493706,"cils","1",0.340101700850743
"x_2",0.171903267502785,"cils","1",0.131676708786203
"x_2",0.165791302919388,"cils","1",0.000631579807258794
"x_2",0.161512479186058,"cils","1",0.10319204128734
"x_2",0.177215382456779,"cils","2",0.107762007141503
"x_2",0.195692449808121,"cils","2",0.146925486017108
"x_2",0.210246831178665,"cils","2",0.304707019213024
"x_2",0.191113755106926,"cils","2",0.341242636138625
"x_2",0.196949005126953,"cils","2",0.0993628514897407
"x_2",0.171491160988808,"cils","3",0.100854885055353
"x_2",0.163565561175346,"cils","3",0.285259421165101
"x_2",0.172998115420341,"cils","3",0.161838576179041
"x_2",0.173573583364487,"cils","3",0.250671890513274
"x_2",0.160606995224953,"cils","3",0.201375227087231
"x_2",0.17662787437439,"cils","4",0.120594480523582
"x_2",0.187563881278038,"cils","4",0.308392637227945
"x_2",0.164196640253067,"cils","4",0.31813876661886
"x_2",0.17411307990551,"cils","4",0.120949649198904
"x_2",0.168803811073303,"cils","4",0.131924466430709
"x_2",0.172638595104218,"cils","5",0.162218363991527
"x_2",0.154659435153008,"cils","5",0.242628281590691
"x_2",0.180766299366951,"cils","5",0.254456465833439
"x_2",0.182571098208427,"cils","5",0.0858172315411719
"x_2",0.177472099661827,"cils","5",0.254879657043171
"x_2",0.157470047473907,"cils","6",0.3203481969952
"x_2",0.15312696993351,"cils","6",0.262248560477212
"x_2",0.145828008651733,"cils","6",0.139064553947357
"x_2",0.142891466617584,"cils","6",0.224533589461196
"x_2",0.169678688049316,"cils","6",0.0538050991190351
"x_3",-0.134921312332153,"cils","1",0.424397969268456
"x_3",-0.113775722682476,"cils","1",0.340101700850743
"x_3",-0.132823571562767,"cils","1",0.131676708786203
"x_3",-0.11753948777914,"cils","1",0.000631579807258794
"x_3",-0.119788758456707,"cils","1",0.10319204128734
"x_3",-0.145488664507866,"cils","2",0.107762007141503
"x_3",-0.155185848474503,"cils","2",0.146925486017108
"x_3",-0.14744558930397,"cils","2",0.304707019213024
"x_3",-0.14758674800396,"cils","2",0.341242636138625
"x_3",-0.155562430620193,"cils","2",0.0993628514897407
"x_3",-0.172971174120903,"cils","3",0.100854885055353
"x_3",-0.173809573054314,"cils","3",0.285259421165101
"x_3",-0.165327712893486,"cils","3",0.161838576179041
"x_3",-0.167706176638603,"cils","3",0.250671890513274
"x_3",-0.151649668812752,"cils","3",0.201375227087231
"x_3",-0.15519255399704,"cils","4",0.120594480523582
"x_3",-0.151282235980034,"cils","4",0.308392637227945
"x_3",-0.140824481844902,"cils","4",0.31813876661886
"x_3",-0.139856547117233,"cils","4",0.120949649198904
"x_3",-0.162106677889824,"cils","4",0.131924466430709
"x_3",-0.138758808374405,"cils","5",0.162218363991527
"x_3",-0.1235171854496,"cils","5",0.242628281590691
"x_3",-0.147158205509186,"cils","5",0.254456465833439
"x_3",-0.155811101198196,"cils","5",0.0858172315411719
"x_3",-0.144493043422699,"cils","5",0.254879657043171
"x_3",-0.135060906410217,"cils","6",0.3203481969952
"x_3",-0.147727906703949,"cils","6",0.262248560477212
"x_3",-0.139431446790695,"cils","6",0.139064553947357
"x_3",-0.140722051262856,"cils","6",0.224533589461196
"x_3",-0.1576938778162,"cils","6",0.0538050991190351
"x_4",0.00509388791397214,"cils","1",0.424397969268456
"x_4",0.00182557362131774,"cils","1",0.340101700850743
"x_4",-0.000452224630862474,"cils","1",0.131676708786203
"x_4",-0.00832606479525566,"cils","1",0.000631579807258794
"x_4",0.00650962861254811,"cils","1",0.10319204128734
"x_4",0.00794278644025326,"cils","2",0.107762007141503
"x_4",0.00265116221271455,"cils","2",0.146925486017108
"x_4",0.00444606831297278,"cils","2",0.304707019213024
"x_4",0.0111848805099726,"cils","2",0.341242636138625
"x_4",0.0124469082802534,"cils","2",0.0993628514897407
"x_4",-0.0155414072796702,"cils","3",0.100854885055353
"x_4",-0.0147692551836371,"cils","3",0.285259421165101
"x_4",-0.0171259958297014,"cils","3",0.161838576179041
"x_4",-0.0134439645335078,"cils","3",0.250671890513274
"x_4",-0.00969178602099419,"cils","3",0.201375227087231
"x_4",0.00684249820187688,"cils","4",0.120594480523582
"x_4",0.0167813394218683,"cils","4",0.308392637227945
"x_4",-0.00904516037553549,"cils","4",0.31813876661886
"x_4",-0.0022536045871675,"cils","4",0.120949649198904
"x_4",-0.00100562209263444,"cils","4",0.131924466430709
"x_4",0.0017524934373796,"cils","5",0.162218363991527
"x_4",-0.00127461075317115,"cils","5",0.242628281590691
"x_4",-0.00652363803237677,"cils","5",0.254456465833439
"x_4",-0.00250215595588088,"cils","5",0.0858172315411719
"x_4",-0.00877347495406866,"cils","5",0.254879657043171
"x_4",0.0109530463814735,"cils","6",0.3203481969952
"x_4",-0.00226032105274498,"cils","6",0.262248560477212
"x_4",0.000341441569617018,"cils","6",0.139064553947357
"x_4",-0.00439608143642545,"cils","6",0.224533589461196
"x_4",0.00884034298360348,"cils","6",0.0538050991190351
"x_5",0.355462104082108,"cils","1",0.424397969268456
"x_5",0.336568087339401,"cils","1",0.340101700850743
"x_5",0.356321483850479,"cils","1",0.131676708786203
"x_5",0.334560841321945,"cils","1",0.000631579807258794
"x_5",0.345767468214035,"cils","1",0.10319204128734
"x_5",0.314049690961838,"cils","2",0.107762007141503
"x_5",0.342495828866959,"cils","2",0.146925486017108
"x_5",0.32334116101265,"cils","2",0.304707019213024
"x_5",0.34741935133934,"cils","2",0.341242636138625
"x_5",0.351075321435928,"cils","2",0.0993628514897407
"x_5",0.34956568479538,"cils","3",0.100854885055353
"x_5",0.340448528528214,"cils","3",0.285259421165101
"x_5",0.341364711523056,"cils","3",0.161838576179041
"x_5",0.342357605695724,"cils","3",0.250671890513274
"x_5",0.324379324913025,"cils","3",0.201375227087231
"x_5",0.368994653224945,"cils","4",0.120594480523582
"x_5",0.374628454446793,"cils","4",0.308392637227945
"x_5",0.353462129831314,"cils","4",0.31813876661886
"x_5",0.36638993024826,"cils","4",0.120949649198904
"x_5",0.374830007553101,"cils","4",0.131924466430709
"x_5",0.369081437587738,"cils","5",0.162218363991527
"x_5",0.326363652944565,"cils","5",0.242628281590691
"x_5",0.378495842218399,"cils","5",0.254456465833439
"x_5",0.39492666721344,"cils","5",0.0858172315411719
"x_5",0.374421507120132,"cils","5",0.254879657043171
"x_5",0.346430987119675,"cils","6",0.3203481969952
"x_5",0.355577230453491,"cils","6",0.262248560477212
"x_5",0.34818097949028,"cils","6",0.139064553947357
"x_5",0.341087967157364,"cils","6",0.224533589461196
"x_5",0.390747457742691,"cils","6",0.0538050991190351
"x_6",-0.386368751525879,"cils","1",0.424397969268456
"x_6",-0.36649876832962,"cils","1",0.340101700850743
"x_6",-0.38854107260704,"cils","1",0.131676708786203
"x_6",-0.367473572492599,"cils","1",0.000631579807258794
"x_6",-0.362626582384109,"cils","1",0.10319204128734
"x_6",-0.368648022413254,"cils","2",0.107762007141503
"x_6",-0.413121044635773,"cils","2",0.146925486017108
"x_6",-0.404891550540924,"cils","2",0.304707019213024
"x_6",-0.415545672178268,"cils","2",0.341242636138625
"x_6",-0.41639643907547,"cils","2",0.0993628514897407
"x_6",-0.411099791526794,"cils","3",0.100854885055353
"x_6",-0.386320948600769,"cils","3",0.285259421165101
"x_6",-0.390923887491226,"cils","3",0.161838576179041
"x_6",-0.402212768793106,"cils","3",0.250671890513274
"x_6",-0.375363945960999,"cils","3",0.201375227087231
"x_6",-0.407480984926224,"cils","4",0.120594480523582
"x_6",-0.400900572538376,"cils","4",0.308392637227945
"x_6",-0.358567029237747,"cils","4",0.31813876661886
"x_6",-0.393371820449829,"cils","4",0.120949649198904
"x_6",-0.399030447006226,"cils","4",0.131924466430709
"x_6",-0.38105896115303,"cils","5",0.162218363991527
"x_6",-0.36365333199501,"cils","5",0.242628281590691
"x_6",-0.41586235165596,"cils","5",0.254456465833439
"x_6",-0.432049781084061,"cils","5",0.0858172315411719
"x_6",-0.394911974668503,"cils","5",0.254879657043171
"x_6",-0.379895001649857,"cils","6",0.3203481969952
"x_6",-0.379530251026154,"cils","6",0.262248560477212
"x_6",-0.372809410095215,"cils","6",0.139064553947357
"x_6",-0.372329980134964,"cils","6",0.224533589461196
"x_6",-0.425846248865128,"cils","6",0.0538050991190351
"x_7",-0.00154310860671103,"cils","1",0.424397969268456
"x_7",0.00187387166079134,"cils","1",0.340101700850743
"x_7",-0.000558230211026967,"cils","1",0.131676708786203
"x_7",-0.00325772701762617,"cils","1",0.000631579807258794
"x_7",0.000763086252845824,"cils","1",0.10319204128734
"x_7",0.0256942231208086,"cils","2",0.107762007141503
"x_7",0.0383048355579376,"cils","2",0.146925486017108
"x_7",0.0193662364035845,"cils","2",0.304707019213024
"x_7",0.028796499595046,"cils","2",0.341242636138625
"x_7",0.0381980501115322,"cils","2",0.0993628514897407
"x_7",0.0245606023818254,"cils","3",0.100854885055353
"x_7",0.0169255193322897,"cils","3",0.285259421165101
"x_7",0.0211070422083139,"cils","3",0.161838576179041
"x_7",0.025738749653101,"cils","3",0.250671890513274
"x_7",0.0220856424421072,"cils","3",0.201375227087231
"x_7",0.0231890231370926,"cils","4",0.120594480523582
"x_7",0.0218903198838234,"cils","4",0.308392637227945
"x_7",0.0153958750888705,"cils","4",0.31813876661886
"x_7",0.0196579601615667,"cils","4",0.120949649198904
"x_7",0.0157465953379869,"cils","4",0.131924466430709
"x_7",0.0170479118824005,"cils","5",0.162218363991527
"x_7",0.0253185387700796,"cils","5",0.242628281590691
"x_7",0.0067260330542922,"cils","5",0.254456465833439
"x_7",0.0205803997814655,"cils","5",0.0858172315411719
"x_7",0.022827822715044,"cils","5",0.254879657043171
"x_7",-0.00459096767008305,"cils","6",0.3203481969952
"x_7",-0.00850589480251074,"cils","6",0.262248560477212
"x_7",-0.0241695288568735,"cils","6",0.139064553947357
"x_7",-0.0197109971195459,"cils","6",0.224533589461196
"x_7",-0.0208784062415361,"cils","6",0.0538050991190351
"x_8",0.0206162743270397,"cils","1",0.424397969268456
"x_8",0.00533579522743821,"cils","1",0.340101700850743
"x_8",-0.00345518183894455,"cils","1",0.131676708786203
"x_8",0.00144367467146367,"cils","1",0.000631579807258794
"x_8",-0.00117276050150394,"cils","1",0.10319204128734
"x_8",-0.00485629541799426,"cils","2",0.107762007141503
"x_8",-0.00409332849085331,"cils","2",0.146925486017108
"x_8",-0.00658520497381687,"cils","2",0.304707019213024
"x_8",0.00117022427730262,"cils","2",0.341242636138625
"x_8",6.12883231951855e-05,"cils","2",0.0993628514897407
"x_8",0.00344193540513515,"cils","3",0.100854885055353
"x_8",-0.00505511555820704,"cils","3",0.285259421165101
"x_8",-0.000140698030008934,"cils","3",0.161838576179041
"x_8",-0.00450922548770905,"cils","3",0.250671890513274
"x_8",0.0011464913841337,"cils","3",0.201375227087231
"x_8",0.020119110122323,"cils","4",0.120594480523582
"x_8",0.0283934064209461,"cils","4",0.308392637227945
"x_8",0.0209654569625854,"cils","4",0.31813876661886
"x_8",0.0285025220364332,"cils","4",0.120949649198904
"x_8",0.0178967043757439,"cils","4",0.131924466430709
"x_8",-0.00377695076167583,"cils","5",0.162218363991527
"x_8",0.0100383227691054,"cils","5",0.242628281590691
"x_8",0.00872871279716492,"cils","5",0.254456465833439
"x_8",1.75963432411663e-05,"cils","5",0.0858172315411719
"x_8",-0.00355436443351209,"cils","5",0.254879657043171
"x_8",0.00452509010210633,"cils","6",0.3203481969952
"x_8",0.0162781849503517,"cils","6",0.262248560477212
"x_8",0.0155242821201682,"cils","6",0.139064553947357
"x_8",0.00404990185052156,"cils","6",0.224533589461196
"x_8",0.00239388342015445,"cils","6",0.0538050991190351
"x_9",0.00858755502849817,"cils","1",0.424397969268456
"x_9",0.00511270435526967,"cils","1",0.340101700850743
"x_9",0.016087694093585,"cils","1",0.131676708786203
"x_9",0.0142133273184299,"cils","1",0.000631579807258794
"x_9",0.0120358485728502,"cils","1",0.10319204128734
"x_9",0.00984257832169533,"cils","2",0.107762007141503
"x_9",0.00919972267001867,"cils","2",0.146925486017108
"x_9",0.00955887045711279,"cils","2",0.304707019213024
"x_9",0.00252251466736197,"cils","2",0.341242636138625
"x_9",0.00633430620655417,"cils","2",0.0993628514897407
"x_9",-0.0116522712633014,"cils","3",0.100854885055353
"x_9",-0.00658209109678864,"cils","3",0.285259421165101
"x_9",-0.00409764610230923,"cils","3",0.161838576179041
"x_9",-0.00378219177946448,"cils","3",0.250671890513274
"x_9",-0.00991029571741819,"cils","3",0.201375227087231
"x_9",0.0043484871275723,"cils","4",0.120594480523582
"x_9",-0.00131379661615938,"cils","4",0.308392637227945
"x_9",0.00525118783116341,"cils","4",0.31813876661886
"x_9",-0.00774324825033545,"cils","4",0.120949649198904
"x_9",0.000833541853353381,"cils","4",0.131924466430709
"x_9",0.00697051966562867,"cils","5",0.162218363991527
"x_9",-0.0039718309417367,"cils","5",0.242628281590691
"x_9",0.00506763951852918,"cils","5",0.254456465833439
"x_9",0.0033948477357626,"cils","5",0.0858172315411719
"x_9",-0.00144682882819325,"cils","5",0.254879657043171
"x_9",-0.0240920446813107,"cils","6",0.3203481969952
"x_9",-0.0281569920480251,"cils","6",0.262248560477212
"x_9",-0.0250931326299906,"cils","6",0.139064553947357
"x_9",-0.0219411067664623,"cils","6",0.224533589461196
"x_9",-0.0300593301653862,"cils","6",0.0538050991190351
"x_10",-0.0075907246209681,"cils","1",0.424397969268456
"x_10",-0.00308467214927077,"cils","1",0.340101700850743
"x_10",-0.00382266892120242,"cils","1",0.131676708786203
"x_10",-0.000560007581952959,"cils","1",0.000631579807258794
"x_10",-0.00884107314050198,"cils","1",0.10319204128734
"x_10",-0.00892024580389261,"cils","2",0.107762007141503
"x_10",-0.00790435168892145,"cils","2",0.146925486017108
"x_10",-0.00142350955866277,"cils","2",0.304707019213024
"x_10",-0.00167965306900442,"cils","2",0.341242636138625
"x_10",-0.0114639708772302,"cils","2",0.0993628514897407
"x_10",-0.0101263169199228,"cils","3",0.100854885055353
"x_10",-0.00389269879087806,"cils","3",0.285259421165101
"x_10",-0.0138924987986684,"cils","3",0.161838576179041
"x_10",-0.00186076015233994,"cils","3",0.250671890513274
"x_10",-0.0143291326239705,"cils","3",0.201375227087231
"x_10",-0.00963042117655277,"cils","4",0.120594480523582
"x_10",-0.014495138078928,"cils","4",0.308392637227945
"x_10",-0.00404757680371404,"cils","4",0.31813876661886
"x_10",-0.00214323261752725,"cils","4",0.120949649198904
"x_10",-0.00799682177603245,"cils","4",0.131924466430709
"x_10",0.00461112754419446,"cils","5",0.162218363991527
"x_10",-0.00444044778123498,"cils","5",0.242628281590691
"x_10",-0.00715742353349924,"cils","5",0.254456465833439
"x_10",-0.00280894734896719,"cils","5",0.0858172315411719
"x_10",-0.0186089109629393,"cils","5",0.254879657043171
"x_10",-0.0119926873594522,"cils","6",0.3203481969952
"x_10",-0.0161148253828287,"cils","6",0.262248560477212
"x_10",-0.0203777439892292,"cils","6",0.139064553947357
"x_10",-0.0217857174575329,"cils","6",0.224533589461196
"x_10",-0.0236990731209517,"cils","6",0.0538050991190351
"gender",0.233764007687569,"silscs","1",0
"gender",0.210699066519737,"silscs","1",0
"gender",0.193673133850098,"silscs","1",0.064529592311052
"gender",0.196795925498009,"silscs","1",0.42562551361249
"gender",0.17484824359417,"silscs","1",0.509844894076458
"gender",0.398006975650787,"silscs","2",0.258481245111885
"gender",0.247074753046036,"silscs","2",0.20977938209528
"gender",0.22499218583107,"silscs","2",0
"gender",0.19184336066246,"silscs","2",0
"gender",0.142258137464523,"silscs","2",0.531739372792835
"gender",0.179685562849045,"silscs","3",0
"gender",0.228419378399849,"silscs","3",0.599182173073298
"gender",0.2112677693367,"silscs","3",0.0265630178688308
"gender",0.232705444097519,"silscs","3",0
"gender",0.109861440956593,"silscs","3",0.374254809057871
"gender",0.165452539920807,"silscs","4",0
"gender",0.342952638864517,"silscs","4",0.354055422164425
"gender",0.174409776926041,"silscs","4",0.140362730140927
"gender",0.0743630900979042,"silscs","4",0.358419360805447
"gender",0.380690336227417,"silscs","4",0.147162486889201
"gender",0.109966240823269,"silscs","5",0
"gender",0.111061595380306,"silscs","5",0.248736652693194
"gender",0.0736560225486755,"silscs","5",0.377574058821846
"gender",0.234714731574059,"silscs","5",0.0039868042589285
"gender",0.224657133221626,"silscs","5",0.369702484226032
"gender",-0.00828303582966328,"silscs","6",0.0866841310095552
"gender",0.142767667770386,"silscs","6",0.359042862049245
"gender",0.212948605418205,"silscs","6",0.245796797548082
"gender",0.219995826482773,"silscs","6",0.308476209393117
"gender",0.166292831301689,"silscs","6",0
"x_1",-0.00144457642454654,"silscs","1",0
"x_1",-0.000247484189458191,"silscs","1",0
"x_1",-0.00858117174357176,"silscs","1",0.064529592311052
"x_1",-0.00674934638664126,"silscs","1",0.42562551361249
"x_1",-0.00804371945559978,"silscs","1",0.509844894076458
"x_1",-0.00827367790043354,"silscs","2",0.258481245111885
"x_1",-0.00197215215303004,"silscs","2",0.20977938209528
"x_1",0.00101168034598231,"silscs","2",0
"x_1",-0.00801537837833166,"silscs","2",0
"x_1",-0.00297278584912419,"silscs","2",0.531739372792835
"x_1",-0.01790701597929,"silscs","3",0
"x_1",-0.0213223267346621,"silscs","3",0.599182173073298
"x_1",-0.0171107854694128,"silscs","3",0.0265630178688308
