"metric","topn","val","method","spl"
"acc",1,0.608732334950432,"linear",1
"binacc",1,0.942206285593757,"linear",1
"eacc",1,0.391267665049568,"linear",1
"ebinacc",1,0.0577937144062434,"linear",1
"nll",1,0.968995961744593,"linear",1
"binnll",1,0.173299504535629,"linear",1
"rps",1,0.0569424128784885,"linear",1
"cint",1,0.46169826362686,"linear",1
"cslope",1,1.1025326580821,"linear",1
"brier",1,0.0473398485036139,"linear",1
"auc",1,0.959668220234014,"linear",1
"eauc",1,0.0403317797659856,"linear",1
"qwk",1,0.860061631543138,"linear",1
"eqwk",1,0.139938368456862,"linear",1
"acc",2,0.62877030162413,"linear",1
"binacc",2,0.950854250158194,"linear",1
"eacc",2,0.37122969837587,"linear",1
"ebinacc",2,0.0491457498418055,"linear",1
"nll",2,0.92274030999935,"linear",1
"binnll",2,0.17083437903503,"linear",1
"rps",2,0.0538526524519466,"linear",1
"cint",2,0.51104732685413,"linear",1
"cslope",2,1.30976491046485,"linear",1
"brier",2,0.0454848735399243,"linear",1
"auc",2,0.966345583279083,"linear",1
"eauc",2,0.0336544167209167,"linear",1
"qwk",2,0.871457252151435,"linear",1
"eqwk",2,0.128542747848565,"linear",1
"acc",3,0.631512339168952,"linear",1
"binacc",3,0.948744990508332,"linear",1
"eacc",3,0.368487660831048,"linear",1
"ebinacc",3,0.0512550094916684,"linear",1
"nll",3,0.917894209819592,"linear",1
"binnll",3,0.170666500040937,"linear",1
"rps",3,0.0536209509051887,"linear",1
"cint",3,0.565626041852409,"linear",1
"cslope",3,1.32837960010808,"linear",1
"brier",3,0.045291478399716,"linear",1
"auc",3,0.968272947764419,"linear",1
"eauc",3,0.0317270522355815,"linear",1
"qwk",3,0.874348313000484,"linear",1
"eqwk",3,0.125651686999516,"linear",1
"acc",4,0.623708078464459,"linear",1
"binacc",4,0.950643324193208,"linear",1
"eacc",4,0.376291921535541,"linear",1
"ebinacc",4,0.0493566758067918,"linear",1
"nll",4,0.919071128372014,"linear",1
"binnll",4,0.169129345811921,"linear",1
"rps",4,0.0538372157781128,"linear",1
"cint",4,0.592674294332237,"linear",1
"cslope",4,1.34243129457672,"linear",1
"brier",4,0.0448990706589641,"linear",1
"auc",4,0.96928603114432,"linear",1
"eauc",4,0.0307139688556796,"linear",1
"qwk",4,0.872607802389202,"linear",1
"eqwk",4,0.127392197610798,"linear",1
"acc",5,0.624973634254377,"linear",1
"binacc",5,0.954229065597975,"linear",1
"eacc",5,0.375026365745623,"linear",1
"ebinacc",5,0.0457709344020248,"linear",1
"nll",5,0.916399027937556,"linear",1
"binnll",5,0.166958044327936,"linear",1
"rps",5,0.05371058915938,"linear",1
"cint",5,0.59145978506839,"linear",1
"cslope",5,1.36792570936537,"linear",1
"brier",5,0.0439559526605289,"linear",1
"auc",5,0.969586758766901,"linear",1
"eauc",5,0.0304132412330985,"linear",1
"qwk",5,0.873212581352687,"linear",1
"eqwk",5,0.126787418647313,"linear",1
"acc",1,0.608732334950432,"log-linear",1
"binacc",1,0.942206285593757,"log-linear",1
"eacc",1,0.391267665049568,"log-linear",1
"ebinacc",1,0.0577937144062434,"log-linear",1
"nll",1,0.968995961744593,"log-linear",1
"binnll",1,0.173299504535629,"log-linear",1
"rps",1,0.0569424128784885,"log-linear",1
"cint",1,0.46169826362686,"log-linear",1
"cslope",1,1.1025326580821,"log-linear",1
"brier",1,0.0473398485036139,"log-linear",1
"auc",1,0.959668220234014,"log-linear",1
"eauc",1,0.0403317797659856,"log-linear",1
"qwk",1,0.860061631543138,"log-linear",1
"eqwk",1,0.139938368456862,"log-linear",1
"acc",2,0.62476270828939,"log-linear",1
"binacc",2,0.950010546298249,"log-linear",1
"eacc",2,0.37523729171061,"log-linear",1
"ebinacc",2,0.0499894537017507,"log-linear",1
"nll",2,0.915682271753317,"log-linear",1
"binnll",2,0.164346186047708,"log-linear",1
"rps",2,0.0534058477521406,"log-linear",1
"cint",2,0.41122134739033,"log-linear",1
"cslope",2,1.24552664683012,"log-linear",1
"brier",2,0.0440811106899884,"log-linear",1
"auc",2,0.966534258176392,"log-linear",1
"eauc",2,0.0334657418236077,"log-linear",1
"qwk",2,0.869741667658815,"log-linear",1
"eqwk",2,0.130258332341185,"log-linear",1
"acc",3,0.630246783379034,"log-linear",1
"binacc",3,0.949588694368277,"log-linear",1
"eacc",3,0.369753216620966,"log-linear",1
"ebinacc",3,0.0504113056317232,"log-linear",1
"nll",3,0.907774905262444,"log-linear",1
"binnll",3,0.16247486197678,"log-linear",1
"rps",3,0.0528887544966424,"log-linear",1
"cint",3,0.450350429826175,"log-linear",1
"cslope",3,1.2602136190869,"log-linear",1
"brier",3,0.0433698220480511,"log-linear",1
"auc",3,0.968280437149655,"log-linear",1
"eauc",3,0.0317195628503448,"log-linear",1
"qwk",3,0.873486599252484,"log-linear",1
"eqwk",3,0.126513400747516,"log-linear",1
"acc",4,0.622653448639528,"log-linear",1
"binacc",4,0.952541657878085,"log-linear",1
"eacc",4,0.377346551360472,"log-linear",1
"ebinacc",4,0.0474583421219152,"log-linear",1
"nll",4,0.907445469439932,"log-linear",1
"binnll",4,0.160338855308616,"log-linear",1
"rps",4,0.0529544652847893,"log-linear",1
"cint",4,0.464612574571713,"log-linear",1
"cslope",4,1.26245770937159,"log-linear",1
"brier",4,0.0427508827225954,"log-linear",1
"auc",4,0.96864799313281,"log-linear",1
"eauc",4,0.0313520068671902,"log-linear",1
"qwk",4,0.873533408514045,"log-linear",1
"eqwk",4,0.126466591485955,"log-linear",1
"acc",5,0.627293819869226,"log-linear",1
"binacc",5,0.953807213668003,"log-linear",1
"eacc",5,0.372706180130774,"log-linear",1
"ebinacc",5,0.0461927863319974,"log-linear",1
"nll",5,0.903109556262441,"log-linear",1
"binnll",5,0.158142517389971,"log-linear",1
"rps",5,0.0526948993137451,"log-linear",1
"cint",5,0.453717407590001,"log-linear",1
"cslope",5,1.28216752388128,"log-linear",1
"brier",5,0.0419346957145624,"log-linear",1
"auc",5,0.968686304218828,"log-linear",1
"eauc",5,0.0313136957811717,"log-linear",1
"qwk",5,0.875703739150098,"log-linear",1
"eqwk",5,0.124296260849902,"log-linear",1
"acc",1,0.608732334950432,"trafo",1
"binacc",1,0.942206285593757,"trafo",1
"eacc",1,0.391267665049568,"trafo",1
"ebinacc",1,0.0577937144062434,"trafo",1
"nll",1,0.968995961744593,"trafo",1
"binnll",1,0.173299504535629,"trafo",1
"rps",1,0.0569424128784885,"trafo",1
"cint",1,0.46169826362686,"trafo",1
"cslope",1,1.1025326580821,"trafo",1
"brier",1,0.0473398485036139,"trafo",1
"auc",1,0.959668220234014,"trafo",1
"eauc",1,0.0403317797659856,"trafo",1
"qwk",1,0.860061631543138,"trafo",1
"eqwk",1,0.139938368456862,"trafo",1
"acc",2,0.625184560219363,"trafo",1
"binacc",2,0.950854250158194,"trafo",1
"eacc",2,0.374815439780637,"trafo",1
"ebinacc",2,0.0491457498418055,"trafo",1
"nll",2,0.917357693106669,"trafo",1
"binnll",2,0.164399701276819,"trafo",1
"rps",2,0.0535429225486794,"trafo",1
"cint",2,0.501831661241834,"trafo",1
"cslope",2,1.22803034661091,"trafo",1
"brier",2,0.0440816993570554,"trafo",1
"auc",2,0.966774782663801,"trafo",1
"eauc",2,0.0332252173361985,"trafo",1
"qwk",2,0.873132788043072,"trafo",1
"eqwk",2,0.126867211956928,"trafo",1
"acc",3,0.628348449694157,"trafo",1
"binacc",3,0.949166842438304,"trafo",1
"eacc",3,0.371651550305843,"trafo",1
"ebinacc",3,0.0508331575616958,"trafo",1
"nll",3,0.911870566649387,"trafo",1
"binnll",3,0.163408187106283,"trafo",1
"rps",3,0.0532917972089354,"trafo",1
"cint",3,0.566556200333238,"trafo",1
"cslope",3,1.22893285865454,"trafo",1
"brier",3,0.0437906060122118,"trafo",1
"auc",3,0.968508575346096,"trafo",1
"eauc",3,0.031491424653904,"trafo",1
"qwk",3,0.874057782557591,"trafo",1
"eqwk",3,0.125942217442409,"trafo",1
"acc",4,0.625606412149336,"trafo",1
"binacc",4,0.950643324193208,"trafo",1
"eacc",4,0.374393587850664,"trafo",1
"ebinacc",4,0.0493566758067918,"trafo",1
"nll",4,0.913907324639164,"trafo",1
"binnll",4,0.161677843342491,"trafo",1
"rps",4,0.0535581370332741,"trafo",1
"cint",4,0.597354246688839,"trafo",1
"cslope",4,1.22711243087571,"trafo",1
"brier",4,0.0433616078013823,"trafo",1
"auc",4,0.968831195017831,"trafo",1
"eauc",4,0.0311688049821695,"trafo",1
"qwk",4,0.874610696725366,"trafo",1
"eqwk",4,0.125389303274634,"trafo",1
"acc",5,0.623497152499473,"trafo",1
"binacc",5,0.954229065597975,"trafo",1
"eacc",5,0.376502847500527,"trafo",1
"ebinacc",5,0.0457709344020248,"trafo",1
"nll",5,0.911425515821174,"trafo",1
"binnll",5,0.159018375629961,"trafo",1
"rps",5,0.0534362317436555,"trafo",1
"cint",5,0.596682295364427,"trafo",1
"cslope",5,1.24447240350976,"trafo",1
"brier",5,0.0423620086788191,"trafo",1
"auc",5,0.968949296861948,"trafo",1
"eauc",5,0.0310507031380524,"trafo",1
"qwk",5,0.873509573811762,"trafo",1
"eqwk",5,0.126490426188238,"trafo",1
"acc",1,0.608732334950432,"avg",1
"binacc",1,0.942206285593757,"avg",1
"eacc",1,0.391267665049568,"avg",1
"ebinacc",1,0.0577937144062434,"avg",1
"nll",1,0.968995961744593,"avg",1
"binnll",1,0.173299504535629,"avg",1
"rps",1,0.0569424128784885,"avg",1
"cint",1,0.46169826362686,"avg",1
"cslope",1,1.1025326580821,"avg",1
"brier",1,0.0473398485036139,"avg",1
"auc",1,0.959668220234014,"avg",1
"eauc",1,0.0403317797659856,"avg",1
"qwk",1,0.860061631543138,"avg",1
"eqwk",1,0.139938368456862,"avg",1
"acc",2,0.60999789074035,"avg",1
"binacc",2,0.941362581733811,"avg",1
"eacc",2,0.39000210925965,"avg",1
"ebinacc",2,0.0586374182661886,"avg",1
"nll",2,0.96564742472773,"avg",1
"binnll",2,0.179072717235273,"avg",1
"rps",2,0.0570874826821103,"avg",1
"cint",2,0.530936385171669,"avg",1
"cslope",2,1.13785994006419,"avg",1
"brier",2,0.0493375135092403,"avg",1
"auc",2,0.960666468870082,"avg",1
"eauc",2,0.0393335311299179,"avg",1
"qwk",2,0.858539588157226,"avg",1
"eqwk",2,0.141460411842774,"avg",1
"acc",3,0.60662307530057,"avg",1
"binacc",3,0.940378260563875,"avg",1
"eacc",3,0.39337692469943,"avg",1
"ebinacc",3,0.0596217394361246,"avg",1
"nll",3,0.969069297539352,"avg",1
"binnll",3,0.18122621586226,"avg",1
"rps",3,0.0574676832741313,"avg",1
"cint",3,0.600216584571476,"avg",1
"cslope",3,1.12249700365905,"avg",1
"brier",3,0.0501269115045068,"avg",1
"auc",3,0.961455302772801,"avg",1
"eauc",3,0.0385446972271991,"avg",1
"qwk",3,0.855559015618141,"avg",1
"eqwk",3,0.144440984381859,"avg",1
"acc",4,0.60229909301835,"avg",1
"binacc",4,0.940360683400127,"avg",1
"eacc",4,0.39770090698165,"avg",1
"ebinacc",4,0.0596393165998734,"avg",1
"nll",4,0.977179631906432,"avg",1
"binnll",4,0.181416690811694,"avg",1
"rps",4,0.0581206413486262,"avg",1
"cint",4,0.636100411171003,"avg",1
"cslope",4,1.1098678116761,"avg",1
"brier",4,0.0502592414312358,"avg",1
"auc",4,0.96142779368472,"avg",1
"eauc",4,0.0385722063152801,"avg",1
"qwk",4,0.852244998370563,"avg",1
"eqwk",4,0.147755001629437,"avg",1
"acc",5,0.601139000210926,"avg",1
"binacc",5,0.941489137312803,"avg",1
"eacc",5,0.398860999789074,"avg",1
"ebinacc",5,0.0585108626871967,"avg",1
"nll",5,0.979388797337622,"avg",1
"binnll",5,0.179857347389037,"avg",1
"rps",5,0.0583062807461932,"avg",1
"cint",5,0.636951308321547,"avg",1
"cslope",5,1.11588576055904,"avg",1
"brier",5,0.0495751903698554,"avg",1
"auc",5,0.960765184728567,"avg",1
"eauc",5,0.0392348152714327,"avg",1
"qwk",5,0.851527797028736,"avg",1
"eqwk",5,0.148472202971264,"avg",1
"acc",1,0.59354566547142,"linear",2
"binacc",1,0.94600295296351,"linear",2
"eacc",1,0.40645433452858,"linear",2
"ebinacc",1,0.0539970470364902,"linear",2
"nll",1,0.996619719135695,"linear",2
"binnll",1,0.162523577248161,"linear",2
"rps",1,0.0588714089155208,"linear",2
"cint",1,0.642400171118362,"linear",2
"cslope",1,1.0065085082123,"linear",2
"brier",1,0.0443372519504574,"linear",2
"auc",1,0.962714286859745,"linear",2
"eauc",1,0.0372857131402546,"linear",2
"qwk",1,0.858031334367935,"linear",2
"eqwk",1,0.141968665632065,"linear",2
"acc",2,0.615271039865007,"linear",2
"binacc",2,0.954439991562961,"linear",2
"eacc",2,0.384728960134993,"linear",2
"ebinacc",2,0.0455600084370386,"linear",2
"nll",2,0.943527327854712,"linear",2
"binnll",2,0.154365131236356,"linear",2
"rps",2,0.0551902521362573,"linear",2
"cint",2,0.577342663288308,"linear",2
"cslope",2,1.1422165222204,"linear",2
"brier",2,0.0404733842757785,"linear",2
"auc",2,0.968435571332353,"linear",2
"eauc",2,0.0315644286676472,"linear",2
"qwk",2,0.869701587332156,"linear",2
"eqwk",2,0.130298412667844,"linear",2
"acc",3,0.624551782324404,"linear",2
"binacc",3,0.956338325247838,"linear",2
"eacc",3,0.375448217675596,"linear",2
"ebinacc",3,0.043661674752162,"linear",2
"nll",3,0.937237428465354,"linear",2
"binnll",3,0.159077133661005,"linear",2
"rps",3,0.0549436068461627,"linear",2
"cint",3,0.635195098330343,"linear",2
"cslope",3,1.27926425348921,"linear",2
"brier",3,0.0408302334194449,"linear",2
"auc",3,0.971259702043042,"linear",2
"eauc",3,0.0287402979569582,"linear",2
"qwk",3,0.873643507270095,"linear",2
"eqwk",3,0.126356492729905,"linear",2
"acc",4,0.618013077409829,"linear",2
"binacc",4,0.956760177177811,"linear",2
"eacc",4,0.381986922590171,"linear",2
"ebinacc",4,0.0432398228221894,"linear",2
"nll",4,0.977249682531873,"linear",2
"binnll",4,0.185790607739831,"linear",2
"rps",4,0.0578771312511953,"linear",2
"cint",4,0.73515616184219,"linear",2
"cslope",4,1.56616496674655,"linear",2
"brier",4,0.0460498484773648,"linear",2
"auc",4,0.972273433813052,"linear",2
"eauc",4,0.0277265661869481,"linear",2
"qwk",4,0.870067466787443,"linear",2
"eqwk",4,0.129932533212557,"linear",2
"acc",5,0.609154186880405,"linear",2
"binacc",5,0.956760177177811,"linear",2
"eacc",5,0.390845813119595,"linear",2
"ebinacc",5,0.0432398228221894,"linear",2
"nll",5,1.00775126064044,"linear",2
"binnll",5,0.198655621392786,"linear",2
"rps",5,0.06064855844142,"linear",2
"cint",5,0.769136905636077,"linear",2
"cslope",5,1.72633851495637,"linear",2
"brier",5,0.0486974976950277,"linear",2
"auc",5,0.971975900674905,"linear",2
"eauc",5,0.0280240993250952,"linear",2
"qwk",5,0.862635611478691,"linear",2
"eqwk",5,0.137364388521309,"linear",2
"acc",1,0.59354566547142,"log-linear",2
"binacc",1,0.94600295296351,"log-linear",2
"eacc",1,0.40645433452858,"log-linear",2
"ebinacc",1,0.0539970470364902,"log-linear",2
"nll",1,0.996619719135695,"log-linear",2
"binnll",1,0.162523577248161,"log-linear",2
"rps",1,0.0588714089155208,"log-linear",2
"cint",1,0.642400171118362,"log-linear",2
"cslope",1,1.0065085082123,"log-linear",2
"brier",1,0.0443372519504574,"log-linear",2
"auc",1,0.962714286859745,"log-linear",2
"eauc",1,0.0372857131402546,"log-linear",2
"qwk",1,0.858031334367935,"log-linear",2
"eqwk",1,0.141968665632065,"log-linear",2
"acc",2,0.613794558110103,"log-linear",2
"binacc",2,0.954229065597975,"log-linear",2
"eacc",2,0.386205441889897,"log-linear",2
"ebinacc",2,0.0457709344020248,"log-linear",2
"nll",2,0.937449644428852,"log-linear",2
"binnll",2,0.148835953247566,"log-linear",2
"rps",2,0.0546597533185794,"log-linear",2
"cint",2,0.480339241790172,"log-linear",2
"cslope",2,1.09623098722936,"log-linear",2
"brier",2,0.0392573817861278,"log-linear",2
"auc",2,0.968740836322983,"log-linear",2
"eauc",2,0.0312591636770171,"log-linear",2
"qwk",2,0.870093596910378,"log-linear",2
"eqwk",2,0.129906403089622,"log-linear",2
"acc",3,0.624973634254377,"log-linear",2
