"metric","val","method","spl"
"acc",0.604759870212714,"avgl",1
"binacc",0.94134899673106,"avgl",1
"eacc",0.395240129787286,"avgl",1
"ebinacc",0.0586510032689397,"avgl",1
"nll",0.973776339258893,"avgl",1
"binnll",0.179366343597015,"avgl",1
"rps",0.0577819931666692,"avgl",1
"cint",0.590090556140933,"avgl",1
"cslope",1.12160418552946,"avgl",1
"brier",0.0494357022793709,"avgl",1
"auc",0.960747564851341,"avgl",1
"eauc",0.0392524351486589,"avgl",1
"qwk",0.854533033185457,"avgl",1
"eqwk",0.145466966814543,"avgl",1
"acc",0.600336660310768,"avgl",2
"binacc",0.947410816142493,"avgl",2
"eacc",0.399663339689232,"avgl",2
"ebinacc",0.0525891838575067,"avgl",2
"nll",0.993291204841725,"avgl",2
"binnll",0.165002431950356,"avgl",2
"rps",0.0586437733582325,"avgl",2
"cint",0.634360305104638,"avgl",2
"cslope",1.02679580189558,"avgl",2
"brier",0.0445343606807256,"avgl",2
"auc",0.964055740521164,"avgl",2
"eauc",0.0359442594788361,"avgl",2
"qwk",0.858244567501863,"avgl",2
"eqwk",0.141755432498137,"avgl",2
"acc",0.603063120361363,"avgl",3
"binacc",0.941081811490273,"avgl",3
"eacc",0.396936879638637,"avgl",3
"ebinacc",0.0589181885097266,"avgl",3
"nll",0.983917297048615,"avgl",3
"binnll",0.17950436182803,"avgl",3
"rps",0.0581860996215474,"avgl",3
"cint",0.56728444200319,"avgl",3
"cslope",1.08881282452902,"avgl",3
"brier",0.0486582799460911,"avgl",3
"auc",0.958341267987041,"avgl",3
"eauc",0.0416587320129587,"avgl",3
"qwk",0.854442967471269,"avgl",3
"eqwk",0.145557032528731,"avgl",3
"acc",0.601143696441662,"avgl",4
"binacc",0.937750180969309,"avgl",4
"eacc",0.398856303558338,"avgl",4
"ebinacc",0.0622498190306913,"avgl",4
"nll",1.00990503515369,"avgl",4
"binnll",0.177146901439902,"avgl",4
"rps",0.0584421788941178,"avgl",4
"cint",0.678505050410183,"avgl",4
"cslope",0.958404256132328,"avgl",4
"brier",0.0495770770529618,"avgl",4
"auc",0.963846078265862,"avgl",4
"eauc",0.0361539217341378,"avgl",4
"qwk",0.854748462270361,"avgl",4
"eqwk",0.145251537729639,"avgl",4
"acc",0.608609571749594,"avgl",5
"binacc",0.941978987039434,"avgl",5
"eacc",0.391390428250406,"avgl",5
"ebinacc",0.0580210129605665,"avgl",5
"nll",0.982880448811421,"avgl",5
"binnll",0.180751794824866,"avgl",5
"rps",0.0580052427248581,"avgl",5
"cint",0.496782015274589,"avgl",5
"cslope",1.07661884759981,"avgl",5
"brier",0.0486171950439289,"avgl",5
"auc",0.955919576969301,"avgl",5
"eauc",0.0440804230306991,"avgl",5
"qwk",0.858088221166018,"avgl",5
"eqwk",0.141911778833982,"avgl",5
"acc",0.608425165113484,"avgl",6
"binacc",0.941662161129586,"avgl",6
"eacc",0.391574834886516,"avgl",6
"ebinacc",0.0583378388704142,"avgl",6
"nll",0.968347938901198,"avgl",6
"binnll",0.178860257569214,"avgl",6
"rps",0.0573862504629494,"avgl",6
"cint",0.614610132506859,"avgl",6
"cslope",1.12377311952229,"avgl",6
"brier",0.0487166627666379,"avgl",6
"auc",0.962960297044265,"avgl",6
"eauc",0.0370397029557347,"avgl",6
"qwk",0.858195493221702,"avgl",6
"eqwk",0.141804506778298,"avgl",6
"acc",0.603849736447211,"avgll",1
"binacc",0.941205636570311,"avgll",1
"eacc",0.396150263552789,"avgll",1
"ebinacc",0.0587943634296892,"avgll",1
"nll",0.975010964123406,"avgll",1
"binnll",0.179957220756938,"avgll",1
"rps",0.0579203214452132,"avgll",1
"cint",0.607735289974734,"avgll",1
