"metric","topn","val","method","spl"
"acc",1,0.619911411094706,"linear",1
"binacc",1,0.947057582788441,"linear",1
"eacc",1,0.380088588905294,"linear",1
"ebinacc",1,0.0529424172115588,"linear",1
"nll",1,0.954649293751751,"linear",1
"binnll",1,0.166232343442428,"linear",1
"rps",1,0.0544328327746645,"linear",1
"cint",1,0.6113908077285,"linear",1
"cslope",1,0.920991924369785,"linear",1
"brier",1,0.0452118047702837,"linear",1
"auc",1,0.960429833101931,"linear",1
"eauc",1,0.0395701668980695,"linear",1
"qwk",1,0.871519116192922,"linear",1
"eqwk",1,0.128480883807078,"linear",1
"acc",2,0.638683821978485,"linear",1
"binacc",2,0.950010546298249,"linear",1
"eacc",2,0.361316178021515,"linear",1
"ebinacc",2,0.0499894537017507,"linear",1
"nll",2,0.907916612327803,"linear",1
"binnll",2,0.14993325639443,"linear",1
"rps",2,0.0513473680720375,"linear",1
"cint",2,0.510166168396423,"linear",1
"cslope",2,1.00677298418077,"linear",1
"brier",2,0.0407688336149657,"linear",1
"auc",2,0.96593107461156,"linear",1
"eauc",2,0.0340689253884399,"linear",1
"qwk",2,0.879146988890622,"linear",1
"eqwk",2,0.120853011109378,"linear",1
"acc",3,0.634676228643746,"linear",1
"binacc",3,0.950854250158194,"linear",1
"eacc",3,0.365323771356254,"linear",1
"ebinacc",3,0.0491457498418055,"linear",1
"nll",3,0.88873828664833,"linear",1
"binnll",3,0.145381060983183,"linear",1
"rps",3,0.0499938146748726,"linear",1
"cint",3,0.414207361148653,"linear",1
"cslope",3,1.06350014587282,"linear",1
"brier",3,0.0393113958884029,"linear",1
"auc",3,0.966839306598148,"linear",1
"eauc",3,0.0331606934018516,"linear",1
"qwk",3,0.88082088760195,"linear",1
"eqwk",3,0.11917911239805,"linear",1
"acc",4,0.639316599873444,"linear",1
"binacc",4,0.952330731913098,"linear",1
"eacc",4,0.360683400126556,"linear",1
"ebinacc",4,0.0476692680869015,"linear",1
"nll",4,0.883178235921192,"linear",1
"binnll",4,0.14661023007082,"linear",1
"rps",4,0.0496627340879466,"linear",1
"cint",4,0.439601128660543,"linear",1
"cslope",4,1.09749140110257,"linear",1
"brier",4,0.0391661752063527,"linear",1
"auc",4,0.966586971926327,"linear",1
