"metric","val","method","spl"
"acc",0.61797805535301,"avgl",1
"binacc",0.94475636914937,"avgl",1
"eacc",0.38202194464699,"avgl",1
"ebinacc",0.05524363085063,"avgl",1
"nll",0.99214474811257,"avgl",1
"binnll",0.16713077938534,"avgl",1
"rps",0.0553267626176143,"avgl",1
"cint",0.454190679967252,"avgl",1
"cslope",0.85916962937935,"avgl",1
"brier",0.0451715309790096,"avgl",1
"auc",0.958633289533098,"avgl",1
"eauc",0.0413667104669022,"avgl",1
"qwk",0.86936854282318,"avgl",1
"eqwk",0.13063145717682,"avgl",1
"acc",0.605561378581449,"avgl",2
"binacc",0.947981770968991,"avgl",2
"eacc",0.394438621418551,"avgl",2
"ebinacc",0.0520182290310092,"avgl",2
"nll",1.03509149404047,"avgl",2
"binnll",0.156896040913749,"avgl",2
"rps",0.0577612052303511,"avgl",2
"cint",0.588119665569485,"avgl",2
"cslope",0.777646596959643,"avgl",2
"brier",0.0422351071305348,"avgl",2
"auc",0.962970264411624,"avgl",2
"eauc",0.0370297355883762,"avgl",2
"qwk",0.869016060621399,"avgl",2
"eqwk",0.130983939378601,"avgl",2
"acc",0.621199978868838,"avgl",3
"binacc",0.943300701231998,"avgl",3
"eacc",0.378800021131162,"avgl",3
"ebinacc",0.0566992987680019,"avgl",3
"nll",0.990628969618729,"avgl",3
"binnll",0.170335311015157,"avgl",3
"rps",0.0549008141637479,"avgl",3
"cint",0.575731708461142,"avgl",3
"cslope",0.873267179648172,"avgl",3
"brier",0.0459978117788713,"avgl",3
"auc",0.961555261132305,"avgl",3
"eauc",0.0384447388676946,"avgl",3
"qwk",0.880873411489343,"avgl",3
"eqwk",0.119126588510657,"avgl",3
"acc",0.607577050258879,"avgl",4
"binacc",0.943052972325511,"avgl",4
"eacc",0.392422949741121,"avgl",4
"ebinacc",0.0569470276744886,"avgl",4
"nll",Inf,"avgl",4
"binnll",0.17515822037022,"avgl",4
"rps",0.0579108458589883,"avgl",4
"cint",0.658675280374429,"avgl",4
"cslope",0.819546619830263,"avgl",4
"brier",0.0464120565493792,"avgl",4
"auc",0.95986072426404,"avgl",4
"eauc",0.0401392757359601,"avgl",4
"qwk",0.864544289298083,"avgl",4
"eqwk",0.135455710701917,"avgl",4
"acc",0.617027040633151,"avgl",5
"binacc",0.946153130222086,"avgl",5
"eacc",0.382972959366849,"avgl",5
"ebinacc",0.0538468697779139,"avgl",5
"nll",0.988753649742787,"avgl",5
"binnll",0.16821900332121,"avgl",5
"rps",0.055507977958218,"avgl",5
"cint",0.426277978159135,"avgl",5
"cslope",0.878407606118732,"avgl",5
"brier",0.0437473614290486,"avgl",5
"auc",0.955755106746774,"avgl",5
"eauc",0.044244893253226,"avgl",5
"qwk",0.872786867009183,"avgl",5
"eqwk",0.127213132990817,"avgl",5
"acc",0.620829089130974,"avgl",6
"binacc",0.944731611664787,"avgl",6
"eacc",0.379170910869026,"avgl",6
"ebinacc",0.0552683883352133,"avgl",6
"nll",1.00801099798556,"avgl",6
"binnll",0.172130595375915,"avgl",6
"rps",0.056103691083583,"avgl",6
"cint",0.547950226845888,"avgl",6
"cslope",0.810151869866601,"avgl",6
"brier",0.0454492341943405,"avgl",6
"auc",0.960149444435523,"avgl",6
"eauc",0.0398505555644768,"avgl",6
"qwk",0.872447410909336,"avgl",6
"eqwk",0.127552589090664,"avgl",6
"acc",0.618137574680495,"avgll",1
"binacc",0.945049035486737,"avgll",1
"eacc",0.381862425319505,"avgll",1
"ebinacc",0.054950964513263,"avgll",1
"nll",0.987851966099887,"avgll",1
"binnll",0.167569959488379,"avgll",1
"rps",0.0552562307936211,"avgll",1
"cint",0.485204800683088,"avgll",1
"cslope",0.867102084660938,"avgll",1
"brier",0.0453072965937222,"avgll",1
"auc",0.95856597598767,"avgll",1
"eauc",0.0414340240123301,"avgll",1
"qwk",0.869703702169186,"avgll",1
"eqwk",0.130296297830814,"avgll",1
"acc",0.605342422555834,"avgll",2
"binacc",0.947832225114551,"avgll",2
"eacc",0.394657577444166,"avgll",2
