"metric","topn","val","method","spl"
"acc",1,0.615271039865007,"linear",1
"binacc",1,0.946213878928496,"linear",1
"eacc",1,0.384728960134993,"linear",1
"ebinacc",1,0.0537861210715039,"linear",1
"nll",1,0.913839524794814,"linear",1
"binnll",1,0.157330679505139,"linear",1
"rps",1,0.0525546785234764,"linear",1
"cint",1,0.493774464735555,"linear",1
"cslope",1,0.947096443903953,"linear",1
"brier",1,0.0437376063279169,"linear",1
"auc",1,0.967778936392075,"linear",1
"eauc",1,0.0322210636079249,"linear",1
"qwk",1,0.874201112599819,"linear",1
"eqwk",1,0.125798887400181,"linear",1
"acc",2,0.645222526893061,"linear",1
"binacc",2,0.951276102088167,"linear",1
"eacc",2,0.354777473106939,"linear",1
"ebinacc",2,0.048723897911833,"linear",1
"nll",2,0.877923057519274,"linear",1
"binnll",2,0.153886994286521,"linear",1
"rps",2,0.0502041527076708,"linear",1
"cint",2,0.583979881656357,"linear",1
"cslope",2,1.16744178466026,"linear",1
"brier",2,0.0417126922480786,"linear",1
"auc",2,0.970351252167601,"linear",1
"eauc",2,0.0296487478323991,"linear",1
"qwk",2,0.889463189564135,"linear",1
"eqwk",2,0.110536810435865,"linear",1
"acc",3,0.642902341278211,"linear",1
"binacc",3,0.949799620333263,"linear",1
"eacc",3,0.357097658721789,"linear",1
"ebinacc",3,0.050200379666737,"linear",1
"nll",3,0.877040689285391,"linear",1
"binnll",3,0.155329876112072,"linear",1
"rps",3,0.0499520031766485,"linear",1
"cint",3,0.578999363039307,"linear",1
"cslope",3,1.21362246610935,"linear",1
"brier",3,0.0419457265084859,"linear",1
"auc",3,0.970472234544501,"linear",1
"eauc",3,0.0295277654554986,"linear",1
"qwk",3,0.892012481553351,"linear",1
"eqwk",3,0.107987518446649,"linear",1
"acc",4,0.642269563383252,"linear",1
"binacc",4,0.951276102088167,"linear",1
"eacc",4,0.357730436616748,"linear",1
"ebinacc",4,0.048723897911833,"linear",1
"nll",4,0.878845137199716,"linear",1
"binnll",4,0.157212414669328,"linear",1
"rps",4,0.0500096821922235,"linear",1
"cint",4,0.59388113069646,"linear",1
"cslope",4,1.24390685064058,"linear",1
"brier",4,0.0422060900586247,"linear",1
"auc",4,0.970928510937383,"linear",1
"eauc",4,0.029071489062617,"linear",1
"qwk",4,0.889654839950596,"linear",1
"eqwk",4,0.110345160049404,"linear",1
"acc",5,0.64016030373339,"linear",1
"binacc",5,0.951065176123181,"linear",1
"eacc",5,0.35983969626661,"linear",1
"ebinacc",5,0.0489348238768192,"linear",1
"nll",5,0.884976873062405,"linear",1
"binnll",5,0.159754038823832,"linear",1
"rps",5,0.0505555167553515,"linear",1
"cint",5,0.627682050694601,"linear",1
"cslope",5,1.25968580040938,"linear",1
"brier",5,0.0427095438745854,"linear",1
"auc",5,0.97015249540555,"linear",1
"eauc",5,0.0298475045944497,"linear",1
"qwk",5,0.888554635159363,"linear",1
"eqwk",5,0.111445364840637,"linear",1
"acc",1,0.615271039865007,"log-linear",1
"binacc",1,0.946213878928496,"log-linear",1
"eacc",1,0.384728960134993,"log-linear",1
"ebinacc",1,0.0537861210715039,"log-linear",1
"nll",1,0.913839524794814,"log-linear",1
"binnll",1,0.157330679505139,"log-linear",1
"rps",1,0.0525546785234764,"log-linear",1
"cint",1,0.493774464735555,"log-linear",1
"cslope",1,0.947096443903954,"log-linear",1
"brier",1,0.0437376063279169,"log-linear",1
"auc",1,0.967778936392075,"log-linear",1
"eauc",1,0.0322210636079249,"log-linear",1
"qwk",1,0.874201112599819,"log-linear",1
"eqwk",1,0.125798887400181,"log-linear",1
"acc",2,0.642691415313225,"log-linear",1
"binacc",2,0.952541657878085,"log-linear",1
"eacc",2,0.357308584686775,"log-linear",1
"ebinacc",2,0.0474583421219152,"log-linear",1
"nll",2,0.870085396389698,"log-linear",1
"binnll",2,0.147920639777453,"log-linear",1
"rps",2,0.0496108510474956,"log-linear",1
"cint",2,0.469413199913749,"log-linear",1
"cslope",2,1.10446134823885,"log-linear",1
"brier",2,0.0400833973618645,"log-linear",1
"auc",2,0.970243232188226,"log-linear",1
"eauc",2,0.0297567678117745,"log-linear",1
"qwk",2,0.889363747946343,"log-linear",1
"eqwk",2,0.110636252053657,"log-linear",1
"acc",3,0.643113267243198,"log-linear",1
"binacc",3,0.951487028053153,"log-linear",1
"eacc",3,0.356886732756802,"log-linear",1
"ebinacc",3,0.0485129719468467,"log-linear",1
"nll",3,0.865565571106807,"log-linear",1
"binnll",3,0.147845556057933,"log-linear",1
"rps",3,0.0490808763189785,"log-linear",1
"cint",3,0.444638988018305,"log-linear",1
"cslope",3,1.1407761604563,"log-linear",1
"brier",3,0.0399402439121461,"log-linear",1
"auc",3,0.970147022393262,"log-linear",1
"eauc",3,0.0298529776067381,"log-linear",1
"qwk",3,0.894294694952627,"log-linear",1
"eqwk",3,0.105705305047373,"log-linear",1
"acc",4,0.646066230753006,"log-linear",1
"binacc",4,0.952541657878085,"log-linear",1
"eacc",4,0.353933769246994,"log-linear",1
"ebinacc",4,0.0474583421219152,"log-linear",1
"nll",4,0.866034947245217,"log-linear",1
"binnll",4,0.148569210553336,"log-linear",1
"rps",4,0.0490104042486499,"log-linear",1
"cint",4,0.450019931515045,"log-linear",1
"cslope",4,1.16330998409291,"log-linear",1
"brier",4,0.0399321240307605,"log-linear",1
"auc",4,0.970263972024266,"log-linear",1
"eauc",4,0.0297360279757344,"log-linear",1
"qwk",4,0.893737838199093,"log-linear",1
"eqwk",4,0.106262161800907,"log-linear",1
"acc",5,0.644378823033115,"log-linear",1
"binacc",5,0.952330731913098,"log-linear",1
"eacc",5,0.355621176966885,"log-linear",1
"ebinacc",5,0.0476692680869015,"log-linear",1
"nll",5,0.869993685382289,"log-linear",1
"binnll",5,0.14997929986116,"log-linear",1
"rps",5,0.0493611873581196,"log-linear",1
"cint",5,0.482312113067687,"log-linear",1
"cslope",5,1.18024853193612,"log-linear",1
"brier",5,0.0402149341715991,"log-linear",1
"auc",5,0.969955755016448,"log-linear",1
"eauc",5,0.0300442449835522,"log-linear",1
"qwk",5,0.892147573852714,"log-linear",1
"eqwk",5,0.107852426147286,"log-linear",1
"acc",1,0.615271039865007,"trafo",1
"binacc",1,0.946213878928496,"trafo",1
"eacc",1,0.384728960134993,"trafo",1
"ebinacc",1,0.0537861210715039,"trafo",1
"nll",1,0.913839524794814,"trafo",1
"binnll",1,0.157330679505139,"trafo",1
"rps",1,0.0525546785234764,"trafo",1
"cint",1,0.493774464735555,"trafo",1
"cslope",1,0.947096443903953,"trafo",1
"brier",1,0.0437376063279169,"trafo",1
"auc",1,0.967778936392075,"trafo",1
"eauc",1,0.0322210636079249,"trafo",1
"qwk",1,0.874201112599819,"trafo",1
"eqwk",1,0.125798887400181,"trafo",1
"acc",2,0.642269563383252,"trafo",1
"binacc",2,0.951276102088167,"trafo",1
"eacc",2,0.357730436616748,"trafo",1
"ebinacc",2,0.048723897911833,"trafo",1
"nll",2,0.872019349312408,"trafo",1
"binnll",2,0.149204263353813,"trafo",1
"rps",2,0.0498472167398878,"trafo",1
"cint",2,0.581438900022166,"trafo",1
"cslope",2,1.08487364996723,"trafo",1
"brier",2,0.0406217185776347,"trafo",1
"auc",2,0.970391291573289,"trafo",1
"eauc",2,0.0296087084267106,"trafo",1
"qwk",2,0.889704622979685,"trafo",1
"eqwk",2,0.110295377020315,"trafo",1
"acc",3,0.642902341278211,"trafo",1
"binacc",3,0.949588694368277,"trafo",1
"eacc",3,0.357097658721789,"trafo",1
"ebinacc",3,0.0504113056317232,"trafo",1
"nll",3,0.869962191260219,"trafo",1
"binnll",3,0.149489081994141,"trafo",1
"rps",3,0.0495317960364952,"trafo",1
"cint",3,0.579926614679877,"trafo",1
"cslope",3,1.11001446956024,"trafo",1
"brier",3,0.0406271486701052,"trafo",1
"auc",3,0.970323887106159,"trafo",1
"eauc",3,0.0296761128938409,"trafo",1
"qwk",3,0.892302928521646,"trafo",1
"eqwk",3,0.107697071478354,"trafo",1
"acc",4,0.64016030373339,"trafo",1
"binacc",4,0.95169795401814,"trafo",1
"eacc",4,0.35983969626661,"trafo",1
"ebinacc",4,0.0483020459818604,"trafo",1
"nll",4,0.871291348860074,"trafo",1
"binnll",4,0.150341223307941,"trafo",1
"rps",4,0.0495584169918238,"trafo",1
"cint",4,0.594830199696886,"trafo",1
"cslope",4,1.12948868433954,"trafo",1
"brier",4,0.0407305651530175,"trafo",1
"auc",4,0.970525236347715,"trafo",1
"eauc",4,0.0294747636522851,"trafo",1
"qwk",4,0.891980875825518,"trafo",1
"eqwk",4,0.108019124174482,"trafo",1
"acc",5,0.636785488293609,"trafo",1
"binacc",5,0.951276102088167,"trafo",1
"eacc",5,0.363214511706391,"trafo",1
"ebinacc",5,0.048723897911833,"trafo",1
"nll",5,0.876453502506819,"trafo",1
"binnll",5,0.152014543477078,"trafo",1
"rps",5,0.0500500604294616,"trafo",1
"cint",5,0.630836096533267,"trafo",1
"cslope",5,1.14385830591935,"trafo",1
"brier",5,0.0410779791767711,"trafo",1
"auc",5,0.970125418397387,"trafo",1
"eauc",5,0.0298745816026132,"trafo",1
"qwk",5,0.889255168802702,"trafo",1
"eqwk",5,0.110744831197298,"trafo",1
"acc",1,0.615271039865007,"avg",1
"binacc",1,0.946213878928496,"avg",1
"eacc",1,0.384728960134993,"avg",1
"ebinacc",1,0.0537861210715039,"avg",1
"nll",1,0.913839524794814,"avg",1
"binnll",1,0.157330679505139,"avg",1
"rps",1,0.0525546785234764,"avg",1
"cint",1,0.493774464735555,"avg",1
"cslope",1,0.947096443903953,"avg",1
"brier",1,0.0437376063279169,"avg",1
"auc",1,0.967778936392075,"avg",1
"eauc",1,0.0322210636079249,"avg",1
"qwk",1,0.874201112599819,"avg",1
"eqwk",1,0.125798887400181,"avg",1
"acc",2,0.617802151444843,"avg",1
"binacc",2,0.943260915418688,"avg",1
"eacc",2,0.382197848555157,"avg",1
"ebinacc",2,0.056739084581312,"avg",1
"nll",2,0.924505318912173,"avg",1
"binnll",2,0.163628882220419,"avg",1
"rps",2,0.0535250847349811,"avg",1
"cint",2,0.611554480991923,"avg",1
"cslope",2,1.02497918270714,"avg",1
"brier",2,0.0454348091094159,"avg",1
"auc",2,0.966097713433077,"avg",1
"eauc",2,0.0339022865669234,"avg",1
"qwk",2,0.873475269246493,"avg",1
"eqwk",2,0.126524730753507,"avg",1
"acc",3,0.616958447584898,"avg",1
"binacc",3,0.941362581733811,"avg",1
"eacc",3,0.383041552415102,"avg",1
"ebinacc",3,0.0586374182661885,"avg",1
"nll",3,0.932725921176493,"avg",1
"binnll",3,0.167703048665339,"avg",1
"rps",3,0.0539589453681077,"avg",1
"cint",3,0.616115629223626,"avg",1
"cslope",3,1.03030677273502,"avg",1
"brier",3,0.0466623815212745,"avg",1
"auc",3,0.964853371279552,"avg",1
"eauc",3,0.0351466287204482,"avg",1
"qwk",3,0.872807871506524,"avg",1
"eqwk",3,0.127192128493476,"avg",1
"acc",4,0.615640160303733,"avg",1
"binacc",4,0.940940729803839,"avg",1
"eacc",4,0.384359839696267,"avg",1
"ebinacc",4,0.0590592701961612,"avg",1
"nll",4,0.939711867952504,"avg",1
"binnll",4,0.170720360912755,"avg",1
"rps",4,0.0543608468673233,"avg",1
"cint",4,0.634979204332363,"avg",1
"cslope",4,1.0385445905869,"avg",1
"brier",4,0.0475210085527619,"avg",1
"auc",4,0.964484615074404,"avg",1
"eauc",4,0.0355153849255958,"avg",1
"qwk",4,0.872143828253094,"avg",1
"eqwk",4,0.127856171746906,"avg",1
"acc",5,0.613921113689095,"avg",1
"binacc",5,0.940097025943894,"avg",1
"eacc",5,0.386078886310905,"avg",1
"ebinacc",5,0.0599029740561063,"avg",1
"nll",5,0.94594180096505,"avg",1
"binnll",5,0.173155532924982,"avg",1
"rps",5,0.0550144870935445,"avg",1
"cint",5,0.671166659221148,"avg",1
"cslope",5,1.04908058931726,"avg",1
"brier",5,0.0481880302852856,"avg",1
"auc",5,0.963848852683792,"avg",1
"eauc",5,0.0361511473162077,"avg",1
"qwk",5,0.870270089114033,"avg",1
"eqwk",5,0.129729910885967,"avg",1
"acc",1,0.620544188989665,"linear",2
"binacc",1,0.943471841383674,"linear",2
"eacc",1,0.379455811010335,"linear",2
"ebinacc",1,0.0565281586163257,"linear",2
"nll",1,0.955245986584053,"linear",2
"binnll",1,0.161824035017976,"linear",2
"rps",1,0.0536420468522713,"linear",2
"cint",1,0.387582228603152,"linear",2
"cslope",1,0.834055992818159,"linear",2
"brier",1,0.0447812759941586,"linear",2
"auc",1,0.965827216578924,"linear",2
"eauc",1,0.0341727834210755,"linear",2
"qwk",1,0.883451755657878,"linear",2
