"metric","val","method","spl"
"acc",0.616475757198327,"avgl",1
"binacc",0.942845449448973,"avgl",1
"eacc",0.383524242801673,"avgl",1
"ebinacc",0.0571545505510274,"avgl",1
"nll",0.928868430122724,"avgl",1
"binnll",0.165421391907798,"avgl",1
"rps",0.0537105190309211,"avgl",1
"cint",0.602584772676448,"avgl",1
"cslope",1.01778624037399,"avgl",1
"brier",0.0459852763987878,"avgl",1
"auc",0.96574274790004,"avgl",1
"eauc",0.0342572520999602,"avgl",1
"qwk",0.873020738969364,"avgl",1
"eqwk",0.126979261030636,"avgl",1
"acc",0.619765535132951,"avgl",2
"binacc",0.944410578604816,"avgl",2
"eacc",0.380234464867049,"avgl",2
"ebinacc",0.0555894213951839,"avgl",2
"nll",0.960796502029777,"avgl",2
"binnll",0.160187798090139,"avgl",2
"rps",0.0546908183035937,"avgl",2
"cint",0.542210717459574,"avgl",2
"cslope",0.874841721392714,"avgl",2
"brier",0.0446918050738164,"avgl",2
"auc",0.968471146370389,"avgl",2
"eauc",0.0315288536296113,"avgl",2
"qwk",0.879516597100479,"avgl",2
"eqwk",0.120483402899521,"avgl",2
"acc",0.614814265869394,"avgl",3
"binacc",0.934501107531107,"avgl",3
"eacc",0.385185734130606,"avgl",3
"ebinacc",0.0654988924688933,"avgl",3
"nll",0.935753947198364,"avgl",3
"binnll",0.175681813086738,"avgl",3
"rps",0.0541112176931409,"avgl",3
"cint",0.490272642368869,"avgl",3
"cslope",1.0032752293371,"avgl",3
"brier",0.050153685477226,"avgl",3
"auc",0.965533424308367,"avgl",3
"eauc",0.0344665756916329,"avgl",3
"qwk",0.879431682728649,"avgl",3
"eqwk",0.120568317271351,"avgl",3
"acc",0.610321825815075,"avgl",4
"binacc",0.937972126947033,"avgl",4
"eacc",0.389678174184925,"avgl",4
"ebinacc",0.0620278730529674,"avgl",4
"nll",0.970027307028915,"avgl",4
"binnll",0.17573597173202,"avgl",4
"rps",0.0557379945082898,"avgl",4
"cint",0.641002801869601,"avgl",4
