"metric","topn","val","method","spl"
"acc",1,0.63045770934402,"linear",1
"binacc",1,0.947901286648386,"linear",1
"eacc",1,0.36954229065598,"linear",1
"ebinacc",1,0.0520987133516135,"linear",1
"nll",1,0.966209566358847,"linear",1
"binnll",1,0.155639466870307,"linear",1
"rps",1,0.0520987512439695,"linear",1
"cint",1,0.407606563953214,"linear",1
"cslope",1,0.770333078316761,"linear",1
"brier",1,0.04076684562357,"linear",1
"auc",1,0.965576192972652,"linear",1
"eauc",1,0.0344238070273478,"linear",1
"qwk",1,0.888036637995538,"linear",1
"eqwk",1,0.111963362004462,"linear",1
"acc",2,0.646488082682978,"linear",1
"binacc",2,0.955494621387893,"linear",1
"eacc",2,0.353511917317022,"linear",1
"ebinacc",2,0.0445053786121071,"linear",1
"nll",2,0.878296893665338,"linear",1
"binnll",2,0.144110078447279,"linear",1
"rps",2,0.0489569087396941,"linear",1
"cint",2,0.46040466558611,"linear",1
"cslope",2,1.00501136123547,"linear",1
"brier",2,0.0383934636094541,"linear",1
"auc",2,0.968120279526901,"linear",1
"eauc",2,0.0318797204730987,"linear",1
"qwk",2,0.897006161049973,"linear",1
"eqwk",2,0.102993838950027,"linear",1
"acc",3,0.65323771356254,"linear",1
"binacc",3,0.956760177177811,"linear",1
"eacc",3,0.34676228643746,"linear",1
"ebinacc",3,0.0432398228221894,"linear",1
"nll",3,0.865931812395022,"linear",1
"binnll",3,0.141662458403383,"linear",1
"rps",3,0.0482624856641304,"linear",1
"cint",3,0.497069752765912,"linear",1
"cslope",3,1.01000630182132,"linear",1
"brier",3,0.037810858748814,"linear",1
"auc",3,0.969584454340675,"linear",1
"eauc",3,0.0304155456593251,"linear",1
"qwk",3,0.899863570060171,"linear",1
"eqwk",3,0.100136429939829,"linear",1
"acc",4,0.656823454967306,"linear",1
"binacc",4,0.956971103142797,"linear",1
"eacc",4,0.343176545032694,"linear",1
"ebinacc",4,0.0430288968572031,"linear",1
"nll",4,0.859457865061584,"linear",1
"binnll",4,0.13942563824147,"linear",1
"rps",4,0.0477856116952883,"linear",1
"cint",4,0.46570738774447,"linear",1
"cslope",4,1.02830660066987,"linear",1
"brier",4,0.0369635826809918,"linear",1
"auc",4,0.969843414237897,"linear",1
"eauc",4,0.0301565857621026,"linear",1
"qwk",4,0.898986563616101,"linear",1
"eqwk",4,0.101013436383899,"linear",1
"acc",5,0.657245306897279,"linear",1
"binacc",5,0.957392955072769,"linear",1
"eacc",5,0.342754693102721,"linear",1
"ebinacc",5,0.0426070449272306,"linear",1
"nll",5,0.850835569692612,"linear",1
"binnll",5,0.139091475267595,"linear",1
"rps",5,0.0473036639613592,"linear",1
"cint",5,0.487541693948038,"linear",1
"cslope",5,1.04638820261055,"linear",1
"brier",5,0.0367583361282707,"linear",1
"auc",5,0.970115624585923,"linear",1
"eauc",5,0.0298843754140766,"linear",1
"qwk",5,0.899744614853133,"linear",1
"eqwk",5,0.100255385146867,"linear",1
