"metric","val","method","spl"
"acc",0.627277921378389,"avgl",1
"binacc",0.946773930082941,"avgl",1
"eacc",0.372722078621611,"avgl",1
"ebinacc",0.0532260699170591,"avgl",1
"nll",0.963915393761728,"avgl",1
"binnll",0.157819795587598,"avgl",1
"rps",0.0527742156177396,"avgl",1
"cint",0.526312992058175,"avgl",1
"cslope",0.806805625892419,"avgl",1
"brier",0.0421776513454132,"avgl",1
"auc",0.964232488007577,"avgl",1
"eauc",0.0357675119924231,"avgl",1
"qwk",0.884194570218657,"avgl",1
"eqwk",0.115805429781343,"avgl",1
"acc",0.618362545801694,"avgl",2
"binacc",0.947281013598952,"avgl",2
"eacc",0.381637454198306,"avgl",2
"ebinacc",0.0527189864010481,"avgl",2
"nll",0.998715478922459,"avgl",2
"binnll",0.152313825738787,"avgl",2
"rps",0.0551649908191599,"avgl",2
"cint",0.631235029364112,"avgl",2
"cslope",0.777385942845488,"avgl",2
"brier",0.0416755465695005,"avgl",2
"auc",0.96779381660976,"avgl",2
"eauc",0.0322061833902402,"avgl",2
"qwk",0.880482484682036,"avgl",2
"eqwk",0.119517515317964,"avgl",2
"acc",0.623488343618429,"avgl",3
"binacc",0.939417092599606,"avgl",3
"eacc",0.376511656381571,"avgl",3
"ebinacc",0.0605829074003941,"avgl",3
"nll",0.97499470254956,"avgl",3
"binnll",0.167966216200008,"avgl",3
"rps",0.0537724807107787,"avgl",3
"cint",0.543307591427919,"avgl",3
"cslope",0.806870723491274,"avgl",3
"brier",0.0463788064470294,"avgl",3
"auc",0.964410490248354,"avgl",3
"eauc",0.0355895097516458,"avgl",3
"qwk",0.881808839206723,"avgl",3
"eqwk",0.118191160793277,"avgl",3
"acc",0.625392472343549,"avgl",4
"binacc",0.945925110148742,"avgl",4
"eacc",0.374607527656451,"avgl",4
"ebinacc",0.0540748898512577,"avgl",4
"nll",1.00211716085873,"avgl",4
"binnll",0.163440130727856,"avgl",4
"rps",0.0541681685603312,"avgl",4
"cint",0.607188983062621,"avgl",4
"cslope",0.784455089500932,"avgl",4
"brier",0.0432022347048976,"avgl",4
"auc",0.965768946537524,"avgl",4
"eauc",0.0342310534624756,"avgl",4
"qwk",0.88051770789212,"avgl",4
"eqwk",0.11948229210788,"avgl",4
"acc",0.630316216162858,"avgl",5
"binacc",0.949132276672075,"avgl",5
"eacc",0.369683783837142,"avgl",5
"ebinacc",0.0508677233279254,"avgl",5
"nll",0.98265243609078,"avgl",5
"binnll",0.161583688462857,"avgl",5
"rps",0.0529371852137559,"avgl",5
"cint",0.425080141446344,"avgl",5
"cslope",0.758125463273537,"avgl",5
"brier",0.0414092129364184,"avgl",5
"auc",0.961596668088583,"avgl",5
"eauc",0.0384033319114172,"avgl",5
"qwk",0.888155165719677,"avgl",5
"eqwk",0.111844834280323,"avgl",5
"acc",0.630565225480834,"avgl",6
"binacc",0.944784781634044,"avgl",6
"eacc",0.369434774519166,"avgl",6
"ebinacc",0.0552152183659563,"avgl",6
"nll",0.940995744536799,"avgl",6
"binnll",0.156993685444378,"avgl",6
"rps",0.0521310622228262,"avgl",6
"cint",0.507036014176151,"avgl",6
"cslope",0.851418354739893,"avgl",6
"brier",0.0431436613488474,"avgl",6
"auc",0.968286390793569,"avgl",6
"eauc",0.0317136092064306,"avgl",6
"qwk",0.890032054343646,"avgl",6
"eqwk",0.109967945656354,"avgl",6
"acc",0.627296499257082,"avgll",1
"binacc",0.946602354175824,"avgll",1
"eacc",0.372703500742918,"avgll",1
"ebinacc",0.0533976458241761,"avgll",1
"nll",0.960404420354085,"avgll",1
"binnll",0.157717860261781,"avgll",1
"rps",0.052722549288543,"avgll",1
"cint",0.545190490265277,"avgll",1
"cslope",0.818149394626652,"avgll",1
"brier",0.0422807098470413,"avgll",1
"auc",0.964355990507243,"avgll",1
"eauc",0.0356440094927568,"avgll",1
"qwk",0.884453428705949,"avgll",1
"eqwk",0.115546571294051,"avgll",1
"acc",0.617295798270911,"avgll",2
"binacc",0.947061788654776,"avgll",2
"eacc",0.382704201729089,"avgll",2
"ebinacc",0.0529382113452236,"avgll",2
"nll",0.996116915322244,"avgll",2
"binnll",0.152693660908103,"avgll",2
"rps",0.055231291620078,"avgll",2
"cint",0.631028971709732,"avgll",2
"cslope",0.788687785042753,"avgll",2
"brier",0.0417929849281829,"avgll",2
"auc",0.967672048747363,"avgll",2
"eauc",0.0323279512526369,"avgll",2
"qwk",0.879896576408001,"avgll",2
"eqwk",0.120103423591999,"avgll",2
"acc",0.622181850693661,"avgll",3
"binacc",0.938939198268802,"avgll",3
"eacc",0.377818149306339,"avgll",3
"ebinacc",0.0610608017311979,"avgll",3
"nll",0.972555738032503,"avgll",3
"binnll",0.168843424637365,"avgll",3
"rps",0.0538920366476723,"avgll",3
"cint",0.572087630084417,"avgll",3
"cslope",0.818317595506755,"avgll",3
"brier",0.0466991585464671,"avgll",3
"auc",0.964133011926047,"avgll",3
"eauc",0.0358669880739533,"avgll",3
"qwk",0.881201442312989,"avgll",3
"eqwk",0.118798557687011,"avgll",3
"acc",0.62637831975949,"avgll",4
"binacc",0.945881803773264,"avgll",4
"eacc",0.37362168024051,"avgll",4
"ebinacc",0.0541181962267357,"avgll",4
"nll",0.990851915269217,"avgll",4
"binnll",0.162663728805913,"avgll",4
"rps",0.0539284744347034,"avgll",4
"cint",0.612206285298133,"avgll",4
"cslope",0.80668482608581,"avgll",4
"brier",0.0432866585774064,"avgll",4
"auc",0.96605286392054,"avgll",4
"eauc",0.0339471360794599,"avgll",4
"qwk",0.880718966257034,"avgll",4
"eqwk",0.119281033742966,"avgll",4
"acc",0.631017179722511,"avgll",5
"binacc",0.949197201713101,"avgll",5
"eacc",0.368982820277489,"avgll",5
"ebinacc",0.0508027982868988,"avgll",5
"nll",0.976289554642521,"avgll",5
"binnll",0.160545015331006,"avgll",5
"rps",0.0528337966046473,"avgll",5
"cint",0.442810763607997,"avgll",5
"cslope",0.773245099846966,"avgll",5
"brier",0.0413179353012412,"avgll",5
"auc",0.961936290756424,"avgll",5
"eauc",0.0380637092435759,"avgll",5
"qwk",0.888025341629781,"avgll",5
"eqwk",0.111974658370219,"avgll",5
"acc",0.630647039887808,"avgll",6
"binacc",0.944845572386564,"avgll",6
"eacc",0.369352960112192,"avgll",6
"ebinacc",0.0551544276134363,"avgll",6
"nll",0.942724597270794,"avgll",6
"binnll",0.157284208530062,"avgll",6
"rps",0.0521691671955458,"avgll",6
"cint",0.524171010423815,"avgll",6
"cslope",0.847058865521129,"avgll",6
"brier",0.0431857155995869,"avgll",6
"auc",0.968203517368305,"avgll",6
"eauc",0.0317964826316945,"avgll",6
"qwk",0.889919697597564,"avgll",6
"eqwk",0.110080302402436,"avgll",6
"acc",0.62733823443654,"avgtrf",1
"binacc",0.946807168210476,"avgtrf",1
"eacc",0.37266176556346,"avgtrf",1
"ebinacc",0.0531928317895239,"avgtrf",1
"nll",0.961378119912495,"avgtrf",1
"binnll",0.157825680662786,"avgtrf",1
"rps",0.0527289485761134,"avgtrf",1
"cint",0.53075888282078,"avgtrf",1
"cslope",0.817031902273139,"avgtrf",1
"brier",0.0422102325461119,"avgtrf",1
"auc",0.964185285958185,"avgtrf",1
"eauc",0.0358147140418152,"avgtrf",1
"qwk",0.884213679960572,"avgtrf",1
"eqwk",0.115786320039428,"avgtrf",1
"acc",0.61780936809235,"avgtrf",2
"binacc",0.947225466513808,"avgtrf",2
"eacc",0.38219063190765,"avgtrf",2
"ebinacc",0.0527745334861924,"avgtrf",2
"nll",0.997115324068959,"avgtrf",2
"binnll",0.152438753995203,"avgtrf",2
"rps",0.0551746943215521,"avgtrf",2
"cint",0.627935967804283,"avgtrf",2
"cslope",0.782409431253418,"avgtrf",2
"brier",0.0417209037829336,"avgtrf",2
"auc",0.967728740567165,"avgtrf",2
"eauc",0.0322712594328346,"avgtrf",2
"qwk",0.880323327590781,"avgtrf",2
"eqwk",0.119676672409219,"avgtrf",2
"acc",0.622838885069257,"avgtrf",3
"binacc",0.939131298999564,"avgtrf",3
"eacc",0.377161114930743,"avgtrf",3
"ebinacc",0.0608687010004363,"avgtrf",3
"nll",0.972414115233945,"avgtrf",3
"binnll",0.168274329458429,"avgtrf",3
"rps",0.0538051056522177,"avgtrf",3
"cint",0.558663677198338,"avgtrf",3
"cslope",0.81484072452971,"avgtrf",3
"brier",0.0465383515780772,"avgtrf",3
"auc",0.964381029182145,"avgtrf",3
"eauc",0.0356189708178546,"avgtrf",3
"qwk",0.881537275787068,"avgtrf",3
"eqwk",0.118462724212932,"avgtrf",3
"acc",0.626457447530912,"avgtrf",4
"binacc",0.945964075905093,"avgtrf",4
"eacc",0.373542552469088,"avgtrf",4
"ebinacc",0.0540359240949073,"avgtrf",4
"nll",0.990467802922649,"avgtrf",4
"binnll",0.162636378412873,"avgtrf",4
"rps",0.0539292316423819,"avgtrf",4
"cint",0.60790967710186,"avgtrf",4
"cslope",0.807372400640622,"avgtrf",4
"brier",0.0432434754456463,"avgtrf",4
"auc",0.965978915043734,"avgtrf",4
"eauc",0.0340210849562662,"avgtrf",4
"qwk",0.880545037007948,"avgtrf",4
"eqwk",0.119454962992052,"avgtrf",4
"acc",0.63058212461903,"avgtrf",5
"binacc",0.949101245228773,"avgtrf",5
"eacc",0.36941787538097,"avgtrf",5
"ebinacc",0.0508987547712267,"avgtrf",5
"nll",0.97942028912937,"avgtrf",5
"binnll",0.161360118770876,"avgtrf",5
"rps",0.05287519838525,"avgtrf",5
"cint",0.428499422009217,"avgtrf",5
"cslope",0.76469563318573,"avgtrf",5
"brier",0.0414408879133068,"avgtrf",5
"auc",0.96161610775992,"avgtrf",5
"eauc",0.0383838922400799,"avgtrf",5
"qwk",0.888291689466679,"avgtrf",5
"eqwk",0.111708310533321,"avgtrf",5
"acc",0.630601977604306,"avgtrf",6
"binacc",0.944891224906471,"avgtrf",6
"eacc",0.369398022395694,"avgtrf",6
"ebinacc",0.0551087750935291,"avgtrf",6
"nll",0.938966480177521,"avgtrf",6
"binnll",0.156513113407598,"avgtrf",6
"rps",0.0520675929845036,"avgtrf",6
"cint",0.494927868502045,"avgtrf",6
"cslope",0.857136625189861,"avgtrf",6
"brier",0.0430176965931759,"avgtrf",6
"auc",0.968369752622541,"avgtrf",6
"eauc",0.0316302473774589,"avgtrf",6
"qwk",0.890044829288364,"avgtrf",6
"eqwk",0.109955170711636,"avgtrf",6
"acc",0.657456232862265,"linear",1
"binacc",0.957392955072769,"linear",1
"eacc",0.342543767137735,"linear",1
"ebinacc",0.0426070449272306,"linear",1
"nll",0.854275933241809,"linear",1
"binnll",0.138129232776792,"linear",1
"rps",0.0474535761649995,"linear",1
"cint",0.470287045784114,"linear",1
"cslope",1.01632778410479,"linear",1
"brier",0.0366883202166083,"linear",1
"auc",0.970448902228956,"linear",1
"eauc",0.0295510977710437,"linear",1
"qwk",0.90100517285649,"linear",1
"eqwk",0.0989948271435102,"linear",1
"acc",0.644167897068129,"linear",2
"binacc",0.954650917527948,"linear",2
"eacc",0.355832102931871,"linear",2
"ebinacc",0.0453490824720523,"linear",2
"nll",0.892606456396244,"linear",2
"binnll",0.134611431365891,"linear",2
"rps",0.0500624903232746,"linear",2
"cint",0.55195411397158,"linear",2
"cslope",0.969374471099408,"linear",2
"brier",0.036674579486134,"linear",2
"auc",0.973531864395907,"linear",2
"eauc",0.0264681356040926,"linear",2
"qwk",0.896620696605256,"linear",2
"eqwk",0.103379303394744,"linear",2
"acc",0.650495676017718,"linear",3
"binacc",0.949799620333263,"linear",3
"eacc",0.349504323982282,"linear",3
"ebinacc",0.050200379666737,"linear",3
"nll",0.855095058192734,"linear",3
"binnll",0.144341958684441,"linear",3
"rps",0.0476573902861174,"linear",3
"cint",0.489281026410391,"linear",3
"cslope",1.05152487754694,"linear",3
"brier",0.0395520564330344,"linear",3
"auc",0.972525456228511,"linear",3
"eauc",0.0274745437714891,"linear",3
"qwk",0.900074503423193,"linear",3
"eqwk",0.0999254965768073,"linear",3
"acc",0.649441046192786,"linear",4
"binacc",0.954650917527948,"linear",4
"eacc",0.350558953807214,"linear",4
"ebinacc",0.0453490824720523,"linear",4
"nll",0.867230322743155,"linear",4
"binnll",0.136462899637955,"linear",4
