"metric","val","method","spl"
"acc",0.341489137312803,"linear",1
"binacc",0.809112001687408,"linear",1
"eacc",0.658510862687197,"linear",1
"ebinacc",0.190887998312592,"linear",1
"nll",1.73183284115975,"linear",1
"binnll",0.487549243789969,"linear",1
"rps",0.143302558824824,"linear",1
"cint",0.0234910936329107,"linear",1
"cslope",NA,"linear",1
"brier",0.154462627954563,"linear",1
"auc",0.5,"linear",1
"eauc",0.5,"linear",1
"qwk",0,"linear",1
"eqwk",1,"linear",1
"acc",0.328200801518667,"linear",2
"binacc",0.807635519932504,"linear",2
"eacc",0.671799198481333,"linear",2
"ebinacc",0.192364480067496,"linear",2
"nll",1.74624493267661,"linear",2
"binnll",0.489714772208504,"linear",2
"rps",0.147309067925165,"linear",2
"cint",0.0599338180714999,"linear",2
"cslope",NA,"linear",2
"brier",0.155386012981295,"linear",2
"auc",0.5,"linear",2
"eauc",0.5,"linear",2
"qwk",0,"linear",2
"eqwk",1,"linear",2
"acc",0.340856359417844,"linear",3
"binacc",0.797511073613162,"linear",3
"eacc",0.659143640582156,"linear",3
"ebinacc",0.202488926386838,"linear",3
"nll",1.74450505473788,"linear",3
"binnll",0.504191998317672,"linear",3
"rps",0.146897808684029,"linear",3
"cint",-0.0379091754035381,"linear",3
"cslope",NA,"linear",3
"brier",0.16159987341477,"linear",3
"auc",0.5,"linear",3
"eauc",0.5,"linear",3
"qwk",0,"linear",3
"eqwk",1,"linear",3
"acc",0.347816916262392,"linear",4
"binacc",0.808268297827463,"linear",4
"eacc",0.652183083737608,"linear",4
"ebinacc",0.191731702172537,"linear",4
"nll",1.73192869192347,"linear",4
"binnll",0.488745915669051,"linear",4
"rps",0.144179367184601,"linear",4
"cint",0.0256489439801938,"linear",4
"cslope",NA,"linear",4
"brier",0.154977423930005,"linear",4
"auc",0.5,"linear",4
"eauc",0.5,"linear",4
"qwk",0,"linear",4
"eqwk",1,"linear",4
"acc",0.332630246783379,"linear",5
"binacc",0.805737186247627,"linear",5
"eacc",0.667369753216621,"linear",5
"ebinacc",0.194262813752373,"linear",5
"nll",1.74266778972646,"linear",5
"binnll",0.492345448128891,"linear",5
"rps",0.147509230665488,"linear",5
"cint",0.016976691605296,"linear",5
"cslope",NA,"linear",5
"brier",0.156524792718541,"linear",5
"auc",0.5,"linear",5
"eauc",0.5,"linear",5
"qwk",0,"linear",5
"eqwk",1,"linear",5
"acc",0.336848766083105,"linear",6
"binacc",0.801729592912888,"linear",6
"eacc",0.663151233916895,"linear",6
"ebinacc",0.198270407087112,"linear",6
"nll",1.7365455587469,"linear",6
"binnll",0.498190817465921,"linear",6
"rps",0.147249866061157,"linear",6
"cint",-0.0581702471885732,"linear",6
"cslope",NA,"linear",6
"brier",0.159020159241381,"linear",6
"auc",0.5,"linear",6
"eauc",0.5,"linear",6
"qwk",0,"linear",6
"eqwk",1,"linear",6
