"metric","val","method","spl"
"acc",0.341489137312803,"linear",1
"binacc",0.809112001687408,"linear",1
"eacc",0.658510862687197,"linear",1
"ebinacc",0.190887998312592,"linear",1
"nll",1.73178390321178,"linear",1
"binnll",0.487560344200307,"linear",1
"rps",0.143305395733876,"linear",1
"cint",0.0324419016578658,"linear",1
"cslope",NA,"linear",1
"brier",0.154466108950009,"linear",1
"auc",0.5,"linear",1
"eauc",0.5,"linear",1
"qwk",0,"linear",1
"eqwk",1,"linear",1
"acc",0.328200801518667,"linear",2
"binacc",0.807635519932504,"linear",2
"eacc",0.671799198481333,"linear",2
"ebinacc",0.192364480067496,"linear",2
"nll",1.74943222909717,"linear",2
"binnll",0.489702654617761,"linear",2
"rps",0.147272655609317,"linear",2
"cint",0.0527920153205803,"linear",2
"cslope",NA,"linear",2
"brier",0.155382175786054,"linear",2
"auc",0.5,"linear",2
"eauc",0.5,"linear",2
"qwk",0,"linear",2
"eqwk",1,"linear",2
"acc",0.340856359417844,"linear",3
"binacc",0.797511073613162,"linear",3
"eacc",0.659143640582156,"linear",3
"ebinacc",0.202488926386838,"linear",3
"nll",1.7668989164879,"linear",3
"binnll",0.504096163211377,"linear",3
"rps",0.147002520943185,"linear",3
"cint",-0.00617216519260289,"linear",3
"cslope",NA,"linear",3
"brier",0.161570066793132,"linear",3
"auc",0.5,"linear",3
"eauc",0.5,"linear",3
"qwk",0,"linear",3
"eqwk",1,"linear",3
"acc",0.347816916262392,"linear",4
"binacc",0.808268297827463,"linear",4
"eacc",0.652183083737608,"linear",4
"ebinacc",0.191731702172537,"linear",4
"nll",1.73420564395534,"linear",4
"binnll",0.488838201123496,"linear",4
"rps",0.144198314637355,"linear",4
"cint",0.0314484262761535,"linear",4
"cslope",NA,"linear",4
"brier",0.1550065368547,"linear",4
"auc",0.5,"linear",4
"eauc",0.5,"linear",4
"qwk",0,"linear",4
"eqwk",1,"linear",4
"acc",0.332630246783379,"linear",5
"binacc",0.805737186247627,"linear",5
"eacc",0.667369753216621,"linear",5
"ebinacc",0.194262813752373,"linear",5
"nll",1.75042465969125,"linear",5
"binnll",0.492346234676369,"linear",5
"rps",0.147550717838514,"linear",5
"cint",0.0374114758173944,"linear",5
"cslope",NA,"linear",5
"brier",0.156525039311383,"linear",5
"auc",0.500130890052356,"linear",5
"eauc",0.499869109947644,"linear",5
"qwk",0,"linear",5
"eqwk",1,"linear",5
"acc",0.336848766083105,"linear",6
"binacc",0.801729592912888,"linear",6
"eacc",0.663151233916895,"linear",6
"ebinacc",0.198270407087112,"linear",6
"nll",1.75257125676647,"linear",6
"binnll",0.498266049225544,"linear",6
"rps",0.147317160596028,"linear",6
"cint",-0.0279663744353205,"linear",6
"cslope",NA,"linear",6
"brier",0.159043293689588,"linear",6
"auc",0.5,"linear",6
"eauc",0.5,"linear",6
"qwk",0,"linear",6
"eqwk",1,"linear",6
