"metric","topn","val","method","spl"
"acc",1,0.554524361948956,"linear",1
"binacc",1,0.935878506644168,"linear",1
"eacc",1,0.445475638051044,"linear",1
"ebinacc",1,0.0641214933558321,"linear",1
"nll",1,1.10486934689235,"linear",1
"binnll",1,0.205873029384442,"linear",1
"rps",1,0.0631435523006432,"linear",1
"cint",1,0.458763530817453,"linear",1
"cslope",1,1.21071943079393,"linear",1
"brier",1,0.0556399514838783,"linear",1
"auc",1,0.943147212508426,"linear",1
"eauc",1,0.0568527874915744,"linear",1
"qwk",1,0.819168054834366,"linear",1
"eqwk",1,0.180831945165634,"linear",1
"acc",2,0.562328622653449,"linear",1
"binacc",2,0.935667580679182,"linear",1
"eacc",2,0.437671377346551,"linear",1
"ebinacc",2,0.0643324193208183,"linear",1
"nll",2,1.07142916223324,"linear",1
"binnll",2,0.201129777684924,"linear",1
"rps",2,0.0610565153386343,"linear",1
"cint",2,0.381931572754689,"linear",1
"cslope",2,1.22681746810628,"linear",1
"brier",2,0.0547677672238444,"linear",1
"auc",2,0.947194649122302,"linear",1
"eauc",2,0.0528053508776983,"linear",1
"qwk",2,0.824858719591813,"linear",1
"eqwk",2,0.175141280408187,"linear",1
"acc",3,0.561273992828517,"linear",1
"binacc",3,0.935034802784223,"linear",1
"eacc",3,0.438726007171483,"linear",1
"ebinacc",3,0.0649651972157773,"linear",1
"nll",3,1.06971776340804,"linear",1
"binnll",3,0.197427822183589,"linear",1
"rps",3,0.0611284218817479,"linear",1
"cint",3,0.411026155124883,"linear",1
"cslope",3,1.29552955825716,"linear",1
"brier",3,0.0543373648317681,"linear",1
"auc",3,0.950740296925319,"linear",1
"eauc",3,0.0492597030746806,"linear",1
"qwk",3,0.820948352800858,"linear",1
"eqwk",3,0.179051647199142,"linear",1
"acc",4,0.558742881248682,"linear",1
"binacc",4,0.933347395064332,"linear",1
"eacc",4,0.441257118751318,"linear",1
"ebinacc",4,0.0666526049356676,"linear",1
"nll",4,1.07366020801725,"linear",1
"binnll",4,0.19754268639351,"linear",1
"rps",4,0.0615164073843392,"linear",1
"cint",4,0.423101858755514,"linear",1
"cslope",4,1.33069768430408,"linear",1
"brier",4,0.0546794889010234,"linear",1
"auc",4,0.952015508788505,"linear",1
"eauc",4,0.0479844912114945,"linear",1
"qwk",4,0.819113170328604,"linear",1
