"metric","val","method","spl"
"acc",0.553188219518263,"avgl",1
"binacc",0.934402942394342,"avgl",1
"eacc",0.446811780481737,"avgl",1
"ebinacc",0.0655970576056576,"avgl",1
"nll",1.11535155145949,"avgl",1
"binnll",0.209503843077056,"avgl",1
"rps",0.0636265615458114,"avgl",1
"cint",0.409161464759151,"avgl",1
"cslope",1.16230214988302,"avgl",1
"brier",0.0565768582880284,"avgl",1
"auc",0.941776455910412,"avgl",1
"eauc",0.0582235440895881,"avgl",1
"qwk",0.813999776464636,"avgl",1
"eqwk",0.186000223535364,"avgl",1
"acc",0.540313216951562,"avgl",2
"binacc",0.932869453213043,"avgl",2
"eacc",0.459686783048438,"avgl",2
"ebinacc",0.0671305467869573,"avgl",2
"nll",1.11999741172845,"avgl",2
"binnll",0.203302354636206,"avgl",2
"rps",0.0653863459753678,"avgl",2
"cint",0.307552398681742,"avgl",2
"cslope",1.21532429266501,"avgl",2
"brier",0.0564254699323796,"avgl",2
"auc",0.94717473852294,"avgl",2
"eauc",0.0528252614770599,"avgl",2
"qwk",0.8101465627443,"avgl",2
"eqwk",0.1898534372557,"avgl",2
"acc",0.537068545506942,"avgl",3
"binacc",0.92099443676837,"avgl",3
"eacc",0.462931454493058,"avgl",3
"ebinacc",0.0790055632316304,"avgl",3
"nll",1.11437611463927,"avgl",3
"binnll",0.227054199266012,"avgl",3
"rps",0.0655735729471723,"avgl",3
"cint",0.151773875205478,"avgl",3
"cslope",1.23540262300147,"avgl",3
"brier",0.0630906422705367,"avgl",3
"auc",0.938574076674475,"avgl",3
"eauc",0.0614259233255249,"avgl",3
"qwk",0.812665944246487,"avgl",3
"eqwk",0.187334055753513,"avgl",3
"acc",0.545963989529672,"avgl",4
"binacc",0.927067970144106,"avgl",4
"eacc",0.454036010470328,"avgl",4
"ebinacc",0.0729320298558943,"avgl",4
"nll",1.10893284511514,"avgl",4
"binnll",0.204904687508306,"avgl",4
"rps",0.0643570461126362,"avgl",4
"cint",0.453830851886918,"avgl",4
"cslope",1.35412369523973,"avgl",4
"brier",0.0581585029799076,"avgl",4
"auc",0.951738470156075,"avgl",4
"eauc",0.0482615298439251,"avgl",4
"qwk",0.804195091401786,"avgl",4
"eqwk",0.195804908598214,"avgl",4
"acc",0.548122213023236,"avgl",5
"binacc",0.928535301838288,"avgl",5
"eacc",0.451877786976764,"avgl",5
"ebinacc",0.0714646981617121,"avgl",5
"nll",1.09775694692444,"avgl",5
"binnll",0.21334007734398,"avgl",5
"rps",0.0647438897162824,"avgl",5
"cint",0.313482546937112,"avgl",5
"cslope",1.31458810769276,"avgl",5
"brier",0.05881057174073,"avgl",5
"auc",0.942817073139123,"avgl",5
"eauc",0.0571829268608773,"avgl",5
"qwk",0.812378010900049,"avgl",5
"eqwk",0.187621989099951,"avgl",5
"acc",0.545917134582856,"avgl",6
"binacc",0.930890127184557,"avgl",6
"eacc",0.454082865417144,"avgl",6
"ebinacc",0.0691098728154427,"avgl",6
"nll",1.09968236664103,"avgl",6
"binnll",0.204163786436042,"avgl",6
"rps",0.0646634958518866,"avgl",6
"cint",0.346817833416246,"avgl",6
"cslope",1.35732292809007,"avgl",6
"brier",0.0566812281721696,"avgl",6
"auc",0.949330265967202,"avgl",6
"eauc",0.0506697340327977,"avgl",6
"qwk",0.807460805165623,"avgl",6
"eqwk",0.192539194834377,"avgl",6
"acc",0.553818099810921,"avgll",1
"binacc",0.935130231912214,"avgll",1
"eacc",0.446181900189079,"avgll",1
"ebinacc",0.0648697680877857,"avgll",1
"nll",1.11284523234179,"avgll",1
"binnll",0.207966640945288,"avgll",1
"rps",0.0633667985163123,"avgll",1
"cint",0.420852595602498,"avgll",1
"cslope",1.15008285921764,"avgll",1
"brier",0.0561289545796737,"avgll",1
"auc",0.942506208016345,"avgll",1
"eauc",0.0574937919836549,"avgll",1
"qwk",0.817592370321858,"avgll",1
"eqwk",0.182407629678142,"avgll",1
"acc",0.541103320065765,"avgll",2
"binacc",0.93321562182583,"avgll",2
"eacc",0.458896679934235,"avgll",2
"ebinacc",0.0667843781741702,"avgll",2
"nll",1.1170159592428,"avgll",2
"binnll",0.20248299569579,"avgll",2
"rps",0.0652142264661378,"avgll",2
"cint",0.308908811348652,"avgll",2
"cslope",1.22328455460345,"avgll",2
"brier",0.0562283507530232,"avgll",2
"auc",0.947663180576138,"avgll",2
"eauc",0.0523368194238618,"avgll",2
"qwk",0.810847977357414,"avgll",2
"eqwk",0.189152022642586,"avgll",2
"acc",0.537723709262404,"avgll",3
"binacc",0.921326399446052,"avgll",3
"eacc",0.462276290737596,"avgll",3
"ebinacc",0.0786736005539483,"avgll",3
"nll",1.11327926993445,"avgll",3
"binnll",0.226710057668091,"avgll",3
"rps",0.0654948986923505,"avgll",3
"cint",0.151083246528941,"avgll",3
"cslope",1.23518141095957,"avgll",3
"brier",0.0630021566004139,"avgll",3
"auc",0.938758854270358,"avgll",3
"eauc",0.0612411457296422,"avgll",3
"qwk",0.812886175693587,"avgll",3
"eqwk",0.187113824306413,"avgll",3
"acc",0.546021080113779,"avgll",4
"binacc",0.927308749238926,"avgll",4
"eacc",0.453978919886221,"avgll",4
"ebinacc",0.0726912507610744,"avgll",4
"nll",1.10956202742815,"avgll",4
"binnll",0.204536768368061,"avgll",4
"rps",0.0643863259327327,"avgll",4
"cint",0.459636392279831,"avgll",4
"cslope",1.35645804185966,"avgll",4
"brier",0.0580287923695631,"avgll",4
"auc",0.952016814925868,"avgll",4
"eauc",0.0479831850741316,"avgll",4
"qwk",0.804166071217,"avgll",4
"eqwk",0.195833928783,"avgll",4
"acc",0.5486705081791,"avgll",5
"binacc",0.928987113537709,"avgll",5
"eacc",0.4513294918209,"avgll",5
"ebinacc",0.0710128864622914,"avgll",5
"nll",1.09806946414802,"avgll",5
"binnll",0.212394982521343,"avgll",5
"rps",0.0647348729972284,"avgll",5
"cint",0.325278007805578,"avgll",5
"cslope",1.31866157417425,"avgll",5
"brier",0.0585314264068728,"avgll",5
"auc",0.943324352307238,"avgll",5
"eauc",0.0566756476927619,"avgll",5
"qwk",0.813004829257859,"avgll",5
"eqwk",0.186995170742141,"avgll",5
"acc",0.54545995520247,"avgll",6
"binacc",0.930924439322748,"avgll",6
"eacc",0.45454004479753,"avgll",6
"ebinacc",0.0690755606772523,"avgll",6
"nll",1.1009050717801,"avgll",6
"binnll",0.203649284700136,"avgll",6
"rps",0.0647592443719889,"avgll",6
"cint",0.365863805674488,"avgll",6
"cslope",1.36950550766219,"avgll",6
"brier",0.0565437823432649,"avgll",6
"auc",0.949779691057895,"avgll",6
"eauc",0.0502203089421049,"avgll",6
"qwk",0.807103477216124,"avgll",6
"eqwk",0.192896522783876,"avgll",6
"acc",0.554926118679245,"avgtrf",1
"binacc",0.93529421672483,"avgtrf",1
"eacc",0.445073881320755,"avgtrf",1
"ebinacc",0.0647057832751701,"avgtrf",1
"nll",1.11050856258348,"avgtrf",1
"binnll",0.207921326584529,"avgtrf",1
"rps",0.0631841381511608,"avgtrf",1
"cint",0.415706661188732,"avgtrf",1
"cslope",1.14282731497111,"avgtrf",1
"brier",0.0560458057644495,"avgtrf",1
"auc",0.942433042567754,"avgtrf",1
"eauc",0.0575669574322457,"avgtrf",1
"qwk",0.819168042632896,"avgtrf",1
"eqwk",0.180831957367104,"avgtrf",1
"acc",0.541791963777533,"avgtrf",2
"binacc",0.933414699724423,"avgtrf",2
"eacc",0.458208036222467,"avgtrf",2
"ebinacc",0.0665853002755774,"avgtrf",2
"nll",1.11064739607112,"avgtrf",2
"binnll",0.202173576832956,"avgtrf",2
"rps",0.0649021847149098,"avgtrf",2
"cint",0.293550044707014,"avgtrf",2
"cslope",1.23331809303087,"avgtrf",2
"brier",0.0561644105745581,"avgtrf",2
"auc",0.947915651277081,"avgtrf",2
"eauc",0.052084348722919,"avgtrf",2
"qwk",0.811490927692235,"avgtrf",2
"eqwk",0.188509072307765,"avgtrf",2
"acc",0.53705814690034,"avgtrf",3
"binacc",0.920808951866402,"avgtrf",3
"eacc",0.46294185309966,"avgtrf",3
"ebinacc",0.0791910481335985,"avgtrf",3
"nll",1.11319243226909,"avgtrf",3
"binnll",0.227340726320993,"avgtrf",3
"rps",0.0655443980420616,"avgtrf",3
"cint",0.138645423697263,"avgtrf",3
"cslope",1.23957002357153,"avgtrf",3
"brier",0.063189557318751,"avgtrf",3
"auc",0.938619002942342,"avgtrf",3
"eauc",0.061380997057658,"avgtrf",3
"qwk",0.812098220210123,"avgtrf",3
"eqwk",0.187901779789877,"avgtrf",3
"acc",0.546348339639869,"avgtrf",4
"binacc",0.926462401608078,"avgtrf",4
"eacc",0.453651660360131,"avgtrf",4
"ebinacc",0.0735375983919218,"avgtrf",4
"nll",1.10603328547974,"avgtrf",4
"binnll",0.205472466663042,"avgtrf",4
"rps",0.0642314303925339,"avgtrf",4
"cint",0.444720532011282,"avgtrf",4
"cslope",1.35915466462638,"avgtrf",4
"brier",0.0583747245285467,"avgtrf",4
"auc",0.951653315283062,"avgtrf",4
"eauc",0.048346684716938,"avgtrf",4
"qwk",0.804295448684913,"avgtrf",4
"eqwk",0.195704551315087,"avgtrf",4
"acc",0.549867526611082,"avgtrf",5
"binacc",0.928692203414002,"avgtrf",5
"eacc",0.450132473388918,"avgtrf",5
"ebinacc",0.0713077965859975,"avgtrf",5
"nll",1.09288857366298,"avgtrf",5
"binnll",0.213561692689323,"avgtrf",5
"rps",0.0644547653676932,"avgtrf",5
"cint",0.308174781812667,"avgtrf",5
"cslope",1.31574139121095,"avgtrf",5
"brier",0.0589348972145986,"avgtrf",5
