"metric","topn","val","method","spl"
"acc",1,0.550516768614216,"linear",1
"binacc",1,0.941151655768825,"linear",1
"eacc",1,0.449483231385784,"linear",1
"ebinacc",1,0.0588483442311749,"linear",1
"nll",1,1.15440877386537,"linear",1
"binnll",1,0.197304070830417,"linear",1
"rps",1,0.0631117581077216,"linear",1
"cint",1,0.480820594715807,"linear",1
"cslope",1,1.09190035156202,"linear",1
"brier",1,0.0523487369950368,"linear",1
"auc",1,0.948547923423916,"linear",1
"eauc",1,0.0514520765760835,"linear",1
"qwk",1,0.823354378825891,"linear",1
"eqwk",1,0.176645621174109,"linear",1
"acc",2,0.550938620544189,"linear",1
"binacc",2,0.936722210504113,"linear",1
"eacc",2,0.449061379455811,"linear",1
"ebinacc",2,0.0632777894958869,"linear",1
"nll",2,1.07117004586992,"linear",1
"binnll",2,0.194566171351946,"linear",1
"rps",2,0.0603323559904469,"linear",1
"cint",2,0.225862449307214,"linear",1
"cslope",2,1.29774597412427,"linear",1
"brier",2,0.0531532180824675,"linear",1
"auc",2,0.953973406921344,"linear",1
"eauc",2,0.0460265930786559,"linear",1
"qwk",2,0.816902217541958,"linear",1
"eqwk",2,0.183097782458042,"linear",1
"acc",3,0.559375659143641,"linear",1
"binacc",3,0.934402024889264,"linear",1
"eacc",3,0.440624340856359,"linear",1
"ebinacc",3,0.0655979751107362,"linear",1
"nll",3,1.05563305997629,"linear",1
"binnll",3,0.191789084048906,"linear",1
"rps",3,0.0594873273613576,"linear",1
"cint",3,0.206644725993301,"linear",1
"cslope",3,1.34451814758579,"linear",1
"brier",3,0.052972177924105,"linear",1
"auc",3,0.956594691754187,"linear",1
"eauc",3,0.0434053082458131,"linear",1
"qwk",3,0.822234749332259,"linear",1
"eqwk",3,0.177765250667741,"linear",1
"acc",4,0.555368065808901,"linear",1
"binacc",4,0.934191098924278,"linear",1
"eacc",4,0.444631934191099,"linear",1
"ebinacc",4,0.0658089010757225,"linear",1
"nll",4,1.06593996962741,"linear",1
"binnll",4,0.192619961260271,"linear",1
"rps",4,0.0600715483869322,"linear",1
"cint",4,0.240459131205388,"linear",1
"cslope",4,1.33669566658386,"linear",1
"brier",4,0.0530161670092989,"linear",1
"auc",4,0.955847769603466,"linear",1
"eauc",4,0.0441522303965342,"linear",1
"qwk",4,0.81740529174946,"linear",1
"eqwk",4,0.18259470825054,"linear",1
"acc",5,0.554946213878929,"linear",1
"binacc",5,0.933769246994305,"linear",1
"eacc",5,0.445053786121071,"linear",1
"ebinacc",5,0.066230753005695,"linear",1
"nll",5,1.06961449587253,"linear",1
"binnll",5,0.191991993200835,"linear",1
"rps",5,0.0605064525648902,"linear",1
"cint",5,0.295255416200322,"linear",1
"cslope",5,1.41584211169822,"linear",1
"brier",5,0.0533884827006072,"linear",1
"auc",5,0.956991053065175,"linear",1
"eauc",5,0.043008946934825,"linear",1
"qwk",5,0.813584716758765,"linear",1
"eqwk",5,0.186415283241235,"linear",1
"acc",1,0.550516768614216,"log-linear",1
"binacc",1,0.941151655768825,"log-linear",1
"eacc",1,0.449483231385784,"log-linear",1
"ebinacc",1,0.0588483442311749,"log-linear",1
"nll",1,1.15440877386537,"log-linear",1
"binnll",1,0.197304070830417,"log-linear",1
"rps",1,0.0631117581077216,"log-linear",1
"cint",1,0.480820594715807,"log-linear",1
"cslope",1,1.09190035156202,"log-linear",1
"brier",1,0.0523487369950368,"log-linear",1
"auc",1,0.948547923423916,"log-linear",1
"eauc",1,0.0514520765760835,"log-linear",1
"qwk",1,0.823354378825891,"log-linear",1
"eqwk",1,0.176645621174109,"log-linear",1
"acc",2,0.554102510018983,"log-linear",1
"binacc",2,0.935034802784223,"log-linear",1
"eacc",2,0.445897489981017,"log-linear",1
"ebinacc",2,0.0649651972157773,"log-linear",1
"nll",2,1.07587233802216,"log-linear",1
"binnll",2,0.200088835134771,"log-linear",1
"rps",2,0.0605790418517473,"log-linear",1
"cint",2,0.162225760054432,"log-linear",1
"cslope",2,1.23247919999651,"log-linear",1
"brier",2,0.0543481875570289,"log-linear",1
"auc",2,0.950678653523756,"log-linear",1
"eauc",2,0.0493213464762442,"log-linear",1
