"metric","val","method","spl"
"acc",0.550492580494045,"avgl",1
"binacc",0.93490903031411,"avgl",1
"eacc",0.449507419505955,"avgl",1
"ebinacc",0.0650909696858897,"avgl",1
"nll",1.12347114318689,"avgl",1
"binnll",0.204966004042326,"avgl",1
"rps",0.0628204464278606,"avgl",1
"cint",0.250315392405328,"avgl",1
"cslope",1.14497678278046,"avgl",1
"brier",0.0549779959441821,"avgl",1
"auc",0.946779942915649,"avgl",1
"eauc",0.0532200570843512,"avgl",1
"qwk",0.816116260682555,"avgl",1
"eqwk",0.183883739317445,"avgl",1
"acc",0.543635123156661,"avgl",2
"binacc",0.940200167711384,"avgl",2
"eacc",0.456364876843339,"avgl",2
"ebinacc",0.0597998322886157,"avgl",2
"nll",1.14219516945632,"avgl",2
"binnll",0.186485355640376,"avgl",2
"rps",0.0633929188974497,"avgl",2
"cint",0.372756677229221,"avgl",2
"cslope",1.13231969468817,"avgl",2
"brier",0.0504009205727133,"avgl",2
"auc",0.95665518449915,"avgl",2
"eauc",0.0433448155008498,"avgl",2
"qwk",0.823597632071083,"avgl",2
"eqwk",0.176402367928917,"avgl",2
"acc",0.545818430717071,"avgl",3
"binacc",0.931043752379417,"avgl",3
"eacc",0.454181569282929,"avgl",3
"ebinacc",0.0689562476205835,"avgl",3
"nll",1.12744335664449,"avgl",3
"binnll",0.212358338224209,"avgl",3
"rps",0.0628435547021101,"avgl",3
"cint",0.288044252243427,"avgl",3
"cslope",1.12307284395952,"avgl",3
"brier",0.0567996254386108,"avgl",3
"auc",0.946485304118525,"avgl",3
"eauc",0.0535146958814752,"avgl",3
"qwk",0.828637205427989,"avgl",3
"eqwk",0.171362794572011,"avgl",3
"acc",0.546684685680055,"avgl",4
"binacc",0.938481978014555,"avgl",4
"eacc",0.453315314319945,"avgl",4
"ebinacc",0.0615180219854453,"avgl",4
"nll",1.14171616226593,"avgl",4
"binnll",0.191788800995473,"avgl",4
"rps",0.0629742660655867,"avgl",4
"cint",0.496885191837876,"avgl",4
"cslope",1.17873614271989,"avgl",4
"brier",0.0528325226801879,"avgl",4
"auc",0.955827447744797,"avgl",4
"eauc",0.0441725522552034,"avgl",4
"qwk",0.819831033407883,"avgl",4
"eqwk",0.180168966592117,"avgl",4
"acc",0.550869800689306,"avgl",5
"binacc",0.935328788527655,"avgl",5
"eacc",0.449130199310694,"avgl",5
"ebinacc",0.0646712114723446,"avgl",5
"nll",1.11320771839398,"avgl",5
"binnll",0.200477959833441,"avgl",5
"rps",0.0625730026005869,"avgl",5
"cint",0.224638265152607,"avgl",5
"cslope",1.13345881549292,"avgl",5
"brier",0.0536241935190893,"avgl",5
"auc",0.950372838628536,"avgl",5
"eauc",0.0496271613714644,"avgl",5
"qwk",0.830955078264597,"avgl",5
"eqwk",0.169044921735403,"avgl",5
"acc",0.566056340329175,"avgl",6
"binacc",0.935257141640942,"avgl",6
"eacc",0.433943659670825,"avgl",6
"ebinacc",0.0647428583590578,"avgl",6
"nll",1.09940287580676,"avgl",6
"binnll",0.202077974578928,"avgl",6
"rps",0.0618199500692637,"avgl",6
"cint",0.200881426119822,"avgl",6
"cslope",1.12624237792059,"avgl",6
"brier",0.0538850019944623,"avgl",6
"auc",0.948592429387617,"avgl",6
"eauc",0.0514075706123834,"avgl",6
"qwk",0.835870513049377,"avgl",6
"eqwk",0.164129486950623,"avgl",6
"acc",0.550724686654283,"avgll",1
"binacc",0.935849537204897,"avgll",1
"eacc",0.449275313345717,"avgll",1
"ebinacc",0.0641504627951029,"avgll",1
"nll",1.12789027232952,"avgll",1
"binnll",0.203890166843854,"avgll",1
"rps",0.0628582897519308,"avgll",1
"cint",0.283373387769781,"avgll",1
"cslope",1.13617786394003,"avgll",1
"brier",0.0546080046708164,"avgll",1
"auc",0.947023764366931,"avgll",1
"eauc",0.0529762356330694,"avgll",1
"qwk",0.817271839735856,"avgll",1
"eqwk",0.182728160264144,"avgll",1
"acc",0.542910786706622,"avgll",2
"binacc",0.940396766055057,"avgll",2
"eacc",0.457089213293378,"avgll",2
"ebinacc",0.059603233944943,"avgll",2
"nll",1.14457325976835,"avgll",2
"binnll",0.185804127664882,"avgll",2
"rps",0.0635010711930453,"avgll",2
"cint",0.392772936534752,"avgll",2
"cslope",1.13821054929256,"avgll",2
"brier",0.0502990402821357,"avgll",2
"auc",0.956942992957333,"avgll",2
"eauc",0.043057007042667,"avgll",2
"qwk",0.82290444900945,"avgll",2
"eqwk",0.17709555099055,"avgll",2
"acc",0.545395899847089,"avgll",3
"binacc",0.931131493095883,"avgll",3
"eacc",0.454604100152911,"avgll",3
"ebinacc",0.0688685069041173,"avgll",3
"nll",1.12806750122512,"avgll",3
"binnll",0.211825165546656,"avgll",3
"rps",0.0628503351399968,"avgll",3
"cint",0.292152742470757,"avgll",3
"cslope",1.12308554240506,"avgll",3
"brier",0.0566378715639099,"avgll",3
"auc",0.946785624799207,"avgll",3
"eauc",0.0532143752007928,"avgll",3
"qwk",0.828698183900289,"avgll",3
"eqwk",0.171301816099711,"avgll",3
"acc",0.545743560296694,"avgll",4
"binacc",0.938366935229215,"avgll",4
"eacc",0.454256439703306,"avgll",4
"ebinacc",0.0616330647707846,"avgll",4
"nll",1.14554100645029,"avgll",4
"binnll",0.19207968518579,"avgll",4
"rps",0.063192389847643,"avgll",4
"cint",0.515942882036027,"avgll",4
"cslope",1.18498515516806,"avgll",4
"brier",0.0530138552976896,"avgll",4
"auc",0.955686754425795,"avgll",4
"eauc",0.0443132455742052,"avgll",4
"qwk",0.818290452311988,"avgll",4
"eqwk",0.181709547688012,"avgll",4
"acc",0.550567285026083,"avgll",5
"binacc",0.935506975218408,"avgll",5
"eacc",0.449432714973917,"avgll",5
"ebinacc",0.0644930247815925,"avgll",5
"nll",1.11307557158021,"avgll",5
"binnll",0.199965023579851,"avgll",5
"rps",0.062572064981698,"avgll",5
"cint",0.238592516652149,"avgll",5
"cslope",1.13773520213698,"avgll",5
"brier",0.0535326065894972,"avgll",5
"auc",0.950600232523334,"avgll",5
"eauc",0.0493997674766664,"avgll",5
"qwk",0.830376525307731,"avgll",5
"eqwk",0.169623474692269,"avgll",5
"acc",0.56633521755873,"avgll",6
"binacc",0.935659691947941,"avgll",6
"eacc",0.43366478244127,"avgll",6
"ebinacc",0.0643403080520594,"avgll",6
"nll",1.10153371489375,"avgll",6
"binnll",0.201702009159189,"avgll",6
"rps",0.0618152658988782,"avgll",6
"cint",0.211664680849821,"avgll",6
"cslope",1.11773340498968,"avgll",6
"brier",0.0536177246600341,"avgll",6
"auc",0.948657517409411,"avgll",6
"eauc",0.0513424825905887,"avgll",6
"qwk",0.83661749906145,"avgll",6
"eqwk",0.16338250093855,"avgll",6
"acc",0.550389235685402,"avgtrf",1
"binacc",0.93453375284989,"avgtrf",1
"eacc",0.449610764314598,"avgtrf",1
"ebinacc",0.0654662471501097,"avgtrf",1
"nll",1.12171920100591,"avgtrf",1
"binnll",0.205391593353433,"avgtrf",1
"rps",0.0628056302757572,"avgtrf",1
"cint",0.237203140088919,"avgtrf",1
"cslope",1.14852538582336,"avgtrf",1
"brier",0.0551244011448069,"avgtrf",1
"auc",0.946683712922936,"avgtrf",1
"eauc",0.0533162870770645,"avgtrf",1
"qwk",0.815652108604949,"avgtrf",1
"eqwk",0.184347891395051,"avgtrf",1
"acc",0.543737374358785,"avgtrf",2
"binacc",0.940208606169796,"avgtrf",2
"eacc",0.456262625641215,"avgtrf",2
"ebinacc",0.0597913938302042,"avgtrf",2
"nll",1.14209798590689,"avgtrf",2
"binnll",0.186497794422187,"avgtrf",2
"rps",0.0633754358022488,"avgtrf",2
"cint",0.370455711472827,"avgtrf",2
"cslope",1.13049392005661,"avgtrf",2
"brier",0.050392313266428,"avgtrf",2
"auc",0.956657494745896,"avgtrf",2
"eauc",0.0433425052541037,"avgtrf",2
"qwk",0.823719795727364,"avgtrf",2
"eqwk",0.176280204272636,"avgtrf",2
"acc",0.54570722684537,"avgtrf",3
"binacc",0.931161589174135,"avgtrf",3
"eacc",0.45429277315463,"avgtrf",3
"ebinacc",0.0688384108258651,"avgtrf",3
"nll",1.12735005818829,"avgtrf",3
"binnll",0.212081885245757,"avgtrf",3
"rps",0.0628159113077458,"avgtrf",3
"cint",0.288572345975336,"avgtrf",3
"cslope",1.12165956987006,"avgtrf",3
"brier",0.056729800043475,"avgtrf",3
"auc",0.946640905358907,"avgtrf",3
"eauc",0.0533590946410926,"avgtrf",3
"qwk",0.828823975564315,"avgtrf",3
"eqwk",0.171176024435685,"avgtrf",3
