"metric","val","method","spl"
"acc",0.373971735920692,"linear",1
"binacc",0.829149968361105,"linear",1
"eacc",0.626028264079308,"linear",1
"ebinacc",0.170850031638895,"linear",1
"nll",1.54281028720349,"linear",1
"binnll",0.385841861913208,"linear",1
"rps",0.115820283549412,"linear",1
"cint",0.0309581572132948,"linear",1
"cslope",1.11783326018142,"linear",1
"brier",0.12129158598296,"linear",1
"auc",0.808350952592191,"linear",1
"eauc",0.191649047407809,"linear",1
"qwk",0.420516207223362,"linear",1
"eqwk",0.579483792776638,"linear",1
"acc",0.364901919426281,"linear",2
"binacc",0.831470153975954,"linear",2
"eacc",0.635098080573719,"linear",2
"ebinacc",0.168529846024046,"linear",2
"nll",1.56885557884605,"linear",2
"binnll",0.389277561415339,"linear",2
"rps",0.120402579388611,"linear",2
"cint",0.0289590426760207,"linear",2
"cslope",1.08086270894868,"linear",2
"brier",0.122231519734164,"linear",2
"auc",0.803802811416109,"linear",2
"eauc",0.196197188583891,"linear",2
"qwk",0.411441604558417,"linear",2
"eqwk",0.588558395441583,"linear",2
"acc",0.368698586796035,"linear",3
"binacc",0.816705336426914,"linear",3
"eacc",0.631301413203965,"linear",3
"ebinacc",0.183294663573086,"linear",3
"nll",1.56054809157236,"linear",3
"binnll",0.405834337093644,"linear",3
"rps",0.119449519297856,"linear",3
"cint",0.00909580791189297,"linear",3
"cslope",1.07004157964229,"linear",3
"brier",0.128629744921148,"linear",3
"auc",0.798620845455347,"linear",3
"eauc",0.201379154544653,"linear",3
"qwk",0.410095291461099,"linear",3
"eqwk",0.589904708538901,"linear",3
"acc",0.382830626450116,"linear",4
"binacc",0.825142375026366,"linear",4
"eacc",0.617169373549884,"linear",4
"ebinacc",0.174857624973634,"linear",4
"nll",1.55643141331827,"linear",4
"binnll",0.391454874591402,"linear",4
"rps",0.118229079099081,"linear",4
"cint",0.0722853783323005,"linear",4
"cslope",1.04934291437464,"linear",4
"brier",0.123725154919219,"linear",4
"auc",0.801948331576373,"linear",4
"eauc",0.198051668423627,"linear",4
"qwk",0.411348830265226,"linear",4
"eqwk",0.588651169734774,"linear",4
"acc",0.360683400126556,"linear",5
"binacc",0.828517190466146,"linear",5
"eacc",0.639316599873444,"linear",5
"ebinacc",0.171482809533854,"linear",5
"nll",1.56637245566717,"linear",5
"binnll",0.390804388279174,"linear",5
"rps",0.120756308629487,"linear",5
"cint",0.0157362442938388,"linear",5
"cslope",1.06549773922563,"linear",5
"brier",0.123032379672841,"linear",5
"auc",0.806077505102012,"linear",5
"eauc",0.193922494897988,"linear",5
"qwk",0.402746283698665,"linear",5
"eqwk",0.597253716301335,"linear",5
"acc",0.385572663994938,"linear",6
"binacc",0.826407930816283,"linear",6
"eacc",0.614427336005062,"linear",6
"ebinacc",0.173592069183717,"linear",6
"nll",1.54293064164423,"linear",6
"binnll",0.387548374007428,"linear",6
"rps",0.118328183946626,"linear",6
"cint",-0.0354409529205003,"linear",6
"cslope",1.10131401081541,"linear",6
"brier",0.122399900177502,"linear",6
"auc",0.818227286212475,"linear",6
"eauc",0.181772713787525,"linear",6
"qwk",0.416962627941148,"linear",6
"eqwk",0.583037372058852,"linear",6
