"metric","val","method","spl"
"acc",0.372284328200802,"linear",1
"binacc",0.830204598186037,"linear",1
"eacc",0.627715671799199,"linear",1
"ebinacc",0.169795401813963,"linear",1
"nll",1.54470582401121,"linear",1
"binnll",0.384913388386745,"linear",1
"rps",0.115817183721173,"linear",1
"cint",0.0683049396060571,"linear",1
"cslope",1.09087632955199,"linear",1
"brier",0.120968203325043,"linear",1
"auc",0.808916113124283,"linear",1
"eauc",0.191083886875717,"linear",1
"qwk",0.433200811693019,"linear",1
"eqwk",0.566799188306981,"linear",1
"acc",0.363636363636364,"linear",2
"binacc",0.830626450116009,"linear",2
"eacc",0.636363636363636,"linear",2
"ebinacc",0.169373549883991,"linear",2
"nll",1.56983778989719,"linear",2
"binnll",0.38893681391666,"linear",2
"rps",0.120346721741824,"linear",2
"cint",0.069834056549923,"linear",2
"cslope",1.07815531958974,"linear",2
"brier",0.122052467232981,"linear",2
"auc",0.80398780314589,"linear",2
"eauc",0.19601219685411,"linear",2
"qwk",0.423954455021592,"linear",2
"eqwk",0.576045544978408,"linear",2
"acc",0.36384728960135,"linear",3
"binacc",0.817759966251846,"linear",3
"eacc",0.63615271039865,"linear",3
"ebinacc",0.182240033748154,"linear",3
"nll",1.56451321136502,"linear",3
"binnll",0.405337483621682,"linear",3
"rps",0.119483244093491,"linear",3
"cint",0.0481018176770741,"linear",3
"cslope",1.06976416284077,"linear",3
"brier",0.128400209367437,"linear",3
"auc",0.799197467601164,"linear",3
"eauc",0.200802532398836,"linear",3
"qwk",0.419870639382522,"linear",3
"eqwk",0.580129360617478,"linear",3
"acc",0.380932292765239,"linear",4
"binacc",0.826829782746256,"linear",4
"eacc",0.619067707234761,"linear",4
"ebinacc",0.173170217253744,"linear",4
"nll",1.55915442464571,"linear",4
"binnll",0.390921496748309,"linear",4
"rps",0.118269527112222,"linear",4
"cint",0.106125172747084,"linear",4
"cslope",1.06446148468753,"linear",4
"brier",0.123439559749703,"linear",4
"auc",0.802732073833688,"linear",4
"eauc",0.197267926166312,"linear",4
"qwk",0.430108588377558,"linear",4
"eqwk",0.569891411622442,"linear",4
"acc",0.360894326091542,"linear",5
"binacc",0.831259228010968,"linear",5
"eacc",0.639105673908458,"linear",5
"ebinacc",0.168740771989032,"linear",5
"nll",1.57442544289661,"linear",5
"binnll",0.390678085836004,"linear",5
"rps",0.120742733297326,"linear",5
"cint",0.0668003952451482,"linear",5
"cslope",1.09413585071864,"linear",5
"brier",0.122844200524889,"linear",5
"auc",0.80673778217394,"linear",5
"eauc",0.19326221782606,"linear",5
"qwk",0.42745822028127,"linear",5
"eqwk",0.57254177971873,"linear",5
"acc",0.383885256275047,"linear",6
"binacc",0.827884412571188,"linear",6
"eacc",0.616114743724953,"linear",6
"ebinacc",0.172115587428812,"linear",6
"nll",1.5650627698679,"linear",6
"binnll",0.388099599592435,"linear",6
"rps",0.11841921751743,"linear",6
"cint",0.0196306331694071,"linear",6
"cslope",1.1421730388493,"linear",6
"brier",0.122369144406097,"linear",6
"auc",0.818558386091006,"linear",6
"eauc",0.181441613908994,"linear",6
"qwk",0.442028616100122,"linear",6
"eqwk",0.557971383899878,"linear",6
