"metric","topn","val","method","spl"
"acc",1,0.562328622653449,"linear",1
"binacc",1,0.926386838219785,"linear",1
"eacc",1,0.437671377346551,"linear",1
"ebinacc",1,0.0736131617802152,"linear",1
"nll",1,1.06246241038733,"linear",1
"binnll",1,0.204317135145399,"linear",1
"rps",1,0.0609120773807945,"linear",1
"cint",1,0.149306903217578,"linear",1
"cslope",1,1.16008821512437,"linear",1
"brier",1,0.0580957976728777,"linear",1
"auc",1,0.948986916620098,"linear",1
"eauc",1,0.051013083379902,"linear",1
"qwk",1,0.833239583941912,"linear",1
"eqwk",1,0.166760416058088,"linear",1
"acc",2,0.568867327568024,"linear",1
"binacc",2,0.925754060324826,"linear",1
"eacc",2,0.431132672431976,"linear",1
"ebinacc",2,0.074245939675174,"linear",1
"nll",2,1.03539767288104,"linear",1
"binnll",2,0.197109902301632,"linear",1
"rps",2,0.0597027687776511,"linear",1
"cint",2,0.233045799099723,"linear",1
"cslope",2,1.35535554010164,"linear",1
"brier",2,0.0569219973604936,"linear",1
"auc",2,0.954352485035632,"linear",1
"eauc",2,0.0456475149643678,"linear",1
"qwk",2,0.832443278206857,"linear",1
"eqwk",2,0.167556721793143,"linear",1
"acc",3,0.570554735287914,"linear",1
"binacc",3,0.926386838219785,"linear",1
"eacc",3,0.429445264712086,"linear",1
"ebinacc",3,0.0736131617802152,"linear",1
"nll",3,1.0358614517632,"linear",1
"binnll",3,0.195731909760859,"linear",1
"rps",3,0.0598318517140302,"linear",1
"cint",3,0.272038213196908,"linear",1
"cslope",3,1.40939742649878,"linear",1
"brier",3,0.0564605101259569,"linear",1
"auc",3,0.955239401079624,"linear",1
"eauc",3,0.0447605989203763,"linear",1
"qwk",3,0.832480599705177,"linear",1
"eqwk",3,0.167519400294823,"linear",1
"acc",4,0.561273992828517,"linear",1
"binacc",4,0.924277578569922,"linear",1
"eacc",4,0.438726007171483,"linear",1
"ebinacc",4,0.075722421430078,"linear",1
"nll",4,1.04362936352137,"linear",1
"binnll",4,0.19705144819694,"linear",1
"rps",4,0.0606261899500294,"linear",1
"cint",4,0.290204843944789,"linear",1
"cslope",4,1.46151743416511,"linear",1
"brier",4,0.0568825100278114,"linear",1
"auc",4,0.955754152288007,"linear",1
"eauc",4,0.0442458477119928,"linear",1
"qwk",4,0.822578340771539,"linear",1
"eqwk",4,0.177421659228461,"linear",1
"acc",5,0.561273992828517,"linear",1
"binacc",5,0.924910356464881,"linear",1
"eacc",5,0.438726007171483,"linear",1
"ebinacc",5,0.0750896435351192,"linear",1
"nll",5,1.04504917545396,"linear",1
"binnll",5,0.194819125211864,"linear",1
"rps",5,0.0607797941547693,"linear",1
"cint",5,0.308110368598133,"linear",1
