"metric","val","method","spl"
"acc",0.557821667584053,"avgl",1
"binacc",0.926233107572925,"avgl",1
"eacc",0.442178332415947,"avgl",1
"ebinacc",0.0737668924270755,"avgl",1
"nll",1.07407820178244,"avgl",1
"binnll",0.20401417241848,"avgl",1
"rps",0.0618545298853233,"avgl",1
"cint",0.248633967708595,"avgl",1
"cslope",1.2267588708934,"avgl",1
"brier",0.0580266805615248,"avgl",1
"auc",0.948738839950187,"avgl",1
"eauc",0.051261160049813,"avgl",1
"qwk",0.824531426545641,"avgl",1
"eqwk",0.175468573454359,"avgl",1
"acc",0.557638699429104,"avgl",2
"binacc",0.932956413491856,"avgl",2
"eacc",0.442361300570896,"avgl",2
"ebinacc",0.067043586508144,"avgl",2
"nll",1.08580220040814,"avgl",2
"binnll",0.190027951051523,"avgl",2
"rps",0.0623255002215952,"avgl",2
"cint",0.296594968825699,"avgl",2
"cslope",1.14966866647879,"avgl",2
"brier",0.0535792332930813,"avgl",2
"auc",0.956596348527329,"avgl",2
"eauc",0.0434036514726708,"avgl",2
"qwk",0.833803839712155,"avgl",2
"eqwk",0.166196160287845,"avgl",2
"acc",0.563042907272715,"avgl",3
"binacc",0.922502869635115,"avgl",3
"eacc",0.436957092727285,"avgl",3
"ebinacc",0.0774971303648847,"avgl",3
"nll",1.06501082449439,"avgl",3
"binnll",0.215178522571294,"avgl",3
"rps",0.061688764440196,"avgl",3
"cint",0.2788574117089,"avgl",3
"cslope",1.17825405210815,"avgl",3
"brier",0.0608583829248863,"avgl",3
"auc",0.943510011197449,"avgl",3
"eauc",0.0564899888025509,"avgl",3
"qwk",0.837441298723813,"avgl",3
"eqwk",0.162558701276187,"avgl",3
"acc",0.554301847712786,"avgl",4
"binacc",0.927702892278172,"avgl",4
"eacc",0.445698152287214,"avgl",4
"ebinacc",0.0722971077218282,"avgl",4
"nll",1.08799348108367,"avgl",4
"binnll",0.198819016398385,"avgl",4
"rps",0.0622876611129084,"avgl",4
"cint",0.28759205287133,"avgl",4
"cslope",1.16635383195711,"avgl",4
"brier",0.0565133861261301,"avgl",4
"auc",0.952591461229016,"avgl",4
"eauc",0.0474085387709838,"avgl",4
"qwk",0.82830428943038,"avgl",4
"eqwk",0.17169571056962,"avgl",4
"acc",0.558117269844516,"avgl",5
"binacc",0.92815905877935,"avgl",5
"eacc",0.441882730155484,"avgl",5
"ebinacc",0.0718409412206502,"avgl",5
"nll",1.07234369727562,"avgl",5
"binnll",0.199762829100776,"avgl",5
"rps",0.0625691181457449,"avgl",5
"cint",0.271875532520365,"avgl",5
"cslope",1.24412245548645,"avgl",5
"brier",0.0561986759319502,"avgl",5
"auc",0.951936211528809,"avgl",5
"eauc",0.0480637884711911,"avgl",5
"qwk",0.831734383563305,"avgl",5
"eqwk",0.168265616436695,"avgl",5
"acc",0.572230476004879,"avgl",6
"binacc",0.933135773138885,"avgl",6
"eacc",0.427769523995121,"avgl",6
"ebinacc",0.0668642268611146,"avgl",6
"nll",1.04498212660117,"avgl",6
"binnll",0.18995041430619,"avgl",6
"rps",0.0603584991890624,"avgl",6
"cint",0.304604950345931,"avgl",6
"cslope",1.25364221145958,"avgl",6
"brier",0.0533910063227953,"avgl",6
"auc",0.95636463307997,"avgl",6
"eauc",0.0436353669200302,"avgl",6
"qwk",0.841033260787279,"avgl",6
"eqwk",0.158966739212721,"avgl",6
"acc",0.557042433408762,"avgll",1
"binacc",0.926229146150933,"avgll",1
"eacc",0.442957566591238,"avgll",1
"ebinacc",0.0737708538490672,"avgll",1
"nll",1.07606768251649,"avgll",1
"binnll",0.20401994233415,"avgll",1
"rps",0.0620205601740101,"avgll",1
"cint",0.266312932527982,"avgll",1
"cslope",1.23810782216945,"avgll",1
"brier",0.0580235771491225,"avgll",1
"auc",0.948643871383042,"avgll",1
"eauc",0.0513561286169578,"avgll",1
"qwk",0.823005928599645,"avgll",1
"eqwk",0.176994071400355,"avgll",1
"acc",0.556472263508455,"avgll",2
"binacc",0.932537349636032,"avgll",2
"eacc",0.443527736491545,"avgll",2
"ebinacc",0.0674626503639676,"avgll",2
"nll",1.08573113920689,"avgll",2
"binnll",0.190616046731593,"avgll",2
"rps",0.062469987936546,"avgll",2
"cint",0.295408181244637,"avgll",2
"cslope",1.16212685655593,"avgll",2
"brier",0.053808807766478,"avgll",2
"auc",0.956341829170526,"avgll",2
"eauc",0.0436581708294744,"avgll",2
"qwk",0.832453761855577,"avgll",2
"eqwk",0.167546238144423,"avgll",2
"acc",0.562576537605775,"avgll",3
"binacc",0.922449179778499,"avgll",3
"eacc",0.437423462394225,"avgll",3
"ebinacc",0.0775508202215011,"avgll",3
"nll",1.06480221630583,"avgll",3
"binnll",0.21489324520613,"avgll",3
"rps",0.0617058933694966,"avgll",3
"cint",0.281111472772777,"avgll",3
"cslope",1.18524901345212,"avgll",3
"brier",0.060818785524646,"avgll",3
"auc",0.943695092690668,"avgll",3
"eauc",0.0563049073093318,"avgll",3
"qwk",0.837127027665185,"avgll",3
"eqwk",0.162872972334815,"avgll",3
"acc",0.553638899315925,"avgll",4
"binacc",0.927373413844646,"avgll",4
"eacc",0.446361100684075,"avgll",4
"ebinacc",0.0726265861553542,"avgll",4
"nll",1.08825523175828,"avgll",4
"binnll",0.199484968830974,"avgll",4
"rps",0.0624331865383167,"avgll",4
"cint",0.292737270749386,"avgll",4
"cslope",1.17858405335859,"avgll",4
"brier",0.0567814708443803,"avgll",4
"auc",0.952160415054069,"avgll",4
"eauc",0.0478395849459309,"avgll",4
"qwk",0.827476819410547,"avgll",4
"eqwk",0.172523180589453,"avgll",4
"acc",0.557947383080328,"avgll",5
"binacc",0.92807334639138,"avgll",5
"eacc",0.442052616919672,"avgll",5
"ebinacc",0.0719266536086202,"avgll",5
"nll",1.07126380683055,"avgll",5
"binnll",0.19968358307459,"avgll",5
"rps",0.0625366190381916,"avgll",5
"cint",0.271395254100024,"avgll",5
"cslope",1.25006141202477,"avgll",5
"brier",0.0562041255993847,"avgll",5
"auc",0.95204602515587,"avgll",5
"eauc",0.0479539748441303,"avgll",5
"qwk",0.8316808005858,"avgll",5
"eqwk",0.1683191994142,"avgll",5
"acc",0.569401790090146,"avgll",6
"binacc",0.932766506849542,"avgll",6
"eacc",0.430598209909854,"avgll",6
"ebinacc",0.0672334931504581,"avgll",6
"nll",1.04801355169171,"avgll",6
"binnll",0.190681672468571,"avgll",6
"rps",0.0606813471923836,"avgll",6
"cint",0.31543270229225,"avgll",6
"cslope",1.2830134153706,"avgll",6
"brier",0.0536235215238422,"avgll",6
"auc",0.956428199439066,"avgll",6
"eauc",0.0435718005609338,"avgll",6
"qwk",0.838797575339315,"avgll",6
"eqwk",0.161202424660685,"avgll",6
"acc",0.558609319239387,"avgtrf",1
"binacc",0.92588090861327,"avgtrf",1
"eacc",0.441390680760613,"avgtrf",1
"ebinacc",0.0741190913867302,"avgtrf",1
"nll",1.06955412172894,"avgtrf",1
"binnll",0.204380787881031,"avgtrf",1
"rps",0.0616166728744604,"avgtrf",1
