"metric","topn","val","method","spl"
"acc",1,0.572031217042818,"linear",1
"binacc",1,0.930816283484497,"linear",1
"eacc",1,0.427968782957182,"linear",1
"ebinacc",1,0.069183716515503,"linear",1
"nll",1,1.03539743507882,"linear",1
"binnll",1,0.192176328725654,"linear",1
"rps",1,0.0586346953248737,"linear",1
"cint",1,0.214798054954327,"linear",1
"cslope",1,1.2642412478176,"linear",1
"brier",1,0.0534496211443998,"linear",1
"auc",1,0.9547039100352,"linear",1
"eauc",1,0.0452960899647998,"linear",1
"qwk",1,0.837131179185962,"linear",1
"eqwk",1,0.162868820814038,"linear",1
"acc",2,0.573507698797722,"linear",1
"binacc",2,0.928496097869648,"linear",1
"eacc",2,0.426492301202278,"linear",1
"ebinacc",2,0.0715039021303523,"linear",1
"nll",2,1.02549814688117,"linear",1
"binnll",2,0.190374483751676,"linear",1
"rps",2,0.0583067567738256,"linear",1
"cint",2,0.223632228133852,"linear",1
"cslope",2,1.43512442525674,"linear",1
"brier",2,0.0539621210794151,"linear",1
"auc",2,0.958877513984987,"linear",1
"eauc",2,0.0411224860150133,"linear",1
"qwk",2,0.835334702966152,"linear",1
"eqwk",2,0.164665297033848,"linear",1
"acc",3,0.575827884412571,"linear",1
"binacc",3,0.930605357519511,"linear",1
"eacc",3,0.424172115587429,"linear",1
"ebinacc",3,0.0693946424804893,"linear",1
"nll",3,1.02361119108282,"linear",1
"binnll",3,0.186996506368531,"linear",1
"rps",3,0.0580466388804019,"linear",1
"cint",3,0.254944267036759,"linear",1
"cslope",3,1.43204202048173,"linear",1
"brier",3,0.0528690838154968,"linear",1
"auc",3,0.959928620397629,"linear",1
"eauc",3,0.0400713796023713,"linear",1
"qwk",3,0.838591072701488,"linear",1
"eqwk",3,0.161408927298512,"linear",1
"acc",4,0.573085846867749,"linear",1
"binacc",4,0.931870913309428,"linear",1
"eacc",4,0.426914153132251,"linear",1
"ebinacc",4,0.0681290866905716,"linear",1
"nll",4,1.0236389074137,"linear",1
"binnll",4,0.184527757708729,"linear",1
"rps",4,0.0579968671096739,"linear",1
"cint",4,0.259598893773857,"linear",1
"cslope",4,1.43402766712037,"linear",1
"brier",4,0.0520503358643699,"linear",1
"auc",4,0.961259138490255,"linear",1
"eauc",4,0.0387408615097449,"linear",1
"qwk",4,0.834501618886292,"linear",1
"eqwk",4,0.165498381113708,"linear",1
"acc",5,0.572242143007804,"linear",1
"binacc",5,0.933558321029319,"linear",1
"eacc",5,0.427757856992196,"linear",1
"ebinacc",5,0.0664416789706813,"linear",1
"nll",5,1.0268122297085,"linear",1
"binnll",5,0.183211047684864,"linear",1
"rps",5,0.0580931802012292,"linear",1
"cint",5,0.257725152481914,"linear",1
"cslope",5,1.41980192189123,"linear",1
"brier",5,0.0515985186480086,"linear",1
"auc",5,0.961499951030943,"linear",1
"eauc",5,0.0385000489690573,"linear",1
"qwk",5,0.834991516008716,"linear",1
"eqwk",5,0.165008483991284,"linear",1
"acc",1,0.572031217042818,"log-linear",1
"binacc",1,0.930816283484497,"log-linear",1
"eacc",1,0.427968782957182,"log-linear",1
"ebinacc",1,0.069183716515503,"log-linear",1
"nll",1,1.03539743507882,"log-linear",1
"binnll",1,0.192176328725654,"log-linear",1
"rps",1,0.0586346953248737,"log-linear",1
"cint",1,0.214798054954327,"log-linear",1
"cslope",1,1.2642412478176,"log-linear",1
"brier",1,0.0534496211443998,"log-linear",1
"auc",1,0.9547039100352,"log-linear",1
"eauc",1,0.0452960899647998,"log-linear",1
"qwk",1,0.837131179185962,"log-linear",1
"eqwk",1,0.162868820814038,"log-linear",1
"acc",2,0.575827884412571,"log-linear",1
"binacc",2,0.928074245939675,"log-linear",1
"eacc",2,0.424172115587429,"log-linear",1
"ebinacc",2,0.0719257540603249,"log-linear",1
"nll",2,1.02571031704956,"log-linear",1
"binnll",2,0.192408754248001,"log-linear",1
"rps",2,0.0583222971717981,"log-linear",1
"cint",2,0.183841225210047,"log-linear",1
"cslope",2,1.38438221122844,"log-linear",1
"brier",2,0.0545628648674583,"log-linear",1
"auc",2,0.957294949273818,"log-linear",1
"eauc",2,0.0427050507261824,"log-linear",1
"qwk",2,0.836382789947413,"log-linear",1
"eqwk",2,0.163617210052587,"log-linear",1
"acc",3,0.574562328622653,"log-linear",1
"binacc",3,0.929339801729593,"log-linear",1
"eacc",3,0.425437671377347,"log-linear",1
"ebinacc",3,0.070660198270407,"log-linear",1
"nll",3,1.02270271727559,"log-linear",1
"binnll",3,0.190386677493146,"log-linear",1
"rps",3,0.0579424625002927,"log-linear",1
"cint",3,0.18795332834417,"log-linear",1
"cslope",3,1.36394487468887,"log-linear",1
"brier",3,0.0538424066508308,"log-linear",1
"auc",3,0.95756600740873,"log-linear",1
"eauc",3,0.0424339925912697,"log-linear",1
"qwk",3,0.837916226026985,"log-linear",1
"eqwk",3,0.162083773973015,"log-linear",1
"acc",4,0.574140476692681,"log-linear",1
"binacc",4,0.930394431554524,"log-linear",1
"eacc",4,0.425859523307319,"log-linear",1
"ebinacc",4,0.0696055684454756,"log-linear",1
"nll",4,1.02399230541753,"log-linear",1
"binnll",4,0.188834294992772,"log-linear",1
"rps",4,0.0579430135185094,"log-linear",1
"cint",4,0.182942747515384,"log-linear",1
"cslope",4,1.35489078850163,"log-linear",1
"brier",4,0.0532796479333936,"log-linear",1
"auc",4,0.95840481855524,"log-linear",1
"eauc",4,0.04159518144476,"log-linear",1
"qwk",4,0.837347591296847,"log-linear",1
"eqwk",4,0.162652408703153,"log-linear",1
"acc",5,0.574562328622653,"log-linear",1
"binacc",5,0.93292554313436,"log-linear",1
"eacc",5,0.425437671377347,"log-linear",1
"ebinacc",5,0.0670744568656402,"log-linear",1
"nll",5,1.02713734439166,"log-linear",1
"binnll",5,0.188209557811441,"log-linear",1
"rps",5,0.0580114477017908,"log-linear",1
"cint",5,0.170394601127698,"log-linear",1
"cslope",5,1.33286280475054,"log-linear",1
"brier",5,0.0529372247693089,"log-linear",1
"auc",5,0.958353833124975,"log-linear",1
"eauc",5,0.0416461668750252,"log-linear",1
"qwk",5,0.837635439806736,"log-linear",1
"eqwk",5,0.162364560193264,"log-linear",1
"acc",1,0.572031217042818,"trafo",1
"binacc",1,0.930816283484497,"trafo",1
"eacc",1,0.427968782957182,"trafo",1
"ebinacc",1,0.069183716515503,"trafo",1
"nll",1,1.03539743507882,"trafo",1
"binnll",1,0.192176328725654,"trafo",1
"rps",1,0.0586346953248737,"trafo",1
"cint",1,0.214798054954327,"trafo",1
"cslope",1,1.2642412478176,"trafo",1
"brier",1,0.0534496211443998,"trafo",1
"auc",1,0.9547039100352,"trafo",1
"eauc",1,0.0452960899647998,"trafo",1
"qwk",1,0.837131179185962,"trafo",1
"eqwk",1,0.162868820814038,"trafo",1
"acc",2,0.57477325458764,"trafo",1
"binacc",2,0.928496097869648,"trafo",1
"eacc",2,0.42522674541236,"trafo",1
"ebinacc",2,0.0715039021303523,"trafo",1
"nll",2,1.02937387356409,"trafo",1
"binnll",2,0.191290662763983,"trafo",1
"rps",2,0.0583960285388674,"trafo",1
"cint",2,0.227456460850801,"trafo",1
"cslope",2,1.3837647480702,"trafo",1
"brier",2,0.0541919011428929,"trafo",1
"auc",2,0.957655880031571,"trafo",1
"eauc",2,0.0423441199684294,"trafo",1
"qwk",2,0.836394160256067,"trafo",1
"eqwk",2,0.163605839743933,"trafo",1
"acc",3,0.576671588272516,"trafo",1
"binacc",3,0.930816283484497,"trafo",1
"eacc",3,0.423328411727484,"trafo",1
"ebinacc",3,0.069183716515503,"trafo",1
"nll",3,1.0350192766538,"trafo",1
"binnll",3,0.188542336138893,"trafo",1
"rps",3,0.0583038676775715,"trafo",1
"cint",3,0.282797064685828,"trafo",1
"cslope",3,1.35228994388228,"trafo",1
"brier",3,0.0532058442961087,"trafo",1
"auc",3,0.957974755010687,"trafo",1
"eauc",3,0.0420252449893133,"trafo",1
"qwk",3,0.838873077249905,"trafo",1
"eqwk",3,0.161126922750095,"trafo",1
"acc",4,0.574984180552626,"trafo",1
"binacc",4,0.931659987344442,"trafo",1
"eacc",4,0.425015819447374,"trafo",1
"ebinacc",4,0.0683400126555579,"trafo",1
"nll",4,1.03850228489273,"trafo",1
"binnll",4,0.186637742308125,"trafo",1
"rps",4,0.0583288418427184,"trafo",1
"cint",4,0.286825777517347,"trafo",1
"cslope",4,1.3396633653754,"trafo",1
"brier",4,0.0525229113801838,"trafo",1
"auc",4,0.958922738349685,"trafo",1
"eauc",4,0.0410772616503149,"trafo",1
"qwk",4,0.835845091798386,"trafo",1
"eqwk",4,0.164154908201614,"trafo",1
"acc",5,0.573085846867749,"trafo",1
"binacc",5,0.933558321029319,"trafo",1
"eacc",5,0.426914153132251,"trafo",1
"ebinacc",5,0.0664416789706813,"trafo",1
"nll",5,1.04520199311079,"trafo",1
"binnll",5,0.18587698883751,"trafo",1
"rps",5,0.0584755062751114,"trafo",1
"cint",5,0.286389982723735,"trafo",1
"cslope",5,1.31435672455972,"trafo",1
"brier",5,0.0521566062934936,"trafo",1
"auc",5,0.95889940603414,"trafo",1
"eauc",5,0.04110059396586,"trafo",1
"qwk",5,0.835732844018361,"trafo",1
"eqwk",5,0.164267155981639,"trafo",1
"acc",1,0.572031217042818,"avg",1
"binacc",1,0.930816283484497,"avg",1
"eacc",1,0.427968782957182,"avg",1
"ebinacc",1,0.069183716515503,"avg",1
"nll",1,1.03539743507882,"avg",1
"binnll",1,0.192176328725654,"avg",1
"rps",1,0.0586346953248737,"avg",1
"cint",1,0.214798054954327,"avg",1
"cslope",1,1.2642412478176,"avg",1
"brier",1,0.0534496211443998,"avg",1
"auc",1,0.9547039100352,"avg",1
"eauc",1,0.0452960899647998,"avg",1
"qwk",1,0.837131179185962,"avg",1
"eqwk",1,0.162868820814038,"avg",1
"acc",2,0.563805104408353,"avg",1
"binacc",2,0.928285171904661,"avg",1
"eacc",2,0.436194895591647,"avg",1
"ebinacc",2,0.0717148280953386,"avg",1
"nll",2,1.05128988333449,"avg",1
"binnll",2,0.195231328544052,"avg",1
"rps",2,0.059937350347154,"avg",1
"cint",2,0.234292221106557,"avg",1
"cslope",2,1.32275472903584,"avg",1
"brier",2,0.0549334324241478,"avg",1
"auc",2,0.95408819615276,"avg",1
"eauc",2,0.0459118038472396,"avg",1
"qwk",2,0.828609443715177,"avg",1
"eqwk",2,0.171390556284823,"avg",1
"acc",3,0.563523869788371,"avg",1
"binacc",3,0.930253814244534,"avg",1
"eacc",3,0.436476130211629,"avg",1
"ebinacc",3,0.0697461857554664,"avg",1
"nll",3,1.071972018639,"avg",1
"binnll",3,0.194864493213505,"avg",1
"rps",3,0.0605274920754878,"avg",1
"cint",3,0.292714138813137,"avg",1
