"metric","val","method","spl"
"acc",0.564584038641197,"avgl",1
"binacc",0.93186069182519,"avgl",1
"eacc",0.435415961358803,"avgl",1
"ebinacc",0.0681393081748102,"avgl",1
"nll",1.07100438741131,"avgl",1
"binnll",0.193558383061054,"avgl",1
"rps",0.0602544908776347,"avgl",1
"cint",0.276596104777929,"avgl",1
"cslope",1.23410805221432,"avgl",1
"brier",0.0536122705506184,"avgl",1
"auc",0.95344281262981,"avgl",1
"eauc",0.0465571873701902,"avgl",1
"qwk",0.832468938370852,"avgl",1
"eqwk",0.167531061629148,"avgl",1
"acc",0.564858881746802,"avgl",2
"binacc",0.938184202970498,"avgl",2
"eacc",0.435141118253198,"avgl",2
"ebinacc",0.0618157970295017,"avgl",2
"nll",1.09990446905212,"avgl",2
"binnll",0.186725161973094,"avgl",2
"rps",0.0609847615638955,"avgl",2
"cint",0.215298076636778,"avgl",2
"cslope",1.0561930566881,"avgl",2
"brier",0.0504890269778412,"avgl",2
"auc",0.956363736648487,"avgl",2
"eauc",0.0436362633515126,"avgl",2
"qwk",0.846224756597408,"avgl",2
"eqwk",0.153775243402592,"avgl",2
"acc",0.566600377526784,"avgl",3
"binacc",0.928317855688126,"avgl",3
"eacc",0.433399622473216,"avgl",3
"ebinacc",0.0716821443118744,"avgl",3
"nll",1.07369405775596,"avgl",3
"binnll",0.202831282626925,"avgl",3
"rps",0.0597621084784975,"avgl",3
"cint",0.221966900390667,"avgl",3
"cslope",1.07666766370616,"avgl",3
"brier",0.0558356717249808,"avgl",3
"auc",0.952605431892426,"avgl",3
"eauc",0.0473945681075745,"avgl",3
"qwk",0.851569157173278,"avgl",3
"eqwk",0.148430842826722,"avgl",3
"acc",0.566545436285231,"avgl",4
"binacc",0.935236820460406,"avgl",4
"eacc",0.433454563714769,"avgl",4
"ebinacc",0.0647631795395938,"avgl",4
"nll",1.10871819644483,"avgl",4
"binnll",0.189711253276759,"avgl",4
"rps",0.0610662783172351,"avgl",4
"cint",0.356593956384189,"avgl",4
"cslope",1.09484271848386,"avgl",4
"brier",0.0526637102628313,"avgl",4
"auc",0.955619922153696,"avgl",4
"eauc",0.0443800778463036,"avgl",4
"qwk",0.840690764842182,"avgl",4
"eqwk",0.159309235157818,"avgl",4
"acc",0.561938413899089,"avgl",5
"binacc",0.934097252670025,"avgl",5
"eacc",0.438061586100911,"avgl",5
"ebinacc",0.0659027473299754,"avgl",5
"nll",1.0840909069311,"avgl",5
"binnll",0.195801910755767,"avgl",5
"rps",0.0610245354557296,"avgl",5
"cint",0.132491822443123,"avgl",5
"cslope",1.10340440083973,"avgl",5
"brier",0.0530559635893158,"avgl",5
"auc",0.95406443233803,"avgl",5
"eauc",0.0459355676619697,"avgl",5
"qwk",0.842355619025831,"avgl",5
"eqwk",0.157644380974169,"avgl",5
"acc",0.583592431707156,"avgl",6
"binacc",0.937205001259257,"avgl",6
"eacc",0.416407568292844,"avgl",6
"ebinacc",0.062794998740743,"avgl",6
"nll",1.05227733729586,"avgl",6
"binnll",0.184575832654274,"avgl",6
"rps",0.0585695487824545,"avgl",6
"cint",0.258706175437657,"avgl",6
"cslope",1.12133245269029,"avgl",6
"brier",0.0504592643559618,"avgl",6
"auc",0.957264076890759,"avgl",6
"eauc",0.0427359231092413,"avgl",6
"qwk",0.856200016948906,"avgl",6
"eqwk",0.143799983051094,"avgl",6
"acc",0.564949037879203,"avgll",1
"binacc",0.931804287219311,"avgll",1
"eacc",0.435050962120797,"avgll",1
"ebinacc",0.0681957127806895,"avgll",1
"nll",1.06994540060757,"avgll",1
"binnll",0.193558947885698,"avgll",1
"rps",0.0601949846316983,"avgll",1
"cint",0.277074558288508,"avgll",1
"cslope",1.23509773923484,"avgll",1
"brier",0.0536317779996134,"avgll",1
"auc",0.953441632302679,"avgll",1
"eauc",0.046558367697321,"avgll",1
"qwk",0.832771071569604,"avgll",1
