"age_group0","age_group1","age_group2","age_group3","age_group4","age_group5","age_group6","spl","type"
0,0,0,0,0,1,0,1,"test"
1,0,0,0,0,0,0,1,"test"
0,0,0,1,0,0,0,1,"test"
0,0,0,1,0,0,0,1,"test"
0,0,0,0,0,1,0,1,"test"
0,0,0,0,0,1,0,1,"test"
0,0,0,1,0,0,0,1,"test"
0,0,0,0,1,0,0,1,"test"
0,0,0,0,0,0,1,1,"test"
1,0,0,0,0,0,0,1,"test"
0,0,0,1,0,0,0,1,"test"
1,0,0,0,0,0,0,1,"test"
0,0,1,0,0,0,0,1,"test"
0,0,0,0,1,0,0,1,"test"
0,0,0,0,1,0,0,1,"test"
0,0,0,0,1,0,0,1,"test"
1,0,0,0,0,0,0,1,"test"
0,0,0,0,1,0,0,1,"test"
0,0,0,1,0,0,0,1,"test"
0,0,0,1,0,0,0,1,"test"
0,0,0,0,0,1,0,1,"test"
0,0,0,1,0,0,0,1,"test"
0,0,0,1,0,0,0,1,"test"
0,0,0,1,0,0,0,1,"test"
0,0,0,0,0,1,0,1,"test"
0,0,0,1,0,0,0,1,"test"
1,0,0,0,0,0,0,1,"test"
0,0,0,1,0,0,0,1,"test"
0,0,0,1,0,0,0,1,"test"
1,0,0,0,0,0,0,1,"test"
0,0,0,1,0,0,0,1,"test"
0,0,0,1,0,0,0,1,"test"
1,0,0,0,0,0,0,1,"test"
0,1,0,0,0,0,0,1,"test"
0,0,0,1,0,0,0,1,"test"
0,0,1,0,0,0,0,1,"test"
0,0,1,0,0,0,0,1,"test"
0,0,0,1,0,0,0,1,"test"
0,0,0,0,1,0,0,1,"test"
0,0,0,0,0,0,1,1,"test"
0,0,0,0,1,0,0,1,"test"
0,0,0,0,1,0,0,1,"test"
0,0,0,0,1,0,0,1,"test"
0,0,1,0,0,0,0,1,"test"
0,0,0,0,0,1,0,1,"test"
0,0,0,0,0,1,0,1,"test"
0,0,0,0,0,1,0,1,"test"
0,0,1,0,0,0,0,1,"test"
0,0,0,1,0,0,0,1,"test"
0,0,0,0,1,0,0,1,"test"
0,0,0,0,0,1,0,1,"test"
0,1,0,0,0,0,0,1,"test"
0,0,0,0,0,1,0,1,"test"
0,0,0,0,0,1,0,1,"test"
0,0,0,1,0,0,0,1,"test"
0,0,0,1,0,0,0,1,"test"
0,0,1,0,0,0,0,1,"test"
1,0,0,0,0,0,0,1,"test"
0,1,0,0,0,0,0,1,"test"
0,0,0,0,0,0,1,1,"test"
0,0,0,0,1,0,0,1,"test"
0,0,0,1,0,0,0,1,"test"
0,0,0,0,0,0,1,1,"test"
0,0,0,1,0,0,0,1,"test"
0,0,0,1,0,0,0,1,"test"
0,0,0,0,0,1,0,1,"test"
0,0,0,0,0,1,0,1,"test"
1,0,0,0,0,0,0,1,"test"
1,0,0,0,0,0,0,1,"test"
0,0,0,0,1,0,0,1,"test"
0,0,0,1,0,0,0,1,"test"
0,0,0,1,0,0,0,1,"test"
0,0,0,0,1,0,0,1,"test"
0,0,0,1,0,0,0,1,"test"
0,0,0,0,1,0,0,1,"test"
0,0,0,0,0,0,1,1,"test"
0,0,0,0,1,0,0,1,"test"
1,0,0,0,0,0,0,1,"test"
0,0,0,0,0,1,0,1,"test"
0,0,0,1,0,0,0,1,"test"
0,0,0,0,1,0,0,1,"test"
0,0,0,1,0,0,0,1,"test"
0,0,0,0,0,1,0,1,"test"
0,0,0,1,0,0,0,1,"test"
0,0,0,0,1,0,0,1,"test"
0,0,0,1,0,0,0,1,"test"
0,0,0,1,0,0,0,1,"test"
0,0,0,1,0,0,0,1,"test"
0,0,0,0,1,0,0,1,"test"
0,0,0,0,1,0,0,1,"test"
