"w.1","w.2","w.3","w.4","w.5","spl","method"
0.105304903850867,0.482315495563371,0.0731017007214484,0.204950304901328,0.134327594962985,1,"linear"
0.11333998307815,0.412971483305146,0.200304022678317,0.166392756103409,0.106991754834977,2,"linear"
0,0.227742521081685,0.360360101501026,0.334084381386149,0.0778129960311406,3,"linear"
0.0713292495725139,0,0.364648861545313,0.36821923652909,0.195802652353083,4,"linear"
0,0.306337425473148,0.21208238095914,0.212922909048935,0.268657284518777,5,"linear"
0,0.307381293999892,0.357249336062328,0.0389708822518199,0.29639848768596,6,"linear"
0.0966879361749041,0.499270562299543,0.0514036394098337,0.22336947645513,0.129268385660589,1,"log-linear"
0.0803196577746365,0.48207661495757,0.221629405349946,0.134854873219744,0.0811194486981033,2,"log-linear"
0.0308278515580482,0.174553263711785,0.431723890435185,0.258595448890978,0.104299545404005,3,"log-linear"
0.0483238556652214,0,0.351378336823468,0.400636422986491,0.19966138452482,4,"log-linear"
0,0.29812843197959,0.194198145608198,0.189571750249595,0.318101672162617,5,"log-linear"
0,0.338705060432002,0.350866582967081,0.0273696793485162,0.283058677252401,6,"log-linear"
0.0647252591455933,0.552083884704646,0.0461597966251855,0.181676990271584,0.155354069252992,1,"trafo"
0.0846830364542207,0.459455069260747,0.223140802820546,0.153973806716919,0.0787472847475678,2,"trafo"
0,0.20303931553085,0.37706670504649,0.338815214754723,0.0810787646679371,3,"trafo"
0.0481725061151757,0,0.387297119011533,0.38123693770069,0.183293437172602,4,"trafo"
0,0.323276649112609,0.195712371889185,0.200838911917333,0.280172067080873,5,"trafo"
0,0.318951958208449,0.388318729941131,0.0115896414261598,0.28113967042426,6,"trafo"
