"lwr","med","upr","metric","mod","method"
0.876435311993183,0.888774978751946,0.900142363068591,"nll","ci","log-linear"
0.0489723279510235,0.0498053869503185,0.0505418836485366,"rps","ci","log-linear"
0.10697210578217,0.110982579252763,0.114615800459137,"eqwk","ci","log-linear"
0.354217690204988,0.359690754034787,0.365407659757708,"eacc","ci","log-linear"
0.232384575773903,0.263429089179228,0.298039127716249,"cint","ci","log-linear"
0.985956852021115,1.00892672992547,1.03338609828718,"cslope","ci","log-linear"
-0.686514598454091,-0.674174931695327,-0.662807547378682,"dnll","ci","log-linear"
-0.0698741099628875,-0.0690410509635924,-0.0683045542653744,"drps","ci","log-linear"
-0.463591005741816,-0.459580532271223,-0.455947311064849,"deqwk","ci","log-linear"
-0.274869000366622,-0.269395936536823,-0.263679030813902,"deacc","ci","log-linear"
