"","bin","prop","lwr","upr","cases","midpoint","method","mod","weights"
"1",NA,0.00317604355716878,0.00161699753151028,0.00569724025531383,10.5,0.00729848513913357,"linear","ci","equal"
"2",NA,0.0204866364094806,0.0154462550063375,0.0266242885949454,54.1666666666667,0.0246368894762149,"linear","ci","equal"
"3",NA,0.0613445378151261,0.0434839624458173,0.0837029410959755,36.5,0.0524133768371331,"linear","ci","equal"
"4",NA,0.169444444444444,0.0865216640824262,0.287020475850471,10.1666666666667,0.113967381785533,"linear","ci","equal"
"5",NA,0.238095238095238,0.0305340502300635,0.661879382669136,1.66666666666667,0.578892409285482,"linear","ci","equal"
"6",NA,0.00559588626739262,0.00336218895704018,0.0087614776580246,18.5,0.00655543415183909,"linear","cils","equal"
"7",NA,0.0148764498234997,0.0106334287911912,0.0202378277289444,39.3333333333333,0.0261021401634757,"linear","cils","equal"
"8",NA,0.0683473389355742,0.0494386062913005,0.0916701756554841,40.6666666666667,0.0748254264334753,"linear","cils","equal"
"9",NA,0.208333333333333,0.115358128375576,0.33164282078054,12.5,0.159789855727099,"linear","cils","equal"
"10",NA,0.285714285714286,0.0562112830609183,0.690960671268435,2,0.60451113530526,"linear","cils","equal"
"11",NA,0.0025206694898165,0.00120205992078608,0.00481704367562985,8.33333333333333,0.00564014898135111,"linear","ci","tuned"
"12",NA,0.0218734241048916,0.0166575360334845,0.0281819783958538,57.8333333333333,0.0235779449059602,"linear","ci","tuned"
"13",NA,0.0613445378151261,0.0435045141686592,0.0836831163437454,36.5,0.0607817865771292,"linear","ci","tuned"
"14",NA,0.138888888888889,0.0654208288885563,0.250612286152998,8.33333333333333,0.138077482506656,"linear","ci","tuned"
"15",NA,0.285714285714286,0.0562112830609183,0.690960671268435,2,0.595233491854136,"linear","ci","tuned"
"16",NA,0.00448679169187336,0.00252374729909129,0.00739169739931784,14.8333333333333,0.0050982945740061,"linear","cils","tuned"
"17",NA,0.0151916288451841,0.0108909914512165,0.0206089886230676,40.1666666666667,0.0246581833140395,"linear","cils","tuned"
"18",NA,0.0722689075630252,0.0528032532851397,0.0961028095419892,43,0.0804274359688623,"linear","cils","tuned"
