"metric","ens","val","spl"
"acc",1,0.983061101028433,1
"acc",2,0.983061101028433,1
"acc",3,0.983061101028433,1
"acc",4,0.983061101028433,1
"acc",5,0.983061101028433,1
"binacc",1,0.983061101028433,1
"binacc",2,0.983061101028433,1
"binacc",3,0.983061101028433,1
"binacc",4,0.983061101028433,1
"binacc",5,0.983061101028433,1
"eacc",1,0.0169388989715669,1
"eacc",2,0.0169388989715669,1
"eacc",3,0.0169388989715669,1
"eacc",4,0.0169388989715669,1
"eacc",5,0.0169388989715669,1
"ebinacc",1,0.0169388989715669,1
"ebinacc",2,0.0169388989715669,1
"ebinacc",3,0.0169388989715669,1
"ebinacc",4,0.0169388989715669,1
"ebinacc",5,0.0169388989715669,1
"nll",1,0.0754846600902986,1
"nll",2,0.0779199969508255,1
"nll",3,0.0797282936084529,1
"nll",4,0.0765610843816165,1
"nll",5,0.0784610225595888,1
"binnll",1,0.0754846600902986,1
"binnll",2,0.0779199969508255,1
"binnll",3,0.0797282936084529,1
"binnll",4,0.0765610843816165,1
"binnll",5,0.0784610225595888,1
"rps",1,0.0161830993326333,1
"rps",2,0.0162277766487251,1
"rps",3,0.0163844994889726,1
"rps",4,0.0161042120867073,1
"rps",5,0.0162895861804843,1
"cint",1,0.421522234388136,1
"cint",2,-0.260614953925787,1
"cint",3,0.201308989780769,1
"cint",4,-0.122816276671713,1
"cint",5,-0.266542652393108,1
"cslope",1,0.817770402651884,1
"cslope",2,1.99914319929878,1
"cslope",3,0.931739270720142,1
"cslope",4,1.24258347588426,1
"cslope",5,1.18714685192222,1
"brier",1,0.0161830993326333,1
"brier",2,0.0162277766487251,1
"brier",3,0.0163844994889726,1
"brier",4,0.0161042120867073,1
"brier",5,0.0162895861804843,1
"auc",1,0.820798076923077,1
"auc",2,0.80435989010989,1
"auc",3,0.739263736263736,1
"auc",4,0.792059065934066,1
"auc",5,0.762651098901099,1
"eauc",1,0.179201923076923,1
"eauc",2,0.19564010989011,1
"eauc",3,0.260736263736264,1
"eauc",4,0.207940934065934,1
"eauc",5,0.237348901098901,1
"qwk",1,0.0169595922051717,1
"qwk",2,0,1
"qwk",3,0,1
"qwk",4,0,1
"qwk",5,0,1
"eqwk",1,0.983040407794828,1
"eqwk",2,1,1
"eqwk",3,1,1
"eqwk",4,1,1
"eqwk",5,1,1
"acc",1,0.983212341197822,2
"acc",2,0.983061101028433,2
"acc",3,0.983212341197822,2
"acc",4,0.983061101028433,2
"acc",5,0.983212341197822,2
"binacc",1,0.983212341197822,2
"binacc",2,0.983061101028433,2
"binacc",3,0.983212341197822,2
"binacc",4,0.983061101028433,2
"binacc",5,0.983212341197822,2
"eacc",1,0.0167876588021778,2
"eacc",2,0.0169388989715669,2
"eacc",3,0.0167876588021778,2
"eacc",4,0.0169388989715669,2
"eacc",5,0.0167876588021778,2
"ebinacc",1,0.0167876588021778,2
"ebinacc",2,0.0169388989715669,2
"ebinacc",3,0.0167876588021778,2
"ebinacc",4,0.0169388989715669,2
"ebinacc",5,0.0167876588021778,2
"nll",1,0.0802500851493995,2
"nll",2,0.0827929629457076,2
"nll",3,0.0806979377612913,2
"nll",4,0.0820692727906095,2
"nll",5,0.0854091476979592,2
"binnll",1,0.0802500851493995,2
"binnll",2,0.0827929629457076,2
"binnll",3,0.0806979377612913,2
"binnll",4,0.0820692727906095,2
"binnll",5,0.0854091476979592,2
"rps",1,0.0162575966141528,2
"rps",2,0.016703554203542,2
"rps",3,0.0162764372424717,2
"rps",4,0.016486988205044,2
"rps",5,0.0165091928068404,2
"cint",1,-0.247353464015316,2
"cint",2,-0.346787749432133,2
"cint",3,-0.334992255970346,2
"cint",4,-0.236149611997002,2
"cint",5,-0.282685613684752,2
"cslope",1,1.39198832753491,2
"cslope",2,0.701625619685035,2
"cslope",3,1.93008295720848,2
"cslope",4,0.999692738628231,2
"cslope",5,11.456001624553,2
"brier",1,0.0162575966141528,2
"brier",2,0.016703554203542,2
"brier",3,0.0162764372424717,2
"brier",4,0.016486988205044,2
"brier",5,0.0165091928068404,2
"auc",1,0.731166792080498,2
"auc",2,0.716761523868123,2
"auc",3,0.770597316282595,2
"auc",4,0.696770143470651,2
"auc",5,0.754173647574663,2
"eauc",1,0.268833207919502,2
"eauc",2,0.283238476131877,2
"eauc",3,0.229402683717405,2
"eauc",4,0.303229856529349,2
"eauc",5,0.245826352425337,2
"qwk",1,0,2
"qwk",2,0.0166750320673694,2
"qwk",3,0,2
"qwk",4,-0.000299869516237505,2
"qwk",5,0,2
"eqwk",1,1,2
"eqwk",2,0.983324967932631,2
"eqwk",3,1,2
"eqwk",4,1.00029986951624,2
"eqwk",5,1,2
"acc",1,0.981246218995765,3
"acc",2,0.981246218995765,3
"acc",3,0.981246218995765,3
"acc",4,0.981548699334543,3
"acc",5,0.981094978826376,3
"binacc",1,0.981246218995765,3
"binacc",2,0.981246218995765,3
"binacc",3,0.981246218995765,3
"binacc",4,0.981548699334543,3
"binacc",5,0.981094978826376,3
"eacc",1,0.0187537810042347,3
"eacc",2,0.0187537810042347,3
"eacc",3,0.0187537810042347,3
"eacc",4,0.0184513006654567,3
"eacc",5,0.0189050211736237,3
"ebinacc",1,0.0187537810042347,3
"ebinacc",2,0.0187537810042347,3
"ebinacc",3,0.0187537810042347,3
"ebinacc",4,0.0184513006654567,3
"ebinacc",5,0.0189050211736237,3
"nll",1,0.083772936510033,3
"nll",2,0.0771630831917175,3
"nll",3,0.0804920439459351,3
"nll",4,0.0801118216953392,3
"nll",5,0.0853973157660553,3
"binnll",1,0.083772936510033,3
"binnll",2,0.0771630831917175,3
"binnll",3,0.0804920439459351,3
"binnll",4,0.0801118216953392,3
"binnll",5,0.0853973157660553,3
"rps",1,0.0179335329461161,3
"rps",2,0.0174419770082885,3
"rps",3,0.0175714193273584,3
"rps",4,0.0175224572929133,3
"rps",5,0.0177112433455183,3
"cint",1,0.0646993706383027,3
"cint",2,0.0682876228484506,3
"cint",3,-0.0138172830420467,3
"cint",4,0.117349844530603,3
"cint",5,0.227487103421493,3
"cslope",1,0.972688149828325,3
"cslope",2,1.11747903793759,3
"cslope",3,1.14985990881258,3
"cslope",4,1.42110021030443,3
"cslope",5,0.888529288565931,3
"brier",1,0.0179335329461161,3
"brier",2,0.0174419770082885,3
"brier",3,0.0175714193273584,3
"brier",4,0.0175224572929133,3
"brier",5,0.0177112433455183,3
"auc",1,0.786105989037359,3
"auc",2,0.836747581398873,3
"auc",3,0.804928768092147,3
"auc",4,0.822001060900755,3
"auc",5,0.727750132612594,3
"eauc",1,0.213894010962641,3
"eauc",2,0.163252418601127,3
"eauc",3,0.195071231907853,3
"eauc",4,0.177998939099245,3
"eauc",5,0.272249867387406,3
"qwk",1,0.0147187478969784,3
"qwk",2,0.0147187478969784,3
"qwk",3,-0.000595557725164619,3
"qwk",4,0,3
"qwk",5,-0.00088644752521283,3
"eqwk",1,0.985281252103022,3
"eqwk",2,0.985281252103022,3
"eqwk",3,1.00059555772516,3
"eqwk",4,1,3
"eqwk",5,1.00088644752521,3
"acc",1,0.983363581367211,4
"acc",2,0.983363581367211,4
"acc",3,0.983212341197822,4
"acc",4,0.983363581367211,4
"acc",5,0.983363581367211,4
"binacc",1,0.983363581367211,4
"binacc",2,0.983363581367211,4
"binacc",3,0.983212341197822,4
"binacc",4,0.983363581367211,4
"binacc",5,0.983363581367211,4
"eacc",1,0.0166364186327889,4
"eacc",2,0.0166364186327889,4
"eacc",3,0.0167876588021778,4
"eacc",4,0.0166364186327889,4
"eacc",5,0.0166364186327889,4
"ebinacc",1,0.0166364186327889,4
"ebinacc",2,0.0166364186327889,4
"ebinacc",3,0.0167876588021778,4
"ebinacc",4,0.0166364186327889,4
"ebinacc",5,0.0166364186327889,4
"nll",1,0.0761273927298516,4
"nll",2,0.0752968016713568,4
"nll",3,0.0741425085746837,4
"nll",4,0.0750574394856005,4
"nll",5,0.0802220601852353,4
"binnll",1,0.0761273927298516,4
"binnll",2,0.0752968016713568,4
"binnll",3,0.0741425085746837,4
"binnll",4,0.0750574394856005,4
"binnll",5,0.0802220601852353,4
"rps",1,0.015982279042716,4
"rps",2,0.01593901690053,4
"rps",3,0.0158238728054703,4
"rps",4,0.0158706202918071,4
"rps",5,0.0162573255812902,4
"cint",1,-0.0253344480658008,4
"cint",2,-0.171827042457392,4
