"metric","topn","val","method","spl"
"acc",1,0.983061101028433,"linear",1
"binacc",1,0.983061101028433,"linear",1
"eacc",1,0.0169388989715669,"linear",1
"ebinacc",1,0.0169388989715669,"linear",1
"nll",1,0.0754846600902986,"linear",1
"binnll",1,0.0754846600902986,"linear",1
"rps",1,0.0161830993326333,"linear",1
"cint",1,0.421522234388136,"linear",1
"cslope",1,0.817770402651884,"linear",1
"brier",1,0.0161830993326333,"linear",1
"auc",1,0.820798076923077,"linear",1
"eauc",1,0.179201923076923,"linear",1
"qwk",1,0.0169595922051717,"linear",1
"eqwk",1,0.983040407794828,"linear",1
"acc",2,0.983061101028433,"linear",1
"binacc",2,0.983061101028433,"linear",1
"eacc",2,0.0169388989715669,"linear",1
"ebinacc",2,0.0169388989715669,"linear",1
"nll",2,0.0748311632733285,"linear",1
"binnll",2,0.0748311632733285,"linear",1
"rps",2,0.0160977960114967,"linear",1
"cint",2,0.0166019171452068,"linear",1
"cslope",2,1.21938160430999,"linear",1
"brier",2,0.0160977960114967,"linear",1
"auc",2,0.811346153846154,"linear",1
"eauc",2,0.188653846153846,"linear",1
"qwk",2,0,"linear",1
"eqwk",2,1,"linear",1
"acc",3,0.983061101028433,"linear",1
"binacc",3,0.983061101028433,"linear",1
"eacc",3,0.0169388989715669,"linear",1
"ebinacc",3,0.0169388989715669,"linear",1
"nll",3,0.0747322463380399,"linear",1
"binnll",3,0.0747322463380399,"linear",1
"rps",3,0.0160462707361479,"linear",1
"cint",3,-0.0320007949719035,"linear",1
"cslope",3,1.34258570674013,"linear",1
"brier",3,0.0160462707361479,"linear",1
"auc",3,0.814436813186813,"linear",1
"eauc",3,0.185563186813187,"linear",1
"qwk",3,0,"linear",1
"eqwk",3,1,"linear",1
"acc",4,0.983061101028433,"linear",1
"binacc",4,0.983061101028433,"linear",1
"eacc",4,0.0169388989715669,"linear",1
"ebinacc",4,0.0169388989715669,"linear",1
"nll",4,0.0751076162358347,"linear",1
"binnll",4,0.0751076162358347,"linear",1
"rps",4,0.0160572003156574,"linear",1
"cint",4,-0.0944399945889118,"linear",1
"cslope",4,1.5402702002009,"linear",1
"brier",4,0.0160572003156574,"linear",1
"auc",4,0.818241758241758,"linear",1
"eauc",4,0.181758241758242,"linear",1
"qwk",4,0,"linear",1
"eqwk",4,1,"linear",1
"acc",5,0.983061101028433,"linear",1
"binacc",5,0.983061101028433,"linear",1
"eacc",5,0.0169388989715669,"linear",1
"ebinacc",5,0.0169388989715669,"linear",1
"nll",5,0.075437574484476,"linear",1
"binnll",5,0.075437574484476,"linear",1
"rps",5,0.0160938452827351,"linear",1
"cint",5,-0.0417068961119406,"linear",1
"cslope",5,1.51035802247972,"linear",1
"brier",5,0.0160938452827351,"linear",1
"auc",5,0.810531593406593,"linear",1
"eauc",5,0.189468406593407,"linear",1
"qwk",5,0,"linear",1
"eqwk",5,1,"linear",1
"acc",1,0.983061101028433,"log-linear",1
"binacc",1,0.983061101028433,"log-linear",1
"eacc",1,0.0169388989715669,"log-linear",1
"ebinacc",1,0.0169388989715669,"log-linear",1
"nll",1,0.0754846600902986,"log-linear",1
"binnll",1,0.0754846600902986,"log-linear",1
"rps",1,0.0161830993326333,"log-linear",1
"cint",1,0.421522234388136,"log-linear",1
"cslope",1,0.817770402651884,"log-linear",1
"brier",1,0.0161830993326333,"log-linear",1
"auc",1,0.820798076923077,"log-linear",1
"eauc",1,0.179201923076923,"log-linear",1
"qwk",1,0.0169595922051717,"log-linear",1
"eqwk",1,0.983040407794828,"log-linear",1
"acc",2,0.983061101028433,"log-linear",1
"binacc",2,0.983061101028433,"log-linear",1
"eacc",2,0.0169388989715669,"log-linear",1
"ebinacc",2,0.0169388989715669,"log-linear",1
"nll",2,0.0748099384177049,"log-linear",1
"binnll",2,0.0748099384177049,"log-linear",1
"rps",2,0.0160873040507452,"log-linear",1
"cint",2,0.0116777591518846,"log-linear",1
"cslope",2,1.2119624915229,"log-linear",1
"brier",2,0.0160873040507452,"log-linear",1
"auc",2,0.811168956043956,"log-linear",1
"eauc",2,0.188831043956044,"log-linear",1
"qwk",2,0,"log-linear",1
"eqwk",2,1,"log-linear",1
"acc",3,0.983061101028433,"log-linear",1
"binacc",3,0.983061101028433,"log-linear",1
"eacc",3,0.0169388989715669,"log-linear",1
"ebinacc",3,0.0169388989715669,"log-linear",1
"nll",3,0.0746988656852714,"log-linear",1
"binnll",3,0.0746988656852714,"log-linear",1
"rps",3,0.0160326340734572,"log-linear",1
"cint",3,-0.0370405090475863,"log-linear",1
"cslope",3,1.33176053781334,"log-linear",1
"brier",3,0.0160326340734572,"log-linear",1
"auc",3,0.814230769230769,"log-linear",1
"eauc",3,0.185769230769231,"log-linear",1
"qwk",3,0,"log-linear",1
"eqwk",3,1,"log-linear",1
"acc",4,0.983061101028433,"log-linear",1
"binacc",4,0.983061101028433,"log-linear",1
"eacc",4,0.0169388989715669,"log-linear",1
"ebinacc",4,0.0169388989715669,"log-linear",1
"nll",4,0.075071536627683,"log-linear",1
"binnll",4,0.075071536627683,"log-linear",1
"rps",4,0.0160444767746722,"log-linear",1
"cint",4,-0.0991476433464369,"log-linear",1
"cslope",4,1.52345625164741,"log-linear",1
"brier",4,0.0160444767746722,"log-linear",1
"auc",4,0.818141483516484,"log-linear",1
"eauc",4,0.181858516483516,"log-linear",1
"qwk",4,0,"log-linear",1
"eqwk",4,1,"log-linear",1
"acc",5,0.983061101028433,"log-linear",1
"binacc",5,0.983061101028433,"log-linear",1
"eacc",5,0.0169388989715669,"log-linear",1
"ebinacc",5,0.0169388989715669,"log-linear",1
"nll",5,0.0753983247210183,"log-linear",1
"binnll",5,0.0753983247210183,"log-linear",1
"rps",5,0.0160819922685278,"log-linear",1
"cint",5,-0.0465793869064382,"log-linear",1
"cslope",5,1.49468446430299,"log-linear",1
"brier",5,0.0160819922685278,"log-linear",1
"auc",5,0.810465659340659,"log-linear",1
"eauc",5,0.189534340659341,"log-linear",1
"qwk",5,0,"log-linear",1
"eqwk",5,1,"log-linear",1
"acc",1,0.983061101028433,"trafo",1
"binacc",1,0.983061101028433,"trafo",1
"eacc",1,0.0169388989715669,"trafo",1
"ebinacc",1,0.0169388989715669,"trafo",1
"nll",1,0.0754846600902986,"trafo",1
"binnll",1,0.0754846600902986,"trafo",1
"rps",1,0.0161830993326333,"trafo",1
"cint",1,0.421522234388136,"trafo",1
"cslope",1,0.817770402651882,"trafo",1
"brier",1,0.0161830993326333,"trafo",1
"auc",1,0.820798076923077,"trafo",1
"eauc",1,0.179201923076923,"trafo",1
"qwk",1,0.0169595922051717,"trafo",1
"eqwk",1,0.983040407794828,"trafo",1
"acc",2,0.983061101028433,"trafo",1
"binacc",2,0.983061101028433,"trafo",1
"eacc",2,0.0169388989715669,"trafo",1
"ebinacc",2,0.0169388989715669,"trafo",1
"nll",2,0.0739896192560061,"trafo",1
"binnll",2,0.0739896192560061,"trafo",1
"rps",2,0.0161312582018318,"trafo",1
"cint",2,0.211209953637835,"trafo",1
"cslope",2,1.13317551286824,"trafo",1
"brier",2,0.0161312582018318,"trafo",1
"auc",2,0.825288461538462,"trafo",1
"eauc",2,0.174711538461538,"trafo",1
"qwk",2,0,"trafo",1
"eqwk",2,1,"trafo",1
"acc",3,0.983061101028433,"trafo",1
"binacc",3,0.983061101028433,"trafo",1
"eacc",3,0.0169388989715669,"trafo",1
"ebinacc",3,0.0169388989715669,"trafo",1
"nll",3,0.0739170907378815,"trafo",1
"binnll",3,0.0739170907378815,"trafo",1
"rps",3,0.0160812773444317,"trafo",1
"cint",3,0.146321035800598,"trafo",1
"cslope",3,1.28337384061681,"trafo",1
"brier",3,0.0160812773444317,"trafo",1
"auc",3,0.824769230769231,"trafo",1
"eauc",3,0.175230769230769,"trafo",1
"qwk",3,0,"trafo",1
"eqwk",3,1,"trafo",1
"acc",4,0.983061101028433,"trafo",1
"binacc",4,0.983061101028433,"trafo",1
"eacc",4,0.0169388989715669,"trafo",1
"ebinacc",4,0.0169388989715669,"trafo",1
"nll",4,0.074142837913763,"trafo",1
"binnll",4,0.074142837913763,"trafo",1
"rps",4,0.0160852332797877,"trafo",1
"cint",4,0.0745781009000635,"trafo",1
"cslope",4,1.4823910581821,"trafo",1
"brier",4,0.0160852332797877,"trafo",1
"auc",4,0.827248626373626,"trafo",1
"eauc",4,0.172751373626374,"trafo",1
"qwk",4,0,"trafo",1
"eqwk",4,1,"trafo",1
"acc",5,0.983061101028433,"trafo",1
"binacc",5,0.983061101028433,"trafo",1
"eacc",5,0.0169388989715669,"trafo",1
"ebinacc",5,0.0169388989715669,"trafo",1
"nll",5,0.074813604085297,"trafo",1
"binnll",5,0.074813604085297,"trafo",1
"rps",5,0.0161251786963957,"trafo",1
"cint",5,0.127031159080767,"trafo",1
"cslope",5,1.45694712937508,"trafo",1
"brier",5,0.0161251786963957,"trafo",1
"auc",5,0.817167582417582,"trafo",1
"eauc",5,0.182832417582418,"trafo",1
"qwk",5,0,"trafo",1
"eqwk",5,1,"trafo",1
"acc",1,0.983061101028433,"avg",1
"binacc",1,0.983061101028433,"avg",1
"eacc",1,0.0169388989715669,"avg",1
"ebinacc",1,0.0169388989715669,"avg",1
"nll",1,0.0754846600902986,"avg",1
"binnll",1,0.0754846600902986,"avg",1
"rps",1,0.0161830993326333,"avg",1
"cint",1,0.421522234388136,"avg",1
"cslope",1,0.817770402651884,"avg",1
"brier",1,0.0161830993326333,"avg",1
"auc",1,0.820798076923077,"avg",1
"eauc",1,0.179201923076923,"avg",1
"qwk",1,0.0169595922051717,"avg",1
"eqwk",1,0.983040407794828,"avg",1
"acc",2,0.983061101028433,"avg",1
"binacc",2,0.983061101028433,"avg",1
"eacc",2,0.0169388989715669,"avg",1
"ebinacc",2,0.0169388989715669,"avg",1
"nll",2,0.0769728413249437,"avg",1
"binnll",2,0.0769728413249437,"avg",1
"rps",2,0.0162363427565588,"avg",1
"cint",2,0.0774897909975142,"avg",1
"cslope",2,1.00245862728705,"avg",1
"brier",2,0.0162363427565588,"avg",1
"auc",2,0.791724587912088,"avg",1
"eauc",2,0.208275412087912,"avg",1
"qwk",2,0.00847979610258587,"avg",1
"eqwk",2,0.991520203897414,"avg",1
"acc",3,0.983061101028433,"avg",1
"binacc",3,0.983061101028433,"avg",1
"eacc",3,0.0169388989715668,"avg",1
"ebinacc",3,0.0169388989715668,"avg",1
"nll",3,0.0768355890105013,"avg",1
"binnll",3,0.0768355890105013,"avg",1
"rps",3,0.0161922991999416,"avg",1
"cint",3,0.0107211017744384,"avg",1
"cslope",3,1.08250024348612,"avg",1
"brier",3,0.0161922991999416,"avg",1
"auc",3,0.791836080586081,"avg",1
"eauc",3,0.208163919413919,"avg",1
"qwk",3,0.00565319740172391,"avg",1
"eqwk",3,0.994346802598276,"avg",1
"acc",4,0.983061101028433,"avg",1
"binacc",4,0.983061101028433,"avg",1
"eacc",4,0.0169388989715669,"avg",1
"ebinacc",4,0.0169388989715669,"avg",1
"nll",4,0.0771066909955823,"avg",1
"binnll",4,0.0771066909955823,"avg",1
"rps",4,0.0162011685621375,"avg",1
"cint",4,-0.057112912150618,"avg",1
"cslope",4,1.31166098243929,"avg",1
"brier",4,0.0162011685621375,"avg",1
"auc",4,0.794967032967033,"avg",1
"eauc",4,0.205032967032967,"avg",1
"qwk",4,0.00423989805129293,"avg",1
"eqwk",4,0.995760101948707,"avg",1
"acc",5,0.983061101028433,"avg",1
"binacc",5,0.983061101028433,"avg",1
"eacc",5,0.0169388989715669,"avg",1
"ebinacc",5,0.0169388989715669,"avg",1
"nll",5,0.0776310115181565,"avg",1
"binnll",5,0.0776310115181565,"avg",1
"rps",5,0.0162378347475045,"avg",1
"cint",5,-0.00542853176434068,"avg",1
"cslope",5,1.23567664009546,"avg",1
"brier",5,0.0162378347475045,"avg",1
"auc",5,0.783826373626374,"avg",1
"eauc",5,0.216173626373626,"avg",1
"qwk",5,0.00339191844103435,"avg",1
"eqwk",5,0.996608081558966,"avg",1
"acc",1,0.983212341197822,"linear",2
"binacc",1,0.983212341197822,"linear",2
"eacc",1,0.0167876588021778,"linear",2
"ebinacc",1,0.0167876588021778,"linear",2
"nll",1,0.0806979377612913,"linear",2
"binnll",1,0.0806979377612913,"linear",2
"rps",1,0.0162764372424717,"linear",2
"cint",1,-0.334992255970346,"linear",2
"cslope",1,1.93008295720848,"linear",2
"brier",1,0.0162764372424717,"linear",2
"auc",1,0.770597316282595,"linear",2
"eauc",1,0.229402683717405,"linear",2
"qwk",1,0,"linear",2
"eqwk",1,1,"linear",2
"acc",2,0.983061101028433,"linear",2
"binacc",2,0.983061101028433,"linear",2
"eacc",2,0.0169388989715669,"linear",2
"ebinacc",2,0.0169388989715669,"linear",2
"nll",2,0.0807693596060862,"linear",2
"binnll",2,0.0807693596060862,"linear",2
"rps",2,0.0163424329831325,"linear",2
"cint",2,-0.286480039602791,"linear",2
"cslope",2,1.5628552684477,"linear",2
"brier",2,0.0163424329831325,"linear",2
"auc",2,0.740441872421568,"linear",2
"eauc",2,0.259558127578432,"linear",2
"qwk",2,-0.000299869516237505,"linear",2
"eqwk",2,1.00029986951624,"linear",2
"acc",3,0.983061101028433,"linear",2
"binacc",3,0.983061101028433,"linear",2
"eacc",3,0.0169388989715669,"linear",2
"ebinacc",3,0.0169388989715669,"linear",2
"nll",3,0.0803027876825955,"linear",2
"binnll",3,0.0803027876825955,"linear",2
"rps",3,0.0162898254545135,"linear",2
"cint",3,-0.273287035332561,"linear",2
"cslope",3,1.65403146389879,"linear",2
"brier",3,0.0162898254545135,"linear",2
"auc",3,0.742889174361256,"linear",2
"eauc",3,0.257110825638744,"linear",2
"qwk",3,-0.000299869516237505,"linear",2
"eqwk",3,1.00029986951624,"linear",2
"acc",4,0.983061101028433,"linear",2
"binacc",4,0.983061101028433,"linear",2
"eacc",4,0.0169388989715669,"linear",2
"ebinacc",4,0.0169388989715669,"linear",2
"nll",4,0.0797294267560846,"linear",2
"binnll",4,0.0797294267560846,"linear",2
"rps",4,0.0162630840724083,"linear",2
"cint",4,-0.289783393532472,"linear",2
"cslope",4,1.49231811148226,"linear",2
"brier",4,0.0162630840724083,"linear",2
"auc",4,0.75785984415426,"linear",2
"eauc",4,0.24214015584574,"linear",2
"qwk",4,-0.000299869516237505,"linear",2
"eqwk",4,1.00029986951624,"linear",2
"acc",5,0.983061101028433,"linear",2
"binacc",5,0.983061101028433,"linear",2
"eacc",5,0.0169388989715669,"linear",2
"ebinacc",5,0.0169388989715669,"linear",2
"nll",5,0.0802998057883641,"linear",2
"binnll",5,0.0802998057883641,"linear",2
"rps",5,0.0162686406783533,"linear",2
"cint",5,-0.28778150985125,"linear",2
"cslope",5,1.74708782578027,"linear",2
"brier",5,0.0162686406783533,"linear",2
"auc",5,0.761291055707299,"linear",2
"eauc",5,0.238708944292701,"linear",2
"qwk",5,-0.000299869516237505,"linear",2
"eqwk",5,1.00029986951624,"linear",2
"acc",1,0.983212341197822,"log-linear",2
"binacc",1,0.983212341197822,"log-linear",2
"eacc",1,0.0167876588021778,"log-linear",2
"ebinacc",1,0.0167876588021778,"log-linear",2
"nll",1,0.0806979377612913,"log-linear",2
"binnll",1,0.0806979377612913,"log-linear",2
"rps",1,0.0162764372424717,"log-linear",2
"cint",1,-0.334992255970346,"log-linear",2
"cslope",1,1.93008295720848,"log-linear",2
"brier",1,0.0162764372424717,"log-linear",2
"auc",1,0.770597316282595,"log-linear",2
"eauc",1,0.229402683717405,"log-linear",2
"qwk",1,0,"log-linear",2
"eqwk",1,1,"log-linear",2
"acc",2,0.983061101028433,"log-linear",2
"binacc",2,0.983061101028433,"log-linear",2
"eacc",2,0.0169388989715669,"log-linear",2
"ebinacc",2,0.0169388989715669,"log-linear",2
"nll",2,0.0808527662239184,"log-linear",2
"binnll",2,0.0808527662239184,"log-linear",2
"rps",2,0.0163713014780041,"log-linear",2
"cint",2,-0.288536702729619,"log-linear",2
"cslope",2,1.53259605717441,"log-linear",2
"brier",2,0.0163713014780041,"log-linear",2
"auc",2,0.740533334441964,"log-linear",2
"eauc",2,0.259466665558036,"log-linear",2
"qwk",2,-0.000299869516237505,"log-linear",2
"eqwk",2,1.00029986951624,"log-linear",2
"acc",3,0.983061101028433,"log-linear",2
"binacc",3,0.983061101028433,"log-linear",2
"eacc",3,0.0169388989715669,"log-linear",2
"ebinacc",3,0.0169388989715669,"log-linear",2
"nll",3,0.0803699336970367,"log-linear",2
"binnll",3,0.0803699336970367,"log-linear",2
"rps",3,0.0163191447740586,"log-linear",2
"cint",3,-0.275742359487345,"log-linear",2
"cslope",3,1.62326213117719,"log-linear",2
"brier",3,0.0163191447740586,"log-linear",2
"auc",3,0.742943220100581,"log-linear",2
"eauc",3,0.257056779899419,"log-linear",2
"qwk",3,-0.000299869516237505,"log-linear",2
"eqwk",3,1.00029986951624,"log-linear",2
"acc",4,0.983061101028433,"log-linear",2
"binacc",4,0.983061101028433,"log-linear",2
"eacc",4,0.0169388989715669,"log-linear",2
"ebinacc",4,0.0169388989715669,"log-linear",2
"nll",4,0.0799373144948304,"log-linear",2
"binnll",4,0.0799373144948304,"log-linear",2
"rps",4,0.0163059819746825,"log-linear",2
"cint",4,-0.298366847930482,"log-linear",2
"cslope",4,1.39613645357526,"log-linear",2
"brier",4,0.0163059819746825,"log-linear",2
"auc",4,0.757836285755067,"log-linear",2
"eauc",4,0.242163714244933,"log-linear",2
"qwk",4,-0.000299869516237505,"log-linear",2
"eqwk",4,1.00029986951624,"log-linear",2
"acc",5,0.983061101028433,"log-linear",2
"binacc",5,0.983061101028433,"log-linear",2
"eacc",5,0.0169388989715669,"log-linear",2
"ebinacc",5,0.0169388989715669,"log-linear",2
"nll",5,0.080460011312254,"log-linear",2
"binnll",5,0.080460011312254,"log-linear",2
"rps",5,0.0163203114637927,"log-linear",2
"cint",5,-0.296907217155855,"log-linear",2
"cslope",5,1.61257340586957,"log-linear",2
"brier",5,0.0163203114637927,"log-linear",2
"auc",5,0.761242553120726,"log-linear",2
"eauc",5,0.238757446879274,"log-linear",2
"qwk",5,-0.000299869516237505,"log-linear",2
"eqwk",5,1.00029986951624,"log-linear",2
"acc",1,0.983212341197822,"trafo",2
"binacc",1,0.983212341197822,"trafo",2
"eacc",1,0.0167876588021778,"trafo",2
"ebinacc",1,0.0167876588021778,"trafo",2
"nll",1,0.0806979377612913,"trafo",2
"binnll",1,0.0806979377612913,"trafo",2
"rps",1,0.0162764372424717,"trafo",2
"cint",1,-0.334992255970346,"trafo",2
"cslope",1,1.93008295720848,"trafo",2
"brier",1,0.0162764372424717,"trafo",2
"auc",1,0.770597316282595,"trafo",2
"eauc",1,0.229402683717405,"trafo",2
"qwk",1,0,"trafo",2
"eqwk",1,1,"trafo",2
