"metric","val","method","spl"
"acc",0.983061101028433,"avgl",1
"binacc",0.983061101028433,"avgl",1
"eacc",0.016938898971567,"avgl",1
"ebinacc",0.016938898971567,"avgl",1
"nll",0.0757973772457415,"avgl",1
"binnll",0.0757973772457415,"avgl",1
"rps",0.0161888362651405,"avgl",1
"cint",0.33393024470946,"avgl",1
"cslope",0.969468324394485,"avgl",1
"brier",0.0161888362651405,"avgl",1
"auc",0.818687279396797,"avgl",1
"eauc",0.181312720603203,"avgl",1
"qwk",0.0147818419654262,"avgl",1
"eqwk",0.985218158034574,"avgl",1
"acc",0.983125842539881,"avgl",2
"binacc",0.983125842539881,"avgl",2
"eacc",0.0168741574601192,"avgl",2
"ebinacc",0.0168741574601192,"avgl",2
"nll",0.0816446585244493,"avgl",2
"binnll",0.0816446585244493,"avgl",2
"rps",0.0164493562423332,"avgl",2
"cint",-0.302642815011794,"avgl",2
"cslope",1.30663204743963,"avgl",2
"brier",0.0164493562423332,"avgl",2
"auc",0.731944724187178,"avgl",2
"eauc",0.268055275812822,"avgl",2
"qwk",0.00399341154709603,"avgl",2
"eqwk",0.996006588452904,"avgl",2
"acc",0.981312603115092,"avgl",3
"binacc",0.981312603115092,"avgl",3
"eacc",0.0186873968849082,"avgl",3
"ebinacc",0.0186873968849082,"avgl",3
"nll",0.077810230736837,"avgl",3
"binnll",0.077810230736837,"avgl",3
"rps",0.0174596396862647,"avgl",3
"cint",0.0790551074120083,"avgl",3
"cslope",1.18411353133271,"avgl",3
"brier",0.0174596396862647,"avgl",3
"auc",0.833511223028102,"avgl",3
"eauc",0.166488776971898,"avgl",3
"qwk",0.0114884846650696,"avgl",3
"eqwk",0.98851151533493,"avgl",3
"acc",0.983237359571652,"avgl",4
"binacc",0.983237359571652,"avgl",4
"eacc",0.016762640428348,"avgl",4
"ebinacc",0.016762640428348,"avgl",4
"nll",0.0744909305539513,"avgl",4
"binnll",0.0744909305539513,"avgl",4
"rps",0.0158530975132429,"avgl",4
"cint",-0.00972289256370995,"avgl",4
"cslope",1.19746479643171,"avgl",4
"brier",0.0158530975132429,"avgl",4
"auc",0.803203527206361,"avgl",4
"eauc",0.196796472793639,"avgl",4
"qwk",-0.000250244336595239,"avgl",4
"eqwk",1.0002502443366,"avgl",4
"acc",0.982869454387977,"avgl",5
"binacc",0.982869454387977,"avgl",5
"eacc",0.0171305456120225,"avgl",5
"ebinacc",0.0171305456120225,"avgl",5
"nll",0.0756057812240026,"avgl",5
"binnll",0.0756057812240026,"avgl",5
"rps",0.0162723332331307,"avgl",5
"cint",-0.0581723835982455,"avgl",5
"cslope",1.3871880456161,"avgl",5
"brier",0.0162723332331307,"avgl",5
"auc",0.820660239851122,"avgl",5
"eauc",0.179339760148878,"avgl",5
"qwk",0.00456263010503231,"avgl",5
"eqwk",0.995437369894968,"avgl",5
"acc",0.983363581367211,"avgl",6
"binacc",0.983363581367211,"avgl",6
"eacc",0.0166364186327889,"avgl",6
"ebinacc",0.0166364186327889,"avgl",6
"nll",0.0756966792599866,"avgl",6
"binnll",0.0756966792599866,"avgl",6
"rps",0.0160317352469699,"avgl",6
"cint",-0.0573354342150577,"avgl",6
"cslope",1.29559285238517,"avgl",6
"brier",0.0160317352469699,"avgl",6
"auc",0.803903693968289,"avgl",6
"eauc",0.196096306031711,"avgl",6
"qwk",0,"avgl",6
"eqwk",1,"avgl",6
"acc",0.983061101028433,"avgll",1
"binacc",0.983061101028433,"avgll",1
"eacc",0.0169388989715669,"avgll",1
"ebinacc",0.0169388989715669,"avgll",1
"nll",0.0757958151024728,"avgll",1
"binnll",0.0757958151024728,"avgll",1
"rps",0.0161888076069414,"avgll",1
"cint",0.334367800611616,"avgll",1
"cslope",0.968710534541248,"avgll",1
"brier",0.0161888076069414,"avgll",1
"auc",0.818697823647695,"avgll",1
"eauc",0.181302176352305,"avgll",1
"qwk",0.0147927206710513,"avgll",1
"eqwk",0.985207279328949,"avgll",1
"acc",0.98313269619776,"avgll",2
"binacc",0.98313269619776,"avgll",2
"eacc",0.0168673038022401,"avgll",2
"ebinacc",0.0168673038022401,"avgll",2
"nll",0.0815395699506349,"avgll",2
"binnll",0.0815395699506349,"avgll",2
"rps",0.0164306025815636,"avgll",2
"cint",-0.299950921620848,"avgll",2
"cslope",1.34365317060453,"avgll",2
"brier",0.0164306025815636,"avgll",2
"auc",0.733249087364459,"avgll",2
"eauc",0.266750912635541,"avgll",2
"qwk",0.00333158202351572,"avgll",2
"eqwk",0.996668417976484,"avgll",2
"acc",0.981312978057478,"avgll",3
"binacc",0.981312978057478,"avgll",3
"eacc",0.0186870219425223,"avgll",3
"ebinacc",0.0186870219425223,"avgll",3
"nll",0.0778138858737443,"avgll",3
"binnll",0.0778138858737443,"avgll",3
"rps",0.0174597394463683,"avgll",3
"cint",0.0791159229563512,"avgll",3
"cslope",1.18448988784977,"avgll",3
"brier",0.0174597394463683,"avgll",3
"auc",0.833492943838116,"avgll",3
"eauc",0.166507056161884,"avgll",3
"qwk",0.0114702399008761,"avgll",3
"eqwk",0.988529760099124,"avgll",3
"acc",0.983238164054403,"avgll",4
"binacc",0.983238164054403,"avgll",4
"eacc",0.0167618359455965,"avgll",4
"ebinacc",0.0167618359455965,"avgll",4
"nll",0.0745197155109796,"avgll",4
"binnll",0.0745197155109796,"avgll",4
"rps",0.0158551734887954,"avgll",4
"cint",-0.0103456269417434,"avgll",4
"cslope",1.19564285086972,"avgll",4
"brier",0.0158551734887954,"avgll",4
"auc",0.802774456892367,"avgll",4
"eauc",0.197225543107633,"avgll",4
"qwk",-0.000248649388183123,"avgll",4
"eqwk",1.00024864938818,"avgll",4
"acc",0.9828695027804,"avgll",5
"binacc",0.9828695027804,"avgll",5
"eacc",0.0171304972196001,"avgll",5
"ebinacc",0.0171304972196001,"avgll",5
"nll",0.0756053900959206,"avgll",5
"binnll",0.0756053900959206,"avgll",5
"rps",0.0162722671422283,"avgll",5
"cint",-0.0612605418425371,"avgll",5
"cslope",1.38912683006442,"avgll",5
"brier",0.0162722671422283,"avgll",5
"auc",0.820671376776191,"avgll",5
"eauc",0.179328623223809,"avgll",5
"qwk",0.00443866020888548,"avgll",5
"eqwk",0.995561339791114,"avgll",5
"acc",0.983363581367211,"avgll",6
"binacc",0.983363581367211,"avgll",6
"eacc",0.0166364186327889,"avgll",6
"ebinacc",0.0166364186327889,"avgll",6
"nll",0.0756966792599866,"avgll",6
"binnll",0.0756966792599866,"avgll",6
"rps",0.0160317352469699,"avgll",6
"cint",-0.0573354342150577,"avgll",6
"cslope",1.29559285238517,"avgll",6
"brier",0.0160317352469699,"avgll",6
"auc",0.803903693968289,"avgll",6
"eauc",0.196096306031711,"avgll",6
"qwk",0,"avgll",6
"eqwk",1,"avgll",6
"acc",0.983061101028433,"avgtrf",1
"binacc",0.983061101028433,"avgtrf",1
"eacc",0.0169388989715669,"avgtrf",1
"ebinacc",0.0169388989715669,"avgtrf",1
"nll",0.0764310588037202,"avgtrf",1
"binnll",0.0764310588037202,"avgtrf",1
"rps",0.0162169591251963,"avgtrf",1
"cint",0.202737146778947,"avgtrf",1
"cslope",0.935221620359604,"avgtrf",1
"brier",0.0162169591251963,"avgtrf",1
"auc",0.802308989737914,"avgtrf",1
"eauc",0.197691010262086,"avgtrf",1
"qwk",0.0115669236680774,"avgtrf",1
"eqwk",0.988433076331923,"avgtrf",1
"acc",0.983149890074917,"avgtrf",2
"binacc",0.983149890074917,"avgtrf",2
"eacc",0.0168501099250825,"avgtrf",2
"ebinacc",0.0168501099250825,"avgtrf",2
"nll",0.0814208935840938,"avgtrf",2
"binnll",0.0814208935840938,"avgtrf",2
"rps",0.0164210348799826,"avgtrf",2
"cint",-0.316341446257207,"avgtrf",2
"cslope",1.41383551780284,"avgtrf",2
"brier",0.0164210348799826,"avgtrf",2
"auc",0.741911869085494,"avgtrf",2
"eauc",0.258088130914506,"avgtrf",2
"qwk",0.00453334752603611,"avgtrf",2
"eqwk",0.995466652473964,"avgtrf",2
"acc",0.981325496496626,"avgtrf",3
"binacc",0.981325496496626,"avgtrf",3
"eacc",0.0186745035033744,"avgtrf",3
"ebinacc",0.0186745035033744,"avgtrf",3
"nll",0.0779359222469833,"avgtrf",3
"binnll",0.0779359222469833,"avgtrf",3
"rps",0.0174630702001943,"avgtrf",3
"cint",0.0811464100917102,"avgtrf",3
"cslope",1.19705554149072,"avgtrf",3
"brier",0.0174630702001943,"avgtrf",3
"auc",0.832882644933254,"avgtrf",3
"eauc",0.167117355066746,"avgtrf",3
"qwk",0.0108610903917686,"avgtrf",3
"eqwk",0.989138909608231,"avgtrf",3
"acc",0.983233841373424,"avgtrf",4
"binacc",0.983233841373424,"avgtrf",4
"eacc",0.0167661586265762,"avgtrf",4
"ebinacc",0.0167661586265762,"avgtrf",4
"nll",0.0746289090600246,"avgtrf",4
"binnll",0.0746289090600246,"avgtrf",4
"rps",0.0158571992453583,"avgtrf",4
"cint",0.0152473383010071,"avgtrf",4
"cslope",1.18532521659974,"avgtrf",4
"brier",0.0158571992453583,"avgtrf",4
"auc",0.799287000940746,"avgtrf",4
"eauc",0.200712999059254,"avgtrf",4
"qwk",-0.000257219432914766,"avgtrf",4
"eqwk",1.00025721943291,"avgtrf",4
"acc",0.98286551657264,"avgtrf",5
"binacc",0.98286551657264,"avgtrf",5
"eacc",0.0171344834273601,"avgtrf",5
"ebinacc",0.0171344834273601,"avgtrf",5
"nll",0.075572723826747,"avgtrf",5
"binnll",0.075572723826747,"avgtrf",5
"rps",0.0162720182985471,"avgtrf",5
"cint",-0.0904807815241688,"avgtrf",5
"cslope",1.40893424396754,"avgtrf",5
"brier",0.0162720182985471,"avgtrf",5
"auc",0.820845708740843,"avgtrf",5
"eauc",0.179154291259157,"avgtrf",5
"qwk",0.00295361055440805,"avgtrf",5
"eqwk",0.997046389445592,"avgtrf",5
"acc",0.983363581367211,"avgtrf",6
"binacc",0.983363581367211,"avgtrf",6
"eacc",0.0166364186327889,"avgtrf",6
"ebinacc",0.0166364186327889,"avgtrf",6
"nll",0.0756966792599866,"avgtrf",6
"binnll",0.0756966792599866,"avgtrf",6
"rps",0.0160317352469699,"avgtrf",6
"cint",-0.0573354342150577,"avgtrf",6
"cslope",1.29559285238517,"avgtrf",6
"brier",0.0160317352469699,"avgtrf",6
"auc",0.803903693968289,"avgtrf",6
"eauc",0.196096306031711,"avgtrf",6
"qwk",0,"avgtrf",6
"eqwk",1,"avgtrf",6
"acc",0.983061101028433,"linear",1
"binacc",0.983061101028433,"linear",1
"eacc",0.0169388989715669,"linear",1
"ebinacc",0.0169388989715669,"linear",1
"nll",0.0743840548285197,"linear",1
"binnll",0.0743840548285197,"linear",1
"rps",0.0161326079653753,"linear",1
"cint",0.298011931613388,"linear",1
"cslope",1.00201431280213,"linear",1
"brier",0.0161326079653753,"linear",1
"auc",0.827304945054945,"linear",1
"eauc",0.172695054945055,"linear",1
"qwk",0,"linear",1
"eqwk",1,"linear",1
"acc",0.983061101028433,"linear",2
"binacc",0.983061101028433,"linear",2
"eacc",0.0169388989715669,"linear",2
"ebinacc",0.0169388989715669,"linear",2
"nll",0.080023468677652,"linear",2
"binnll",0.080023468677652,"linear",2
"rps",0.0162948239735566,"linear",2
"cint",-0.301389191839729,"linear",2
"cslope",1.47264370701828,"linear",2
"brier",0.0162948239735566,"linear",2
"auc",0.75650038594201,"linear",2
"eauc",0.24349961405799,"linear",2
"qwk",-0.000299869516237505,"linear",2
