"metric","topn","val","method","spl"
"acc",1,0.982153660012099,"linear",1
"binacc",1,0.982153660012099,"linear",1
"eacc",1,0.0178463399879008,"linear",1
"ebinacc",1,0.0178463399879008,"linear",1
"nll",1,0.0783419806102382,"linear",1
"binnll",1,0.0783419806102382,"linear",1
"rps",1,0.0167408246806072,"linear",1
"cint",1,-0.173165257590014,"linear",1
"cslope",1,0.831807242398921,"linear",1
"brier",1,0.0167408246806072,"linear",1
"auc",1,0.782887362637363,"linear",1
"eauc",1,0.217112637362637,"linear",1
"qwk",1,-0.00172557236619109,"linear",1
"eqwk",1,1.00172557236619,"linear",1
"acc",2,0.982456140350877,"linear",1
"binacc",2,0.982456140350877,"linear",1
"eacc",2,0.0175438596491229,"linear",1
"ebinacc",2,0.0175438596491229,"linear",1
"nll",2,0.0783094209409907,"linear",1
"binnll",2,0.0783094209409907,"linear",1
"rps",2,0.0165316543859334,"linear",1
"cint",2,-0.153911108401403,"linear",1
"cslope",2,0.939518500451152,"linear",1
"brier",2,0.0165316543859334,"linear",1
"auc",2,0.770083791208791,"linear",1
"eauc",2,0.229916208791209,"linear",1
"qwk",2,0.0152528271654392,"linear",1
"eqwk",2,0.984747172834561,"linear",1
"acc",3,0.982456140350877,"linear",1
"binacc",3,0.982456140350877,"linear",1
"eacc",3,0.0175438596491229,"linear",1
"ebinacc",3,0.0175438596491229,"linear",1
"nll",3,0.0780893544105064,"linear",1
"binnll",3,0.0780893544105064,"linear",1
"rps",3,0.0164562911136768,"linear",1
"cint",3,-0.0919476796560869,"linear",1
"cslope",3,0.975756415172661,"linear",1
"brier",3,0.0164562911136768,"linear",1
"auc",3,0.775182692307692,"linear",1
"eauc",3,0.224817307692308,"linear",1
"qwk",3,-0.00116956621624453,"linear",1
"eqwk",3,1.00116956621624,"linear",1
"acc",4,0.982607380520266,"linear",1
"binacc",4,0.982607380520266,"linear",1
"eacc",4,0.0173926194797338,"linear",1
"ebinacc",4,0.0173926194797338,"linear",1
"nll",4,0.0780134737819511,"linear",1
"binnll",4,0.0780134737819511,"linear",1
"rps",4,0.0163759626398944,"linear",1
"cint",4,-0.115194267591759,"linear",1
"cslope",4,1.07526643789631,"linear",1
"brier",4,0.0163759626398944,"linear",1
"auc",4,0.775945054945055,"linear",1
"eauc",4,0.224054945054945,"linear",1
"qwk",4,-0.000884550379882665,"linear",1
"eqwk",4,1.00088455037988,"linear",1
"acc",5,0.982607380520266,"linear",1
"binacc",5,0.982607380520266,"linear",1
"eacc",5,0.0173926194797338,"linear",1
"ebinacc",5,0.0173926194797338,"linear",1
"nll",5,0.0782132336404713,"linear",1
"binnll",5,0.0782132336404713,"linear",1
"rps",5,0.0163846664732791,"linear",1
"cint",5,-0.142760713114194,"linear",1
"cslope",5,1.12302651820571,"linear",1
"brier",5,0.0163846664732791,"linear",1
"auc",5,0.776037087912088,"linear",1
"eauc",5,0.223962912087912,"linear",1
"qwk",5,-0.000884550379882665,"linear",1
"eqwk",5,1.00088455037988,"linear",1
"acc",1,0.982153660012099,"log-linear",1
"binacc",1,0.982153660012099,"log-linear",1
"eacc",1,0.0178463399879008,"log-linear",1
"ebinacc",1,0.0178463399879008,"log-linear",1
"nll",1,0.0783419806102382,"log-linear",1
"binnll",1,0.0783419806102382,"log-linear",1
"rps",1,0.0167408246806072,"log-linear",1
"cint",1,-0.173165257590014,"log-linear",1
"cslope",1,0.831807242398921,"log-linear",1
"brier",1,0.0167408246806072,"log-linear",1
"auc",1,0.782887362637363,"log-linear",1
"eauc",1,0.217112637362637,"log-linear",1
"qwk",1,-0.00172557236619109,"log-linear",1
"eqwk",1,1.00172557236619,"log-linear",1
"acc",2,0.982304900181488,"log-linear",1
"binacc",2,0.982304900181488,"log-linear",1
"eacc",2,0.0176950998185118,"log-linear",1
"ebinacc",2,0.0176950998185118,"log-linear",1
"nll",2,0.0784846932596348,"log-linear",1
"binnll",2,0.0784846932596348,"log-linear",1
"rps",2,0.0166020057307313,"log-linear",1
"cint",2,-0.160479240449305,"log-linear",1
"cslope",2,0.91880051448691,"log-linear",1
"brier",2,0.0166020057307313,"log-linear",1
"auc",2,0.770142857142857,"log-linear",1
"eauc",2,0.229857142857143,"log-linear",1
"qwk",2,0.0148434913277132,"log-linear",1
"eqwk",2,0.985156508672287,"log-linear",1
"acc",3,0.982456140350877,"log-linear",1
"binacc",3,0.982456140350877,"log-linear",1
"eacc",3,0.0175438596491229,"log-linear",1
"ebinacc",3,0.0175438596491229,"log-linear",1
"nll",3,0.0782328781877987,"log-linear",1
"binnll",3,0.0782328781877987,"log-linear",1
"rps",3,0.0165126915979887,"log-linear",1
"cint",3,-0.0999441061104892,"log-linear",1
"cslope",3,0.952052558992551,"log-linear",1
"brier",3,0.0165126915979887,"log-linear",1
"auc",3,0.775239010989011,"log-linear",1
"eauc",3,0.224760989010989,"log-linear",1
"qwk",3,-0.00116956621624453,"log-linear",1
"eqwk",3,1.00116956621624,"log-linear",1
"acc",4,0.982456140350877,"log-linear",1
"binacc",4,0.982456140350877,"log-linear",1
