"metric","val","method","spl"
"acc",0.982410163728584,"avgl",1
"binacc",0.982410163728584,"avgl",1
"eacc",0.017589836271416,"avgl",1
"ebinacc",0.017589836271416,"avgl",1
"nll",0.0795383608457501,"avgl",1
"binnll",0.0795383608457501,"avgl",1
"rps",0.0166160473061705,"avgl",1
"cint",-0.125482650522258,"avgl",1
"cslope",0.882758288277941,"avgl",1
"brier",0.0166160473061705,"avgl",1
"auc",0.756560624918983,"avgl",1
"eauc",0.243439375081017,"avgl",1
"qwk",0.00289343154701109,"avgl",1
"eqwk",0.997106568452989,"avgl",1
"acc",0.983039851308811,"avgl",2
"binacc",0.983039851308811,"avgl",2
"eacc",0.0169601486911894,"avgl",2
"ebinacc",0.0169601486911894,"avgl",2
"nll",0.0785824401044708,"avgl",2
"binnll",0.0785824401044708,"avgl",2
"rps",0.0162806348363012,"avgl",2
"cint",-0.137487701293955,"avgl",2
"cslope",1.11157959009594,"avgl",2
"brier",0.0162806348363012,"avgl",2
"auc",0.762335727916772,"avgl",2
"eauc",0.237664272083228,"avgl",2
"qwk",-0.00034128102571282,"avgl",2
"eqwk",1.00034128102571,"avgl",2
"acc",0.980996581907609,"avgl",3
"binacc",0.980996581907609,"avgl",3
"eacc",0.0190034180923908,"avgl",3
"ebinacc",0.0190034180923908,"avgl",3
"nll",0.0821699386172001,"avgl",3
"binnll",0.0821699386172001,"avgl",3
"rps",0.017725573136264,"avgl",3
"cint",0.273439485732232,"avgl",3
"cslope",1.06856705732937,"avgl",3
"brier",0.017725573136264,"avgl",3
"auc",0.800721254517085,"avgl",3
"eauc",0.199278745482915,"avgl",3
"qwk",0.00606389959583116,"avgl",3
"eqwk",0.993936100404169,"avgl",3
"acc",0.983363581367211,"avgl",4
"binacc",0.983363581367211,"avgl",4
"eacc",0.0166364186327889,"avgl",4
"ebinacc",0.0166364186327889,"avgl",4
"nll",0.0765275436167634,"avgl",4
"binnll",0.0765275436167634,"avgl",4
"rps",0.0159450489986166,"avgl",4
"cint",0.0861625517710916,"avgl",4
"cslope",1.06584085029662,"avgl",4
"brier",0.0159450489986166,"avgl",4
"auc",0.769361220103202,"avgl",4
"eauc",0.230638779896798,"avgl",4
"qwk",0,"avgl",4
"eqwk",1,"avgl",4
"acc",0.982596067230432,"avgl",5
"binacc",0.982596067230432,"avgl",5
"eacc",0.0174039327695682,"avgl",5
"ebinacc",0.0174039327695682,"avgl",5
"nll",0.0782201669686683,"avgl",5
"binnll",0.0782201669686683,"avgl",5
"rps",0.0165297956335644,"avgl",5
"cint",0.239384469438402,"avgl",5
"cslope",1.12458084658704,"avgl",5
"brier",0.0165297956335644,"avgl",5
"auc",0.791184910839116,"avgl",5
"eauc",0.208815089160884,"avgl",5
"qwk",0.00645034502181677,"avgl",5
"eqwk",0.993549654978183,"avgl",5
"acc",0.983301682667065,"avgl",6
"binacc",0.983301682667065,"avgl",6
"eacc",0.0166983173329348,"avgl",6
"ebinacc",0.0166983173329348,"avgl",6
"nll",0.0784900896045712,"avgl",6
"binnll",0.0784900896045712,"avgl",6
"rps",0.0160810333722583,"avgl",6
"cint",-0.0878537496294165,"avgl",6
"cslope",1.22971183493853,"avgl",6
"brier",0.0160810333722583,"avgl",6
"auc",0.75058383329655,"avgl",6
"eauc",0.24941616670345,"avgl",6
"qwk",-0.000122718894035131,"avgl",6
"eqwk",1.00012271889404,"avgl",6
"acc",0.982455820424987,"avgll",1
"binacc",0.982455820424987,"avgll",1
"eacc",0.0175441795750125,"avgll",1
"ebinacc",0.0175441795750125,"avgll",1
"nll",0.0797850196485328,"avgll",1
"binnll",0.0797850196485328,"avgll",1
"rps",0.0166133918962875,"avgll",1
"cint",-0.12471391194275,"avgll",1
"cslope",0.891064003990975,"avgll",1
"brier",0.0166133918962875,"avgll",1
"auc",0.754506222165574,"avgll",1
"eauc",0.245493777834426,"avgll",1
