"metric","val","method","spl"
"acc",0.983061101028433,"linear",1
"binacc",0.983061101028433,"linear",1
"eacc",0.0169388989715669,"linear",1
"ebinacc",0.0169388989715669,"linear",1
"nll",0.085930763248005,"linear",1
"binnll",0.085930763248005,"linear",1
"rps",0.016653970445634,"linear",1
"cint",-0.0815823794008051,"linear",1
"cslope",NA,"linear",1
"brier",0.016653970445634,"linear",1
"auc",0.5,"linear",1
"eauc",0.5,"linear",1
"qwk",0,"linear",1
"eqwk",1,"linear",1
"acc",0.983212341197822,"linear",2
"binacc",0.983212341197822,"linear",2
"eacc",0.0167876588021778,"linear",2
"ebinacc",0.0167876588021778,"linear",2
"nll",0.0852831683890845,"linear",2
"binnll",0.0852831683890845,"linear",2
"rps",0.0165066600061357,"linear",2
"cint",-0.0536697841698069,"linear",2
"cslope",NA,"linear",2
"brier",0.0165066600061357,"linear",2
"auc",0.5,"linear",2
"eauc",0.5,"linear",2
"qwk",0,"linear",2
"eqwk",1,"linear",2
"acc",0.981548699334543,"linear",3
"binacc",0.981548699334543,"linear",3
"eacc",0.0184513006654567,"linear",3
"ebinacc",0.0184513006654567,"linear",3
"nll",0.0919593223469432,"linear",3
"binnll",0.0919593223469432,"linear",3
"rps",0.01811121397175,"linear",3
"cint",0.0338498859394672,"linear",3
"cslope",NA,"linear",3
"brier",0.01811121397175,"linear",3
"auc",0.5,"linear",3
"eauc",0.5,"linear",3
"qwk",0,"linear",3
"eqwk",1,"linear",3
"acc",0.983363581367211,"linear",4
"binacc",0.983363581367211,"linear",4
"eacc",0.0166364186327889,"linear",4
"ebinacc",0.0166364186327889,"linear",4
"nll",0.0846927935003692,"linear",4
"binnll",0.0846927935003692,"linear",4
"rps",0.0163613710176182,"linear",4
"cint",-0.0772745976967587,"linear",4
"cslope",NA,"linear",4
"brier",0.0163613710176182,"linear",4
"auc",0.5,"linear",4
"eauc",0.5,"linear",4
"qwk",0,"linear",4
"eqwk",1,"linear",4
"acc",0.982909860859044,"linear",5
"binacc",0.982909860859044,"linear",5
"eacc",0.0170901391409558,"linear",5
"ebinacc",0.0170901391409558,"linear",5
"nll",0.0865166177081778,"linear",5
"binnll",0.0865166177081778,"linear",5
"rps",0.0167990865736333,"linear",5
"cint",-0.0584513276346756,"linear",5
"cslope",NA,"linear",5
"brier",0.0167990865736333,"linear",5
"auc",0.5,"linear",5
"eauc",0.5,"linear",5
"qwk",0,"linear",5
"eqwk",1,"linear",5
"acc",0.983363581367211,"linear",6
"binacc",0.983363581367211,"linear",6
"eacc",0.0166364186327889,"linear",6
"ebinacc",0.0166364186327889,"linear",6
"nll",0.0847132232897472,"linear",6
"binnll",0.0847132232897472,"linear",6
"rps",0.0163620963398283,"linear",6
"cint",-0.091478552224359,"linear",6
"cslope",NA,"linear",6
"brier",0.0163620963398283,"linear",6
"auc",0.5,"linear",6
"eauc",0.5,"linear",6
"qwk",0,"linear",6
"eqwk",1,"linear",6
