"metric","val","method","spl"
"acc",0.983061101028433,"linear",1
"binacc",0.983061101028433,"linear",1
"eacc",0.0169388989715669,"linear",1
"ebinacc",0.0169388989715669,"linear",1
"nll",0.0859093606519879,"linear",1
"binnll",0.0859093606519879,"linear",1
"rps",0.0166532053066279,"linear",1
"cint",-0.064615312951681,"linear",1
"cslope",NA,"linear",1
"brier",0.0166532053066279,"linear",1
"auc",0.5,"linear",1
"eauc",0.5,"linear",1
"qwk",0,"linear",1
"eqwk",1,"linear",1
"acc",0.983212341197822,"linear",2
"binacc",0.983212341197822,"linear",2
"eacc",0.0167876588021778,"linear",2
"ebinacc",0.0167876588021778,"linear",2
"nll",0.0852800135314295,"linear",2
"binnll",0.0852800135314295,"linear",2
"rps",0.0165065505075304,"linear",2
"cint",-0.0500766806279855,"linear",2
"cslope",NA,"linear",2
"brier",0.0165065505075304,"linear",2
"auc",0.5,"linear",2
"eauc",0.5,"linear",2
"qwk",0,"linear",2
"eqwk",1,"linear",2
"acc",0.981548699334543,"linear",3
"binacc",0.981548699334543,"linear",3
"eacc",0.0184513006654567,"linear",3
"ebinacc",0.0184513006654567,"linear",3
"nll",0.0919590970707965,"linear",3
"binnll",0.0919590970707965,"linear",3
"rps",0.0181112060723281,"linear",3
"cint",0.0334743433949316,"linear",3
"cslope",NA,"linear",3
"brier",0.0181112060723281,"linear",3
"auc",0.5,"linear",3
"eauc",0.5,"linear",3
"qwk",0,"linear",3
"eqwk",1,"linear",3
"acc",0.983363581367211,"linear",4
"binacc",0.983363581367211,"linear",4
"eacc",0.0166364186327889,"linear",4
"ebinacc",0.0166364186327889,"linear",4
"nll",0.0846911608564382,"linear",4
"binnll",0.0846911608564382,"linear",4
"rps",0.0163613134956975,"linear",4
"cint",-0.0760201720831307,"linear",4
"cslope",NA,"linear",4
"brier",0.0163613134956975,"linear",4
"auc",0.5,"linear",4
"eauc",0.5,"linear",4
"qwk",0,"linear",4
"eqwk",1,"linear",4
"acc",0.982909860859044,"linear",5
"binacc",0.982909860859044,"linear",5
"eacc",0.0170901391409558,"linear",5
"ebinacc",0.0170901391409558,"linear",5
"nll",0.0865147255934898,"linear",5
"binnll",0.0865147255934898,"linear",5
"rps",0.0167990193793444,"linear",5
"cint",-0.0565462090221417,"linear",5
"cslope",NA,"linear",5
"brier",0.0167990193793444,"linear",5
"auc",0.5,"linear",5
"eauc",0.5,"linear",5
"qwk",0,"linear",5
"eqwk",1,"linear",5
"acc",0.983363581367211,"linear",6
"binacc",0.983363581367211,"linear",6
"eacc",0.0166364186327889,"linear",6
"ebinacc",0.0166364186327889,"linear",6
"nll",0.0847111835563966,"linear",6
"binnll",0.0847111835563966,"linear",6
"rps",0.0163620234866116,"linear",6
"cint",-0.0901650695441075,"linear",6
"cslope",NA,"linear",6
"brier",0.0163620234866116,"linear",6
"auc",0.5,"linear",6
"eauc",0.5,"linear",6
"qwk",0,"linear",6
"eqwk",1,"linear",6
