"metric","val","method","spl"
"acc",0.982906377336146,"avgl",1
"binacc",0.982906377336146,"avgl",1
"eacc",0.0170936226638544,"avgl",1
"ebinacc",0.0170936226638544,"avgl",1
"nll",0.072431458411563,"avgl",1
"binnll",0.072431458411563,"avgl",1
"rps",0.0158970074818635,"avgl",1
"cint",-0.19751266662049,"avgl",1
"cslope",1.00824297342663,"avgl",1
"brier",0.0158970074818635,"avgl",1
"auc",0.823466265059125,"avgl",1
"eauc",0.176533734940875,"avgl",1
"qwk",-0.000306558782890138,"avgl",1
"eqwk",1.00030655878289,"avgl",1
"acc",0.983212341197822,"avgl",2
"binacc",0.983212341197822,"avgl",2
"eacc",0.0167876588021778,"avgl",2
"ebinacc",0.0167876588021778,"avgl",2
"nll",0.0727155062080048,"avgl",2
"binnll",0.0727155062080048,"avgl",2
"rps",0.015565059117553,"avgl",2
"cint",-0.0974148313757677,"avgl",2
"cslope",1.17225072648167,"avgl",2
"brier",0.015565059117553,"avgl",2
"auc",0.801049318815816,"avgl",2
"eauc",0.198950681184184,"avgl",2
"qwk",0,"avgl",2
"eqwk",1,"avgl",2
"acc",0.981246218995765,"avgl",3
"binacc",0.981246218995765,"avgl",3
"eacc",0.0187537810042346,"avgl",3
"ebinacc",0.0187537810042346,"avgl",3
"nll",0.0800623448575375,"avgl",3
"binnll",0.0800623448575375,"avgl",3
"rps",0.017421338340805,"avgl",3
"cint",-0.0210227981643897,"avgl",3
"cslope",1.0416001465304,"avgl",3
"brier",0.017421338340805,"avgl",3
"auc",0.795216566337814,"avgl",3
"eauc",0.204783433662186,"avgl",3
"qwk",0.00550894430054042,"avgl",3
"eqwk",0.99449105569946,"avgl",3
"acc",0.983318972998927,"avgl",4
"binacc",0.983318972998927,"avgl",4
"eacc",0.0166810270010733,"avgl",4
"ebinacc",0.0166810270010733,"avgl",4
"nll",0.0753124213006165,"avgl",4
"binnll",0.0753124213006165,"avgl",4
"rps",0.0157853835117046,"avgl",4
"cint",0.0151440169871948,"avgl",4
"cslope",0.993949203507165,"avgl",4
"brier",0.0157853835117046,"avgl",4
"auc",0.771702610631772,"avgl",4
"eauc",0.228297389368228,"avgl",4
"qwk",-8.84394923911624e-05,"avgl",4
"eqwk",1.00008843949239,"avgl",4
"acc",0.982909860859044,"avgl",5
"binacc",0.982909860859044,"avgl",5
"eacc",0.0170901391409558,"avgl",5
"ebinacc",0.0170901391409558,"avgl",5
"nll",0.0748886337091383,"avgl",5
"binnll",0.0748886337091383,"avgl",5
"rps",0.0162005718605671,"avgl",5
"cint",0.194252361813218,"avgl",5
"cslope",1.08437473816327,"avgl",5
"brier",0.0162005718605671,"avgl",5
"auc",0.810043552863823,"avgl",5
"eauc",0.189956447136177,"avgl",5
"qwk",0,"avgl",5
"eqwk",1,"avgl",5
"acc",0.983363581367211,"avgl",6
"binacc",0.983363581367211,"avgl",6
"eacc",0.0166364186327888,"avgl",6
"ebinacc",0.0166364186327888,"avgl",6
"nll",0.0739648778790908,"avgl",6
"binnll",0.0739648778790908,"avgl",6
"rps",0.0156517019461864,"avgl",6
"cint",-0.0989808415485345,"avgl",6
"cslope",1.28229193794283,"avgl",6
"brier",0.0156517019461864,"avgl",6
"auc",0.790220478161254,"avgl",6
"eauc",0.209779521838746,"avgl",6
"qwk",0,"avgl",6
"eqwk",1,"avgl",6
"acc",0.98290332607746,"avgll",1
"binacc",0.98290332607746,"avgll",1
"eacc",0.0170966739225397,"avgll",1
"ebinacc",0.0170966739225397,"avgll",1
"nll",0.0724138781130705,"avgll",1
"binnll",0.0724138781130705,"avgll",1
"rps",0.0158971244272312,"avgll",1
"cint",-0.197789335229914,"avgll",1
"cslope",1.00624924783482,"avgll",1
"brier",0.0158971244272312,"avgll",1
"auc",0.823784336325363,"avgll",1
"eauc",0.176215663674637,"avgll",1
"qwk",-0.000312571433208812,"avgll",1
"eqwk",1.00031257143321,"avgll",1
"acc",0.983212341197822,"avgll",2
"binacc",0.983212341197822,"avgll",2
"eacc",0.0167876588021778,"avgll",2
"ebinacc",0.0167876588021778,"avgll",2
"nll",0.0727155062080048,"avgll",2
"binnll",0.0727155062080048,"avgll",2
"rps",0.015565059117553,"avgll",2
"cint",-0.0974148313757677,"avgll",2
"cslope",1.17225072648167,"avgll",2
"brier",0.015565059117553,"avgll",2
"auc",0.801049318815816,"avgll",2
"eauc",0.198950681184184,"avgll",2
"qwk",0,"avgll",2
"eqwk",1,"avgll",2
"acc",0.981246218995765,"avgll",3
"binacc",0.981246218995765,"avgll",3
"eacc",0.0187537810042349,"avgll",3
"ebinacc",0.0187537810042349,"avgll",3
"nll",0.0800448256638561,"avgll",3
"binnll",0.0800448256638561,"avgll",3
"rps",0.0174209693652921,"avgll",3
"cint",-0.0196562106979438,"avgll",3
"cslope",1.04395401672063,"avgll",3
"brier",0.0174209693652921,"avgll",3
"auc",0.795325986721192,"avgll",3
"eauc",0.204674013278808,"avgll",3
"qwk",0.00536501031020095,"avgll",3
"eqwk",0.994634989689799,"avgll",3
"acc",0.983319389891518,"avgll",4
"binacc",0.983319389891518,"avgll",4
"eacc",0.0166806101084819,"avgll",4
"ebinacc",0.0166806101084819,"avgll",4
"nll",0.0753145998477243,"avgll",4
"binnll",0.0753145998477243,"avgll",4
"rps",0.0157852702850669,"avgll",4
"cint",0.0147448605150946,"avgll",4
"cslope",0.994392426210197,"avgll",4
"brier",0.0157852702850669,"avgll",4
"auc",0.771670930074971,"avgll",4
"eauc",0.228329069925029,"avgll",4
"qwk",-8.76129710324467e-05,"avgll",4
"eqwk",1.00008761297103,"avgll",4
"acc",0.982909860859044,"avgll",5
"binacc",0.982909860859044,"avgll",5
"eacc",0.0170901391409559,"avgll",5
"ebinacc",0.0170901391409559,"avgll",5
"nll",0.0748893133063134,"avgll",5
"binnll",0.0748893133063134,"avgll",5
"rps",0.0162008687462348,"avgll",5
"cint",0.193885821237921,"avgll",5
"cslope",1.08479760354424,"avgll",5
"brier",0.0162008687462348,"avgll",5
"auc",0.810052829481327,"avgll",5
"eauc",0.189947170518673,"avgll",5
"qwk",0,"avgll",5
"eqwk",1,"avgll",5
"acc",0.983363581367211,"avgll",6
"binacc",0.983363581367211,"avgll",6
"eacc",0.0166364186327888,"avgll",6
"ebinacc",0.0166364186327888,"avgll",6
"nll",0.0740029359290525,"avgll",6
"binnll",0.0740029359290525,"avgll",6
"rps",0.0156592344834137,"avgll",6
"cint",-0.0992752450822584,"avgll",6
"cslope",1.28653884512699,"avgll",6
"brier",0.0156592344834137,"avgll",6
"auc",0.789844419489074,"avgll",6
"eauc",0.210155580510926,"avgll",6
"qwk",0,"avgll",6
"eqwk",1,"avgll",6
"acc",0.982894750690368,"avgtrf",1
"binacc",0.982894750690368,"avgtrf",1
"eacc",0.0171052493096321,"avgtrf",1
"ebinacc",0.0171052493096321,"avgtrf",1
"nll",0.0734366552299124,"avgtrf",1
"binnll",0.0734366552299124,"avgtrf",1
"rps",0.0159548572327236,"avgtrf",1
"cint",-0.223325440791001,"avgtrf",1
"cslope",1.04423830354254,"avgtrf",1
"brier",0.0159548572327236,"avgtrf",1
"auc",0.813588958478678,"avgtrf",1
"eauc",0.186411041521322,"avgtrf",1
"qwk",-0.000328850000167489,"avgtrf",1
"eqwk",1.00032885000017,"avgtrf",1
"acc",0.983212341197822,"avgtrf",2
"binacc",0.983212341197822,"avgtrf",2
"eacc",0.0167876588021778,"avgtrf",2
"ebinacc",0.0167876588021778,"avgtrf",2
"nll",0.0727155062080048,"avgtrf",2
"binnll",0.0727155062080048,"avgtrf",2
"rps",0.015565059117553,"avgtrf",2
"cint",-0.0974148313757677,"avgtrf",2
"cslope",1.17225072648167,"avgtrf",2
"brier",0.015565059117553,"avgtrf",2
"auc",0.801049318815816,"avgtrf",2
"eauc",0.198950681184184,"avgtrf",2
"qwk",0,"avgtrf",2
"eqwk",1,"avgtrf",2
"acc",0.981246218995765,"avgtrf",3
"binacc",0.981246218995765,"avgtrf",3
"eacc",0.0187537810042347,"avgtrf",3
"ebinacc",0.0187537810042347,"avgtrf",3
"nll",0.0799785014219903,"avgtrf",3
"binnll",0.0799785014219903,"avgtrf",3
"rps",0.0174195724961435,"avgtrf",3
"cint",-0.0144825777497854,"avgtrf",3
"cslope",1.05286530902419,"avgtrf",3
"brier",0.0174195724961435,"avgtrf",3
"auc",0.795740230898416,"avgtrf",3
"eauc",0.204259769101584,"avgtrf",3
"qwk",0.00482010436523651,"avgtrf",3
"eqwk",0.995179895634764,"avgtrf",3
"acc",0.983310608933964,"avgtrf",4
"binacc",0.983310608933964,"avgtrf",4
"eacc",0.016689391066036,"avgtrf",4
"ebinacc",0.016689391066036,"avgtrf",4
"nll",0.0753272333222445,"avgtrf",4
"binnll",0.0753272333222445,"avgtrf",4
"rps",0.0157903529804025,"avgtrf",4
"cint",0.0132223695721391,"avgtrf",4
"cslope",0.989880623380196,"avgtrf",4
"brier",0.0157903529804025,"avgtrf",4
"auc",0.771649517417566,"avgtrf",4
"eauc",0.228350482582434,"avgtrf",4
"qwk",-0.00010502188910452,"avgtrf",4
"eqwk",1.0001050218891,"avgtrf",4
"acc",0.982909860859044,"avgtrf",5
"binacc",0.982909860859044,"avgtrf",5
"eacc",0.0170901391409558,"avgtrf",5
"ebinacc",0.0170901391409558,"avgtrf",5
"nll",0.0749745679477228,"avgtrf",5
"binnll",0.0749745679477228,"avgtrf",5
"rps",0.0162167899826993,"avgtrf",5
"cint",0.167617176068851,"avgtrf",5
"cslope",1.10753361530059,"avgtrf",5
"brier",0.0162167899826993,"avgtrf",5
"auc",0.809757234762386,"avgtrf",5
"eauc",0.190242765237614,"avgtrf",5
"qwk",0,"avgtrf",5
"eqwk",1,"avgtrf",5
"acc",0.983363581367211,"avgtrf",6
"binacc",0.983363581367211,"avgtrf",6
"eacc",0.0166364186327889,"avgtrf",6
"ebinacc",0.0166364186327889,"avgtrf",6
"nll",0.0737092528312493,"avgtrf",6
"binnll",0.0737092528312493,"avgtrf",6
"rps",0.0156354422291076,"avgtrf",6
"cint",-0.114837715707066,"avgtrf",6
"cslope",1.3111116548021,"avgtrf",6
"brier",0.0156354422291076,"avgtrf",6
"auc",0.793982597336877,"avgtrf",6
"eauc",0.206017402663123,"avgtrf",6
"qwk",0,"avgtrf",6
"eqwk",1,"avgtrf",6
"acc",0.982909860859044,"linear",1
"binacc",0.982909860859044,"linear",1
"eacc",0.0170901391409558,"linear",1
"ebinacc",0.0170901391409558,"linear",1
"nll",0.0721244502163872,"linear",1
"binnll",0.0721244502163872,"linear",1
"rps",0.0158624724414167,"linear",1
"cint",-0.197851258909614,"linear",1
"cslope",1.03481624575587,"linear",1
"brier",0.0158624724414167,"linear",1
"auc",0.825995879120879,"linear",1
"eauc",0.174004120879121,"linear",1
"qwk",-0.000299893430727227,"linear",1
"eqwk",1.00029989343073,"linear",1
"acc",0.983212341197822,"linear",2
"binacc",0.983212341197822,"linear",2
"eacc",0.0167876588021778,"linear",2
"ebinacc",0.0167876588021778,"linear",2
"nll",0.0727155062080048,"linear",2
"binnll",0.0727155062080048,"linear",2
"rps",0.015565059117553,"linear",2
"cint",-0.0974148313757677,"linear",2
"cslope",1.17225072648167,"linear",2
"brier",0.015565059117553,"linear",2
"auc",0.801049318815816,"linear",2
"eauc",0.198950681184184,"linear",2
"qwk",0,"linear",2
"eqwk",1,"linear",2
"acc",0.981397459165154,"linear",3
"binacc",0.981397459165154,"linear",3
"eacc",0.0186025408348457,"linear",3
"ebinacc",0.0186025408348457,"linear",3
"nll",0.0789378342773999,"linear",3
"binnll",0.0789378342773999,"linear",3
"rps",0.0173203487376688,"linear",3
"cint",-0.0224114730028954,"linear",3
"cslope",1.11449872384076,"linear",3
"brier",0.0173203487376688,"linear",3
"auc",0.806639470560004,"linear",3
"eauc",0.193360529439996,"linear",3
"qwk",0.0151277356351905,"linear",3
"eqwk",0.984872264364809,"linear",3
"acc",0.983363581367211,"linear",4
"binacc",0.983363581367211,"linear",4
"eacc",0.0166364186327889,"linear",4
"ebinacc",0.0166364186327889,"linear",4
"nll",0.0748833491535669,"linear",4
"binnll",0.0748833491535669,"linear",4
"rps",0.015734514150821,"linear",4
"cint",0.0134812206829441,"linear",4
"cslope",1.04774770718773,"linear",4
"brier",0.015734514150821,"linear",4
"auc",0.775381001649842,"linear",4
"eauc",0.224618998350158,"linear",4
"qwk",0,"linear",4
"eqwk",1,"linear",4
"acc",0.982909860859044,"linear",5
"binacc",0.982909860859044,"linear",5
"eacc",0.0170901391409558,"linear",5
"ebinacc",0.0170901391409558,"linear",5
"nll",0.0737206322052804,"linear",5
"binnll",0.0737206322052804,"linear",5
"rps",0.0161331080435359,"linear",5
"cint",0.189875151736014,"linear",5
"cslope",1.19392508855801,"linear",5
"brier",0.0161331080435359,"linear",5
"auc",0.825700890674808,"linear",5
"eauc",0.174299109325192,"linear",5
"qwk",0,"linear",5
"eqwk",1,"linear",5
"acc",0.983363581367211,"linear",6
"binacc",0.983363581367211,"linear",6
"eacc",0.0166364186327889,"linear",6
"ebinacc",0.0166364186327889,"linear",6
"nll",0.0729887191007133,"linear",6
"binnll",0.0729887191007133,"linear",6
"rps",0.0156132715856592,"linear",6
"cint",-0.101448235287211,"linear",6
"cslope",1.40132814111835,"linear",6
"brier",0.0156132715856592,"linear",6
"auc",0.795876793154554,"linear",6
"eauc",0.204123206845446,"linear",6
"qwk",0,"linear",6
"eqwk",1,"linear",6
"acc",0.982909860859044,"log-linear",1
"binacc",0.982909860859044,"log-linear",1
"eacc",0.0170901391409558,"log-linear",1
"ebinacc",0.0170901391409558,"log-linear",1
"nll",0.0721275051053316,"log-linear",1
"binnll",0.0721275051053316,"log-linear",1
"rps",0.0158663775766686,"log-linear",1
"cint",-0.199246775075575,"log-linear",1
"cslope",1.03163477927136,"log-linear",1
"brier",0.0158663775766686,"log-linear",1
"auc",0.826090659340659,"log-linear",1
"eauc",0.173909340659341,"log-linear",1
"qwk",-0.000299893430727227,"log-linear",1
"eqwk",1.00029989343073,"log-linear",1
"acc",0.983212341197822,"log-linear",2
"binacc",0.983212341197822,"log-linear",2
"eacc",0.0167876588021778,"log-linear",2
"ebinacc",0.0167876588021778,"log-linear",2
"nll",0.0727155062080048,"log-linear",2
"binnll",0.0727155062080048,"log-linear",2
"rps",0.015565059117553,"log-linear",2
"cint",-0.0974148313757677,"log-linear",2
"cslope",1.17225072648167,"log-linear",2
