"metric","topn","val","method","spl"
"acc",1,0.982607380520266,"linear",1
"binacc",1,0.982607380520266,"linear",1
"eacc",1,0.0173926194797338,"linear",1
"ebinacc",1,0.0173926194797338,"linear",1
"nll",1,0.0775546930422359,"linear",1
"binnll",1,0.0775546930422359,"linear",1
"rps",1,0.0160613266101546,"linear",1
"cint",1,0.432484011056164,"linear",1
"cslope",1,0.729273832076106,"linear",1
"brier",1,0.0160613266101546,"linear",1
"auc",1,0.789659340659341,"linear",1
"eauc",1,0.210340659340659,"linear",1
"qwk",1,0.0156689329487731,"linear",1
"eqwk",1,0.984331067051227,"linear",1
"acc",2,0.982607380520266,"linear",1
"binacc",2,0.982607380520266,"linear",1
"eacc",2,0.0173926194797338,"linear",1
"ebinacc",2,0.0173926194797338,"linear",1
"nll",2,0.074099199961904,"linear",1
"binnll",2,0.074099199961904,"linear",1
"rps",2,0.0157987421250106,"linear",1
"cint",2,0.220568661119615,"linear",1
"cslope",2,0.906320620436519,"linear",1
"brier",2,0.0157987421250106,"linear",1
"auc",2,0.796336538461539,"linear",1
"eauc",2,0.203663461538461,"linear",1
"qwk",2,-0.000884550379882665,"linear",1
"eqwk",2,1.00088455037988,"linear",1
"acc",3,0.982909860859044,"linear",1
"binacc",3,0.982909860859044,"linear",1
"eacc",3,0.0170901391409558,"linear",1
"ebinacc",3,0.0170901391409558,"linear",1
"nll",3,0.0729031135275849,"linear",1
"binnll",3,0.0729031135275849,"linear",1
"rps",3,0.015773012451093,"linear",1
"cint",3,0.140333705901506,"linear",1
"cslope",3,0.978157768296224,"linear",1
"brier",3,0.015773012451093,"linear",1
"auc",3,0.807385989010989,"linear",1
"eauc",3,0.192614010989011,"linear",1
"qwk",3,-0.000299893430727227,"linear",1
"eqwk",3,1.00029989343073,"linear",1
"acc",4,0.983061101028433,"linear",1
"binacc",4,0.983061101028433,"linear",1
"eacc",4,0.0169388989715669,"linear",1
"ebinacc",4,0.0169388989715669,"linear",1
"nll",4,0.0716112623959253,"linear",1
"binnll",4,0.0716112623959253,"linear",1
"rps",4,0.0157092793052223,"linear",1
"cint",4,0.0359109100290591,"linear",1
"cslope",4,1.09220736738396,"linear",1
"brier",4,0.0157092793052223,"linear",1
"auc",4,0.818607142857143,"linear",1
"eauc",4,0.181392857142857,"linear",1
"qwk",4,0,"linear",1
"eqwk",4,1,"linear",1
"acc",5,0.983061101028433,"linear",1
"binacc",5,0.983061101028433,"linear",1
"eacc",5,0.0169388989715669,"linear",1
"ebinacc",5,0.0169388989715669,"linear",1
"nll",5,0.0715071445101225,"linear",1
"binnll",5,0.0715071445101225,"linear",1
"rps",5,0.0156939051914723,"linear",1
"cint",5,-0.0219812326862536,"linear",1
"cslope",5,1.10939414355261,"linear",1
"brier",5,0.0156939051914723,"linear",1
"auc",5,0.819267857142857,"linear",1
"eauc",5,0.180732142857143,"linear",1
"qwk",5,0,"linear",1
"eqwk",5,1,"linear",1
"acc",1,0.982607380520266,"log-linear",1
"binacc",1,0.982607380520266,"log-linear",1
"eacc",1,0.0173926194797338,"log-linear",1
"ebinacc",1,0.0173926194797338,"log-linear",1
"nll",1,0.0775546930422359,"log-linear",1
"binnll",1,0.0775546930422359,"log-linear",1
"rps",1,0.0160613266101546,"log-linear",1
"cint",1,0.432484011056164,"log-linear",1
"cslope",1,0.729273832076106,"log-linear",1
"brier",1,0.0160613266101546,"log-linear",1
"auc",1,0.789659340659341,"log-linear",1
"eauc",1,0.210340659340659,"log-linear",1
"qwk",1,0.0156689329487731,"log-linear",1
"eqwk",1,0.984331067051227,"log-linear",1
"acc",2,0.982304900181488,"log-linear",1
"binacc",2,0.982304900181488,"log-linear",1
"eacc",2,0.0176950998185118,"log-linear",1
"ebinacc",2,0.0176950998185118,"log-linear",1
"nll",2,0.0742429963601383,"log-linear",1
"binnll",2,0.0742429963601383,"log-linear",1
"rps",2,0.0158658472842233,"log-linear",1
"cint",2,0.208944179489979,"log-linear",1
"cslope",2,0.887840023689763,"log-linear",1
"brier",2,0.0158658472842233,"log-linear",1
"auc",2,0.796276098901099,"log-linear",1
"eauc",2,0.203723901098901,"log-linear",1
"qwk",2,-0.00144986821733517,"log-linear",1
"eqwk",2,1.00144986821734,"log-linear",1
"acc",3,0.982304900181488,"log-linear",1
"binacc",3,0.982304900181488,"log-linear",1
"eacc",3,0.0176950998185118,"log-linear",1
"ebinacc",3,0.0176950998185118,"log-linear",1
"nll",3,0.0731030569356863,"log-linear",1
"binnll",3,0.0731030569356863,"log-linear",1
"rps",3,0.0158741076721626,"log-linear",1
"cint",3,0.12488053199103,"log-linear",1
"cslope",3,0.949530344175656,"log-linear",1
"brier",3,0.0158741076721626,"log-linear",1
"auc",3,0.807384615384615,"log-linear",1
"eauc",3,0.192615384615385,"log-linear",1
"qwk",3,-0.00144986821733517,"log-linear",1
"eqwk",3,1.00144986821734,"log-linear",1
"acc",4,0.982456140350877,"log-linear",1
"binacc",4,0.982456140350877,"log-linear",1
"eacc",4,0.0175438596491229,"log-linear",1
"ebinacc",4,0.0175438596491229,"log-linear",1
"nll",4,0.07177435688707,"log-linear",1
"binnll",4,0.07177435688707,"log-linear",1
"rps",4,0.0157915366556801,"log-linear",1
"cint",4,0.0191463498774244,"log-linear",1
"cslope",4,1.05789649954038,"log-linear",1
"brier",4,0.0157915366556801,"log-linear",1
"auc",4,0.818597527472527,"log-linear",1
"eauc",4,0.181402472527473,"log-linear",1
"qwk",4,-0.00116956621624453,"log-linear",1
"eqwk",4,1.00116956621624,"log-linear",1
"acc",5,0.982758620689655,"log-linear",1
"binacc",5,0.982758620689655,"log-linear",1
"eacc",5,0.0172413793103449,"log-linear",1
"ebinacc",5,0.0172413793103449,"log-linear",1
"nll",5,0.0716509799299008,"log-linear",1
"binnll",5,0.0716509799299008,"log-linear",1
"rps",5,0.0157613634449576,"log-linear",1
"cint",5,-0.0390065102780801,"log-linear",1
"cslope",5,1.07638871452293,"log-linear",1
"brier",5,0.0157613634449576,"log-linear",1
"auc",5,0.819192307692308,"log-linear",1
"eauc",5,0.180807692307692,"log-linear",1
"qwk",5,-0.000594700791164415,"log-linear",1
"eqwk",5,1.00059470079116,"log-linear",1
"acc",1,0.982607380520266,"trafo",1
"binacc",1,0.982607380520266,"trafo",1
"eacc",1,0.0173926194797338,"trafo",1
"ebinacc",1,0.0173926194797338,"trafo",1
"nll",1,0.0775546930422368,"trafo",1
"binnll",1,0.0775546930422368,"trafo",1
"rps",1,0.0160613266101546,"trafo",1
"cint",1,0.432484011056164,"trafo",1
"cslope",1,0.729273832076082,"trafo",1
"brier",1,0.0160613266101546,"trafo",1
"auc",1,0.789659340659341,"trafo",1
"eauc",1,0.210340659340659,"trafo",1
"qwk",1,0.0156689329487731,"trafo",1
"eqwk",1,0.984331067051227,"trafo",1
"acc",2,0.982607380520266,"trafo",1
"binacc",2,0.982607380520266,"trafo",1
"eacc",2,0.0173926194797338,"trafo",1
"ebinacc",2,0.0173926194797338,"trafo",1
"nll",2,0.0744983547520489,"trafo",1
"binnll",2,0.0744983547520489,"trafo",1
"rps",2,0.0158496748784943,"trafo",1
"cint",2,0.335290746195549,"trafo",1
"cslope",2,0.891318780971521,"trafo",1
"brier",2,0.0158496748784943,"trafo",1
"auc",2,0.800177197802198,"trafo",1
"eauc",2,0.199822802197802,"trafo",1
"qwk",2,-0.000884550379882665,"trafo",1
"eqwk",2,1.00088455037988,"trafo",1
"acc",3,0.982758620689655,"trafo",1
"binacc",3,0.982758620689655,"trafo",1
"eacc",3,0.0172413793103449,"trafo",1
"ebinacc",3,0.0172413793103449,"trafo",1
"nll",3,0.0734357639858389,"trafo",1
"binnll",3,0.0734357639858389,"trafo",1
"rps",3,0.0158106455159538,"trafo",1
"cint",3,0.264417613297357,"trafo",1
"cslope",3,0.963608500523289,"trafo",1
"brier",3,0.0158106455159538,"trafo",1
"auc",3,0.807392857142857,"trafo",1
"eauc",3,0.192607142857143,"trafo",1
"qwk",3,-0.000594700791164415,"trafo",1
"eqwk",3,1.00059470079116,"trafo",1
"acc",4,0.983061101028433,"trafo",1
"binacc",4,0.983061101028433,"trafo",1
"eacc",4,0.0169388989715669,"trafo",1
"ebinacc",4,0.0169388989715669,"trafo",1
"nll",4,0.0722367775950218,"trafo",1
"binnll",4,0.0722367775950218,"trafo",1
"rps",4,0.0157504699936535,"trafo",1
"cint",4,0.1874478701776,"trafo",1
"cslope",4,1.06607553397187,"trafo",1
"brier",4,0.0157504699936535,"trafo",1
"auc",4,0.814384615384615,"trafo",1
"eauc",4,0.185615384615385,"trafo",1
"qwk",4,0,"trafo",1
"eqwk",4,1,"trafo",1
"acc",5,0.983061101028433,"trafo",1
"binacc",5,0.983061101028433,"trafo",1
"eacc",5,0.0169388989715669,"trafo",1
"ebinacc",5,0.0169388989715669,"trafo",1
"nll",5,0.0718385079183205,"trafo",1
"binnll",5,0.0718385079183205,"trafo",1
"rps",5,0.0157249064857476,"trafo",1
"cint",5,0.137289968222408,"trafo",1
"cslope",5,1.09258675851472,"trafo",1
"brier",5,0.0157249064857476,"trafo",1
"auc",5,0.816383241758242,"trafo",1
"eauc",5,0.183616758241758,"trafo",1
"qwk",5,0,"trafo",1
"eqwk",5,1,"trafo",1
"acc",1,0.982607380520266,"avg",1
"binacc",1,0.982607380520266,"avg",1
"eacc",1,0.0173926194797338,"avg",1
"ebinacc",1,0.0173926194797338,"avg",1
"nll",1,0.0775546930422359,"avg",1
"binnll",1,0.0775546930422359,"avg",1
"rps",1,0.0160613266101546,"avg",1
"cint",1,0.432484011056164,"avg",1
"cslope",1,0.729273832076106,"avg",1
"brier",1,0.0160613266101546,"avg",1
"auc",1,0.789659340659341,"avg",1
"eauc",1,0.210340659340659,"avg",1
"qwk",1,0.0156689329487731,"avg",1
"eqwk",1,0.984331067051227,"avg",1
"acc",2,0.982456140350877,"avg",1
"binacc",2,0.982456140350877,"avg",1
"eacc",2,0.0175438596491229,"avg",1
"ebinacc",2,0.0175438596491229,"avg",1
"nll",2,0.076244429772385,"avg",1
"binnll",2,0.076244429772385,"avg",1
"rps",2,0.0160166921645934,"avg",1
"cint",2,0.242373799796229,"avg",1
"cslope",2,0.803445999520003,"avg",1
"brier",2,0.0160166921645934,"avg",1
"auc",2,0.787928571428571,"avg",1
"eauc",2,0.212071428571429,"avg",1
"qwk",2,0.0152562121382432,"avg",1
"eqwk",2,0.984743787861757,"avg",1
"acc",3,0.982607380520266,"avg",1
