"metric","val","method","spl"
"acc",0.982571134204085,"avgl",1
"binacc",0.982571134204085,"avgl",1
"eacc",0.0174288657959154,"avgl",1
"ebinacc",0.0174288657959154,"avgl",1
"nll",0.0757954635137052,"avgl",1
"binnll",0.0757954635137052,"avgl",1
"rps",0.0160438368766364,"avgl",1
"cint",0.178809216993999,"avgl",1
"cslope",0.8330202802501,"avgl",1
"brier",0.0160438368766364,"avgl",1
"auc",0.793011983604345,"avgl",1
"eauc",0.206988016395655,"avgl",1
"qwk",0.0119793635985884,"avgl",1
"eqwk",0.988020636401412,"avgl",1
"acc",0.982909378295119,"avgl",2
"binacc",0.982909378295119,"avgl",2
"eacc",0.0170906217048807,"avgl",2
"ebinacc",0.0170906217048807,"avgl",2
"nll",0.0754614283784648,"avgl",2
"binnll",0.0754614283784648,"avgl",2
"rps",0.0156442928483611,"avgl",2
"cint",-0.106604755717809,"avgl",2
"cslope",0.857951850976343,"avgl",2
"brier",0.0156442928483611,"avgl",2
"auc",0.744417750920205,"avgl",2
"eauc",0.255582249079795,"avgl",2
"qwk",0.0403895181552965,"avgl",2
"eqwk",0.959610481844704,"avgl",2
"acc",0.981393343859431,"avgl",3
"binacc",0.981393343859431,"avgl",3
"eacc",0.0186066561405687,"avgl",3
"ebinacc",0.0186066561405687,"avgl",3
"nll",0.0803168371588578,"avgl",3
"binnll",0.0803168371588578,"avgl",3
"rps",0.017252018222007,"avgl",3
"cint",-0.0211965783732207,"avgl",3
"cslope",0.980566330139815,"avgl",3
"brier",0.017252018222007,"avgl",3
"auc",0.775458864286464,"avgl",3
"eauc",0.224541135713536,"avgl",3
"qwk",0.0146998985108874,"avgl",3
"eqwk",0.985300101489113,"avgl",3
"acc",0.983391730746849,"avgl",4
"binacc",0.983391730746849,"avgl",4
"eacc",0.0166082692531506,"avgl",4
"ebinacc",0.0166082692531506,"avgl",4
"nll",0.0775328264228572,"avgl",4
"binnll",0.0775328264228572,"avgl",4
"rps",0.0158820633504241,"avgl",4
"cint",-0.106080959897692,"avgl",4
"cslope",0.850189964543865,"avgl",4
"brier",0.0158820633504241,"avgl",4
"auc",0.740939594206892,"avgl",4
"eauc",0.259060405793108,"avgl",4
"qwk",0.0127540232958696,"avgl",4
"eqwk",0.98724597670413,"avgl",4
"acc",0.982343684787418,"avgl",5
"binacc",0.982343684787418,"avgl",5
"eacc",0.0176563152125819,"avgl",5
"ebinacc",0.0176563152125819,"avgl",5
"nll",0.0793286322169246,"avgl",5
"binnll",0.0793286322169246,"avgl",5
"rps",0.0164178106146878,"avgl",5
"cint",0.0881910623609036,"avgl",5
"cslope",0.74013418345834,"avgl",5
"brier",0.0164178106146878,"avgl",5
"auc",0.749184811906681,"avgl",5
"eauc",0.250815188093319,"avgl",5
"qwk",0.0249068397079539,"avgl",5
"eqwk",0.975093160292046,"avgl",5
"acc",0.983078916694472,"avgl",6
"binacc",0.983078916694472,"avgl",6
"eacc",0.0169210833055284,"avgl",6
"ebinacc",0.0169210833055284,"avgl",6
"nll",0.0769605783455949,"avgl",6
"binnll",0.0769605783455949,"avgl",6
"rps",0.0158346136834611,"avgl",6
"cint",-0.127375892468698,"avgl",6
"cslope",0.873244309680129,"avgl",6
"brier",0.0158346136834611,"avgl",6
"auc",0.735657572520582,"avgl",6
"eauc",0.264342427479418,"avgl",6
"qwk",0.00495650325545936,"avgl",6
"eqwk",0.995043496744541,"avgl",6
"acc",0.982564353323708,"avgll",1
"binacc",0.982564353323708,"avgll",1
"eacc",0.0174356466762924,"avgll",1
"ebinacc",0.0174356466762924,"avgll",1
"nll",0.0755950043816269,"avgll",1
"binnll",0.0755950043816269,"avgll",1
"rps",0.0160374908274385,"avgll",1
"cint",0.147586170699395,"avgll",1
"cslope",0.856236044520892,"avgll",1
"brier",0.0160374908274385,"avgll",1
"auc",0.795774479524008,"avgll",1
"eauc",0.204225520475992,"avgll",1
"qwk",0.0109474147446762,"avgll",1
"eqwk",0.989052585255324,"avgll",1
"acc",0.98291721853677,"avgll",2
"binacc",0.98291721853677,"avgll",2
"eacc",0.0170827814632303,"avgll",2
"ebinacc",0.0170827814632303,"avgll",2
"nll",0.0753859598087514,"avgll",2
"binnll",0.0753859598087514,"avgll",2
"rps",0.0156339622113619,"avgll",2
"cint",-0.117906315452913,"avgll",2
"cslope",0.864892454771992,"avgll",2
"brier",0.0156339622113619,"avgll",2
"auc",0.744621599187269,"avgll",2
"eauc",0.255378400812731,"avgll",2
"qwk",0.0401660225605938,"avgll",2
"eqwk",0.959833977439406,"avgll",2
"acc",0.98139168168812,"avgll",3
"binacc",0.98139168168812,"avgll",3
"eacc",0.0186083183118805,"avgll",3
"ebinacc",0.0186083183118805,"avgll",3
"nll",0.0803257131379577,"avgll",3
"binnll",0.0803257131379577,"avgll",3
"rps",0.0172509308111871,"avgll",3
"cint",-0.01445682166802,"avgll",3
"cslope",0.977185129681769,"avgll",3
"brier",0.0172509308111871,"avgll",3
"auc",0.775335324055897,"avgll",3
"eauc",0.224664675944103,"avgll",3
"qwk",0.0145270951660053,"avgll",3
"eqwk",0.985472904833995,"avgll",3
"acc",0.983392312097586,"avgll",4
"binacc",0.983392312097586,"avgll",4
"eacc",0.0166076879024138,"avgll",4
"ebinacc",0.0166076879024138,"avgll",4
"nll",0.0775325732332983,"avgll",4
"binnll",0.0775325732332983,"avgll",4
"rps",0.0158817197451177,"avgll",4
"cint",-0.105998058837567,"avgll",4
"cslope",0.850123278028544,"avgll",4
"brier",0.0158817197451177,"avgll",4
"auc",0.740931300558916,"avgll",4
"eauc",0.259068699441084,"avgll",4
"qwk",0.0127774942055864,"avgll",4
"eqwk",0.987222505794414,"avgll",4
"acc",0.98236481008023,"avgll",5
"binacc",0.98236481008023,"avgll",5
"eacc",0.0176351899197703,"avgll",5
"ebinacc",0.0176351899197703,"avgll",5
"nll",0.07928803881072,"avgll",5
"binnll",0.07928803881072,"avgll",5
"rps",0.016406827233537,"avgll",5
"cint",0.107176258968618,"avgll",5
"cslope",0.739066323637446,"avgll",5
"brier",0.016406827233537,"avgll",5
"auc",0.750634652000939,"avgll",5
"eauc",0.249365347999061,"avgll",5
"qwk",0.0256509973119545,"avgll",5
"eqwk",0.974349002688045,"avgll",5
"acc",0.983129225518004,"avgll",6
"binacc",0.983129225518004,"avgll",6
"eacc",0.0168707744819957,"avgll",6
"ebinacc",0.0168707744819957,"avgll",6
"nll",0.0763742495707965,"avgll",6
"binnll",0.0763742495707965,"avgll",6
"rps",0.0157371896168349,"avgll",6
"cint",-0.2230931632071,"avgll",6
"cslope",0.946391141261066,"avgll",6
"brier",0.0157371896168349,"avgll",6
"auc",0.738066243553086,"avgll",6
"eauc",0.261933756446914,"avgll",6
"qwk",0.00422629691681808,"avgll",6
"eqwk",0.995773703083182,"avgll",6
"acc",0.982558536760288,"avgtrf",1
"binacc",0.982558536760288,"avgtrf",1
"eacc",0.0174414632397115,"avgtrf",1
"ebinacc",0.0174414632397115,"avgtrf",1
"nll",0.0758342760119647,"avgtrf",1
"binnll",0.0758342760119647,"avgtrf",1
"rps",0.0160393006903554,"avgtrf",1
"cint",0.195949669771014,"avgtrf",1
"cslope",0.826324166006112,"avgtrf",1
"brier",0.0160393006903554,"avgtrf",1
"auc",0.791309436874652,"avgtrf",1
"eauc",0.208690563125348,"avgtrf",1
"qwk",0.011960826121088,"avgtrf",1
"eqwk",0.988039173878912,"avgtrf",1
"acc",0.982893869108007,"avgtrf",2
"binacc",0.982893869108007,"avgtrf",2
"eacc",0.0171061308919926,"avgtrf",2
"ebinacc",0.0171061308919926,"avgtrf",2
"nll",0.0755769700350975,"avgtrf",2
"binnll",0.0755769700350975,"avgtrf",2
"rps",0.0156602233570411,"avgtrf",2
"cint",-0.0923633436263974,"avgtrf",2
"cslope",0.848400481762145,"avgtrf",2
"brier",0.0156602233570411,"avgtrf",2
"auc",0.743889648716674,"avgtrf",2
"eauc",0.256110351283326,"avgtrf",2
"qwk",0.0407472722478063,"avgtrf",2
"eqwk",0.959252727752194,"avgtrf",2
"acc",0.981397459165154,"avgtrf",3
"binacc",0.981397459165154,"avgtrf",3
"eacc",0.0186025408348458,"avgtrf",3
"ebinacc",0.0186025408348458,"avgtrf",3
"nll",0.0803363464345012,"avgtrf",3
"binnll",0.0803363464345012,"avgtrf",3
"rps",0.0172668568793959,"avgtrf",3
"cint",-0.0665497729308027,"avgtrf",3
"cslope",1.0020673570371,"avgtrf",3
"brier",0.0172668568793959,"avgtrf",3
"auc",0.775287322787136,"avgtrf",3
"eauc",0.224712677212864,"avgtrf",3
"qwk",0.0151277356351905,"avgtrf",3
"eqwk",0.984872264364809,"avgtrf",3
"acc",0.983387255740753,"avgtrf",4
"binacc",0.983387255740753,"avgtrf",4
"eacc",0.0166127442592466,"avgtrf",4
"ebinacc",0.0166127442592466,"avgtrf",4
"nll",0.0776671552682961,"avgtrf",4
"binnll",0.0776671552682961,"avgtrf",4
"rps",0.0158806614227715,"avgtrf",4
"cint",-0.130698037298929,"avgtrf",4
"cslope",0.854627418929733,"avgtrf",4
"brier",0.0158806614227715,"avgtrf",4
"auc",0.737546833142748,"avgtrf",4
"eauc",0.262453166857252,"avgtrf",4
"qwk",0.012573353594369,"avgtrf",4
"eqwk",0.987426646405631,"avgtrf",4
"acc",0.982323060011445,"avgtrf",5
"binacc",0.982323060011445,"avgtrf",5
"eacc",0.0176769399885554,"avgtrf",5
"ebinacc",0.0176769399885554,"avgtrf",5
"nll",0.0796417787387524,"avgtrf",5
"binnll",0.0796417787387524,"avgtrf",5
"rps",0.0164446124784771,"avgtrf",5
"cint",0.0435015639545456,"avgtrf",5
"cslope",0.738058817678932,"avgtrf",5
"brier",0.0164446124784771,"avgtrf",5
"auc",0.743482138157939,"avgtrf",5
"eauc",0.256517861842061,"avgtrf",5
"qwk",0.0244045663967828,"avgtrf",5
"eqwk",0.975595433603217,"avgtrf",5
"acc",0.982995087672431,"avgtrf",6
"binacc",0.982995087672431,"avgtrf",6
"eacc",0.0170049123275686,"avgtrf",6
"ebinacc",0.0170049123275686,"avgtrf",6
"nll",0.0776091726274378,"avgtrf",6
"binnll",0.0776091726274378,"avgtrf",6
"rps",0.0159130486966713,"avgtrf",6
"cint",-0.152601600594815,"avgtrf",6
"cslope",0.844032485220906,"avgtrf",6
"brier",0.0159130486966713,"avgtrf",6
"auc",0.730256439239076,"avgtrf",6
"eauc",0.269743560760924,"avgtrf",6
"qwk",0.00756046712823288,"avgtrf",6
"eqwk",0.992439532871767,"avgtrf",6
"acc",0.982758620689655,"linear",1
"binacc",0.982758620689655,"linear",1
"eacc",0.0172413793103449,"linear",1
"ebinacc",0.0172413793103449,"linear",1
"nll",0.0723665542864714,"linear",1
"binnll",0.0723665542864714,"linear",1
"rps",0.015733582912877,"linear",1
"cint",0.148174506905274,"linear",1
"cslope",1.00424097005745,"linear",1
"brier",0.015733582912877,"linear",1
"auc",0.810906593406593,"linear",1
"eauc",0.189093406593407,"linear",1
"qwk",-0.000594700791164415,"linear",1
"eqwk",1.00059470079116,"linear",1
"acc",0.983212341197822,"linear",2
"binacc",0.983212341197822,"linear",2
"eacc",0.0167876588021778,"linear",2
"ebinacc",0.0167876588021778,"linear",2
"nll",0.0742872037136808,"linear",2
"binnll",0.0742872037136808,"linear",2
"rps",0.015450166672452,"linear",2
"cint",-0.106685754903686,"linear",2
"cslope",0.930123835543518,"linear",2
"brier",0.015450166672452,"linear",2
"auc",0.751409000139965,"linear",2
"eauc",0.248590999860035,"linear",2
"qwk",0.033654074038963,"linear",2
"eqwk",0.966345925961037,"linear",2
"acc",0.981397459165154,"linear",3
"binacc",0.981397459165154,"linear",3
"eacc",0.0186025408348457,"linear",3
"ebinacc",0.0186025408348457,"linear",3
"nll",0.0792218727965709,"linear",3
"binnll",0.0792218727965709,"linear",3
"rps",0.0171833459130659,"linear",3
"cint",-0.0304812282984674,"linear",3
