"metric","topn","val","method","spl"
"acc",1,0.982909860859044,"linear",1
"binacc",1,0.982909860859044,"linear",1
"eacc",1,0.0170901391409558,"linear",1
"ebinacc",1,0.0170901391409558,"linear",1
"nll",1,0.0741630083146678,"linear",1
"binnll",1,0.0741630083146678,"linear",1
"rps",1,0.016240653612844,"linear",1
"cint",1,0.0142614701512778,"linear",1
"cslope",1,0.835353459596137,"linear",1
"brier",1,0.016240653612844,"linear",1
"auc",1,0.820798076923077,"linear",1
"eauc",1,0.179201923076923,"linear",1
"qwk",1,0.0327877341148815,"linear",1
"eqwk",1,0.967212265885119,"linear",1
"acc",2,0.982909860859044,"linear",1
"binacc",2,0.982909860859044,"linear",1
"eacc",2,0.0170901391409558,"linear",1
"ebinacc",2,0.0170901391409558,"linear",1
"nll",2,0.0737999708051161,"linear",1
"binnll",2,0.0737999708051161,"linear",1
"rps",2,0.0161253523967768,"linear",1
"cint",2,0.00602714524010181,"linear",1
"cslope",2,1.01050505042526,"linear",1
"brier",2,0.0161253523967768,"linear",1
"auc",2,0.819458791208791,"linear",1
"eauc",2,0.180541208791209,"linear",1
"qwk",2,-0.000299893430727227,"linear",1
"eqwk",2,1.00029989343073,"linear",1
"acc",3,0.982909860859044,"linear",1
"binacc",3,0.982909860859044,"linear",1
"eacc",3,0.0170901391409558,"linear",1
"ebinacc",3,0.0170901391409558,"linear",1
"nll",3,0.0736118814102381,"linear",1
"binnll",3,0.0736118814102381,"linear",1
"rps",3,0.0160276278688403,"linear",1
"cint",3,-0.0024122898010154,"linear",1
"cslope",3,1.11950440973299,"linear",1
"brier",3,0.0160276278688403,"linear",1
"auc",3,0.820054945054945,"linear",1
"eauc",3,0.179945054945055,"linear",1
"qwk",3,-0.000299893430727227,"linear",1
"eqwk",3,1.00029989343073,"linear",1
"acc",4,0.982909860859044,"linear",1
"binacc",4,0.982909860859044,"linear",1
"eacc",4,0.0170901391409558,"linear",1
"ebinacc",4,0.0170901391409558,"linear",1
"nll",4,0.0731880695125323,"linear",1
"binnll",4,0.0731880695125323,"linear",1
"rps",4,0.0159896133087551,"linear",1
"cint",4,-0.00617577967009235,"linear",1
"cslope",4,1.14820455157526,"linear",1
"brier",4,0.0159896133087551,"linear",1
"auc",4,0.822898351648352,"linear",1
"eauc",4,0.177101648351648,"linear",1
"qwk",4,-0.000299893430727227,"linear",1
"eqwk",4,1.00029989343073,"linear",1
"acc",5,0.982909860859044,"linear",1
"binacc",5,0.982909860859044,"linear",1
"eacc",5,0.0170901391409558,"linear",1
"ebinacc",5,0.0170901391409558,"linear",1
"nll",5,0.0739371442488853,"linear",1
"binnll",5,0.0739371442488853,"linear",1
"rps",5,0.0160202174259464,"linear",1
"cint",5,-0.0102260131612376,"linear",1
"cslope",5,1.17360348125957,"linear",1
"brier",5,0.0160202174259464,"linear",1
"auc",5,0.813924450549451,"linear",1
"eauc",5,0.186075549450549,"linear",1
"qwk",5,-0.000299893430727227,"linear",1
"eqwk",5,1.00029989343073,"linear",1
"acc",1,0.982909860859044,"log-linear",1
"binacc",1,0.982909860859044,"log-linear",1
"eacc",1,0.0170901391409558,"log-linear",1
"ebinacc",1,0.0170901391409558,"log-linear",1
"nll",1,0.0741630083146678,"log-linear",1
"binnll",1,0.0741630083146678,"log-linear",1
"rps",1,0.016240653612844,"log-linear",1
"cint",1,0.0142614701512778,"log-linear",1
"cslope",1,0.835353459596137,"log-linear",1
"brier",1,0.016240653612844,"log-linear",1
"auc",1,0.820798076923077,"log-linear",1
"eauc",1,0.179201923076923,"log-linear",1
"qwk",1,0.0327877341148815,"log-linear",1
"eqwk",1,0.967212265885119,"log-linear",1
"acc",2,0.982909860859044,"log-linear",1
"binacc",2,0.982909860859044,"log-linear",1
"eacc",2,0.0170901391409558,"log-linear",1
"ebinacc",2,0.0170901391409558,"log-linear",1
"nll",2,0.0737949080272194,"log-linear",1
"binnll",2,0.0737949080272194,"log-linear",1
"rps",2,0.0161218110067007,"log-linear",1
"cint",2,0.0138500084749346,"log-linear",1
"cslope",2,1.00192992251216,"log-linear",1
"brier",2,0.0161218110067007,"log-linear",1
"auc",2,0.819413461538462,"log-linear",1
"eauc",2,0.180586538461538,"log-linear",1
"qwk",2,-0.000299893430727227,"log-linear",1
"eqwk",2,1.00029989343073,"log-linear",1
