"metric","val","method","spl"
"acc",0.982929281332789,"avgl",1
"binacc",0.982929281332789,"avgl",1
"eacc",0.017070718667211,"avgl",1
"ebinacc",0.017070718667211,"avgl",1
"nll",0.0742273452557548,"avgl",1
"binnll",0.0742273452557548,"avgl",1
"rps",0.0162261015346617,"avgl",1
"cint",0.0101505308058018,"avgl",1
"cslope",0.848026929281929,"avgl",1
"brier",0.0162261015346617,"avgl",1
"auc",0.818687279396797,"avgl",1
"eauc",0.181312720603203,"avgl",1
"qwk",0.0307552713397397,"avgl",1
"eqwk",0.96924472866026,"avgl",1
"acc",0.98300147511929,"avgl",2
"binacc",0.98300147511929,"avgl",2
"eacc",0.0169985248807103,"avgl",2
"ebinacc",0.0169985248807103,"avgl",2
"nll",0.0801501412522944,"avgl",2
"binnll",0.0801501412522944,"avgl",2
"rps",0.0164537905963468,"avgl",2
"cint",0.0954178957893687,"avgl",2
"cslope",0.85496110183592,"avgl",2
"brier",0.0164537905963468,"avgl",2
"auc",0.731944724187178,"avgl",2
"eauc",0.268055275812822,"avgl",2
"qwk",0.00374884701276558,"avgl",2
"eqwk",0.996251152987234,"avgl",2
"acc",0.981213026936102,"avgl",3
"binacc",0.981213026936102,"avgl",3
"eacc",0.0187869730638979,"avgl",3
"ebinacc",0.0187869730638979,"avgl",3
"nll",0.0774902468247585,"avgl",3
"binnll",0.0774902468247585,"avgl",3
"rps",0.0174913355377402,"avgl",3
"cint",-0.0805027002180031,"avgl",3
"cslope",0.967657789212951,"avgl",3
"brier",0.0174913355377402,"avgl",3
"auc",0.833511223028102,"avgl",3
"eauc",0.166488776971898,"avgl",3
"qwk",0.0146303523788971,"avgl",3
"eqwk",0.985369647621103,"avgl",3
"acc",0.983237359571652,"avgl",4
"binacc",0.983237359571652,"avgl",4
"eacc",0.016762640428348,"avgl",4
"ebinacc",0.016762640428348,"avgl",4
"nll",0.0742121103189248,"avgl",4
"binnll",0.0742121103189248,"avgl",4
"rps",0.0158983292252578,"avgl",4
"cint",0.0428313707301354,"avgl",4
"cslope",0.926378624604526,"avgl",4
"brier",0.0158983292252578,"avgl",4
"auc",0.803203527206361,"avgl",4
"eauc",0.196796472793639,"avgl",4
"qwk",0.0140464844121594,"avgl",4
"eqwk",0.985953515587841,"avgl",4
"acc",0.982827675511538,"avgl",5
"binacc",0.982827675511538,"avgl",5
"eacc",0.0171723244884623,"avgl",5
"ebinacc",0.0171723244884623,"avgl",5
"nll",0.074581183741155,"avgl",5
"binnll",0.074581183741155,"avgl",5
"rps",0.0162616931113332,"avgl",5
"cint",-0.0194198597845833,"avgl",5
"cslope",1.1170214277801,"avgl",5
"brier",0.0162616931113332,"avgl",5
"auc",0.820660239851122,"avgl",5
"eauc",0.179339760148878,"avgl",5
"qwk",0.00889692093458579,"avgl",5
"eqwk",0.991103079065414,"avgl",5
"acc",0.983363581367211,"avgl",6
"binacc",0.983363581367211,"avgl",6
"eacc",0.0166364186327889,"avgl",6
"ebinacc",0.0166364186327889,"avgl",6
"nll",0.0752072378809016,"avgl",6
"binnll",0.0752072378809016,"avgl",6
"rps",0.0160893519028897,"avgl",6
"cint",0.0173703988004393,"avgl",6
"cslope",0.982019279788647,"avgl",6
"brier",0.0160893519028897,"avgl",6
"auc",0.803903693968289,"avgl",6
"eauc",0.196096306031711,"avgl",6
"qwk",0,"avgl",6
"eqwk",1,"avgl",6
"acc",0.982929184320004,"avgll",1
"binacc",0.982929184320004,"avgll",1
"eacc",0.0170708156799964,"avgll",1
"ebinacc",0.0170708156799964,"avgll",1
"nll",0.0742270238678242,"avgll",1
"binnll",0.0742270238678242,"avgll",1
"rps",0.0162261742279265,"avgll",1
"cint",0.0101710665394987,"avgll",1
"cslope",0.847963620393957,"avgll",1
"brier",0.0162261742279265,"avgll",1
"auc",0.818697823647695,"avgll",1
"eauc",0.181302176352305,"avgll",1
"qwk",0.0307654242782269,"avgll",1
"eqwk",0.969234575721773,"avgll",1
"acc",0.982999399772287,"avgll",2
"binacc",0.982999399772287,"avgll",2
"eacc",0.017000600227713,"avgll",2
"ebinacc",0.017000600227713,"avgll",2
"nll",0.0800444790341482,"avgll",2
"binnll",0.0800444790341482,"avgll",2
"rps",0.0164481518228132,"avgll",2
"cint",0.0945150882615146,"avgll",2
"cslope",0.859116687359856,"avgll",2
"brier",0.0164481518228132,"avgll",2
"auc",0.733249087364459,"avgll",2
"eauc",0.266750912635541,"avgll",2
"qwk",0.00306938404477305,"avgll",2
"eqwk",0.996930615955227,"avgll",2
"acc",0.981212839464909,"avgll",3
"binacc",0.981212839464909,"avgll",3
"eacc",0.0187871605350909,"avgll",3
"ebinacc",0.0187871605350909,"avgll",3
"nll",0.0774927229720714,"avgll",3
"binnll",0.0774927229720714,"avgll",3
"rps",0.0174913993316996,"avgll",3
"cint",-0.0805085599034466,"avgll",3
"cslope",0.96758017337132,"avgll",3
"brier",0.0174913993316996,"avgll",3
"auc",0.833492943838116,"avgll",3
"eauc",0.166507056161884,"avgll",3
"qwk",0.014629853114513,"avgll",3
"eqwk",0.985370146885487,"avgll",3
"acc",0.983238164054403,"avgll",4
"binacc",0.983238164054403,"avgll",4
"eacc",0.0167618359455965,"avgll",4
"ebinacc",0.0167618359455965,"avgll",4
"nll",0.0742412307524851,"avgll",4
"binnll",0.0742412307524851,"avgll",4
"rps",0.0159001672028826,"avgll",4
"cint",0.0429851419530196,"avgll",4
"cslope",0.925691867455413,"avgll",4
"brier",0.0159001672028826,"avgll",4
"auc",0.802774456892367,"avgll",4
"eauc",0.197225543107633,"avgll",4
"qwk",0.0139569582382055,"avgll",4
"eqwk",0.986043041761794,"avgll",4
"acc",0.982828840337782,"avgll",5
"binacc",0.982828840337782,"avgll",5
"eacc",0.0171711596622176,"avgll",5
"ebinacc",0.0171711596622176,"avgll",5
"nll",0.0745723798975368,"avgll",5
"binnll",0.0745723798975368,"avgll",5
"rps",0.0162615062463401,"avgll",5
"cint",-0.019419757264443,"avgll",5
"cslope",1.11686285216363,"avgll",5
"brier",0.0162615062463401,"avgll",5
"auc",0.820671376776191,"avgll",5
"eauc",0.179328623223809,"avgll",5
"qwk",0.00865712818033577,"avgll",5
"eqwk",0.991342871819664,"avgll",5
"acc",0.983363581367211,"avgll",6
"binacc",0.983363581367211,"avgll",6
"eacc",0.0166364186327889,"avgll",6
"ebinacc",0.0166364186327889,"avgll",6
"nll",0.0752072378809016,"avgll",6
"binnll",0.0752072378809016,"avgll",6
"rps",0.0160893519028897,"avgll",6
"cint",0.0173703988004393,"avgll",6
"cslope",0.982019279788647,"avgll",6
"brier",0.0160893519028897,"avgll",6
"auc",0.803903693968289,"avgll",6
"eauc",0.196096306031711,"avgll",6
"qwk",0,"avgll",6
"eqwk",1,"avgll",6
"acc",0.982813680704104,"avgtrf",1
"binacc",0.982813680704104,"avgtrf",1
"eacc",0.0171863192958961,"avgtrf",1
"ebinacc",0.0171863192958961,"avgtrf",1
"nll",0.0753546060993544,"avgtrf",1
"binnll",0.0753546060993544,"avgtrf",1
"rps",0.0162968008306435,"avgtrf",1
"cint",0.00908744577719961,"avgtrf",1
"cslope",0.837807319903336,"avgtrf",1
"brier",0.0162968008306435,"avgtrf",1
"auc",0.802308989737914,"avgtrf",1
"eauc",0.197691010262086,"avgtrf",1
"qwk",0.0220809041999716,"avgtrf",1
"eqwk",0.977919095800028,"avgtrf",1
"acc",0.982986446167515,"avgtrf",2
"binacc",0.982986446167515,"avgtrf",2
"eacc",0.0170135538324849,"avgtrf",2
"ebinacc",0.0170135538324849,"avgtrf",2
"nll",0.0796013233990533,"avgtrf",2
"binnll",0.0796013233990533,"avgtrf",2
"rps",0.0164198431908897,"avgtrf",2
"cint",0.0975787472800882,"avgtrf",2
"cslope",0.878606920366074,"avgtrf",2
"brier",0.0164198431908897,"avgtrf",2
"auc",0.741911869085494,"avgtrf",2
"eauc",0.258088130914506,"avgtrf",2
"qwk",0.00421181458768955,"avgtrf",2
"eqwk",0.99578818541231,"avgtrf",2
"acc",0.981206580245335,"avgtrf",3
"binacc",0.981206580245335,"avgtrf",3
"eacc",0.0187934197546649,"avgtrf",3
"ebinacc",0.0187934197546649,"avgtrf",3
"nll",0.0775753956722561,"avgtrf",3
"binnll",0.0775753956722561,"avgtrf",3
"rps",0.0174935292610688,"avgtrf",3
"cint",-0.0807042009363259,"avgtrf",3
"cslope",0.964988764059173,"avgtrf",3
"brier",0.0174935292610688,"avgtrf",3
"auc",0.832882644933254,"avgtrf",3
"eauc",0.167117355066746,"avgtrf",3
"qwk",0.0146131838579909,"avgtrf",3
