"metric","topn","val","method","spl"
"acc",1,0.982153660012099,"linear",1
"binacc",1,0.982153660012099,"linear",1
"eacc",1,0.0178463399879008,"linear",1
"ebinacc",1,0.0178463399879008,"linear",1
"nll",1,0.0782207118240412,"linear",1
"binnll",1,0.0782207118240412,"linear",1
"rps",1,0.0167079320231345,"linear",1
"cint",1,-0.0111461036681576,"linear",1
"cslope",1,0.809608307483168,"linear",1
"brier",1,0.0167079320231345,"linear",1
"auc",1,0.782887362637363,"linear",1
"eauc",1,0.217112637362637,"linear",1
"qwk",1,-0.00172557236619109,"linear",1
"eqwk",1,1.00172557236619,"linear",1
"acc",2,0.982456140350877,"linear",1
"binacc",2,0.982456140350877,"linear",1
"eacc",2,0.0175438596491229,"linear",1
"ebinacc",2,0.0175438596491229,"linear",1
"nll",2,0.0782757481424222,"linear",1
"binnll",2,0.0782757481424222,"linear",1
"rps",2,0.0165675411123832,"linear",1
"cint",2,-0.023025091490693,"linear",1
"cslope",2,0.877865605580605,"linear",1
"brier",2,0.0165675411123832,"linear",1
"auc",2,0.770348901098901,"linear",1
"eauc",2,0.229651098901099,"linear",1
"qwk",2,0.0152528271654392,"linear",1
"eqwk",2,0.984747172834561,"linear",1
"acc",3,0.982304900181488,"linear",1
"binacc",3,0.982304900181488,"linear",1
"eacc",3,0.0176950998185118,"linear",1
"ebinacc",3,0.0176950998185118,"linear",1
"nll",3,0.0781772384991008,"linear",1
"binnll",3,0.0781772384991008,"linear",1
"rps",3,0.0165249344705632,"linear",1
"cint",3,-0.0269530543721462,"linear",1
"cslope",3,0.882037827081921,"linear",1
"brier",3,0.0165249344705632,"linear",1
"auc",3,0.775532967032967,"linear",1
"eauc",3,0.224467032967033,"linear",1
"qwk",3,-0.00144986821733517,"linear",1
"eqwk",3,1.00144986821734,"linear",1
"acc",4,0.982456140350877,"linear",1
"binacc",4,0.982456140350877,"linear",1
"eacc",4,0.0175438596491229,"linear",1
"ebinacc",4,0.0175438596491229,"linear",1
"nll",4,0.077864527636675,"linear",1
"binnll",4,0.077864527636675,"linear",1
"rps",4,0.0164266622988701,"linear",1
"cint",4,-0.0360601769254032,"linear",1
"cslope",4,0.965020985290835,"linear",1
"brier",4,0.0164266622988701,"linear",1
"auc",4,0.775811813186813,"linear",1
"eauc",4,0.224188186813187,"linear",1
"qwk",4,-0.00116956621624453,"linear",1
"eqwk",4,1.00116956621624,"linear",1
"acc",5,0.982607380520266,"linear",1
"binacc",5,0.982607380520266,"linear",1
"eacc",5,0.0173926194797338,"linear",1
"ebinacc",5,0.0173926194797338,"linear",1
"nll",5,0.0780208704422262,"linear",1
"binnll",5,0.0780208704422262,"linear",1
"rps",5,0.0164588459844071,"linear",1
"cint",5,-0.0262755067922265,"linear",1
"cslope",5,0.972876326851942,"linear",1
"brier",5,0.0164588459844071,"linear",1
"auc",5,0.775403846153846,"linear",1
"eauc",5,0.224596153846154,"linear",1
"qwk",5,-0.000884550379882665,"linear",1
"eqwk",5,1.00088455037988,"linear",1
"acc",1,0.982153660012099,"log-linear",1
"binacc",1,0.982153660012099,"log-linear",1
"eacc",1,0.0178463399879008,"log-linear",1
"ebinacc",1,0.0178463399879008,"log-linear",1
"nll",1,0.0782207118240412,"log-linear",1
"binnll",1,0.0782207118240412,"log-linear",1
"rps",1,0.0167079320231345,"log-linear",1
"cint",1,-0.0111461036681576,"log-linear",1
"cslope",1,0.809608307483169,"log-linear",1
"brier",1,0.0167079320231345,"log-linear",1
"auc",1,0.782887362637363,"log-linear",1
"eauc",1,0.217112637362637,"log-linear",1
"qwk",1,-0.00172557236619109,"log-linear",1
"eqwk",1,1.00172557236619,"log-linear",1
"acc",2,0.982304900181488,"log-linear",1
"binacc",2,0.982304900181488,"log-linear",1
"eacc",2,0.0176950998185118,"log-linear",1
"ebinacc",2,0.0176950998185118,"log-linear",1
"nll",2,0.0784417969483952,"log-linear",1
"binnll",2,0.0784417969483952,"log-linear",1
"rps",2,0.0166363725141427,"log-linear",1
"cint",2,-0.0163174041006663,"log-linear",1
"cslope",2,0.860194341251765,"log-linear",1
"brier",2,0.0166363725141427,"log-linear",1
"auc",2,0.770373626373626,"log-linear",1
"eauc",2,0.229626373626374,"log-linear",1
"qwk",2,0.0148434913277132,"log-linear",1
"eqwk",2,0.985156508672287,"log-linear",1
"acc",3,0.982304900181488,"log-linear",1
"binacc",3,0.982304900181488,"log-linear",1
"eacc",3,0.0176950998185118,"log-linear",1
"ebinacc",3,0.0176950998185118,"log-linear",1
"nll",3,0.0783611895145732,"log-linear",1
"binnll",3,0.0783611895145732,"log-linear",1
"rps",3,0.0165786390732566,"log-linear",1
"cint",3,-0.017910127164582,"log-linear",1
"cslope",3,0.860482681434701,"log-linear",1
"brier",3,0.0165786390732566,"log-linear",1
"auc",3,0.775521978021978,"log-linear",1
"eauc",3,0.224478021978022,"log-linear",1
"qwk",3,-0.00144986821733517,"log-linear",1
"eqwk",3,1.00144986821734,"log-linear",1
"acc",4,0.982304900181488,"log-linear",1
