"metric","val","method","spl"
"acc",0.982362149982711,"avgl",1
"binacc",0.982362149982711,"avgl",1
"eacc",0.0176378500172887,"avgl",1
"ebinacc",0.0176378500172887,"avgl",1
"nll",0.0796799731495306,"avgl",1
"binnll",0.0796799731495306,"avgl",1
"rps",0.016663649927934,"avgl",1
"cint",-0.03007918959156,"avgl",1
"cslope",0.803243600798971,"avgl",1
"brier",0.016663649927934,"avgl",1
"auc",0.756560624918983,"avgl",1
"eauc",0.243439375081017,"avgl",1
"qwk",0.00586512992583962,"avgl",1
"eqwk",0.99413487007416,"avgl",1
"acc",0.982653482261297,"avgl",2
"binacc",0.982653482261297,"avgl",2
"eacc",0.0173465177387032,"avgl",2
"ebinacc",0.0173465177387032,"avgl",2
"nll",0.0784928382606115,"avgl",2
"binnll",0.0784928382606115,"avgl",2
"rps",0.0164912243386304,"avgl",2
"cint",0.098035940399611,"avgl",2
"cslope",0.860943577944114,"avgl",2
"brier",0.0164912243386304,"avgl",2
"auc",0.762335727916772,"avgl",2
"eauc",0.237664272083228,"avgl",2
"qwk",0.015536341537778,"avgl",2
"eqwk",0.984463658462222,"avgl",2
"acc",0.980980267606255,"avgl",3
"binacc",0.980980267606255,"avgl",3
"eacc",0.0190197323937448,"avgl",3
"ebinacc",0.0190197323937448,"avgl",3
"nll",0.081375020107137,"avgl",3
"binnll",0.081375020107137,"avgl",3
"rps",0.0177044112612992,"avgl",3
"cint",-0.102393361151652,"avgl",3
"cslope",0.909586658948435,"avgl",3
"brier",0.0177044112612992,"avgl",3
"auc",0.800721254517085,"avgl",3
"eauc",0.199278745482915,"avgl",3
"qwk",0.0231997358771342,"avgl",3
"eqwk",0.976800264122866,"avgl",3
"acc",0.9835148215366,"avgl",4
"binacc",0.9835148215366,"avgl",4
"eacc",0.0164851784633999,"avgl",4
"ebinacc",0.0164851784633999,"avgl",4
"nll",0.0767800383411109,"avgl",4
"binnll",0.0767800383411109,"avgl",4
"rps",0.0160485144980829,"avgl",4
"cint",0.0506417485361705,"avgl",4
"cslope",0.833267914203551,"avgl",4
"brier",0.0160485144980829,"avgl",4
"auc",0.769361220103202,"avgl",4
"eauc",0.230638779896798,"avgl",4
"qwk",0.019141883840965,"avgl",4
"eqwk",0.980858116159035,"avgl",4
"acc",0.982495886331319,"avgl",5
"binacc",0.982495886331319,"avgl",5
"eacc",0.0175041136686811,"avgl",5
"ebinacc",0.0175041136686811,"avgl",5
"nll",0.0771039221829586,"avgl",5
"binnll",0.0771039221829586,"avgl",5
"rps",0.0164734332596533,"avgl",5
"cint",-0.0276770818762315,"avgl",5
"cslope",1.0673963264122,"avgl",5
"brier",0.0164734332596533,"avgl",5
"auc",0.791184910839116,"avgl",5
"eauc",0.208815089160884,"avgl",5
"qwk",0.00275307647479177,"avgl",5
"eqwk",0.997246923525208,"avgl",5
"acc",0.983301682667065,"avgl",6
"binacc",0.983301682667065,"avgl",6
"eacc",0.0166983173329348,"avgl",6
"ebinacc",0.0166983173329348,"avgl",6
"nll",0.0781210017444237,"avgl",6
"binnll",0.0781210017444237,"avgl",6
"rps",0.0160888744352167,"avgl",6
"cint",-0.00708655059065441,"avgl",6
"cslope",1.06294566844942,"avgl",6
"brier",0.0160888744352167,"avgl",6
"auc",0.75058383329655,"avgl",6
"eauc",0.24941616670345,"avgl",6
"qwk",-0.000122718894035131,"avgl",6
"eqwk",1.00012271889404,"avgl",6
"acc",0.982380231370743,"avgll",1
"binacc",0.982380231370743,"avgll",1
"eacc",0.017619768629257,"avgll",1
"ebinacc",0.017619768629257,"avgll",1
