"metric","val","method","spl"
"acc",0.983061101028433,"linear",1
"binacc",0.983061101028433,"linear",1
"eacc",0.0169388989715669,"linear",1
"ebinacc",0.0169388989715669,"linear",1
"nll",0.0858851173774519,"linear",1
"binnll",0.0858851173774519,"linear",1
"rps",0.0166523386506193,"linear",1
"cint",-0.036982839514412,"linear",1
"cslope",NA,"linear",1
"brier",0.0166523386506193,"linear",1
"auc",0.5,"linear",1
"eauc",0.5,"linear",1
"qwk",0,"linear",1
"eqwk",1,"linear",1
"acc",0.983212341197822,"linear",2
"binacc",0.983212341197822,"linear",2
"eacc",0.0167876588021778,"linear",2
"ebinacc",0.0167876588021778,"linear",2
"nll",0.0853377510535043,"linear",2
"binnll",0.0853377510535043,"linear",2
"rps",0.0165086010198008,"linear",2
"cint",0.0961843476920745,"linear",2
"cslope",NA,"linear",2
"brier",0.0165086010198008,"linear",2
"auc",0.5,"linear",2
"eauc",0.5,"linear",2
"qwk",0,"linear",2
"eqwk",1,"linear",2
"acc",0.981548699334543,"linear",3
"binacc",0.981548699334543,"linear",3
"eacc",0.0184513006654567,"linear",3
"ebinacc",0.0184513006654567,"linear",3
"nll",0.0920830021688963,"linear",3
"binnll",0.0920830021688963,"linear",3
"rps",0.0181153333926217,"linear",3
"cint",-0.124044682903221,"linear",3
"cslope",NA,"linear",3
"brier",0.0181153333926217,"linear",3
"auc",0.5,"linear",3
"eauc",0.5,"linear",3
"qwk",0,"linear",3
"eqwk",1,"linear",3
"acc",0.983363581367211,"linear",4
"binacc",0.983363581367211,"linear",4
"eacc",0.0166364186327889,"linear",4
"ebinacc",0.0166364186327889,"linear",4
"nll",0.0846854292057496,"linear",4
"binnll",0.0846854292057496,"linear",4
"rps",0.0163611121191172,"linear",4
"cint",0.0714354438467564,"linear",4
"cslope",NA,"linear",4
"brier",0.0163611121191172,"linear",4
"auc",0.5,"linear",4
"eauc",0.5,"linear",4
"qwk",0,"linear",4
"eqwk",1,"linear",4
"acc",0.982909860859044,"linear",5
"binacc",0.982909860859044,"linear",5
"eacc",0.0170901391409558,"linear",5
"ebinacc",0.0170901391409558,"linear",5
"nll",0.0864880593273792,"linear",5
"binnll",0.0864880593273792,"linear",5
"rps",0.0167980891586874,"linear",5
"cint",-0.00904280540614962,"linear",5
"cslope",NA,"linear",5
"brier",0.0167980891586874,"linear",5
"auc",0.5,"linear",5
"eauc",0.5,"linear",5
"qwk",0,"linear",5
"eqwk",1,"linear",5
"acc",0.983363581367211,"linear",6
"binacc",0.983363581367211,"linear",6
"eacc",0.0166364186327889,"linear",6
"ebinacc",0.0166364186327889,"linear",6
"nll",0.0846488918557037,"linear",6
"binnll",0.0846488918557037,"linear",6
"rps",0.016359854070163,"linear",6
"cint",0.0273689558888973,"linear",6
"cslope",NA,"linear",6
"brier",0.016359854070163,"linear",6
"auc",0.5,"linear",6
"eauc",0.5,"linear",6
"qwk",0,"linear",6
"eqwk",1,"linear",6
