"metric","val","method","spl"
"acc",0.983061101028433,"linear",1
"binacc",0.983061101028433,"linear",1
"eacc",0.0169388989715669,"linear",1
"ebinacc",0.0169388989715669,"linear",1
"nll",0.0905398945658226,"linear",1
"binnll",0.0905398945658226,"linear",1
"rps",0.0168148082525321,"linear",1
"cint",-0.0373325400874099,"linear",1
"cslope",-0.0702916573724851,"linear",1
"brier",0.0168148082525321,"linear",1
"auc",0.519625,"linear",1
"eauc",0.480375,"linear",1
"qwk",0,"linear",1
"eqwk",1,"linear",1
"acc",0.983212341197822,"linear",2
"binacc",0.983212341197822,"linear",2
"eacc",0.0167876588021778,"linear",2
"ebinacc",0.0167876588021778,"linear",2
"nll",0.0896210455133221,"linear",2
"binnll",0.0896210455133221,"linear",2
"rps",0.0166614861667116,"linear",2
"cint",-0.0265397485266393,"linear",2
"cslope",-0.0353064944346623,"linear",2
"brier",0.0166614861667116,"linear",2
"auc",0.509520364850314,"linear",2
"eauc",0.490479635149686,"linear",2
"qwk",0,"linear",2
"eqwk",1,"linear",2
"acc",0.981548699334543,"linear",3
"binacc",0.981548699334543,"linear",3
"eacc",0.0184513006654567,"linear",3
"ebinacc",0.0184513006654567,"linear",3
"nll",0.0952865797087738,"linear",3
"binnll",0.0952865797087738,"linear",3
"rps",0.0182216427926535,"linear",3
"cint",-0.0175724867988219,"linear",3
"cslope",-0.000365477073697996,"linear",3
"brier",0.0182216427926535,"linear",3
"auc",0.508632448407386,"linear",3
"eauc",0.491367551592614,"linear",3
"qwk",0,"linear",3
"eqwk",1,"linear",3
"acc",0.983363581367211,"linear",4
"binacc",0.983363581367211,"linear",4
"eacc",0.0166364186327889,"linear",4
"ebinacc",0.0166364186327889,"linear",4
"nll",0.0867632681110745,"linear",4
"binnll",0.0867632681110745,"linear",4
"rps",0.0164272382995492,"linear",4
"cint",-0.00871111399374221,"linear",4
"cslope",0.109901858219186,"linear",4
"brier",0.0164272382995492,"linear",4
"auc",0.517519085036772,"linear",4
"eauc",0.482480914963228,"linear",4
"qwk",0,"linear",4
"eqwk",1,"linear",4
"acc",0.982909860859044,"linear",5
"binacc",0.982909860859044,"linear",5
"eacc",0.0170901391409558,"linear",5
"ebinacc",0.0170901391409558,"linear",5
"nll",0.0912318750744175,"linear",5
"binnll",0.0912318750744175,"linear",5
"rps",0.0170241436148164,"linear",5
"cint",0.0575777345818135,"linear",5
"cslope",-0.0237507008204537,"linear",5
"brier",0.0170241436148164,"linear",5
"auc",0.502817315665991,"linear",5
"eauc",0.497182684334009,"linear",5
"qwk",0,"linear",5
"eqwk",1,"linear",5
"acc",0.983363581367211,"linear",6
"binacc",0.983363581367211,"linear",6
"eacc",0.0166364186327889,"linear",6
"ebinacc",0.0166364186327889,"linear",6
"nll",0.0902540247508906,"linear",6
"binnll",0.0902540247508906,"linear",6
"rps",0.0165616073752423,"linear",6
"cint",0.00854970766080577,"linear",6
"cslope",-0.0739006584469074,"linear",6
"brier",0.0165616073752423,"linear",6
"auc",0.516106233047174,"linear",6
"eauc",0.483893766952826,"linear",6
"qwk",0,"linear",6
"eqwk",1,"linear",6
